,Postcentral_L,Frontal_Sup_2_L,Rectus_L,Hippocampus_R,Vermis_8,ParaHippocampal_L,SN_pr_R,Thal_VL_R,Putamen_L,Thal_IL_R,Cingulate_Post_R,Thal_PuI_R,Temporal_Pole_Mid_R,Temporal_Sup_L,Thal_LGN_R,ACC_pre_L,Precuneus_R,Vermis_7,Thal_LP_R,Parietal_Inf_R,Fusiform_R,Amygdala_L,Vermis_4_5,ParaHippocampal_R,Caudate_R,Paracentral_Lobule_L,Frontal_Sup_Medial_L,Cerebellum_8_R,OFClat_R,Thal_MDl_R,SN_pc_L,Cingulate_Post_L,SupraMarginal_L,Frontal_Inf_Oper_R,Thal_VA_R,Red_N_R,ACC_sup_L,Calcarine_L,Caudate_L,Thal_VL_L,Pallidum_R,Lingual_R,Occipital_Mid_L,Thal_AV_R,Temporal_Sup_R,Hippocampus_L,VTA_L,Occipital_Sup_R,Thal_PuA_R,Frontal_Mid_2_R,Precuneus_L,Red_N_L,Frontal_Inf_Tri_R,SN_pc_R,Rolandic_Oper_R,Frontal_Inf_Oper_L,Thal_VA_L,Precentral_L,Frontal_Sup_Medial_R,OFCpost_L,Lingual_L,Parietal_Sup_L,Occipital_Mid_R,Rectus_R,Frontal_Mid_2_L,OFCmed_R,Frontal_Med_Orb_R,Thal_LP_L,Raphe_D,Occipital_Sup_L,Frontal_Inf_Orb_2_L,Cerebellum_Crus2_L,Thal_PuL_R,Cerebellum_7b_L,Thal_VPL_L,Thal_MDl_L,Olfactory_L,Cerebellum_3_R,OFClat_L,Vermis_6
Postcentral_L,1.0,0.6396865348025921,0.13702442291865988,0.15052703354062164,-0.06441031028006337,0.17560109584221117,-0.06502641352892434,0.34483412460742424,0.2000848135248891,-0.019650415314137037,0.38767293007460146,0.027161001709631306,-0.27876972714362996,0.5169480498086453,-0.2936081096150734,0.19636199595851186,0.830316339147701,0.05779019759324645,0.21346929701458062,0.6747199229236026,0.445348903087303,-0.09617686779826211,0.5126000692317286,0.5333177272315348,0.19608156560766843,0.8148594542208554,0.6001478558811533,0.2846564381005326,0.2729285033668698,-0.037729019370544556,0.014352472909338398,0.6849205591633751,0.5760170132356676,0.5349403748723617,0.18809331431063678,-0.13020732685495723,0.3135582191204461,0.5998556267450337,0.21708635273077526,0.28421283042521617,0.409278645065334,0.5717755814144332,0.523344737883939,0.20121632732192743,0.5562237583414922,0.391694650180009,0.17076847620441604,0.5285225109588103,-0.2851693421009683,0.6817692449675969,0.73399011153463,0.16842882618459026,0.3402974155498002,0.0753645201852097,0.36617009804895767,0.4334532976613358,0.24048288933364448,0.9013048590645768,0.31868020492894455,-0.006699382000553243,0.7200185497485295,0.6966106069272242,0.04623663234682942,0.16261863404494195,0.539113549146283,0.10375638395312294,-0.13808522123292827,0.12642564613725335,0.01431027746081198,0.6568569840623759,0.1980234674182696,0.09927869613499149,0.21103395956679766,0.19892336935667912,0.051905454189335336,0.05638340410275952,-0.06001433759250191,0.7892847448464436,0.3662849434784205,0.4315759791204509
Frontal_Sup_2_L,0.6396865348025921,1.0,0.23752535467435054,0.5106259653312133,0.1246887280601565,0.4495617297045852,0.28549363807883155,0.8117154606825198,0.5321912304645269,-0.02245646785268402,0.635248070468244,0.11989109325213561,-0.14822664796854487,0.7554592614698763,0.1572147028181389,0.5604986458144854,0.7056000859566354,0.28632710967329156,0.5785874204599476,0.530591124985933,0.5181467532760902,0.2248385833677145,0.6450647344762477,0.6557845937980007,0.7146442700821036,0.5659761482288896,0.8461162653315387,0.08941932825646828,0.5450053215783608,0.25836468990281586,0.32675007674988527,0.6995307937214017,0.4838492991287808,0.6978456718452307,0.6919634895357201,-0.028260039189484953,0.7638256203035911,0.5110756900529694,0.7279849515459146,0.7400866678798869,0.5761122342386088,0.4914983898338623,0.18708717741648792,0.5224249119517066,0.741231506578926,0.69881493272487,0.5116554010483625,0.2941843124043182,0.09583395369151936,0.8223022769183178,0.6255193543853045,0.31583907047955057,0.70338958734092,0.4469386685278633,0.6045793080901432,0.7567941517228035,0.7541453377094749,0.6582432455934466,0.7711563734129145,0.39175680280088343,0.47284874329178184,0.2745815729055351,-0.06550249155769391,0.3886328984525136,0.8268352588382187,0.07132164344468697,-0.06266442134214363,0.38534560169470666,0.5644764370302843,0.30682243202984233,0.5077069758028426,-0.054023228319748505,0.4912929395008077,-0.06402342394005194,0.6004925739105563,0.34522768817976235,0.473763103821396,0.624934480146014,0.6756964823102863,0.34805180043564504
Rectus_L,0.13702442291865988,0.23752535467435054,1.0,0.17977355055612534,0.12855361268389975,0.018590584373890124,0.13759488865476444,0.21159509375197944,0.12042501200869307,0.06293580960008803,0.1547080988463775,0.06451930636826922,0.13383441348543504,0.2495088586856172,0.18677919182845676,0.11141811352324774,0.18310250096665423,0.18402762522533664,0.16952558541423443,0.017514213681733417,0.27031690797143315,-0.045804780072177864,0.16615612110548922,0.15212596833995715,0.17623552560266578,0.12715287661965827,0.3634726160453008,0.0742059471739649,0.25713754110431464,0.21103000625685453,0.22933135225778994,0.19377434540251226,0.1873668251139622,0.20704203714985941,0.14297995484720108,0.1458483145347954,0.19952149081916898,0.21637526102733212,0.25063270038118646,0.27246293982694914,0.13383436087697212,0.2631558231414099,0.221460106739735,0.15157290681084726,0.23987986056319893,0.28095871374181647,0.12249701988014934,0.11299157143388365,0.1620400132317627,0.2644943901703787,0.1716253672342972,0.2710105077537027,0.1680032898906055,0.1399973636357941,0.14299363447811023,0.19078960228213532,0.22135462467437345,0.15529837636207738,0.21720184771206702,0.02125567241708498,0.2298606916942047,0.08614800867246253,0.04881657762809145,0.1953151681074665,0.1666821293344904,-0.08556463156340705,-0.16922812364084197,0.07890431712835551,0.19647197121608054,0.1673730333463523,0.17234242276317108,-0.03349808012320441,0.15562573026688453,0.07746406272658031,0.25297961694198207,0.12987266716933069,0.13294399344525626,0.15170643129891326,0.11235606219951833,0.16120100186751174
Hippocampus_R,0.15052703354062164,0.5106259653312133,0.17977355055612534,1.0,0.4484175665694077,0.6692876975736333,0.46177801575638583,0.8022943371472382,0.8259779651744985,0.4314796215933769,0.6434855882897916,0.159717297553715,0.17184954207391018,0.6700508164105027,0.6099294856762993,0.03772781708676064,0.3379082981554545,0.5306088539453647,0.6271367474423821,0.03423680397012398,0.5645644056107767,0.6909481931019504,0.5196012420200985,0.684097996858117,0.8017655031158603,0.05147008659868538,0.5044547830073827,-0.0028740564303735222,0.5940118599194623,0.6315517368466333,0.6194432265940507,0.45712597331269844,0.4266457742025468,0.6831533372791593,0.5998916300575684,0.4119533805520809,0.6349788645032218,0.23461247500690818,0.7082531662307838,0.7577466655473172,0.6052672090084406,0.3457926463365459,0.14151823421755289,0.40235788485153784,0.6684119841056244,0.5775922949559766,0.7346378475842208,0.29107827590262075,0.6028160320051942,0.5876455583062623,0.3699232603661086,0.5786230352106726,0.7812459103563154,0.43082880682356994,0.7273761103692923,0.6116409447621558,0.5525843405918475,0.12767229410573738,0.3791445410746058,0.4079825336212429,0.182652793712462,0.09420608989305386,0.3678683186278416,0.06731240274817153,0.5758518367182671,0.1717982250510088,0.11704879088988128,0.4345028498926715,0.6249451345788454,0.019356627075173733,0.6017441961554566,-0.05222047880906497,0.54214152978156,0.010342590101569429,0.7160685058464173,0.5921207426902703,0.468142685463329,0.1870125565065562,0.2955921652564725,0.0879198481489134
Vermis_8,-0.06441031028006337,0.1246887280601565,0.12855361268389975,0.4484175665694077,1.0,0.3433421811439289,0.028327697872782436,0.3011338737541844,0.4568039441120057,0.4264494314835405,0.3294482507755987,0.33101092367560525,0.14952097218688276,0.1986162963858738,0.2053568624294279,-0.014372875593703031,0.06285381786757009,0.3174811406931341,0.27119033869401077,-0.08789672744558201,0.26583605316078,0.29256181311994905,0.20188206548840268,0.3136464606738856,0.2791594549928982,-0.04874534876016365,0.11567058640118955,0.19890071048631988,0.21139380809744301,0.5599097780991794,0.5112297576085875,0.18898158832333747,0.2162321219467045,0.24929328072189375,0.21795416278059493,0.18518827795755538,0.22384488496735,0.08007247349147589,0.3063319918422295,0.3593937215340465,0.3136154805098647,0.07307707894743207,0.19886346003612582,0.11107301480412994,0.2548438050945733,0.340286995995274,0.39530063460795856,0.1473159260760215,0.3833178222334396,0.16675333311136148,0.2131781981534147,0.2737356636698671,0.2551491907978446,0.1222152776267944,0.21953598005825609,0.12842327822856275,0.10429821047270986,-0.11964909575418337,0.015969488840149898,0.178239405662109,0.1037769105956182,0.0485927161581678,0.31668419735281267,0.043760507029589446,0.1630375385155984,-0.009758967581271169,0.17024986136005613,0.23474450123629106,0.26396240723541947,0.038623416318724874,0.15804585551464687,-0.08128516164085509,0.19758055200730992,0.13062868998854066,0.33736509947006993,0.5106646424660379,0.03622575433996101,0.027474309569344862,-0.012152334530712974,0.09937617865634366
ParaHippocampal_L,0.17560109584221117,0.4495617297045852,0.018590584373890124,0.6692876975736333,0.3433421811439289,1.0,0.20144002143297096,0.6552226092552326,0.6587063459573396,0.12393268471091809,0.6630421016284456,0.16854791751364895,-0.07637817462129014,0.5610531247199957,0.26436789672697464,0.03899444347195794,0.39137444339720423,0.39811543278039013,0.4216253604518801,0.23499382540590327,0.4378132455440186,0.7572082684430749,0.5857262694790817,0.7146975859855222,0.6236803389727847,0.20700560314759625,0.32880039564739,0.055112366762458426,0.43751192545046397,0.37703172682686165,0.2395611286440534,0.4640989671576056,0.5157824258577143,0.5955486519145381,0.6341841803578196,-0.11094781949867549,0.3790638520580515,0.25076477426159605,0.4155916098897508,0.5157825058409056,0.5243584515572279,0.19839155372538608,0.055538093644112795,0.2573572646933226,0.624049575402606,0.4780533116406701,0.5866838032526376,0.3420334767586382,0.30117537203566014,0.5265237504725125,0.4671487929156475,0.13530338969809394,0.6609333868083537,0.3838939126717215,0.44540681916485864,0.372923412464577,0.4980726666228217,0.17733285807070975,0.34016420492852795,0.6619713114188001,0.026869994294319598,0.19437684384454149,0.36894364631527243,0.31287825110947254,0.6286731896712333,0.26391390631193806,0.14811826642877013,0.24333023659175734,0.4407981811060059,0.02784122222997943,0.3130785293520537,-0.24561035956344013,0.26714559566887874,-0.061847956313297675,0.44976018346613555,0.5990010345981943,0.5094176501041303,0.20173873444716572,0.338372606106465,0.26543082598290485
SN_pr_R,-0.06502641352892434,0.28549363807883155,0.13759488865476444,0.46177801575638583,0.028327697872782436,0.20144002143297096,1.0,0.40623759782444896,0.3294858762820017,0.08293418972522036,0.2713066041336177,0.01897467239409364,0.28659892589548724,0.35341697072879635,0.5511584700757131,0.2418186748322757,-0.003096101815216353,0.3054731230088115,0.41774051565878634,-0.1869232655404338,0.1521280409214816,0.28058766313076794,0.16704801516014434,0.22871269247859263,0.5821764815296822,-0.20229528741795935,0.3395908290868659,-0.20102606136926301,0.4436619054711444,0.24568254701628445,0.3233548870649205,0.10935170098239862,0.031111711343506133,0.38373353921079606,0.3141368183427437,0.3928388482819992,0.46828964217942687,-0.03908567611833447,0.4978084505299159,0.3327689180745581,0.1754436840102673,0.16202256850986446,-0.06262393212363357,0.16194053764953267,0.3117115691842637,0.3471269920732955,0.24953674773071427,-0.11743782865837306,0.4323170558504277,0.24210248705954635,-0.08002139437590874,0.5034461301008841,0.5067843133158898,0.7862759789943172,0.5703337625957305,0.46923719476850606,0.40489687662273627,-0.049245965253882064,0.2769451098354674,0.25408413351753006,-0.025463265929812528,-0.17621618815952111,0.024394496392241775,0.08702545776394421,0.22219454762402024,-0.038661247470756846,-0.32340412703990973,0.2636320860484263,0.49624319972434805,-0.03780439928541097,0.3704734642687552,-0.007127589872942295,0.44632620663659445,-0.043797113788418815,0.43458813681236264,-0.04171531981081887,0.5610141785763281,-0.08939114424129121,0.11683733678897952,-0.1183756296155127
Thal_VL_R,0.34483412460742424,0.8117154606825198,0.21159509375197944,0.8022943371472382,0.3011338737541844,0.6552226092552326,0.40623759782444896,1.0,0.7889354840888226,0.1956753047808232,0.7460370701666947,0.18847089914708434,0.02822943345222238,0.7756391801306012,0.4336236807648722,0.4125955209321021,0.5126184249920711,0.4566814531754823,0.6859429818998743,0.2675677159373394,0.5980755568886615,0.5046060299252866,0.6832602399755924,0.7058416767087324,0.8717624746029955,0.2939794080678717,0.7346855406875972,-0.033852418061174096,0.6515202151327295,0.5114234067457178,0.527571223743698,0.6092094760759774,0.5037894889114182,0.7498849685138701,0.7802327114235188,0.1833788351209309,0.8011936744821229,0.4154019262436216,0.8272257839766088,0.9235926423530673,0.6560205748211613,0.4327964676640499,0.12304668895835082,0.597018744155648,0.7821656342803465,0.7139848607018255,0.6923847310403917,0.26184338257265266,0.4177775227035537,0.7643627984910558,0.5129918473659796,0.5122659923745709,0.8373783268404675,0.5319382586641827,0.7047409531215533,0.7495186787334973,0.8010746320601619,0.3563093747726342,0.6761089815278778,0.461443863350674,0.30492952932251843,0.13070874611382305,0.17346531139401225,0.29822571473836756,0.7926526351064075,0.10934073500986942,0.04301311768645682,0.49044467185123103,0.7019654070382768,0.12816070855957978,0.5853906412091184,-0.1711241885873788,0.5157095757424778,-0.08541673883218438,0.7980743453242508,0.6092569829500448,0.5704811992318916,0.399619121805364,0.5511656942926508,0.29976846260394685
Putamen_L,0.2000848135248891,0.5321912304645269,0.12042501200869307,0.8259779651744985,0.4568039441120057,0.6587063459573396,0.3294858762820017,0.7889354840888226,1.0,0.5196730225295043,0.6444692312625234,0.25028472967763205,0.010892671704804329,0.6408148398270452,0.38241353370014625,0.0611252624419259,0.3698616939000191,0.4788717948884867,0.5224653385713477,0.10657341137585032,0.5043858985436025,0.7013829151996905,0.4714828847107881,0.7390779082447572,0.805163026497894,0.11967344937858883,0.5196518757565598,-0.02136605496099359,0.5574263746427368,0.6236844788791432,0.5712002094757314,0.47660869666984323,0.3533255991239547,0.601897860357837,0.6221620629522068,0.34901164004266244,0.6024054494167344,0.18632120500551153,0.7662524653352323,0.7080671537678495,0.8192534507926296,0.2531623265509776,0.07638682253903303,0.31287487427763655,0.6541181058414304,0.6692303268773754,0.6816653187349866,0.1884345347052911,0.43647353379131215,0.585834685849754,0.40512454861480995,0.4784090805368573,0.7942850801678413,0.30715603586072576,0.665078035616721,0.6547837647599074,0.5629333416056507,0.14768524543180037,0.3944627845146959,0.4531128648961847,0.1908043299533196,0.05703537560439683,0.18583044517683348,0.016824213528389448,0.6243857066092249,0.11045406209056513,0.08257526539337874,0.3469273407247,0.6567265434246843,-0.026132724601786447,0.6658963246354224,-0.26056660060756975,0.4009040939619933,-0.04162783392099497,0.5393103258410494,0.5693080747765237,0.467502145783176,0.23078410118458131,0.45840631025278594,0.033889888983830364
Thal_IL_R,-0.019650415314137037,-0.02245646785268402,0.06293580960008803,0.4314796215933769,0.4264494314835405,0.12393268471091809,0.08293418972522036,0.1956753047808232,0.5196730225295043,1.0,0.13649768163171846,0.3557043600510621,0.20144265738347075,0.10159511052160061,0.10667680956973151,-0.41819972126196014,0.0016048976203371528,0.13749423916816245,0.32859851615283586,0.06187852741164397,0.07101229518822766,0.2738048851820672,-0.09367873176215233,0.19339651307573477,0.22209849649918897,-0.09828800821123672,0.007354199606188591,0.08369493354106322,0.07788431549350422,0.5608126771838965,0.6139820276523864,0.008314666623624708,0.10913734282717061,0.22664999054112325,-0.15902168037380252,0.698395812023507,0.28026985327149667,-0.10389223836401829,0.30207579244809846,0.24959119409913433,0.37477623387434134,0.029952567384951355,0.2948532618911937,0.18916668458218516,0.2085881459912566,0.2257439723906595,0.22566604108492405,0.32847345959734814,0.37312134510953776,-0.002470543639091606,0.038969883569080294,0.4793408649162989,0.24963134055845496,-0.05955222737260776,0.4113576334349063,0.24783248168763414,-0.201905454648935,-0.1672298985864985,-0.10114674953106091,0.01583367256962274,0.2142736386224867,0.18225164164834354,0.4454977623975617,-0.46857750030888323,-0.06263457065300886,-0.036080368781004256,0.05017980815267093,0.3133477380922229,0.051033726518269984,0.173678480893658,0.4156453393682543,0.008842305759767959,0.28496461097901266,0.29883072300071684,0.24929125554084883,0.3331825210684767,-0.21039039950157123,-0.02415749240461004,-0.08623037818999091,-0.2782940212712183
