,Occipital_Sup_L,Thal_VL_L,Cingulate_Mid_R,Insula_R,Putamen_R,Rolandic_Oper_L,Occipital_Inf_R,ACC_sub_R,Temporal_Mid_R,Supp_Motor_Area_R,Occipital_Mid_L,Vermis_6,Thal_LGN_L,Thal_MGN_L,Thal_PuI_L,Thal_PuL_R,Thal_Re_L,Occipital_Mid_R,Rectus_L,Cerebellum_Crus2_L,Postcentral_L,Frontal_Sup_2_R,Cerebellum_6_L,Thal_MDm_R,Frontal_Sup_2_L,Frontal_Inf_Orb_2_L,Cerebellum_10_R,Cerebellum_4_5_L,Thal_PuI_R,Calcarine_L,Temporal_Sup_R,Thal_VA_L,Parietal_Sup_R,Frontal_Inf_Oper_L,Thal_AV_L,Frontal_Inf_Oper_R,Thal_LGN_R,Thal_LP_L,Insula_L,Vermis_9,Frontal_Inf_Tri_R,Cerebellum_7b_L,Cerebellum_8_L,Vermis_8,Thal_VA_R,Paracentral_Lobule_L,Thal_PuA_R,OFCpost_L,Occipital_Inf_L,Thal_PuM_R
Occipital_Sup_L,1.0,0.1482908779801615,0.5535713540389162,0.08667926436211669,0.12386285200981058,0.18215176679154146,0.19655723857492308,-0.35249616246778587,0.4087979178061177,0.4860449495632669,0.8483665140900144,0.4393933125798325,0.4161319864276045,0.2347694803426213,0.37539396919129814,0.11124517064225087,-0.07420293415778392,0.4525822988054632,0.1673730333463523,0.2591856460917208,0.6568569840623759,0.5383396242851808,0.4010372475377057,0.3440717925790356,0.30682243202984233,0.07223410057488466,0.07471750161843022,0.5066418574896635,0.20130026231888687,0.5747562967819729,0.4736793063128685,-0.12506687680977277,0.4970387436700833,0.24611126844356193,0.08571690746332321,0.44921845061536914,-0.33496117341411036,0.037720540219027,0.10199852880329602,0.4062848785888867,0.09876734763620339,0.4699355921536439,0.3185990592252591,0.038623416318724874,-0.2121400630331571,0.6400215905187989,-0.08920738885017407,-0.09352566253971695,0.3976891455725441,0.07751115590730241
Thal_VL_L,0.1482908779801615,1.0,0.35278088225723436,0.5848419356881144,0.6935011047015815,0.6666441703860074,0.12669843264270064,0.20247500149384845,0.545353983051382,0.5277072797506772,0.21162384743782725,0.30330854206255914,0.061943196036425265,0.43967926616365605,0.4574048742164594,0.4996597568541949,0.23846328776291006,0.20500459574195776,0.27246293982694914,-0.15509334861219218,0.28421283042521617,0.592905965665714,0.5606121732732203,0.7247166758171782,0.7400866678798869,0.5641212293904879,0.4048463856231695,0.6060000932570367,0.2076580362644446,0.4094516032498259,0.6647666602877774,0.7238898694121589,-0.238806340440783,0.7111773139447509,0.7358980325712251,0.6936435375393537,0.46743794300364666,0.5616852992497893,0.7038890753261042,0.3005836973717738,0.6947880584718791,-0.056247159789923076,0.5737017969003904,0.3593937215340465,0.6443460593145292,0.1855527507053411,0.4946968106270523,0.3628741640750231,0.13173413280063834,0.5664335839012282
Cingulate_Mid_R,0.5535713540389162,0.35278088225723436,1.0,0.14085069474396536,0.5145342153788401,0.4553068345208565,-0.1558766554612468,-0.3336108400525384,0.17479639017933005,0.6857871852560156,0.3679090357485654,0.3231942650641609,0.46423289169176496,0.23236275474059978,0.24780652303441844,0.3966820074727469,0.3371547797899548,0.035806490190072225,0.040369087126028436,0.039577380997983115,0.7951359166495235,0.7355886760739464,0.27220667674492105,0.31042312296452856,0.670141772563405,0.22022909372231858,0.10847212155531545,0.6275660959130205,0.23204770288017668,0.48116113282850614,0.5884619867831345,0.28373617328406375,0.47843023310379024,0.5785087659253751,0.12464586471277743,0.5372118062839626,-0.27033318744386103,0.24656112284720944,0.4721517735783021,0.1742656179012941,0.3418786973877225,0.05664982996877788,0.1800627670985916,-0.09437257195638415,0.17629088899359643,0.6696007189877251,-0.21907560498177348,0.037676127380736286,0.08618723681750423,0.032368353604597895
Insula_R,0.08667926436211669,0.5848419356881144,0.14085069474396536,1.0,0.6729216838044664,0.4288581808850355,0.09405183238384479,0.3565548813381551,0.4524287036950366,0.28683523284820495,0.22392033722956947,-0.13832709492273607,0.2981663413056465,0.5399068584990692,0.19431588762996857,0.6168557888509838,0.06774720825691798,0.24287937260980494,0.21243777990065266,0.10500362384130134,0.1548579082051669,0.3194227103247091,0.3391018743835843,0.5690740859748262,0.40741964313103957,0.6025674931868292,0.46770431316400535,0.44554595940985225,0.1618505656747127,0.040724028202240574,0.5368474468242616,0.42298372753972396,-0.2195571232150552,0.608397501629737,0.35231459250849445,0.6261117360585379,0.578089536089194,0.40823940664809744,0.6707654279136467,0.43208094286028514,0.7542746743225086,0.16484788434243663,0.35218265094947465,0.3546617062966654,0.4420955674868674,-0.03158912439662343,0.5869084973352235,0.296821011232834,-0.24084933770146222,0.6507116968899795
Putamen_R,0.12386285200981058,0.6935011047015815,0.5145342153788401,0.6729216838044664,1.0,0.7461073925294613,-0.12553640356970291,0.13415893790754804,0.3704969931669372,0.5997826793726023,0.08734167790861812,0.18050549512980404,0.26891745990631155,0.5816395891325367,0.20269706357217024,0.44886280148638125,0.4667607047660339,-0.0834271341456267,0.1846362212205062,-0.18162565192859703,0.4368582961987936,0.6700733897589256,0.4477934746923965,0.6336079579731153,0.7482681727875318,0.6355844709394862,0.42424280893725336,0.7232253942946406,0.13317461381514054,0.3503707705769636,0.7442988934487149,0.754850680845704,-0.1528235007492119,0.8045219069735863,0.29752699162411606,0.727215658719621,0.30906236592462294,0.2672243546564151,0.8602397324403636,0.4154646971104868,0.8250112040962165,-0.1432015176009106,0.32069011290061655,0.15633236790308228,0.6966916887809883,0.3001161009892142,0.25110057080857245,0.36984912803173386,-0.15967664444882612,0.3241866716903779
Rolandic_Oper_L,0.18215176679154146,0.6666441703860074,0.4553068345208565,0.4288581808850355,0.7461073925294613,1.0,0.00574975782486265,0.03144929741836592,0.3778476310111653,0.6680234224206311,0.06223047442742057,0.3985092586147303,0.044318036621014675,0.6294662104777533,0.4314590849111004,0.2129733711436894,0.29271996881015616,-0.10280487030969707,0.21847025192456535,-0.16806335519027218,0.3465959118014636,0.690751720692823,0.6494166737712799,0.6373482473735735,0.738328506330458,0.7433729720029842,0.39384521193256283,0.756168457668806,0.13622727402758503,0.6386185436530767,0.7297622467065409,0.7081229579611211,-0.16910879979879154,0.8514488745340468,0.31751264397060447,0.6515939986566001,0.15066033024213707,0.13426963230266756,0.6829002433866516,0.3562835786215178,0.6273256687002903,-0.39212809716378616,0.41948071204032017,0.10262652339963244,0.5985706123405488,0.3715258092147128,0.14947821426941568,0.4516409911127466,0.20096997581852338,0.2136837121911839
Occipital_Inf_R,0.19655723857492308,0.12669843264270064,-0.1558766554612468,0.09405183238384479,-0.12553640356970291,0.00574975782486265,1.0,-0.2374688271666912,0.5681387094734901,0.08597232260978076,0.3485053903799428,0.41783605281388125,-0.22882716733852476,0.17839167395769928,0.46412252649201885,-0.026411959272425928,-0.2820639459117788,0.6235787461090825,0.08859351753066674,-0.0675356269133041,-0.04951945246826498,-0.0978270400286884,0.4120321586680124,0.25081574733825845,-0.2214757838619521,-0.034497629228088154,0.28223523472751155,0.06183513804480831,0.07458338558915795,0.30828605707266327,0.18207381312250803,-0.19895599048305834,-0.34929574326813834,-0.008122534756148981,0.279557389076936,0.172113833507476,0.05679502595061114,0.028779050511973665,-0.18332616389830633,0.4593005528616525,0.028812458299011467,0.16361460737231803,0.5004030008825725,0.28110482032678274,-0.22184060057042604,-0.16557682312130215,0.3183133541169911,-0.01125226354140033,0.39530164305853643,0.28940421531348165
ACC_sub_R,-0.35249616246778587,0.20247500149384845,-0.3336108400525384,0.3565548813381551,0.13415893790754804,0.03144929741836592,-0.2374688271666912,1.0,-0.0776030570100769,-0.1516992738228666,-0.268958659156374,-0.4077937421941907,0.044486095295017916,0.1029561141572019,-0.19115030936621366,0.14135004092365253,-0.058413126580454375,-0.25266130214314453,0.14978552965821523,0.0740940856994293,-0.20509068070770722,-0.017516056978757483,-0.10799773149547708,0.0957523804938972,0.08721731419737533,0.3401005878330982,0.07388437924274933,-0.08619570349715909,-0.05860221584940993,-0.30279851025573834,-0.10196180854672104,0.2571463906586822,-0.2198156693167919,0.004465722263953254,0.0899314048199735,-0.020413488832904517,0.43122742088343013,0.12506224712100317,0.2219549616469963,-0.2327396472273391,0.1580830437061751,-0.09934678563979767,-0.04374469624959385,0.2736067315485083,0.3983203811592768,-0.15447138692195136,0.2548438029196597,0.23016060160391863,-0.28018972323082875,0.1700080097579464
Temporal_Mid_R,0.4087979178061177,0.545353983051382,0.17479639017933005,0.4524287036950366,0.3704969931669372,0.3778476310111653,0.5681387094734901,-0.0776030570100769,1.0,0.6210249860290917,0.5077191388480459,0.6223372676574318,0.10472379706582115,0.6143860526823515,0.6296538107848951,0.26562995748144785,0.010718707492283173,0.7312447585838953,0.1984455389095006,-0.04883161224115239,0.3172316516012822,0.49277493422183555,0.764496518902753,0.7542693826823569,0.37089314066282675,0.24313077651076023,0.6315077928458442,0.6503180136417716,0.16274818208267033,0.6038608789983961,0.7763030522885288,0.2897219607073953,-0.30799669142997815,0.3824783126151941,0.672167257848647,0.636400819262547,0.20739897797893359,0.14796464676439497,0.3845568306121531,0.6192660536886638,0.6008422835004741,0.2789536897636413,0.8082714666175901,0.4071312664082034,0.3227850928550104,0.2602935088293319,0.4273179950853279,0.31589445160719826,0.22114363333122208,0.5113612513707864
Supp_Motor_Area_R,0.4860449495632669,0.5277072797506772,0.6857871852560156,0.28683523284820495,0.5997826793726023,0.6680234224206311,0.08597232260978076,-0.1516992738228666,0.6210249860290917,1.0,0.4161126166007356,0.675847017951465,0.27916648827810103,0.5833562023102742,0.414823236425579,0.30370569194538694,0.4057275246700368,0.21678140522483383,0.17245733826656248,0.03371335269317571,0.730039526535229,0.8937547456779948,0.6829808727788065,0.6614216683092294,0.7543495744574371,0.30689133453050665,0.5455167003352209,0.8871718003020065,0.08637517191591346,0.8002419377148361,0.8304970643681563,0.5650878183564827,0.004459630389026579,0.5794846940683192,0.4386304739151348,0.7721859994070089,-0.012729661043056735,0.07134969984080292,0.6067297408306043,0.3862347083097613,0.5992764488666238,0.0048221784073165215,0.5880140303256908,0.10917655780794824,0.5331873962003596,0.6929768156241115,0.051076172247345876,0.3092752006374529,0.09973550349476508,0.2330694843295009
