,Thal_IL_L,Cerebellum_Crus1_L,Rectus_L,Frontal_Mid_2_R,Thal_MDm_R,Precentral_L,Precuneus_R,Vermis_9,SupraMarginal_R,Raphe_D,N_Acc_L,Frontal_Inf_Tri_L,SN_pc_L,Occipital_Mid_L,Precentral_R,ACC_sup_R,Vermis_3,OFCant_R,Thal_PuA_L,Thal_LGN_R,Cingulate_Post_L,OFCant_L,Frontal_Med_Orb_R,Thal_PuL_R,Parietal_Inf_L,Cerebellum_9_L,Thal_LGN_L,N_Acc_R,Heschl_L,Thal_MDl_L,Precuneus_L,ACC_sub_R,ACC_pre_R,Thal_VPL_R,Angular_L,Insula_L,Caudate_L,Olfactory_R,Frontal_Inf_Tri_R,Vermis_8,Rolandic_Oper_R,Cerebellum_3_R,Cuneus_R,SN_pr_L,Vermis_4_5,Cingulate_Mid_L,Temporal_Pole_Sup_R,Temporal_Sup_L,Occipital_Sup_L,Postcentral_R,Raphe_M,Hippocampus_R,Putamen_R,ParaHippocampal_L,Amygdala_L
N_Acc_L,0.2837015991142558,-0.12511081549466355,0.10413767909323504,0.24767412384231885,0.12815133077313695,-0.13426029671659573,-0.06176560427943112,-0.11177732638202034,0.07877347379115351,0.6660835863762373,1.0,0.31333376848208827,0.15974018790500807,-0.4296783220740352,-0.0943149659584402,0.5605445363502934,-0.34859305457093265,0.491307216312649,0.12150758224805784,0.5669274523212725,0.06577502983239664,0.5284128830349688,-0.04665339589831559,0.2675219588889207,-0.21924411784841927,-0.21897466532057766,-0.29347952390200455,-0.017940591169531304,-0.053215879813270486,0.10287945736294621,-0.10512508138211897,0.35794640411673534,0.689032608794438,0.451790467965471,-0.3236867688511311,0.6071088523990662,0.5813006583785499,0.7588735674709888,0.48782201378941203,0.02275656323001624,0.294440443390413,-0.199406774565759,-0.273440004285851,0.5632604751327126,0.1807876936177646,0.09621686317508503,0.1652829178650009,0.3046186358454561,-0.4068028521100742,-0.07832767857336714,0.5726969922087588,0.4035396546124637,0.4952166747510036,0.40659257996228454,0.5183314744334715
Frontal_Inf_Tri_L,0.6802294467658067,0.18291655132925813,0.06417250391669171,0.5217955267553662,0.5256517743845495,0.25190018501590883,0.3429792799494913,0.5508298286377941,0.4625599166023959,0.44874926269345294,0.31333376848208827,1.0,0.29151717751265394,0.16031096562483446,0.15770601927136527,0.48827777542109974,0.30114223742255974,0.1308339508324789,0.26946017879628464,0.22441088093154918,0.4045742563155925,0.23732616353359057,-0.162464560660109,0.4535850301210873,0.3009365242983455,0.23089604528929802,0.267213774781311,0.36579780973535175,0.4347859396292364,0.22306182859401916,0.2263914450162298,-0.09489511045858588,0.3167165228773763,0.4347100368562186,0.13823691071511163,0.7256381861421876,0.6388795814916695,0.3244160115715645,0.7954792287816499,0.10290950657865766,0.8283279342293436,0.2681778726969711,0.17390543406126094,0.6204811551147027,0.4319241878676638,0.5850651994323659,0.3355719168352768,0.6023224650577909,0.16114137914897148,0.20327046714128366,0.5609408783243678,0.6113947294858618,0.7304841530943603,0.3954946967978024,0.37498260454896126
SN_pc_L,0.39768361537589536,0.3894062313118749,0.22933135225778994,0.2816159814594719,0.5713093710163711,-0.001651878092962649,0.12780354668412536,0.21800979415506638,0.1461688552678704,0.4733993266964775,0.15974018790500807,0.29151717751265394,1.0,0.2090706410210179,-0.0027216918037115995,0.4815984543493937,0.20371194249186975,0.2654115190268409,0.5409858994104794,0.4639390368588731,0.18459622442199006,-0.01900095986890021,0.09165915408484128,0.44664424704451466,0.1006831700867329,0.23962545286198333,0.14339419214087973,0.5097011541538393,0.19422301408794324,0.41881337196665236,0.18463192945181683,0.4247339643863412,0.3467160154753547,0.6733265246690697,0.10673719909080422,0.317209948736112,0.6213838934282672,0.16882189357287827,0.34653638341388115,0.5112297576085875,0.45776550707886837,0.14027744765535158,0.16642093863750124,0.5714222804416412,0.19527060160083823,0.07157708007390001,0.46586803991667564,0.3624759833231084,0.0913350627098568,-0.05363462048441982,0.42444263934715626,0.6194432265940507,0.33037658781562623,0.2395611286440534,0.27316463781148753
Occipital_Mid_L,0.26115988561126224,0.5076301322210336,0.221460106739735,0.37220706796595093,0.4336881251754178,0.39761837083611223,0.5065719487432355,0.5609880302708489,0.2883095235238978,-0.2341992355000075,-0.4296783220740352,0.16031096562483446,0.2090706410210179,1.0,0.23157626757436844,-0.03570916009429587,0.7356365449698212,0.001247172407425918,0.21002691564911014,-0.11089101604370746,0.49599917875863936,-0.3113691191919206,-0.11179253678660626,0.22541739414004558,0.8094180672128265,0.5730204165726361,0.34911649258492444,0.03107857460246731,0.3288877533568683,0.2948507613998418,0.5428246592056029,-0.268958659156374,-0.1600450035909423,0.15084348953952836,0.856181669520146,0.07585701477526247,0.0437665325140479,-0.19139867197084692,0.12367281997854704,0.19886346003612582,0.35959940901672816,0.4499504180543433,0.6751609181064592,-0.15355642343081694,0.3730393534678894,0.3830854037287849,0.3244845733898517,0.3643633081050494,0.8483665140900144,0.2145243913693927,-0.09349735093854458,0.14151823421755289,0.08734167790861812,0.055538093644112795,-0.252330629982765
Precentral_R,0.20457839805783526,-0.08430086819330898,0.10192848477291878,0.5061631779074429,0.16377741976910445,0.8455324745259033,0.7383719848837547,-0.005710799180868582,0.443414244022517,0.05441380451202055,-0.0943149659584402,0.15770601927136527,-0.0027216918037115995,0.23157626757436844,1.0,0.21803990252598338,0.47072339816463105,0.0776434653552954,-0.18597726468352244,-0.37557533117500963,0.5269101107680036,-0.01173753898888195,-0.18621928169929355,0.11437090887325854,0.34137186890870586,0.04518150046489565,0.4232684671843603,-0.28169523991854756,0.12780397154685355,-0.14762124257948153,0.6238007773908084,-0.18856872573824232,0.2921020698743776,-0.191043931546213,0.12147526055318948,0.33396329945878667,0.18128727512765816,-0.10621187617382141,0.17061945624022293,-0.22373509594528185,0.15750117919446416,0.7574314588441887,0.5027400151397736,0.00858503698113058,0.33229469383577964,0.5544355574536115,-0.4353469762666888,0.3979612881818406,0.537038669972251,0.9624776626047707,0.07025597606568615,-0.030219269187001345,0.35589786095718057,0.017386830170300138,-0.16467467418109685
ACC_sup_R,0.2979521552310274,-0.12258158378037243,0.15381249327643198,0.3710089942352166,0.32782653259575917,0.06887942187440625,0.11844059249889491,-0.09081185528217918,0.4384115769999496,0.6007544491474076,0.5605445363502934,0.48827777542109974,0.4815984543493937,-0.03570916009429587,0.21803990252598338,1.0,0.02279926550273312,0.5234761438874364,0.3778676106614745,0.49560260508153553,0.25804669964477195,0.23127116923817106,0.016028054685001212,0.6988371512881171,0.08634316894646521,-0.1432316430573717,0.13703224397555339,0.1405052694802712,0.34980798506997546,0.29952443707795134,0.06816368044847983,0.28990579712628267,0.7153808983876754,0.6895529782644771,0.04420945944001864,0.6528377862797136,0.7295413191675715,0.4068537706491248,0.6115143749487875,0.17386695699800206,0.63095058731844,0.03965033905619617,-0.024928865265466175,0.5324701392625324,0.22759534382062035,0.4609912424747812,0.43140188821991465,0.3934162873863204,0.0005737718386118884,0.19964401614036476,0.49626384539539076,0.5561123535204031,0.5007578232596984,0.35117074914405505,0.2706468890458998
Vermis_3,0.5008768962507898,0.5645996873662747,0.1182036973413708,0.6355236280109666,0.5914980518621368,0.6760744197646907,0.7435971538627016,0.5573841749539734,0.4104555624497774,-0.08921458843041802,-0.34859305457093265,0.30114223742255974,0.20371194249186975,0.7356365449698212,0.47072339816463105,0.02279926550273312,1.0,-0.03204535981888798,0.06876842192519626,-0.16410961011371522,0.6652778983248989,-0.08564168898582034,-0.028153100005281147,0.19198462373118663,0.7522456392717118,0.6219425137653533,0.48864712853619424,-0.10815313379067518,0.30371577429199254,0.35509289293595975,0.7205855696234212,-0.242586648396352,0.028087545177437525,0.08247515438163443,0.5659947035535806,0.3096826910655808,0.1966759742501847,-0.20779661710766265,0.3226973906895953,0.06356858356415764,0.4094099531769591,0.75027148838155,0.7981230436700321,-0.04833582723784369,0.6280922812144557,0.5699811301739914,0.19801496751377687,0.5623126981648594,0.7195839916886883,0.47336126581074484,0.07515444786489534,0.2238697197035106,0.31839736985504585,0.15958504922155878,-0.16329157215930937
OFCant_R,0.22175276525978813,-0.1817685927479343,0.2506591748898232,0.3118370768423679,0.20743337379973403,-0.006778358365218523,0.08474650487925066,-0.05885491146274186,-0.0010159186569054966,0.5029088991063587,0.491307216312649,0.1308339508324789,0.2654115190268409,0.001247172407425918,0.0776434653552954,0.5234761438874364,-0.03204535981888798,1.0,-0.07263941944641572,0.403122093022771,0.22713623733610172,-0.05373523870223015,-0.312919890207385,0.26617571557359326,0.09618922645808405,-0.23770522105769126,0.18223665743082892,0.1147430557543325,0.27552545386435745,-0.015351473495929063,0.11846542871672948,0.5553476900860064,0.7284206709532763,0.44976574449535367,0.054365456990818274,0.45821454248064797,0.5486095207620242,0.6760422829141554,0.4047876520464979,0.15381693122907267,0.2586744267492694,-0.06578187887366872,-0.16443157107218515,0.39055867260089766,0.08040201755817582,0.06908261590349628,0.3108250582669106,0.23991564044344424,0.013204534468665466,0.05590532990751814,0.4121739940526206,0.24037107782166878,0.4157831050832535,0.1495721625772573,0.15843193860909557
Thal_PuA_L,0.3602841712509246,0.4419965908216027,0.18193530987384707,0.14389740408614626,0.47306558816648914,-0.12403252031835922,-0.027671824536038718,0.22059909151048465,0.3867777775147857,0.19422032291422653,0.12150758224805784,0.26946017879628464,0.5409858994104794,0.21002691564911014,-0.18597726468352244,0.3778676106614745,0.06876842192519626,-0.07263941944641572,1.0,0.307709580417729,0.054068572879222135,0.08953853265680883,0.20703642586306692,0.24595817050623198,0.05252563529930523,0.374838894669071,-0.24879373452260392,0.16591567247005926,-0.14030354435319303,0.5986864721060046,0.08172635588284506,-0.030943543861661166,0.03199968854795045,0.4391070706704904,0.13157042136406435,0.0890673477076133,0.2936323562667379,-0.002372009542553148,0.30970447477576163,0.4251357182659232,0.3591519487945982,0.07396445084133096,0.24662631917906655,0.27961836725398337,0.3091234459511439,0.1596003324147016,0.4836399226495245,0.21809762169395427,0.14712009591054676,-0.19184770500224474,0.27157433244415613,0.5111517166855777,0.09763361849298521,0.30325891076117895,0.15970907488160538
Thal_LGN_R,0.22391253076189274,0.2230583998661169,0.18677919182845676,0.15842455212453016,0.20681299749279156,-0.3117977533762731,-0.19763839346473216,0.07410894834776954,-0.10253115646732128,0.6263068810597882,0.5669274523212725,0.22441088093154918,0.4639390368588731,-0.11089101604370746,-0.37557533117500963,0.49560260508153553,-0.16410961011371522,0.403122093022771,0.307709580417729,1.0,0.028541868360935037,0.10537283083850507,0.045878032955425134,0.5101930753145176,-0.058754710432005565,-0.13749113406134003,-0.24130604158010957,0.18703599785326047,0.21117571229652787,0.2472008351272584,-0.18128988959589884,0.43122742088343013,0.3984839986621423,0.819263411036886,0.012588750520150883,0.4103566616714476,0.5438805374841259,0.596366543231887,0.4052435366992026,0.2053568624294279,0.446063120162489,-0.37620040540107047,-0.1884103620070248,0.6295530817763247,0.1714557125709584,0.011712448375462207,0.6268947289681265,0.30469166229199346,-0.33496117341411036,-0.46452631662167665,0.429160898128927,0.6099294856762993,0.30906236592462294,0.26436789672697464,0.39558304831632923
