,Thal_PuA_R,Cerebellum_9_R,OFCpost_L,Cingulate_Post_L,Thal_MGN_L,Cerebellum_6_R,Occipital_Mid_L,VTA_R,Cuneus_R,Frontal_Inf_Orb_2_L,Rectus_L,Occipital_Sup_L,Cerebellum_8_R,Vermis_4_5,Cerebellum_Crus1_R,Insula_R,Putamen_L,Supp_Motor_Area_R,Vermis_10,Lingual_R,Thal_MDm_L,Thal_VPL_R,Cerebellum_Crus2_R,Cerebellum_Crus2_L,Calcarine_R,Temporal_Pole_Sup_R,N_Acc_R,Temporal_Mid_L,Thal_LP_L,Occipital_Inf_L,Thal_PuI_R,Red_N_R,Cingulate_Post_R,SN_pr_L,Frontal_Inf_Oper_L,Thal_MDm_R,Frontal_Sup_2_L,OFCant_R,Thal_LGN_L,Frontal_Inf_Oper_R,Red_N_L,Parietal_Sup_R,Temporal_Inf_L,Cerebellum_7b_R,Thal_VPL_L,Vermis_7,Caudate_L,Heschl_R,Cerebellum_4_5_L,Temporal_Sup_R,Fusiform_R,Thal_MGN_R,Caudate_R,SN_pr_R,Amygdala_R,Cerebellum_10_L,Raphe_M,SupraMarginal_R,OFCmed_R,OFCpost_R,Thal_PuM_R,Amygdala_L,Insula_L,Frontal_Med_Orb_R,Thal_PuI_L,SN_pc_R,ACC_sub_R,Occipital_Inf_R,Cerebellum_7b_L,Frontal_Sup_2_R
Thal_PuA_R,1.0,0.19570060476631249,0.06696700870558955,0.07077191294540318,0.1606749976375543,0.3431901062939117,0.20110443497806632,0.42597126219930465,-0.005849013157095498,0.12310365883250038,0.1620400132317627,-0.08920738885017407,-0.03647446659911577,0.24518147112638305,0.21908337870348935,0.5869084973352235,0.43647353379131215,0.051076172247345876,0.2566003092519677,0.14647472537423814,0.28630525934392165,0.8382035679372533,0.41501581360468265,0.06416258460903723,-0.13088074461837068,0.7594627628627608,0.30572715596109873,0.24071237866713213,0.33581204896531974,-0.029203308483978844,0.1995675410737932,0.5278085034385972,0.3350220057079897,0.5032880212408578,0.2262062638924498,0.461506267154147,0.09583395369151936,0.2454863646488172,-0.19208108604048224,0.4021165599857993,0.6303031251726566,-0.5752774621341441,0.3661693035068526,0.15568937187939053,0.5104098504071887,0.44802773546179925,0.5130472472792401,0.7809893404319151,0.10282662100773948,0.21742433293293303,0.2568160373781984,0.12438375182384616,0.5136584479885647,0.4323170558504277,0.45523159554350895,0.2673103265560299,0.365601252580115,0.029004164350004386,-0.07807165130221122,0.3265087856396046,0.9138795923963344,0.24185201878909487,0.30054243126069363,0.13949828782366427,0.3132032497946075,0.4581286780715359,0.2548438029196597,0.3183133541169911,0.18970852598900104,-0.03314952096481945
Cerebellum_9_R,0.19570060476631249,1.0,0.14267551045833776,0.6762570341270656,0.6071691610561133,0.9119546552963121,0.5884147943996957,0.30256977253992967,0.7842036002091456,0.23552207363891722,0.2584850018376119,0.44488179674651357,0.5188792892602784,0.7611452342361305,0.7556261239470581,0.26812171225142917,0.38992557984946496,0.6828896740170914,0.38070194592894807,0.8235535516145447,0.6677682441318523,0.143892097872186,-0.2094146303258707,0.018934375525789728,0.7646031251334243,0.23690809097746204,-0.12015633040931399,0.6924911764977192,-0.10847080044805453,0.2956531296696198,0.09352094916729865,-0.015767013851878106,0.6161680362623133,0.11360859338166343,0.3513967954521981,0.6715667943066076,0.3628476497735942,-0.11452585527363508,0.12062491597386697,0.5105311795013818,0.4786793664826135,-0.3389779167376691,0.4014833311353872,0.6810253101999444,0.25054890348741443,0.6585743861894736,0.21637452041172775,0.023179774035929405,0.6742165319196092,0.6611871801014026,0.8897918992542301,0.05646939107222661,0.3005244943873343,-0.007796623900859589,0.06992295210235301,-0.21245425404381285,0.22815339734046255,0.2155242580607202,0.2029947862264833,0.32820366166997467,0.31349619715462385,0.05651128438725097,0.283218314035826,0.10765592584140629,0.4763269784616605,0.15479667691987395,-0.16097620007722488,0.4696956530631248,0.13972147043396166,0.6076600328388155
OFCpost_L,0.06696700870558955,0.14267551045833776,1.0,0.20636649447355457,0.3405767789952716,0.22565296790956654,-0.14238345891888363,0.1084373438435341,0.1519978172565226,0.4651041697618909,0.02125567241708498,-0.09352566253971695,-0.007060589260493785,0.3335780471631906,0.06445026592516154,0.296821011232834,0.4531128648961847,0.3092752006374529,0.09150967812412115,0.13409712698990658,0.3713768069132253,0.12854143685997416,-0.16622088246994834,-0.24509239715673356,0.10396143149568811,0.07342838273486381,0.009868752461356713,0.23083430219058373,0.12742874747982497,-0.027727304420813753,0.14862968487166026,-0.1356348384332309,0.3437803156791146,0.32527106215071816,0.3228531172841468,0.32464727457090964,0.39175680280088343,0.14146593038817062,-0.12575751639206337,0.28348964670879234,0.004100525413675381,-0.11083487187173524,0.40120704270070684,0.21854811513922062,0.4192605577669847,0.3095506123057906,0.33905021813413855,0.029832301848003423,0.2889377343027284,0.3948260653907378,0.2726299587339613,0.13913561588339438,0.5198615800641218,0.25408413351753006,0.47176770474031093,0.281009149102945,0.41282287538384677,0.3966976060043188,0.16617657866207106,0.5359438953286095,0.07826233414285572,0.6654205474988306,0.5341129166821172,0.1372379151113804,0.16089954056762995,0.33436418396990786,0.23016060160391863,-0.01125226354140033,-0.21326759278300636,0.2294819163233967
Cingulate_Post_L,0.07077191294540318,0.6762570341270656,0.20636649447355457,1.0,0.5794041199305848,0.5263991716803424,0.49599917875863936,0.2242299279085945,0.71404330378756,0.32219410365983403,0.19377434540251226,0.4786477551575862,0.29496528671529787,0.7776714598907057,0.22473293690596882,0.3887832015378629,0.47660869666984323,0.806031057883397,0.6886804873519536,0.6232012288921044,0.5698072203106482,0.22448682283811147,-0.2126082080913802,0.0675754460804334,0.7072168991426706,0.09925798677997749,-0.11714047060979943,0.7524220999168666,0.12275705876596665,-0.048838786392864486,0.17806351782063248,-0.11611780912410798,0.8109494830478259,0.22432201858524592,0.5649722202602084,0.6743965410068778,0.6995307937214017,0.22713623733610172,0.39969844009155003,0.6961248018483976,0.31897857848466854,0.019432886406465857,0.448580123841925,0.6413900380720363,0.26660208374770605,0.366592219862427,0.4674028779826729,-0.039844290750375266,0.8455519035352551,0.7686000091316932,0.6460616203760726,0.1512518805074654,0.5123534915083633,0.10935170098239862,0.12263407441808569,0.2286717952272265,0.42023617635560007,0.4624044927308688,0.17460636786083997,0.4778808214859626,0.2311969334073666,0.18892796911240164,0.6238686411640028,-0.1120948769565962,0.25117271407937247,0.2878884645205928,-0.061121201570369925,-0.0044460276525716495,0.07214681033474908,0.8426526342877423
Thal_MGN_L,0.1606749976375543,0.6071691610561133,0.3405767789952716,0.5794041199305848,1.0,0.5800736347410327,0.23998301429008168,0.11067711506927132,0.5638992967636852,0.6256340647713301,0.14449275410055573,0.2347694803426213,0.28295736207796257,0.6233089773583677,0.39689467785419,0.5399068584990692,0.6975907701370856,0.5833562023102742,0.5138609144009114,0.5173160391008946,0.758614125002716,0.1959753647363434,-0.21925038648650474,-0.21487691403543052,0.5734844418256361,0.1581966083299499,0.2587778058123521,0.6357258343897663,-0.001133509951003231,0.12004008405997924,0.12774873679730658,0.11996617473470414,0.6691967582928736,0.41439591116214053,0.573520655972565,0.7617800472993914,0.41767843913799707,0.0948676343486286,0.4858175887528691,0.6221473670019314,0.3470986184000895,-0.19119436944096874,0.5199177436813336,0.5805497115310878,0.28079419125327537,0.6322204747621722,0.47493759480231157,0.024561574547444395,0.7272410874807247,0.7225665082452879,0.6758654831872704,0.3318120587537655,0.5184132931262193,0.11415862119639995,0.2079770118090754,0.15096837127816878,0.5001364362476312,0.4003117904313645,0.1749045222899729,0.4706050178938553,0.20827517055194605,0.4756223875469135,0.5301636999374467,-0.032838618841786994,0.34037692906625583,0.14664023261192646,0.1029561141572019,0.17839167395769928,-0.08349589747004342,0.5534151964189793
Cerebellum_6_R,0.3431901062939117,0.9119546552963121,0.22565296790956654,0.5263991716803424,0.5800736347410327,1.0,0.43204089024730663,0.3893783391033245,0.7281867221768756,0.2223562954564917,0.22753093895148802,0.3159565091135603,0.5348166272105414,0.791885988189863,0.7873694244751951,0.2647775056225552,0.36942076468230295,0.6529108836661686,0.2410495902949331,0.8514205115189336,0.6282650020464796,0.2191381451567774,-0.15900618039726422,-0.04814912242633014,0.724498035507268,0.2994920194229488,-0.1887164565867402,0.6498452568594386,-0.1310793973968451,0.33192474154827234,0.026055282648926443,0.02557173662244837,0.623953623481859,0.21390795642418667,0.35407737842456105,0.6489077274747497,0.30745667756526257,-0.17918255713157413,-0.0983315295145636,0.5196639272049279,0.5301693996231444,-0.5155556061301528,0.5321876422701345,0.5700976310658177,0.3786566192046387,0.7932412263849273,0.21920307431262775,0.13551678106371273,0.6340019049101604,0.6478949747228049,0.9328547598135307,0.020752335142221297,0.366330213678979,0.12261681493355793,0.18229648516073965,-0.14875937924895824,0.2468286664446446,0.21356220429512207,0.2242758214991909,0.33595369950743215,0.4075167707999773,0.11177969394907582,0.273161956370334,0.18275011067374583,0.5807848659954497,0.2836629426328298,-0.1655762474522439,0.5677075436775384,0.013439960134523452,0.4912827149746106
Occipital_Mid_L,0.20110443497806632,0.5884147943996957,-0.14238345891888363,0.49599917875863936,0.23998301429008168,0.43204089024730663,1.0,0.33196794065035384,0.6751609181064592,-0.016451620490672423,0.221460106739735,0.8483665140900144,0.31941143729914984,0.3730393534678894,0.38717071634844785,0.22392033722956947,0.07638682253903303,0.4161126166007356,0.4396295345887837,0.5556098694445258,0.4149581281234532,0.15084348953952836,0.03380479116585048,0.2775135346441801,0.46654522658391756,0.3244845733898517,0.03107857460246731,0.5124465490382717,0.09093079751628454,0.34209932897914896,0.24300411632117824,0.21274759373038832,0.31223024085612444,-0.15355642343081694,0.15666511940978428,0.4336881251754178,0.18708717741648792,0.001247172407425918,0.34911649258492444,0.4521283842046362,0.49571061266828115,0.22318565264152307,-0.036190817324121535,0.28514422939478257,0.06355218070590038,0.10931233636852186,0.0437665325140479,0.08571037314016428,0.422725341145524,0.3982203123530297,0.3696390323190669,0.10708009917785181,-0.014080626680087385,-0.06262393212363357,-0.19432517439432007,-0.23112328931919615,-0.09349735093854458,0.2883095235238978,0.03458196932830203,0.22187234909086254,0.3547777263355659,-0.252330629982765,0.07585701477526247,-0.11179253678660626,0.3324370104660235,0.06006431745571944,-0.268958659156374,0.3485053903799428,0.5951459150672174,0.4250477853163961
VTA_R,0.42597126219930465,0.30256977253992967,0.1084373438435341,0.2242299279085945,0.11067711506927132,0.3893783391033245,0.33196794065035384,1.0,0.2137491371419192,0.1417660653576308,0.1925224035853779,0.3014315071788592,0.18787844998037326,0.28509295459070494,0.21043578323400636,0.4186900289614391,0.2116684355226866,0.23468771876121314,0.261449065778257,0.44773290066791377,0.20526129817762925,0.46698231374322646,0.2344226490307203,0.2521150102815287,0.21010728150853517,0.5039840138157572,0.04804725086946575,0.2841195983644554,0.298384351363267,0.10247031171378618,0.11482361260799759,0.4691061949237463,0.3243808594397305,0.44217779087788067,0.4389107025267608,0.3235193625651528,0.32919533902143056,0.17250638424805323,-0.052277664163193564,0.3650696729411246,0.6981855720646217,-0.18834150183439644,0.16993650130596172,0.062225520062630074,0.4639004101230183,0.3566599767365263,0.3657179588380624,0.4560175586747224,0.2507182280378967,0.3713537788015927,0.3633820696296871,0.19097261611026844,0.4268410989528317,0.576322920241962,0.2490242975717638,-0.011286683033761576,0.17266939837382983,0.1931451957226531,-0.17028508621595606,0.12518592684032193,0.5271607931018057,-0.12110581236463477,0.302229929897684,-0.11477752692840244,0.24952817341379077,0.6431803025450085,-0.04819037097653067,0.261632809077661,0.26004991987324205,0.24006608452500844
Cuneus_R,-0.005849013157095498,0.7842036002091456,0.1519978172565226,0.71404330378756,0.5638992967636852,0.7281867221768756,0.6751609181064592,0.2137491371419192,1.0,0.1796553230725269,0.15824349907104854,0.7284773921181505,0.5475231843192357,0.7498579680516381,0.5349024468424498,0.10806539519334156,0.21922248144987116,0.8160182896176807,0.41516035073371066,0.8134702480918113,0.609806680597944,-0.0012446690436121058,-0.2524128512582391,0.08818360655190809,0.8581614501224694,0.07666320596729674,-0.2782459856823653,0.710547815391992,-0.058044854154677125,0.3456311252586941,0.12966204019356417,-0.13892395996538678,0.6348670325117916,-0.0927467317804265,0.34343965773157,0.6208740921237105,0.46982677730360295,-0.16443157107218515,0.31516246764688766,0.6070750536094971,0.35303316815466745,0.09452571985325776,0.35922541869746233,0.484418176291973,0.2264213322043599,0.4318953621664231,0.086646571644511,-0.20812809438483204,0.7762505149457004,0.7113074123349454,0.7616601400533535,-0.045770082399170235,0.1684338318398004,-0.12954458271657748,-0.13790863410240262,-0.051993365344341166,0.12373249271402444,0.548476429680663,0.25712957431936995,0.2953111516652797,0.16333982663987187,-0.005904200714874376,0.2757774610663703,0.05790305996497832,0.5126513193896443,0.10494459882762126,-0.27688914652972113,0.3182000136840193,0.16906169642194294,0.7451308608459527
Frontal_Inf_Orb_2_L,0.12310365883250038,0.23552207363891722,0.4651041697618909,0.32219410365983403,0.6256340647713301,0.2223562954564917,-0.016451620490672423,0.1417660653576308,0.1796553230725269,1.0,0.17234242276317108,0.07223410057488466,0.013715558305404774,0.25564913521167415,0.13926247649129564,0.6025674931868292,0.6658963246354224,0.30689133453050665,0.3366552076930333,0.3234741796552838,0.45000475444221644,0.2898639759339479,-0.1394241811363747,-0.1293237698881819,0.3025584624217058,0.03973702361142987,0.45258522214750063,0.49999947775448417,0.22724790517093515,0.07842325771922147,0.11686940590642327,0.36522102819922125,0.3209036180567891,0.6378979772489954,0.6957345321873686,0.49048821371214846,0.5077069758028426,0.23124850907552355,0.24518474048258418,0.4273864620064464,0.36383735490105545,-0.03950829376041917,0.5752180521940643,0.3200337092062121,0.512352930928208,0.38714495731175474,0.6663954530583575,-0.0787192758888506,0.49525483641712953,0.4993652897500355,0.41722156928850745,0.5212301400108212,0.5431877239451952,0.3704734642687552,0.2891328194599567,0.2842143595365253,0.5432699914063296,0.25702389437127154,0.09502004605057042,0.36875195099723673,0.16786082663410043,0.5270797738528987,0.5881070446202127,-0.055795488125902376,0.2941934996501155,0.18199417786992797,0.3401005878330982,-0.034497629228088154,-0.2820096746817301,0.43393755186614696
