,Red_N_R,Calcarine_L,Cerebellum_Crus1_L,Temporal_Pole_Mid_R,Cerebellum_8_L,Olfactory_L,Thal_VPL_R,Cerebellum_9_L,Thal_PuL_R,ACC_sup_L,Insula_R,Hippocampus_R,Cerebellum_Crus1_R,OFCpost_L,Rectus_L
Red_N_R,1.0,-0.1746463486037365,0.19799090798343577,0.41687608904479984,0.11781067466298806,-0.13025076996163137,0.494075323587734,0.06921131957948175,0.41839438473556934,0.3910594507218174,0.5493497882086603,0.4119533805520809,0.18538474167572835,-0.1356348384332309,0.1458483145347954
Calcarine_L,-0.1746463486037365,1.0,0.6554526245978162,-0.35417760212896515,0.592430525706883,0.05692183814810998,0.006601346806268889,0.703870381837607,-0.03236282903963042,0.09136267094834939,0.040724028202240574,0.23461247500690818,0.5326241549520464,0.1383687553202203,0.21637526102733212
Cerebellum_Crus1_L,0.19799090798343577,0.6554526245978162,1.0,0.08939338236070889,0.8012754760005779,0.001355339710430608,0.2989361484738753,0.7972884415578232,0.11268917021741329,0.04425931553721461,0.2856504024846572,0.4109225930985055,0.8175655727940747,0.10122669536725377,0.1874055759527147
Temporal_Pole_Mid_R,0.41687608904479984,-0.35417760212896515,0.08939338236070889,1.0,0.07711075782094401,0.022717509759470945,0.48800916005074146,-0.07905253468376872,0.28542845651816623,0.1816955493520841,0.2733804255815291,0.17184954207391018,0.008155686076883233,-0.060797757460694345,0.13383441348543504
Cerebellum_8_L,0.11781067466298806,0.592430525706883,0.8012754760005779,0.07711075782094401,1.0,0.14057032475627723,0.39551324964916873,0.7983374101018531,0.3064118127271945,0.2845171149157009,0.35218265094947465,0.5381984131443714,0.6523116132546032,0.3561739870945721,0.2074769117692121
Olfactory_L,-0.13025076996163137,0.05692183814810998,0.001355339710430608,0.022717509759470945,0.14057032475627723,1.0,0.35128148035606865,-0.08085484068302014,0.1795488839300553,0.4067582493897587,0.4304870952572382,0.468142685463329,-0.13022202417612935,0.7209481438449717,0.13294399344525626
Thal_VPL_R,0.494075323587734,0.006601346806268889,0.2989361484738753,0.48800916005074146,0.39551324964916873,0.35128148035606865,1.0,0.06563384608772806,0.6711389473427883,0.7274116653488489,0.6721262967271695,0.6658863747081373,0.042174228617089186,0.12854143685997416,0.21426266502201488
Cerebellum_9_L,0.06921131957948175,0.703870381837607,0.7972884415578232,-0.07905253468376872,0.7983374101018531,-0.08085484068302014,0.06563384608772806,1.0,0.001837860479470995,0.06457594750405157,0.13414484508118013,0.3001846771500122,0.7878200938548395,0.11696505959770363,0.21438915793080188
Thal_PuL_R,0.41839438473556934,-0.03236282903963042,0.11268917021741329,0.28542845651816623,0.3064118127271945,0.1795488839300553,0.6711389473427883,0.001837860479470995,1.0,0.7504119256055524,0.6168557888509838,0.54214152978156,-0.07170922008153213,0.11098754469878438,0.15562573026688453
ACC_sup_L,0.3910594507218174,0.09136267094834939,0.04425931553721461,0.1816955493520841,0.2845171149157009,0.4067582493897587,0.7274116653488489,0.06457594750405157,0.7504119256055524,1.0,0.6228473729732379,0.6349788645032218,-0.15266114159321167,0.28031213953565853,0.19952149081916898
Insula_R,0.5493497882086603,0.040724028202240574,0.2856504024846572,0.2733804255815291,0.35218265094947465,0.4304870952572382,0.6721262967271695,0.13414484508118013,0.6168557888509838,0.6228473729732379,1.0,0.8242511903132567,0.133227321762204,0.296821011232834,0.21243777990065266
Hippocampus_R,0.4119533805520809,0.23461247500690818,0.4109225930985055,0.17184954207391018,0.5381984131443714,0.468142685463329,0.6658863747081373,0.3001846771500122,0.54214152978156,0.6349788645032218,0.8242511903132567,1.0,0.30424094303545085,0.4079825336212429,0.17977355055612534
Cerebellum_Crus1_R,0.18538474167572835,0.5326241549520464,0.8175655727940747,0.008155686076883233,0.6523116132546032,-0.13022202417612935,0.042174228617089186,0.7878200938548395,-0.07170922008153213,-0.15266114159321167,0.133227321762204,0.30424094303545085,1.0,0.06445026592516154,0.12570166929348198
OFCpost_L,-0.1356348384332309,0.1383687553202203,0.10122669536725377,-0.060797757460694345,0.3561739870945721,0.7209481438449717,0.12854143685997416,0.11696505959770363,0.11098754469878438,0.28031213953565853,0.296821011232834,0.4079825336212429,0.06445026592516154,1.0,0.02125567241708498
Rectus_L,0.1458483145347954,0.21637526102733212,0.1874055759527147,0.13383441348543504,0.2074769117692121,0.13294399344525626,0.21426266502201488,0.21438915793080188,0.15562573026688453,0.19952149081916898,0.21243777990065266,0.17977355055612534,0.12570166929348198,0.02125567241708498,1.0
