,Frontal_Inf_Oper_L,Red_N_L,SN_pr_R,Thal_PuA_R,Occipital_Sup_R,Temporal_Inf_L,Amygdala_L,Lingual_R,Cerebellum_Crus2_R,Vermis_1_2,Parietal_Inf_R,SupraMarginal_R,Thal_VL_L,N_Acc_R,Olfactory_L,Frontal_Sup_2_R,Putamen_L,Cerebellum_Crus2_L,Vermis_10,Raphe_D,Thal_LGN_R,Frontal_Mid_2_R,Parietal_Sup_R,ACC_sup_R,Rectus_L,Thal_MDm_L,Precentral_R,Postcentral_R,Vermis_6,Thal_LGN_L,Vermis_9,Temporal_Inf_R,Cerebellum_10_L,Cerebellum_3_R,Insula_L,ParaHippocampal_R,OFClat_L,Putamen_R,Occipital_Inf_R,Vermis_4_5,Cerebellum_6_L,Thal_PuM_L,Thal_MDl_R,ACC_sup_L,SN_pr_L
Frontal_Inf_Oper_L,1.0,0.5033693137880882,0.46923719476850606,0.2262062638924498,0.22872223794262955,0.5994106345669505,0.2821154115374984,0.5222370682714388,-0.08257421619890482,0.535073587067236,0.37748727233443996,0.4971026119200815,0.7111773139447509,0.21524947174068634,0.4108183386067769,0.6574433101393937,0.6547837647599074,-0.1264334068686432,0.5514158819741929,0.578640439519888,0.18015081335894206,0.706682755475087,-0.02306955624478324,0.5640149188494117,0.19078960228213532,0.43884326681771696,0.45991120913601663,0.4799634050566107,0.21012469620528942,0.27518734555682656,0.4158235030419594,0.3347951386859764,0.40715457583264225,0.5434699312443986,0.7748064813763663,0.6629327212107747,0.562518952535121,0.8045219069735863,-0.008122534756148981,0.5703321566030891,0.5163462452324582,0.5412181342808711,0.3610610785553537,0.72098686311134,0.64537697634623
Red_N_L,0.5033693137880882,1.0,0.5034461301008841,0.6303031251726566,0.40066087547221363,0.3283760738746909,0.04031973314889564,0.5600520200903177,0.2513045231732757,0.6186951777663922,-0.02602541548997646,0.23393552115370783,0.5739505439250994,0.313478638640097,0.04227117929729583,0.31016860666330603,0.4784090805368573,0.15437231121137548,0.41632026741510986,0.31259934961232,0.42150490456429457,0.4093280700060614,-0.24752042760147974,0.37356410821392805,0.2710105077537027,0.5020608353014104,-0.009948272760231738,-0.06481924246628376,0.21673687224467544,0.0829880580751627,0.5744383669086115,0.5805914890907229,0.054484337797906034,0.24732372234180272,0.33149873036358063,0.25543472549702684,0.0037903387327272125,0.3649986012926919,0.41684723628103265,0.38286062774099094,0.5937537531736022,0.7370909579429112,0.662191065174598,0.48362973194729497,0.5186838115952606
SN_pr_R,0.46923719476850606,0.5034461301008841,1.0,0.4323170558504277,-0.11743782865837306,0.3552134386337728,0.28058766313076794,0.16202256850986446,0.09626577788883584,0.1934153020804499,-0.1869232655404338,0.08966879992227643,0.3327689180745581,0.17367441466046843,0.5610141785763281,0.06229219917706446,0.3294858762820017,-0.007127589872942295,0.18265980957960834,0.49624319972434805,0.5511584700757131,0.24210248705954635,-0.263275007316074,0.44827681220948284,0.13759488865476444,0.10994192993076486,-0.04265488531823778,-0.08404017309032326,-0.1183756296155127,-0.14352384801962675,0.31712078150501166,0.2205006983668603,0.3434485603686565,-0.08939114424129121,0.4868294202608056,0.22871269247859263,0.11683733678897952,0.4949378706995422,0.04425902398015691,0.16704801516014434,0.17385815809481658,0.34659287599564714,0.24568254701628445,0.46828964217942687,0.6635541176821389
Thal_PuA_R,0.2262062638924498,0.6303031251726566,0.4323170558504277,1.0,0.10651176923563323,0.3661693035068526,0.24185201878909487,0.14647472537423814,0.41501581360468265,0.5146558917485297,-0.45062804427715125,0.029004164350004386,0.4946968106270523,0.30572715596109873,0.19485756378858493,-0.03314952096481945,0.43647353379131215,0.06416258460903723,0.2566003092519677,0.48972675144123173,0.7896075393334184,0.18060757167516456,-0.5752774621341441,0.41468170550369515,0.1620400132317627,0.28630525934392165,-0.4624418129607368,-0.5074171151121293,0.012557912494437882,-0.19208108604048224,0.31137978554974577,0.43301042385199634,0.2673103265560299,-0.2825458373205347,0.30054243126069363,0.07627363708334652,-0.18978685848147875,0.25110057080857245,0.3183133541169911,0.24518147112638305,0.36763610810519587,0.5530570213798218,0.7376683780303571,0.45139009926016654,0.5032880212408578
Occipital_Sup_R,0.22872223794262955,0.40066087547221363,-0.11743782865837306,0.10651176923563323,1.0,0.07161331277997235,0.049604281949360805,0.5653233413771882,0.009375952626724797,0.4555120947232435,0.6041032570919437,0.6126185290787833,0.27864878433385254,-0.008635070750301503,-0.23190397664542012,0.47442405763460677,0.1884345347052911,0.120024127033672,0.367126347357297,-0.2656193212318004,-0.14734004687909402,0.3962824231822089,0.3177449409866975,0.05862958981341137,0.11299157143388365,0.5308718150388081,0.2904084694703369,0.32022348137600704,0.4414194185419848,0.3424609810540242,0.41674886642384645,0.4271339320493737,-0.009724587593721263,0.4838352682871098,0.19701848776756495,0.3680891909057808,0.0467058087270773,0.10724269978729015,0.34364043316729764,0.45086944410480806,0.4987639749088494,0.5537833204227861,0.21271295632759465,0.14488878404376668,-0.15551012214053628
Temporal_Inf_L,0.5994106345669505,0.3283760738746909,0.3552134386337728,0.3661693035068526,0.07161331277997235,1.0,0.39749162628395035,0.5173464976575767,-0.13839513932459002,0.5868387003687414,0.09501029948595392,0.24962658857679929,0.6073255573345467,-0.0740118978686108,0.5796271953123583,0.5087283144157853,0.4910882143609316,-0.15985673067371697,0.3754292772737477,0.6574753016824815,0.46308720040775253,0.6118121434213382,-0.41198399349730874,0.2669416333924927,0.2058828491951237,0.3342923048033991,0.24105641587534973,0.22029870186108363,0.30003111872321003,-0.11756424449471926,0.24885316786375883,0.4700072725709542,0.3818258013437278,0.3507949511995373,0.6103566935262096,0.596452115223545,0.48875075412242475,0.6059500419678595,-0.04322112634893945,0.6125038136767286,0.6907826637506139,0.33886007350170394,0.4199641082301328,0.3878696029904194,0.6180527841035476
Amygdala_L,0.2821154115374984,0.04031973314889564,0.28058766313076794,0.24185201878909487,0.049604281949360805,0.39749162628395035,1.0,-0.08473180639776787,-0.10459535103188203,0.2130316982953298,0.03252368034113471,0.3229577012139159,0.3687793392224304,0.41533794976334537,0.6314484352161025,0.10971990249817437,0.7013829151996905,-0.26508162754134934,0.20493381656410264,0.4744188466678721,0.39558304831632923,0.24626041763866552,-0.23160215278304236,0.2706468890458998,-0.045804780072177864,0.4766029296513639,-0.16467467418109685,-0.08883413558138831,-0.19537619732408976,0.08975858026245025,0.0579631786197013,0.29571848638802056,0.5423004636896418,-0.08926181407445206,0.564876096861361,0.6198060277292763,0.3328505907917066,0.48272949206945187,-0.04084931546785586,0.21762142241766716,0.12432136774101506,0.17925254137554816,0.3210208464487585,0.27567999302845103,0.4723054293242424
Lingual_R,0.5222370682714388,0.5600520200903177,0.16202256850986446,0.14647472537423814,0.5653233413771882,0.5173464976575767,-0.08473180639776787,1.0,-0.17119611986981656,0.682333555265995,0.31617267491673595,0.3151072538175364,0.44995978272744724,-0.23844039625257857,0.05808146103265071,0.6671110647667039,0.2531623265509776,0.03513788186689022,0.34277406763685486,0.10436381101800793,0.01169049256890743,0.6958199342560197,-0.1741438611923381,0.02589432134389389,0.2631558231414099,0.4896663230613693,0.4167069016430195,0.3687263949818636,0.7558772286862842,0.08521799786398404,0.6299779423466418,0.7118979224632989,-0.13694877573622116,0.7725157274559474,0.34644893824133377,0.5167217119706381,0.317784573068072,0.3898271924875818,0.40828537633131906,0.7755978944320774,0.8953393228953342,0.5114982994589647,0.3052390121050914,0.19589572256611779,0.2178473507670059
Cerebellum_Crus2_R,-0.08257421619890482,0.2513045231732757,0.09626577788883584,0.41501581360468265,0.009375952626724797,-0.13839513932459002,-0.10459535103188203,-0.17119611986981656,1.0,-0.019407731886234496,-0.27117354797124277,-0.11942666122734151,0.027741277578651507,0.15892150005519617,-0.13329189766516408,-0.23274615419732447,-0.006431411730450713,0.2742479462894519,0.02154830243326312,0.05573831277563467,0.3495424672374198,-0.2243668207920114,-0.0657310347639429,0.29746596812025417,-0.13903888606260698,-0.16168285295970328,-0.23812512705866073,-0.3103617772891035,-0.26460930597902543,-0.054366832668642215,-0.0796057511214229,-0.12744135648351243,0.050551834211471504,-0.35462299940574404,-0.034827149096519815,-0.3556770902741086,-0.2882420455092573,-0.13211905405283025,-0.019131019371075062,-0.21016244326089897,-0.1413726452790856,0.1694628951140372,0.2676100209943451,0.19616829701421362,0.13375785691662392
Vermis_1_2,0.535073587067236,0.6186951777663922,0.1934153020804499,0.5146558917485297,0.4555120947232435,0.5868387003687414,0.2130316982953298,0.682333555265995,-0.019407731886234496,1.0,0.13755302765540184,0.4135189517553264,0.70331364438736,-0.009752642425128084,0.24988544962660159,0.654183012671302,0.6083139944347231,-0.08375230923359742,0.6086192020235857,0.455854853887607,0.2962154292683002,0.7233992221069376,-0.39562401413262605,0.28876825785267046,0.2779123823418356,0.7090464351083148,0.11555142913815822,0.13465788745913737,0.6343005832478268,0.07251085440857186,0.6038185595894997,0.7565630718241213,0.14681023908955276,0.4956585433857483,0.5156581392911223,0.6129221161579399,0.315345202692279,0.5307017927813418,0.2959509266874074,0.7838376355940354,0.8284069328597425,0.6600953842017387,0.6796963691451503,0.4338375747031737,0.3613664331911098
