,SupraMarginal_L,Temporal_Inf_L,SupraMarginal_R,Thal_PuA_L,Occipital_Sup_R,Frontal_Sup_Medial_R,VTA_L,Temporal_Mid_L,Angular_L,Parietal_Inf_L,Thal_PuL_L,Thal_PuL_R,Postcentral_L,Thal_PuI_L,ParaHippocampal_R,ACC_sub_L,Thal_LGN_L,Pallidum_R,Parietal_Sup_L,Raphe_D,Insula_L,Supp_Motor_Area_L,Thal_VL_R,Supp_Motor_Area_R,Cerebellum_4_5_L,Rolandic_Oper_R,Thal_AV_R,Cuneus_L,Occipital_Inf_R,OFCmed_L,Frontal_Med_Orb_L,Cerebellum_6_R,Frontal_Sup_Medial_L,Olfactory_L,Cerebellum_10_R,Cerebellum_3_L,VTA_R,Calcarine_L,Vermis_3,Lingual_L
SupraMarginal_L,1.0,0.27526297930005966,0.58654354980025,0.22455272180218253,0.7068022724809772,0.27819935395156375,0.42982336539858307,0.6384432912450169,0.7470633527209495,0.8915557256340269,0.37055169195643184,0.35061973722469914,0.5760170132356676,0.40501559163640355,0.5366407270456236,-0.017050329181305862,0.2805526304571915,0.384887207837265,0.6529503270555734,0.11642129619178111,0.46123750693943527,0.6374317773660744,0.5037894889114182,0.7543738991175586,0.702897723505496,0.5481927386997534,0.1646163279710442,0.6193567629359026,0.24989647741752533,0.09234592914927159,-0.4158754504896753,0.5767274265045221,0.5780507678484501,0.02551605474924166,0.46478205791192406,0.6448759433124379,0.2740845149949921,0.5904676438561086,0.6789872516441908,0.5345420456583018
Temporal_Inf_L,0.27526297930005966,1.0,0.24962658857679929,0.23774444733425512,0.07161331277997235,0.36715733428555664,0.4441972716780236,0.7697734770294191,-0.14385990635150744,0.08731005085452061,0.17944216836310953,0.20729764625012895,0.08359616560207012,0.33342706537653644,0.596452115223545,0.3602593166761734,-0.11756424449471926,0.5615931302954646,-0.2250051594127789,0.6574753016824815,0.6103566935262096,0.4486843689898521,0.6269078061080566,0.5499868046170424,0.597934297726831,0.3749765368935473,0.1612435412958551,0.10259575995016688,-0.04322112634893945,0.23328543716708866,-0.24663908246673769,0.5321876422701345,0.5263413413177518,0.5796271953123583,0.5094951987400553,0.6221642668858566,0.16993650130596172,0.5177451941604123,0.23533707549597738,0.2119850420596837
SupraMarginal_R,0.58654354980025,0.24962658857679929,1.0,0.3867777775147857,0.6126185290787833,0.5141692035630682,0.39883613130234435,0.36431424444805777,0.3539755619739607,0.48540609712965455,0.47262092484190116,0.30313466705417136,0.4012141506239874,0.5043631802379718,0.5300957372327918,0.011325531567951326,0.32655236509742225,0.3632016084357649,0.4873128629785187,0.0962346612049259,0.4893595623325847,0.4694998801060403,0.5886211287210632,0.5952204679351231,0.6234052614866659,0.499817476579575,0.46295506450367757,0.4887373189807038,-0.0017313643322987376,0.09534810013233813,-0.24382500317180122,0.21356220429512207,0.3737170015247656,0.13011829140575593,0.2519471248512565,0.501718767448034,0.1931451957226531,0.35332682407831817,0.4104555624497774,0.33898539062401134
Thal_PuA_L,0.22455272180218253,0.23774444733425512,0.3867777775147857,1.0,0.2854895260114174,0.2167435028146874,0.31872144750164805,0.15478249008358072,0.13157042136406435,0.05252563529930523,0.32899430786237943,0.24595817050623198,-0.18825547776104037,0.7035900548284306,0.141604401661978,-0.040355167979308146,-0.24879373452260392,0.07502978413802955,-0.07964835417681375,0.19422032291422653,0.0890673477076133,-0.03715466931632983,0.45898366267770246,0.14435047283050068,0.22121908370619972,0.3591519487945982,0.32711528423906144,0.188922726005185,0.5180039410661899,0.11012502907630518,-0.15444983577499258,0.43296507302400505,0.13939076876757667,0.0718919203191036,0.34072710750014723,0.4774352981007427,0.45978298593620986,0.26957737819500205,0.06876842192519626,0.20282365284830403
Occipital_Sup_R,0.7068022724809772,0.07161331277997235,0.6126185290787833,0.2854895260114174,1.0,0.1688885152851566,0.24720440637241645,0.4495332888938932,0.7690655565416447,0.7892395690565388,0.2907360267613355,0.25290526818769293,0.5285225109588103,0.4902003702945275,0.3680891909057808,-0.2145061845751883,0.3424609810540242,0.1780417888638332,0.771011899440154,-0.2656193212318004,0.19701848776756495,0.4771061624398395,0.26184338257265266,0.5634633033582214,0.5011799357908635,0.3864653518875562,0.1609703228738354,0.649655781026547,0.34364043316729764,0.1238467033214757,-0.19858932285906686,0.472747030054652,0.2704213078887016,-0.23190397664542012,0.335220413264967,0.4373192000196112,0.2534768918402109,0.5032729092647634,0.6954790023697601,0.6089663383750711
Frontal_Sup_Medial_R,0.27819935395156375,0.36715733428555664,0.5141692035630682,0.2167435028146874,0.1688885152851566,1.0,0.49255692912301097,0.3036149707228159,-0.034621716237810796,0.1784334644219246,0.5624676784821487,0.4038989918750602,0.31868020492894455,0.16327642136058662,0.3105601909958163,0.30845452835804876,0.1594043971046756,0.26650533119626624,0.08281330721369858,0.4258990518836868,0.6567514771265607,0.3345294027129666,0.6761089815278778,0.43368238547254234,0.48164470250852554,0.477582159558693,0.4608905149049165,0.1689956697919717,-0.19087729116785437,0.09533253593435617,-0.12340745531058675,0.17028849341576116,0.6743368572047251,0.4447904435470441,0.13560727626742772,0.5722599920755654,0.2966263585111665,0.22666542963920977,0.30182702354968777,0.18048245702249627
VTA_L,0.42982336539858307,0.4441972716780236,0.39883613130234435,0.31872144750164805,0.24720440637241645,0.49255692912301097,1.0,0.3934931297540573,0.24975073973241046,0.3712250355728954,0.4171985948314408,0.4449229184922556,0.17076847620441604,0.27791395372135486,0.5092527390314809,0.10407574374396274,0.16786720880120243,0.479102530702735,0.16361783270564634,0.5465778925602737,0.5957058926458115,0.25094141687306176,0.6923847310403917,0.4101598792056508,0.4963083504820895,0.5553583761078785,0.31405563037661305,0.12306396428426886,0.05872697652938715,0.21143170861503122,-0.00782641473825639,0.34752057956643156,0.46292797726071294,0.3907365629224489,0.4868742695702203,0.5938707368113754,0.17056219538090883,0.1725699483122644,0.264468750035329,0.12761864226960917
Temporal_Mid_L,0.6384432912450169,0.7697734770294191,0.36431424444805777,0.15478249008358072,0.4495332888938932,0.3036149707228159,0.3934931297540573,1.0,0.34636371158053303,0.5762473484128198,0.24330842491162094,0.2320183632430593,0.5079788514448705,0.36078837284587717,0.6749854601442852,0.2971052110327281,0.21907348485447156,0.6313144427928721,0.28842935083187654,0.3997697833295596,0.5880892426197987,0.7473337738371038,0.5787837126552869,0.756724522654847,0.8134118920029402,0.47390904190782246,0.133890312763014,0.5183656227215856,0.05239274360234049,0.17008938978213042,-0.4310621531138406,0.6498452568594386,0.7009152930164798,0.2677095066722671,0.44749074958639956,0.7393596879796361,0.2841195983644554,0.7692971792283557,0.6911103370035804,0.6752724599131852
Angular_L,0.7470633527209495,-0.14385990635150744,0.3539755619739607,0.13157042136406435,0.7690655565416447,-0.034621716237810796,0.24975073973241046,0.34636371158053303,1.0,0.8617372062699524,0.24344342787152684,0.3028687177719362,0.45107944150527535,0.2342720398539347,0.2188219168175992,-0.16738132751648818,0.34599771099036214,0.07405949035395462,0.8610553352396467,-0.225928253113453,0.12548270497710878,0.299745529915821,0.15132059476744494,0.3625016060450954,0.3499054029139911,0.37822424434265844,0.14071146783181482,0.4947955817999266,0.25723009106892825,0.06332780824833052,-0.1403649470396056,0.26444107006552753,0.22403765789933736,-0.2631131433951933,0.2778570283197522,0.2614826442988137,0.18605927218197052,0.2804672223121701,0.5659947035535806,0.43933376914178285
Parietal_Inf_L,0.8915557256340269,0.08731005085452061,0.48540609712965455,0.05252563529930523,0.7892395690565388,0.1784334644219246,0.3712250355728954,0.5762473484128198,0.8617372062699524,1.0,0.2706199544865029,0.2722724764836155,0.730768205014304,0.2642250682720861,0.5150421363414917,-0.03502996148183445,0.45474792966652966,0.3620316889114648,0.8628530697871858,-0.045743278940875785,0.3805857347697709,0.6537032046197122,0.3710241470459202,0.6866432821982767,0.6523757173433856,0.4691784160641319,0.11854499317274256,0.6600294770464366,0.22167945578024306,0.08949609914009808,-0.2801143771051061,0.4836648937951275,0.5236379744094126,-0.08490992657357456,0.38890568094941375,0.48920242546688036,0.20789808478122712,0.5423318971342,0.7522456392717118,0.6186922040479741
