,Frontal_Inf_Orb_2_L,Calcarine_L,SN_pr_R,Thal_MDl_R,Thal_VPL_R,Precentral_R,ACC_sub_L,Thal_MDm_L,SupraMarginal_R,Fusiform_L
Frontal_Inf_Orb_2_L,1.0,0.26433539830060876,0.3704734642687552,0.3697311693880245,0.2898639759339479,0.28331015148714006,0.453890746909922,0.45000475444221644,0.25702389437127154,0.5254983983362929
Calcarine_L,0.26433539830060876,1.0,-0.03908567611833447,0.2239287237603679,0.006601346806268889,0.5289567120194801,0.05662156834459715,0.49732376385853183,0.35332682407831817,0.7787691991790691
SN_pr_R,0.3704734642687552,-0.03908567611833447,1.0,0.24568254701628445,0.5012283784518476,-0.04265488531823778,0.5551884114114928,0.10994192993076486,0.08966879992227643,0.2457707021206407
Thal_MDl_R,0.3697311693880245,0.2239287237603679,0.24568254701628445,1.0,0.7423159957993172,-0.20457971193714997,0.05348364800602042,0.5911633656243002,0.1560946777593533,0.4401583749468643
Thal_VPL_R,0.2898639759339479,0.006601346806268889,0.5012283784518476,0.7423159957993172,1.0,-0.191043931546213,0.2527953019757569,0.2385905152639552,0.09620835876429766,0.35631645103409454
Precentral_R,0.28331015148714006,0.5289567120194801,-0.04265488531823778,-0.20457971193714997,-0.191043931546213,1.0,0.16911682574820427,0.050758724183549916,0.443414244022517,0.441371836608816
ACC_sub_L,0.453890746909922,0.05662156834459715,0.5551884114114928,0.05348364800602042,0.2527953019757569,0.16911682574820427,1.0,0.08382886996972876,0.011325531567951326,0.2958252541680559
Thal_MDm_L,0.45000475444221644,0.49732376385853183,0.10994192993076486,0.5911633656243002,0.2385905152639552,0.050758724183549916,0.08382886996972876,1.0,0.5747484711716385,0.6203454727533791
SupraMarginal_R,0.25702389437127154,0.35332682407831817,0.08966879992227643,0.1560946777593533,0.09620835876429766,0.443414244022517,0.011325531567951326,0.5747484711716385,1.0,0.4914724955821718
Fusiform_L,0.5254983983362929,0.7787691991790691,0.2457707021206407,0.4401583749468643,0.35631645103409454,0.441371836608816,0.2958252541680559,0.6203454727533791,0.4914724955821718,1.0
