,Thal_Re_L,Caudate_R,Thal_LP_L,Cerebellum_4_5_R,Occipital_Inf_R,Thal_VPL_R,Thal_PuI_R,Insula_R,Frontal_Sup_2_R,OFCant_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Temporal_Inf_L,VTA_R,Frontal_Mid_2_L,Thal_LGN_L,Thal_MGN_R,Cerebellum_3_L,Thal_MDm_R,VTA_L,Frontal_Inf_Oper_L,Thal_VL_L,Postcentral_R,Amygdala_L,Insula_L,ACC_pre_L,Temporal_Pole_Sup_R,N_Acc_L,Heschl_R,Thal_AV_R,Olfactory_R,Cerebellum_8_R,SN_pc_L,Frontal_Inf_Tri_R,Cerebellum_6_R,Thal_VL_R,Pallidum_R,Cerebellum_9_R,Thal_VA_R,OFCmed_L,Putamen_R,Red_N_R,ACC_sup_L,Thal_PuL_R,SupraMarginal_L,Vermis_6,SupraMarginal_R,Vermis_3,Rolandic_Oper_R,ParaHippocampal_R,ACC_sub_L,Frontal_Sup_2_L,Occipital_Mid_L,Occipital_Sup_R,Paracentral_Lobule_L,Fusiform_R,Cerebellum_Crus1_L,Pallidum_L,Precentral_R,Temporal_Mid_R,Thal_LP_R,Vermis_4_5,Angular_R,Temporal_Sup_R,Olfactory_L,Thal_VPL_L,Putamen_L,Fusiform_L,Hippocampus_L,Thal_MDm_L,Temporal_Sup_L,Precuneus_R,N_Acc_R,Occipital_Sup_L,Thal_PuI_L,Lingual_L,Rolandic_Oper_L,OFClat_L,Vermis_10,Vermis_9,ACC_pre_R,SN_pr_L,Thal_PuA_L,Cerebellum_9_L,Hippocampus_R,Thal_IL_L,Lingual_R,Thal_PuA_R,Cerebellum_Crus1_R,Cuneus_L,Vermis_8,SN_pc_R,ParaHippocampal_L,OFCpost_R,Postcentral_L
Thal_Re_L,1.0,0.36840479280467675,0.042052002941455585,0.30428678815445864,-0.2820639459117788,0.18416426887329582,-0.18948846980309952,0.06774720825691798,0.3625102090291791,0.22397917436854384,-0.03592416111171561,-0.10571580534687287,0.42786487142540863,-0.08485939358964203,0.47046881948000785,-0.08131360304094519,-0.00911188706668806,0.23959646854017663,0.03327982687064684,0.2817412021980773,0.2233210459888423,0.23846328776291006,0.24100042473579236,0.2074114927295314,0.5032631538795438,0.4186414930608009,-0.08903858876046163,0.5119309738352738,-0.0068274394838927915,0.1421373004407382,0.4493219962599048,-0.11656987846752062,-0.2297056275727666,0.33778178880359105,0.12105257334104348,0.3736593622821232,0.165257852311684,0.10236324774713244,0.5468723046178271,0.08482861660625104,0.4667607047660339,-0.35508867678049716,0.27390548437610474,0.20083132776201562,0.2582629580637073,0.20908087215350024,0.10354267717349155,0.07652568516236248,0.2117790884301506,0.27524287665186,0.28274182449375757,0.43748528987536445,-0.12750577682602773,-0.06978727990682908,0.20442067951627235,0.1907543130498285,-0.05618662990425115,0.2991992967817763,0.2571656296933713,0.010718707492283173,0.17306433118430223,0.4342493428151649,-0.21820106341929704,0.24832702201544748,0.5079673813339014,0.1352226188424364,0.11042978097091452,0.37900125441844057,0.13840954460098615,-0.07476856159945096,0.40504022469300344,0.2986060609546371,-0.418622574279977,-0.07420293415778392,-0.1189968825144965,-0.0887448785459091,0.29271996881015616,0.30542582232516746,0.20471377687828213,0.022408897480131813,0.3646616005700577,0.15343464023156886,-0.2653565327772258,-0.11743359898548184,0.18202209436713784,0.19922924122740124,0.16303124707714747,0.04034670876486349,-0.1802766087982336,0.009764257164993972,-0.2773552988244556,0.33070003094952527,0.3312354415600388,0.3784067080316159,0.28452307759464285
Caudate_R,0.36840479280467675,1.0,0.4150764319140609,0.4879640028007854,-0.04031126559260865,0.6588372062996622,0.1392182909277084,0.75460572860701,0.5120048756485426,0.44946540679684827,-0.12411963811126969,-0.0005104008711711823,0.5855531748264856,0.4268410989528317,0.7063676096467245,0.11807136439760618,0.30825918393889085,0.5966896986793645,0.6476992228422895,0.6652985719938853,0.7138722170474296,0.7478034476782452,0.1304188168456662,0.5777472651450953,0.8472412567597373,0.41097017472610686,0.4539193282003005,0.622502817039322,0.48548353833811736,0.3931915074832359,0.6489881490947923,-0.10991274724143658,0.46415707031606857,0.8948760338979688,0.366330213678979,0.8717624746029955,0.6464303165810937,0.3005244943873343,0.8018126476673104,0.2731388603180442,0.8232158469440013,0.2294489927130661,0.756487803926264,0.6081242525200137,0.3630751923911233,0.13499021861013183,0.44120059420180385,0.1820384025043084,0.747243127831817,0.6229346260089322,0.48122416170368215,0.7146442700821036,-0.014080626680087385,0.08571084945353068,0.0743149173245602,0.4996082405810779,0.25722386377233847,0.7400914346254799,0.1153708516873823,0.508786163724814,0.6654430803520237,0.592771087123705,-0.04254561755525327,0.6998423295439401,0.6918802858635088,0.6820303075376762,0.805163026497894,0.598111797592881,0.6603501519756871,0.5162676540163577,0.7234052689448149,0.34214180518204024,0.1734796749696869,-0.06007059990461923,0.2487464089472093,0.12609227536485731,0.6379009633078158,0.4715927508801392,0.5672139014220315,0.3205162513303098,0.6094045473652117,0.7329900916667662,0.3727393003257246,0.1684930671316756,0.8017655031158603,0.7561453806373853,0.3059818038665063,0.5136584479885647,0.04191090101885994,-0.018623933217023148,0.2791594549928982,0.6365659125987044,0.6236803389727847,0.5576360411460255,0.19608156560766843
Thal_LP_L,0.042052002941455585,0.4150764319140609,1.0,-0.029380152325849576,0.028779050511973665,0.5668133579071438,0.3142498742789644,0.40823940664809744,0.14006040580898393,0.2175982801683805,0.10617542470052746,0.016150442908139363,0.017490089943138578,0.298384351363267,0.24236412943716715,0.14408990010578632,0.01269655365742722,0.23229407110246986,0.23054258014208664,0.3489569169068347,0.3859773883599504,0.5616852992497893,0.05474967691583349,0.17620137606825242,0.39960644208800733,0.23263814305043248,0.36840644465331157,0.2720948099902948,0.39753227133041985,0.6686342932399564,0.12241021515271117,-0.23543432658643637,0.4050875405885641,0.38608886499406997,-0.1310793973968451,0.49044467185123103,0.09476465307674427,-0.10847080044805453,0.18549246216295792,0.14180790440305274,0.2672243546564151,0.33965560749012835,0.7185925461045005,0.5919835916956342,0.11848845033792321,-0.1693004009546052,0.3098802686896041,-0.037799910982748444,0.5481386189304873,0.09344971768617895,-0.002832232640307915,0.38534560169470666,0.09093079751628454,0.1362853263579441,-0.058196326711095064,-0.03978674835026496,-0.08945126773876087,0.16563111838787284,0.04609660044375775,0.14796464676439497,0.7280141271225683,0.042761424880029326,0.2912098223829547,0.185758965794865,0.11327968133384049,0.5703211524744329,0.3469273407247,0.03973904068017613,0.14188303087749132,0.10519050294193562,0.16396813168962157,-0.016322408434188626,0.27113996542813606,0.037720540219027,0.10301238937900625,0.047530312437875526,0.13426963230266756,0.10862904213350606,0.22529105789815024,-0.033785329486861256,0.3531894288015243,0.2790378749519678,0.37572969324416006,-0.06251583997304647,0.4345028498926715,0.11334408531128684,-0.03803487341378349,0.33581204896531974,-0.17401513070329877,-0.0854264063673612,0.23474450123629106,0.2965560955663529,0.24333023659175734,0.07389145004308516,0.12642564613725335
Cerebellum_4_5_R,0.30428678815445864,0.4879640028007854,-0.029380152325849576,1.0,0.07827940172308354,0.10198952243587965,0.057190016069563955,0.3232728757056398,0.8994624216591915,0.10878185052696436,-0.39875962244592894,-0.08420029975048166,0.5806534627972619,0.21515669221546024,0.7657336045863415,0.31241826691059665,0.19593475868264498,0.7298435751893666,0.7175961429112664,0.3920068190107101,0.6478879598836115,0.5340765351686524,0.6296566696299628,0.1706515821187816,0.5654591410783195,0.18273768445594024,-0.04088517687107641,0.03210821498452723,-0.2225509032501875,0.07981422714255479,0.16151125207468853,0.3969003414105092,0.2455748872252274,0.5833166410510511,0.6832860719934019,0.6296211247355451,0.7083186367916627,0.748257292797422,0.5177313031890344,0.08748594873946663,0.6652947820152028,-0.12530375983492018,0.31997764130500717,0.1467958090199874,0.6261934725602348,0.6447312653648771,0.48765477600263357,0.7249999952685933,0.43175775152571133,0.8155375772681407,0.25072809456653006,0.722853609835025,0.4122757421204178,0.4533979271526086,0.7231262136168091,0.8288604784914145,0.517633386662389,0.64749053336065,0.6068555778977464,0.5966295043873856,0.2513153374796338,0.8534347517145463,0.024914751402204713,0.8468773522540698,0.2510235682449879,0.35060843625424054,0.4893310953226187,0.8651119594625398,0.796092360592643,0.64703588559986,0.8108568274943365,0.9050958555860701,-0.1687998328296292,0.49455368035475705,0.4424240479423908,0.7347531872885804,0.7641515588814943,0.5303652634908692,0.5821408786197365,0.503203135829406,0.30364214725529043,0.24471316284010178,0.1394429988106878,0.5937898976381454,0.46028248804367655,0.759670920545884,0.7937719229899138,-0.021694274472642633,0.3756529881367752,0.6403681486072085,0.1609309895340135,0.26087922571069744,0.44692589431161645,0.4148562966595085,0.7049669237802793
Occipital_Inf_R,-0.2820639459117788,-0.04031126559260865,0.028779050511973665,0.07827940172308354,1.0,0.12174708526346943,0.07458338558915795,0.09405183238384479,-0.0978270400286884,-0.39787601407788276,-0.05070723522310346,0.20203759204964136,-0.04322112634893945,0.261632809077661,0.0647720603176856,-0.22882716733852476,0.04023172213463182,0.23730988574987658,0.25081574733825845,0.05872697652938715,-0.008122534756148981,0.12669843264270064,-0.3644014971962779,-0.04084931546785586,-0.18332616389830633,-0.35204565062050547,0.395475142874635,-0.26360478386377706,0.29354493028031686,-0.12081560232032929,-0.17997452502879738,0.24467403573384605,0.19026397930577874,0.028812458299011467,0.5677075436775384,0.019837181060392544,-0.05528634412129007,0.4696956530631248,-0.22184060057042604,0.11743744575579317,-0.12553640356970291,0.3059366115082564,-0.10300705251626886,-0.026411959272425928,0.24989647741752533,0.41783605281388125,-0.0017313643322987376,0.16988906762767467,0.1452939801333152,0.026166022488964075,-0.22860414161768736,-0.2214757838619521,0.3485053903799428,0.34364043316729764,-0.16557682312130215,0.415666342933871,0.5898363331087038,-0.12286734073176164,-0.34948366338809683,0.5681387094734901,-0.042351330915075064,0.23828605771175415,0.0525554956185691,0.18207381312250803,-0.2027097139471074,0.21948598960632754,0.07020835894922262,0.0666866953718476,0.03453969914824794,0.34472024010897595,0.04633731476513274,-0.014315350087978658,0.09729962378506961,0.19655723857492308,0.46412252649201885,0.2724935791489093,0.00574975782486265,-0.17324353822448343,-0.22009226684579566,0.4593005528616525,-0.36089361561291505,-0.02280462993999786,0.5180039410661899,0.5966043340625801,0.23754465774680505,0.17717384904104663,0.40828537633131906,0.3183133541169911,0.6816487825831388,0.22896038677913036,0.28110482032678274,0.05203975682429032,0.10753589628192652,-0.009113451959853629,-0.04951945246826498
Thal_VPL_R,0.18416426887329582,0.6588372062996622,0.5668133579071438,0.10198952243587965,0.12174708526346943,1.0,0.19606734709286278,0.6721262967271695,0.19411425830016,0.44976574449535367,-0.05816289551642201,0.04991683487979854,0.43054361578956063,0.46698231374322646,0.31352686461765084,-0.021677669368800907,0.13840297551050335,0.5014473919604683,0.5007884531303445,0.5721828189626464,0.42895110997246905,0.7047351672507948,-0.24888689655370502,0.2913203980515565,0.5489859344781449,0.2591442312298796,0.6976566867020942,0.451790467965471,0.7095239471959326,0.4503272997426659,0.4688452075457035,-0.1118540790774345,0.6733265246690697,0.5466763009864889,0.2191381451567774,0.6324711317785152,0.28265601590828965,0.143892097872186,0.4697641314966521,0.26524576073039824,0.4585246651090078,0.494075323587734,0.7274116653488489,0.6711389473427883,0.3088127998234599,-0.04956936725573463,0.09620835876429766,0.08247515438163443,0.6755717097137545,0.21247514699266476,0.2527953019757569,0.3919571354746962,0.15084348953952836,0.042596034244498114,-0.23918648770856588,0.25131244165568817,0.2989361484738753,0.4174898248339389,-0.191043931546213,0.3388926243561791,0.6953719826635,0.3052880553970664,-0.10677818580501987,0.2922329458171559,0.35128148035606865,0.6332837903704049,0.5536675382028601,0.35631645103409454,0.40422601491376714,0.2385905152639552,0.47791929888880774,-0.010714908287947408,0.31246480729598525,-0.08180771378227414,0.10563813071739465,0.04879290954368885,0.3047688954448355,0.06686500604445507,0.43725438717769183,0.24829475799087528,0.47840106532612725,0.6556130441518345,0.4391070706704904,0.06563384608772806,0.6658863747081373,0.4059315300496698,0.14819281113677596,0.8382035679372533,0.042174228617089186,-0.13152302692567833,0.36401439283577336,0.5655451525015974,0.3278251327807119,0.3635129499170647,-0.03278555645497205
Thal_PuI_R,-0.18948846980309952,0.1392182909277084,0.3142498742789644,0.057190016069563955,0.07458338558915795,0.19606734709286278,1.0,0.1618505656747127,0.12024401065817923,-0.06631158614536709,-0.19628636111195424,0.0381656123305507,0.03175917647849877,0.11482361260799759,0.12836068784868235,0.12376448721435165,0.1876014281430243,0.2025044540055646,0.32365829234368193,0.14003605847643122,0.25215581186034725,0.2076580362644446,0.10850086372690435,0.06907965543885342,0.15886930832235927,-0.037668276255859535,0.10913299528279437,-0.09413161029031328,0.07037444788691867,0.2047599843472571,-0.1382711577931215,0.13187681989760341,0.24789830287335474,0.15581901210292992,0.026055282648926443,0.18847089914708434,0.1979596593113557,0.09352094916729865,-0.08149952352436336,0.047381505688137364,0.13317461381514054,0.1263274967635536,0.25261675690704466,0.28953328932191597,0.1589441163779748,-0.002038419886644811,0.30352363316875486,0.15516559325974255,0.3052367272511341,0.13593443210015943,-0.07191347902823618,0.11989109325213561,0.24300411632117824,0.26852257587746514,0.029829017014310833,-0.008983727859460819,0.09901044976074036,0.10650277787422405,0.03225852269966479,0.16274818208267033,0.3495301574701696,0.06564881576328227,0.3359553569235283,0.23042849016421013,-0.08843144464299955,0.1512312210375963,0.25028472967763205,0.09561369949826463,0.21772045237836374,0.2601023319270646,0.15334328767204722,0.08183838344873542,0.2653171359927455,0.20130026231888687,0.19012644525132302,0.18067657238473994,0.13622727402758503,0.027472149686752476,0.2590568966862967,0.2188367760650835,-0.12162563596309389,0.07918949852847662,0.14473188246293084,0.10230984653059207,0.159717297553715,0.14463102389774385,0.05932031235824231,0.1995675410737932,-0.00148333035876528,0.12880651014073094,0.33101092367560525,0.10770128073159256,0.16854791751364895,0.028371622374825656,0.027161001709631306
Insula_R,0.06774720825691798,0.75460572860701,0.40823940664809744,0.3232728757056398,0.09405183238384479,0.6721262967271695,0.1618505656747127,1.0,0.3194227103247091,0.4532944362797343,0.011411008057371441,-0.08854640818129547,0.3709766828905114,0.4186900289614391,0.3553768899554368,0.2981663413056465,0.46722077194387673,0.40921408933145137,0.5690740859748262,0.603483190042747,0.608397501629737,0.5848419356881144,-0.03961273722344061,0.5768578522318902,0.6707654279136467,0.029733929454090997,0.5678339920103442,0.36083294241853775,0.5480383216690761,0.29165434784811767,0.5778710071819775,-0.055419175661645,0.6132256638732712,0.7542746743225086,0.2647775056225552,0.6321091637907138,0.5992496263530135,0.26812171225142917,0.4420955674868674,0.2841087105152438,0.6729216838044664,0.5493497882086603,0.6228473729732379,0.6168557888509838,0.3447964863694846,-0.13832709492273607,0.26076048307344046,0.21212653661811845,0.7809564201220089,0.5527069367385934,0.3936528274187741,0.40741964313103957,0.22392033722956947,0.20211598694588503,-0.03158912439662343,0.3534788115219763,0.2856504024846572,0.5684292658394651,-0.020300634506023825,0.4524287036950366,0.601894100723125,0.3222041766720543,0.07344545463771136,0.5368474468242616,0.4304870952572382,0.4947445827220255,0.7660283542894821,0.40496647044423767,0.5263683592279408,0.492556862543507,0.6031904736143624,0.2509048932503085,0.577802986718245,0.08667926436211669,0.19431588762996857,0.19236137454295602,0.4288581808850355,0.1378770326324763,0.5229977656505482,0.43208094286028514,0.4059321602407537,0.7236107064378153,0.3312178937087128,0.13414484508118013,0.8242511903132567,0.5919840237232039,0.21876565624754607,0.5869084973352235,0.133227321762204,-0.08694404553267632,0.3546617062966654,0.44116691180931494,0.4488448487520978,0.6326182125871516,0.1548579082051669
Frontal_Sup_2_R,0.3625102090291791,0.5120048756485426,0.14006040580898393,0.8994624216591915,-0.0978270400286884,0.19411425830016,0.12024401065817923,0.3194227103247091,1.0,0.24387010163973172,-0.38687722113027545,-0.07669385937132397,0.5087283144157853,0.24006608452500844,0.7783450216310158,0.4260880626674068,0.09453233421910111,0.7159743624249144,0.6682253717057443,0.45477483595972445,0.6574433101393937,0.592905965665714,0.7539242669658636,0.10971990249817437,0.6495038926666458,0.3640236258144091,-0.001161514323035951,0.09104684050941377,-0.2060166622242349,0.29294939628247624,0.151414050526798,0.3291883992153049,0.26454269635692235,0.5971311346865356,0.4912827149746106,0.6756596955665115,0.63520464710753,0.6076600328388155,0.5434991622325319,0.061998001710401276,0.6700733897589256,-0.1341352447062329,0.5025925240964597,0.3052907080998769,0.66042078630983,0.5467116565517669,0.5764678009465793,0.7134951643167183,0.4789711780899719,0.7433192606551403,0.21279637318250783,0.8720339488852339,0.4250477853163961,0.47442405763460677,0.7899960270902058,0.6752537439852203,0.3397583455697678,0.6291322222189828,0.7397892064450423,0.49277493422183555,0.38157119710217224,0.7552329987069273,0.16231704843928077,0.7982657131100561,0.22635604934476966,0.3702985165534883,0.461852910886246,0.813511342493817,0.7298416432549724,0.5268825764683995,0.7858833789981676,0.9122865340567072,-0.1727382559120929,0.5383396242851808,0.32961006667785986,0.6999852502053661,0.690751720692823,0.5480764062179602,0.6741593791716263,0.37192389894539196,0.4537222836324403,0.22118691082903402,0.06479867443637176,0.4538694978914321,0.4172322692113811,0.6662349268752266,0.6671110647667039,-0.03314952096481945,0.17250926379316256,0.630417082822521,0.12876405675247166,0.2707972227399965,0.41071497638418536,0.37971896462514304,0.8131314112430242
OFCant_R,0.22397917436854384,0.44946540679684827,0.2175982801683805,0.10878185052696436,-0.39787601407788276,0.44976574449535367,-0.06631158614536709,0.4532944362797343,0.24387010163973172,1.0,-0.17038367790676248,-0.312919890207385,0.15169669548290965,0.17250638424805323,0.11046340589760825,0.18223665743082892,0.16637383436180075,0.13892137031880605,0.20743337379973403,0.35237627908604113,0.2333059002306428,0.296667527041731,0.05590532990751814,0.15843193860909557,0.45821454248064797,0.47624705666086475,0.3108250582669106,0.491307216312649,0.36727728062243303,0.1986813231318195,0.6760422829141554,-0.2596440247353971,0.2654115190268409,0.4047876520464979,-0.17918255713157413,0.3626556541223892,0.246235589423979,-0.11452585527363508,0.4934641906558388,-0.04185741115801518,0.4157831050832535,0.08202236967127084,0.4317186373209668,0.26617571557359326,0.10340423643569793,-0.20847070193582187,-0.0010159186569054966,-0.03204535981888798,0.2586744267492694,0.16071025273048894,0.5046729060972343,0.3738071497201049,0.001247172407425918,-0.24841828685385867,0.055923845914527655,-0.026544061181016144,-0.1817685927479343,0.34110689630679586,0.0776434653552954,-0.05829927966790258,0.4007325777195978,0.08040201755817582,-0.15223146063065537,0.13509761667462647,0.469296727168693,0.11503429542359565,0.277831629623159,0.18023580409826753,0.2873140852849471,0.03301115532419289,0.23991564044344424,0.08474650487925066,0.1147430557543325,0.013204534468665466,-0.22716593730670587,-0.04813339609738503,0.17576823316215945,0.09981520929160169,0.4723515895983458,-0.05885491146274186,0.7284206709532763,0.39055867260089766,-0.07263941944641572,-0.23770522105769126,0.24037107782166878,0.22175276525978813,-0.15339664521535634,0.2454863646488172,-0.4053711638837017,-0.09315078001995208,0.15381693122907267,0.36986437766843905,0.1495721625772573,0.4889221909733963,0.08438691832248414
