,Thal_AV_R,Angular_L,Hippocampus_R,Precuneus_L,Temporal_Inf_L,Thal_VL_R,Rectus_L,Cerebellum_9_L,Supp_Motor_Area_R,Cerebellum_10_L,VTA_L,Thal_PuM_L,Thal_VPL_L,Thal_MDl_L,Temporal_Inf_R,Vermis_1_2,Cingulate_Post_L,Cerebellum_8_R,Frontal_Med_Orb_R,SupraMarginal_R,Thal_MDm_R,ACC_sup_R,Parietal_Inf_R,Red_N_L,Heschl_R,Parietal_Sup_L,ACC_sup_L,Thal_PuM_R,Temporal_Pole_Mid_R,Lingual_L,Cerebellum_Crus2_R,Cerebellum_Crus2_L,Putamen_R,Parietal_Inf_L,Occipital_Sup_R,Supp_Motor_Area_L,Occipital_Inf_R,Thal_PuL_R,N_Acc_L,Thal_VA_L,Temporal_Pole_Sup_R,Postcentral_R,Thal_VPL_R,Calcarine_R,Thal_PuI_R,OFClat_L,Thal_LGN_R,Thal_MGN_L,Temporal_Sup_R,OFClat_R,Thal_IL_R,ACC_sub_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_R,Occipital_Inf_L,Thal_AV_L,Calcarine_L,Cerebellum_9_R,Cuneus_R,Pallidum_L,Cuneus_L,Cerebellum_3_L,Precuneus_R,Cerebellum_3_R,Rectus_R,Rolandic_Oper_L,ACC_pre_L,Occipital_Sup_L,Thal_MDl_R,Occipital_Mid_R,Thal_PuL_L,ParaHippocampal_L,Cerebellum_4_5_L,ACC_pre_R
Thal_AV_R,1.0,0.14071146783181482,0.40235788485153784,0.1060360932867244,0.1612435412958551,0.597018744155648,0.15157290681084726,-0.07559609622827351,0.17163921091673895,0.4975589869688078,0.31405563037661305,0.40241249755747754,0.6540696329960797,0.26127326440865084,-0.06365129501548629,0.13647256437289912,0.16211800000078283,-0.22421200540922265,0.06215640394932046,0.46295506450367757,0.1928382931965994,0.7409070775824214,0.3420246062995292,0.1968281819572561,0.12044167200089412,0.191054521322168,0.7166811455245804,0.22707065071541596,0.13605582196042398,0.07841082127782745,0.09729647875478506,-0.022095780343235023,0.33616850410865723,0.11854499317274256,0.1609703228738354,0.106748845218835,-0.12081560232032929,0.45034901674908906,0.34398901188511055,0.3521196015754324,0.148716078022267,0.2989415147746522,0.4503272997426659,-0.07030249592997342,0.2047599843472571,0.33465819372737154,0.2384173972618772,-0.01728539278916925,0.25709956655583915,0.2702214205391324,0.18916668458218516,0.10617946728706709,0.3232627519171081,0.3510138286550436,0.23522182051128965,0.01634282361027859,0.5023087482331916,0.006103429971737993,-0.11987916878271872,0.023580361121029684,0.24288912236930407,-0.018749510094148894,0.2775582799677457,0.14490010113977247,0.09021849899502132,0.01145357806481016,0.25913601268449893,0.33626233862352617,0.09857100761368026,0.13505927135975287,0.07757384403435996,0.625826017718814,0.2573572646933226,0.19118879109293324,0.46871979258071883
Angular_L,0.14071146783181482,1.0,0.24062551053179182,0.47514444552319424,-0.14385990635150744,0.15132059476744494,0.13375742042689973,0.35264704790725304,0.3625016060450954,-0.01360453660674565,0.24975073973241046,0.4475594376362736,0.038981287816007563,0.33383602896724657,0.2520782519739816,0.2930091431982052,0.4784473153743378,0.1806195431079778,-0.11158550523947217,0.3539755619739607,0.322488175669194,0.04420945944001864,0.35542618756084227,0.3462261875550213,0.18919403837474313,0.8610553352396467,0.11941681218896516,0.3597351214242471,0.1820209711705154,0.43933376914178285,0.0718809437382506,0.25485633895417437,0.09821353971671906,0.8617372062699524,0.7690655565416447,0.299745529915821,0.25723009106892825,0.3028687177719362,-0.3236867688511311,-0.13165274645111547,0.3747947882834863,0.11909785899954578,0.16392052652831576,0.22182529528680214,0.1818622184358563,-0.2237293527784738,0.012588750520150883,0.17334553691902096,0.3451207683842109,0.16205908141949116,0.272527253719169,-0.19163811235878092,-0.10579145469364541,0.1949983790220302,0.059006359160465,0.05825627489875943,0.2740611758626639,0.2804672223121701,0.43401681577196444,0.5350511775870804,-0.04705650127311926,0.4947955817999266,0.2614826442988137,0.42415173858662825,0.24151378486179398,0.00403233544014049,-0.10159840464872945,-0.21214282366647652,0.6875705347705152,0.16786547007706387,0.6688720571447769,0.24344342787152684,0.23621413354337198,0.3499054029139911,-0.18971708185379976
Hippocampus_R,0.40235788485153784,0.24062551053179182,1.0,0.3699232603661086,0.5468794443569879,0.8022943371472382,0.17977355055612534,0.3001846771500122,0.45656792526924533,0.5202127485941102,0.7346378475842208,0.6466581525016953,0.7160685058464173,0.5921207426902703,0.6278136247530486,0.6038369669809556,0.45712597331269844,-0.0028740564303735222,0.11704879088988128,0.43228778214195657,0.67057140365119,0.5561123535204031,0.03423680397012398,0.5786230352106726,0.480252851794457,0.09420608989305386,0.6349788645032218,0.6601371811632041,0.17184954207391018,0.182652793712462,0.041796581544096496,-0.05222047880906497,0.6809822041271497,0.34155439346071087,0.29107827590262075,0.2624752688704101,0.23754465774680505,0.54214152978156,0.4035396546124637,0.5525843405918475,0.5376885644333,-0.02543147537579165,0.6658863747081373,0.16343031526941595,0.159717297553715,0.2955921652564725,0.6099294856762993,0.5636516129618707,0.6684119841056244,0.5940118599194623,0.4314796215933769,0.30964611433318945,0.6017441961554566,0.7812459103563154,0.7614361941155007,-0.13066793054781262,0.635122472338472,0.23461247500690818,0.4089149841336207,0.28614286513629766,0.6766757472416037,0.016091776576554657,0.6032626453201191,0.3379082981554545,0.1870125565065562,0.06731240274817153,0.5288196865133669,0.03772781708676064,0.019356627075173733,0.6315517368466333,0.3678683186278416,0.4730584644063749,0.6692876975736333,0.572630108939285,0.34997081410836534
Precuneus_L,0.1060360932867244,0.47514444552319424,0.3699232603661086,1.0,0.41557879040214996,0.5129918473659796,0.1716253672342972,0.5096750624738511,0.8300298456867137,0.1403078906610747,0.4128330085376145,0.4162126360870528,0.19086282499403792,0.38102540983097793,0.518419972014368,0.6067873020311846,0.8477164772048995,0.39564524660624534,-0.07779095514633716,0.5716865760684602,0.6649310168392478,0.06816368044847983,0.6734766697834265,0.2412703378840621,-0.26819279467816365,0.6050145124577667,0.17938769997158968,0.024611528856755237,-0.34103752591811837,0.6853318124094994,-0.36838900853119405,0.025024343157573927,0.4849300150722518,0.7378068464588956,0.5906450084630527,0.8778541031453079,0.035544633266530734,0.050676149545802136,-0.10512508138211897,0.38189360008109785,-0.02843526921230725,0.6611526866878454,0.0020964103068018118,0.8040253828050343,0.10248976332576591,0.39142960247599246,-0.18128988959589884,0.6427753438922544,0.7628723020020415,0.2952475257873751,0.038969883569080294,-0.0480393398202991,0.36251914724352546,0.46645725197523485,0.36063742630418955,0.14870520199219933,0.3115848757506215,0.7800550768505663,0.6930478407622884,0.8671576083119465,0.5546005726834754,0.7548669363658465,0.6022355653440642,0.9456995726190899,0.8282865117686982,0.26469414989683987,0.5378992024027415,0.0704704453880265,0.6269244787468887,0.23324398759716689,0.23215262741195747,0.10178578596195692,0.4671487929156475,0.8691611801197952,0.17898043793603952
Temporal_Inf_L,0.1612435412958551,-0.14385990635150744,0.5468794443569879,0.41557879040214996,1.0,0.6269078061080566,0.2058828491951237,0.19686067763883264,0.5499868046170424,0.3818258013437278,0.4441972716780236,0.33886007350170394,0.5632824378289935,0.2821236476922937,0.4700072725709542,0.5868387003687414,0.448580123841925,0.1541675195544204,0.05610946824068591,0.24962658857679929,0.5484912561478957,0.2669416333924927,0.09501029948595392,0.3283760738746909,-0.020590235783048864,-0.2250051594127789,0.3878696029904194,0.3786272633745798,-0.23112250576355955,0.2119850420596837,-0.13839513932459002,-0.15985673067371697,0.6059500419678595,0.08731005085452061,0.07161331277997235,0.4486843689898521,-0.04322112634893945,0.20729764625012895,0.5006661371505138,0.7757229831280185,0.013568045697991958,0.22029870186108363,0.43054361578956063,0.5152304336863858,0.03175917647849877,0.48875075412242475,0.46308720040775253,0.5199177436813336,0.5528966497766021,0.22879471127528192,-0.06653337476571498,0.16897662076391903,0.5752180521940643,0.49892387702956953,0.4485991433800678,0.11575147590885128,0.3821972607188267,0.5177451941604123,0.4014833311353872,0.35922541869746233,0.7128772146016519,0.10259575995016688,0.6221642668858566,0.45499655836459985,0.3507949511995373,0.3344387246667329,0.8077946822928663,0.23251901944819856,-0.023395727976227687,0.4199641082301328,-0.09421803934686535,0.17944216836310953,0.4216296877787488,0.597934297726831,0.4177017488577042
Thal_VL_R,0.597018744155648,0.15132059476744494,0.8022943371472382,0.5129918473659796,0.6269078061080566,1.0,0.21159509375197944,0.31552004032950215,0.6306592499293961,0.5920346771449979,0.6923847310403917,0.6586385242939147,0.7980743453242508,0.6092569829500448,0.533712090840426,0.697112740769777,0.6092094760759774,-0.033852418061174096,0.04301311768645682,0.5886211287210632,0.7606494102476011,0.7111527079813057,0.2675677159373394,0.5122659923745709,0.310897873495135,0.13070874611382305,0.8011936744821229,0.49117496785213094,0.02822943345222238,0.30492952932251843,-0.02360851136095578,-0.1711241885873788,0.8173256570467932,0.3710241470459202,0.26184338257265266,0.48299142196130324,0.019837181060392544,0.5157095757424778,0.5310791874680235,0.8010746320601619,0.36059451577244694,0.3027556294874235,0.6324711317785152,0.3550811369488274,0.18847089914708434,0.5511656942926508,0.4336236807648722,0.5239795951457664,0.7821656342803465,0.6515202151327295,0.1956753047808232,0.18951131910665503,0.5853906412091184,0.8373783268404675,0.6047590214914919,-0.03755852958908167,0.7047200351901042,0.4154019262436216,0.41223245878400655,0.37094955204012514,0.7627176835024446,0.18620342116612046,0.7709867765432337,0.5126184249920711,0.399619121805364,0.29822571473836756,0.7129500662340876,0.4125955209321021,0.12816070855957978,0.5114234067457178,0.17346531139401225,0.5893165800554588,0.6552226092552326,0.7231958609060235,0.6059253355830958
Rectus_L,0.15157290681084726,0.13375742042689973,0.17977355055612534,0.1716253672342972,0.2058828491951237,0.21159509375197944,1.0,0.21438915793080188,0.17245733826656248,-0.005675882317272025,0.12249701988014934,0.2209686679407199,0.25297961694198207,0.12987266716933069,0.25671551183289754,0.2779123823418356,0.19377434540251226,0.0742059471739649,-0.16922812364084197,0.05856786758616319,0.17846437395270215,0.15381249327643198,0.017514213681733417,0.2710105077537027,0.1087429895786567,0.08614800867246253,0.19952149081916898,0.2077841782342236,0.13383441348543504,0.2298606916942047,-0.13903888606260698,-0.03349808012320441,0.1846362212205062,0.15514051065620146,0.11299157143388365,0.1766749102753958,0.08859351753066674,0.15562573026688453,0.10413767909323504,0.22135462467437345,0.1860236356811945,0.06442604959412256,0.21426266502201488,0.21188959751665012,0.06451930636826922,0.11235606219951833,0.18677919182845676,0.14449275410055573,0.23987986056319893,0.25713754110431464,0.06293580960008803,0.14978552965821523,0.17234242276317108,0.1680032898906055,0.164053035366801,0.13747614855037235,0.18733511672176434,0.21637526102733212,0.2584850018376119,0.15824349907104854,0.160234582142613,0.09074603181629724,0.25205321344869425,0.18310250096665423,0.15170643129891326,0.1953151681074665,0.21847025192456535,0.11141811352324774,0.1673730333463523,0.21103000625685453,0.04881657762809145,0.14430280768611034,0.018590584373890124,0.18429765691291888,0.2898353482508844
Cerebellum_9_L,-0.07559609622827351,0.35264704790725304,0.3001846771500122,0.5096750624738511,0.19686067763883264,0.31552004032950215,0.21438915793080188,1.0,0.5150192482834369,-0.38745738750708675,0.21195706803275885,0.45345389846446976,0.2969337306958445,0.49371060929275196,0.7436316910285211,0.6794401708670675,0.4362543888126615,0.3733958855261931,0.2040470682789654,0.17743204181342181,0.5758339676502299,-0.1432316430573717,0.12273094122017411,0.4481542398048976,-0.0046568547962953614,0.25631887205474924,0.06457594750405157,0.24257414311335768,-0.07905253468376872,0.6895909437719708,-0.18279157553248931,-0.06206234785747623,0.21724200363021423,0.5274616004329085,0.5287984943983252,0.5209285618138039,0.5966043340625801,0.001837860479470995,-0.21897466532057766,0.12658312606045005,0.22725264822740793,0.06045213496114429,0.06563384608772806,0.6171554044176888,0.10230984653059207,0.27258953493168436,-0.13749113406134003,0.46375547099735126,0.5382858837592638,0.14061143134919837,0.17972023687640398,-0.21327217277053218,0.18924753089085597,0.22191812916125683,0.21272775391775728,0.5069279094515776,0.4036461970402294,0.703870381837607,0.875893490365509,0.6692047292328692,0.23504549431632712,0.5562256223007694,0.614311472910055,0.4760115457639709,0.5746528545116264,0.1258077012778472,0.34850310692161846,-0.06278964003894048,0.44325577209172806,0.35557927838114317,0.455438849306324,0.04927878239552063,0.21286877174150814,0.4952064266701233,-0.07024585667230401
Supp_Motor_Area_R,0.17163921091673895,0.3625016060450954,0.45656792526924533,0.8300298456867137,0.5499868046170424,0.6306592499293961,0.17245733826656248,0.5150192482834369,1.0,0.21378621260658032,0.4101598792056508,0.46326783498008456,0.38488798405591557,0.3898112709166338,0.5626805620159748,0.6734319203638965,0.806031057883397,0.4197038044392579,0.02074518532222968,0.5952204679351231,0.6614216683092294,0.25646696818325193,0.564142201051213,0.2929500358802755,-0.1382673419652422,0.4415169660312835,0.3770586955393389,0.2330694843295009,-0.35426478492214536,0.6356695063563119,-0.23415226431379402,0.03371335269317571,0.5997826793726023,0.6866432821982767,0.5634633033582214,0.91734809253111,0.08597232260978076,0.30370569194538694,0.0677144265465416,0.5650878183564827,0.02319062152919237,0.6200285674695487,0.1699413010653056,0.7950046279207981,0.08637517191591346,0.4298314481616866,-0.012729661043056735,0.5833562023102742,0.8304970643681563,0.3442335958945329,-0.056081206900774054,-0.1516992738228666,0.30689133453050665,0.5992764488666238,0.30011724804892775,0.09973550349476508,0.4386304739151348,0.8002419377148361,0.6828896740170914,0.8160182896176807,0.5763009053566233,0.6488209463846597,0.6784277440424664,0.872615510069058,0.786934069293518,0.4303656931156666,0.6680234224206311,0.23092624993543462,0.4860449495632669,0.2602443537743573,0.21678140522483383,0.3119388290592927,0.555579867939326,0.8871718003020065,0.24036052157677987
Cerebellum_10_L,0.4975589869688078,-0.01360453660674565,0.5202127485941102,0.1403078906610747,0.3818258013437278,0.5920346771449979,-0.005675882317272025,-0.38745738750708675,0.21378621260658032,1.0,0.5111036310819224,0.2890724015634016,0.42713535500739325,0.3217869281275118,-0.010765057018745252,0.14681023908955276,0.2286717952272265,-0.2893110029700381,-0.09576780128505315,0.5376163158017044,0.26980882138923895,0.620260268867058,0.22179133550545185,0.054484337797906034,0.2445478567498302,0.021514262982876592,0.557780278431664,0.25034025906220797,0.09642871657573243,-0.23370262586300217,0.050551834211471504,-0.17669095482449898,0.5034914786663224,0.03927119557876076,-0.009724587593721263,0.06435254140751206,-0.3357964651624215,0.3882931305408916,0.5219471587614848,0.5222485338685394,0.20117298564352057,0.21029660068308745,0.40971432434404903,-0.13702748816383298,0.12048746994727966,0.22611674887707012,0.4306358676081724,0.15096837127816878,0.364925916896736,0.3733395502937721,0.026924018273094586,0.216383188542388,0.2842143595365253,0.5707052917589699,0.33468069819284224,-0.3695213057105326,0.3844546713866109,-0.13718945689452816,-0.21245425404381285,-0.051993365344341166,0.49144521957212495,-0.17235950290384194,0.29683984192748936,0.1347380537249951,-0.061825132928993935,0.09972991442467727,0.2967267816731376,0.24072869089988277,-0.15516908771690519,0.13943740725529882,0.013802890762817691,0.4672136038839886,0.5434631565575888,0.3307753162984189,0.3889230016914345
