,Occipital_Mid_L,Temporal_Sup_L,Vermis_1_2,Thal_MDl_L,Pallidum_R,Thal_MDm_L,Amygdala_R,Cerebellum_6_R,Thal_IL_R,Thal_MDl_R,Parietal_Inf_R,Temporal_Mid_L,Rolandic_Oper_R,Vermis_8,Occipital_Sup_R,Parietal_Sup_L,OFCmed_R,Frontal_Mid_2_L,Frontal_Sup_2_L,Rolandic_Oper_L
Occipital_Mid_L,1.0,0.3643633081050494,0.46110009971775756,0.2948507613998418,0.12529972349907909,0.4149581281234532,-0.19432517439432007,0.43204089024730663,0.2948532618911937,0.2789245823184837,0.36376627060484823,0.5124465490382717,0.35959940901672816,0.19886346003612582,0.7633636278696602,0.743794040100959,0.03458196932830203,0.17491584395457233,0.18708717741648792,0.06223047442742057
Temporal_Sup_L,0.3643633081050494,1.0,0.7270889268236609,0.39434496849457645,0.7173925264252525,0.5812154399084963,0.32632761524431175,0.617295265946431,0.10159511052160061,0.43121207347495066,0.3326126956952441,0.8443268101627495,0.6842170970879402,0.1986162963858738,0.40513947484794355,0.28744516821142885,0.2678085409532096,0.7909969360208393,0.7554592614698763,0.7623543125604009
Vermis_1_2,0.46110009971775756,0.7270889268236609,1.0,0.6810464716844868,0.5505356875527273,0.7090464351083148,0.18672909685322825,0.7725399342981963,0.19460875568428848,0.6796963691451503,0.13755302765540184,0.7260237555412353,0.5402006761813823,0.47654032708821276,0.4555120947232435,0.16410092811968546,0.10281662878531524,0.6897409741820144,0.5736638629075318,0.5845067665908695
Thal_MDl_L,0.2948507613998418,0.39434496849457645,0.6810464716844868,1.0,0.3333737946241853,0.7528744111567225,0.2572139724637822,0.4848461707114261,0.3331825210684767,0.5867112491097489,0.1352240147487941,0.27289767222650196,0.3994675901016773,0.5106646424660379,0.49666421399043026,0.2261394541106144,0.10607362575618906,0.4997525366833898,0.34522768817976235,0.22007788549460577
Pallidum_R,0.12529972349907909,0.7173925264252525,0.5505356875527273,0.3333737946241853,1.0,0.667556286950771,0.20714901013742734,0.3976605059502725,0.37477623387434134,0.4499774954095459,0.2980124245406997,0.6313144427928721,0.5175758080612967,0.3136154805098647,0.1780417888638332,0.1186317827327316,0.19707294067424327,0.6363216909336208,0.5761122342386088,0.6978486207359577
Thal_MDm_L,0.4149581281234532,0.5812154399084963,0.7090464351083148,0.7528744111567225,0.667556286950771,1.0,0.24387751468149915,0.6282650020464796,0.4601209249078379,0.5911633656243002,0.3090517245125036,0.49676675794483943,0.4717053091248605,0.47413353862462454,0.5308718150388081,0.33152062085241474,0.16000015396266745,0.5927007645505088,0.3893146605373471,0.45760377446281086
Amygdala_R,-0.19432517439432007,0.32632761524431175,0.18672909685322825,0.2572139724637822,0.20714901013742734,0.24387751468149915,1.0,0.18229648516073965,0.0009650396574181347,0.2665113839544561,-0.30491119669524935,0.0386384576847536,0.384949262837576,0.15520096396163247,-0.12796856197494696,-0.1416196737601988,-0.08824144258999667,0.32148262047279275,0.24023221358431113,0.23721804228474613
Cerebellum_6_R,0.43204089024730663,0.617295265946431,0.7725399342981963,0.4848461707114261,0.3976605059502725,0.6282650020464796,0.18229648516073965,1.0,0.06990315690838837,0.46347510662601354,0.022705307521633942,0.6498452568594386,0.30864229816525923,0.2725554300490004,0.472747030054652,0.10232929273298605,0.2242758214991909,0.5730090052259419,0.30745667756526257,0.5193709307844542
Thal_IL_R,0.2948532618911937,0.10159511052160061,0.19460875568428848,0.3331825210684767,0.37477623387434134,0.4601209249078379,0.0009650396574181347,0.06990315690838837,1.0,0.5608126771838965,0.06187852741164397,0.06842814770238068,0.4113576334349063,0.4264494314835405,0.32847345959734814,0.18225164164834354,-0.036080368781004256,-0.06263457065300886,-0.02245646785268402,0.03725982687613917
Thal_MDl_R,0.2789245823184837,0.43121207347495066,0.6796963691451503,0.5867112491097489,0.4499774954095459,0.5911633656243002,0.2665113839544561,0.46347510662601354,0.5608126771838965,1.0,-0.19057441954520227,0.4104133601849162,0.5079581452959068,0.5599097780991794,0.21271295632759465,-0.05805084215460405,-0.14499025541136007,0.27582233421334196,0.25836468990281586,0.3382846187683661
