,Thal_PuL_R,Fusiform_L,Thal_VA_R,Cerebellum_Crus1_R,Frontal_Sup_Medial_L,Thal_IL_R,Thal_MDl_R,Occipital_Inf_L,Caudate_R,Cingulate_Mid_L,N_Acc_R,Occipital_Inf_R,Cerebellum_Crus2_L,Paracentral_Lobule_L,OFCmed_R,Precuneus_R,Angular_R,Thal_AV_L,Thal_MDm_L,Lingual_R,Red_N_L,Cerebellum_6_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Precentral_L,Precentral_R,Thal_MDl_L,Rolandic_Oper_R,VTA_L,Thal_VL_R,OFCant_R,Hippocampus_L,Thal_PuL_L,Cerebellum_3_R,Cuneus_R
Thal_PuL_R,1.0,0.21762579482013966,0.31282563106567085,-0.07170922008153213,0.4193908515610793,0.28496461097901266,0.42652248366562817,-0.22689980577290433,0.6081242525200137,0.54068630441774,0.20807585326405964,-0.026411959272425928,0.2704244487830806,-0.06381437048703616,0.0412968786910124,0.12629736735927607,0.24523437553543154,0.41955689763734366,0.14468411222989394,0.16620256538595626,0.5191217065593678,0.09474819905150823,0.29174558285862734,0.35250961617821613,0.03630390905125796,0.11437090887325854,0.31319249218882944,0.7202945025485095,0.4449229184922556,0.5157095757424778,0.26617571557359326,0.257846343641392,0.8044818943505342,0.028906638317401867,0.06496688557787055
Fusiform_L,0.21762579482013966,1.0,0.6142334394338943,0.31748005803687257,0.7287626272455543,0.006336497108470848,0.4401583749468643,0.20246735229693877,0.598111797592881,0.5966081765643383,-0.14664674154140292,0.0666866953718476,-0.12374276788929581,0.542878326551675,0.21263993820373905,0.7849379037667283,-0.031126517458647994,0.479248830779,0.6203454727533791,0.7736020936449941,0.4556383491739919,0.7156900446989749,0.7839678330705966,0.8517882168094294,0.6466530816286152,0.441371836608816,0.44996320772606696,0.5035844221332774,0.5295278844546967,0.7207141201391848,0.18023580409826753,0.8127350289947293,0.26780870793505124,0.677059462117186,0.7216183708201782
Thal_VA_R,0.31282563106567085,0.6142334394338943,1.0,-0.01975527843209222,0.6054702475550595,-0.15902168037380252,0.3570788821152361,-0.2806859598069306,0.8018126476673104,0.4109679053583397,-0.11391644068019031,-0.22184060057042604,-0.1581016603286719,0.22117945961561142,0.04615705128581832,0.38868298620753017,-0.2730694247137072,0.5022670265869466,0.37046580441923904,0.21717047527385125,0.13999075316311851,0.32364634208734117,0.6923751874472104,0.6564690131046474,0.2870966260708932,0.1975808087039471,0.3721087150493933,0.3495081726512113,0.6206262094042221,0.7802327114235188,0.4934641906558388,0.6065309124805105,0.2782354417829844,0.2468832887777973,0.18048407178162099
Cerebellum_Crus1_R,-0.07170922008153213,0.31748005803687257,-0.01975527843209222,1.0,0.10423764147259997,0.24841206967622423,0.371577368750914,0.37938769584981924,0.04191090101885994,0.008407284524856014,0.05026445205442598,0.6816487825831388,0.04181343699613284,0.050067920204105394,0.20235079309599188,0.25938466438388585,-0.12242562775942599,0.29039411206265475,0.4957500275721471,0.6161873010899233,0.4111076039805525,0.7873694244751951,0.2206546753208903,0.2762184424249448,0.20816163316441202,-0.1627659422627455,0.36275155833220785,0.0901556333784122,0.15929047502292998,0.1017138610042845,-0.4053711638837017,0.24202005763241158,-0.1613374417031426,0.3589255471999151,0.5349024468424498
Frontal_Sup_Medial_L,0.4193908515610793,0.7287626272455543,0.6054702475550595,0.10423764147259997,1.0,0.007354199606188591,0.28498234658507887,0.04546392438047839,0.6803610549967547,0.647801839722078,-0.07720369334557016,-0.014243466169357387,-0.07927941019490313,0.39891090503342225,-0.02062529757892904,0.6617332617881091,-0.04982244507117184,0.3921936822975047,0.41030006406781805,0.5870987828688102,0.44075873228455115,0.4664464379600246,0.7869426567214899,0.8802030125934663,0.593145258413098,0.439367656354727,0.27533762353209706,0.6300461717701619,0.46292797726071294,0.7346855406875972,0.4543793963133353,0.6869293346344597,0.49593363353875414,0.5724196434331337,0.45167986991
Thal_IL_R,0.28496461097901266,0.006336497108470848,-0.15902168037380252,0.24841206967622423,0.007354199606188591,1.0,0.5608126771838965,0.16184504544114625,0.22209849649918897,0.00025763747603141753,0.7708283488213332,0.2843721808968232,0.008842305759767959,-0.09828800821123672,-0.036080368781004256,0.0016048976203371528,0.3423057174344316,0.14423899858674527,0.4601209249078379,0.029952567384951355,0.4793408649162989,0.06990315690838837,-0.06263457065300886,-0.002470543639091606,-0.1672298985864985,-0.1619304189247526,0.3331825210684767,0.4113576334349063,0.22566604108492405,0.1956753047808232,-0.024592631925076023,0.2257439723906595,0.31548412124881126,-0.02415749240461004,0.0709833596839179
Thal_MDl_R,0.42652248366562817,0.4401583749468643,0.3570788821152361,0.371577368750914,0.28498234658507887,0.5608126771838965,1.0,0.11399326899258862,0.5226402001737034,0.16236140121855122,0.3883318336726152,0.30965113386282983,0.03587771134794982,-0.07852598216841791,-0.14499025541136007,0.11880212274412628,-0.06620365573692072,0.4953352899240943,0.5911633656243002,0.3052390121050914,0.662191065174598,0.46347510662601354,0.27582233421334196,0.3498800991359607,-0.04583021585233424,-0.20457971193714997,0.5867112491097489,0.5079581452959068,0.5988890364673856,0.5114234067457178,0.24068140397553775,0.5450097166893406,0.38763829522184007,0.07960694093560934,0.2762411607015245
Occipital_Inf_L,-0.22689980577290433,0.20246735229693877,-0.2806859598069306,0.37938769584981924,0.04546392438047839,0.16184504544114625,0.11399326899258862,1.0,-0.2290813184539439,-0.011796954213960608,-0.0295209451662203,0.39530164305853643,-0.18963106502998625,0.13322171778758163,0.12914733447499352,0.13150269154229619,0.09195290459135683,0.10045385630292895,0.15780918287831283,0.4224892451296604,0.21560759784400765,0.33192474154827234,0.01713154104278905,0.02482298669808363,0.17941530522233784,0.08764053760654994,0.14499167475007205,-0.05427695377112871,-0.16831126715368372,-0.03755852958908167,-0.3752526486277001,0.18447189819436213,-0.04731789291571526,0.3103114124516763,0.3456311252586941
Caudate_R,0.6081242525200137,0.598111797592881,0.8018126476673104,0.04191090101885994,0.6803610549967547,0.22209849649918897,0.5226402001737034,-0.2290813184539439,1.0,0.5727522388870404,0.1734796749696869,-0.04031126559260865,-0.12542638944169796,0.0743149173245602,0.07668966211620433,0.34214180518204024,-0.04254561755525327,0.5560345760151963,0.5162676540163577,0.3059818038665063,0.47706829384767774,0.366330213678979,0.7063676096467245,0.6770988783530157,0.19539237121055728,0.1153708516873823,0.46402464441673164,0.747243127831817,0.6652985719938853,0.8717624746029955,0.44946540679684827,0.6603501519756871,0.566492561396045,0.21234319330311452,0.1684338318398004
Cingulate_Mid_L,0.54068630441774,0.5966081765643383,0.4109679053583397,0.008407284524856014,0.647801839722078,0.00025763747603141753,0.16236140121855122,-0.011796954213960608,0.5727522388870404,1.0,-0.20662752355401495,-0.021178925545314545,-0.040695579955085256,0.5263557590121615,0.27798977048708295,0.671251278430155,0.37818487863406525,0.417610324161922,0.41552048863839103,0.5328218261542292,0.30146845298096764,0.3811085278888067,0.7188262326315241,0.7387081334229231,0.6255359451770984,0.5544355574536115,0.37709583334054997,0.6621186067126408,0.3670959369590116,0.6327823644869983,0.06908261590349628,0.5057349657043492,0.6167410300312547,0.5750955822723242,0.5898299142140964
