,SN_pr_R,Vermis_10,SN_pr_L,Red_N_L,Supp_Motor_Area_L,Temporal_Sup_L,Postcentral_L,Heschl_R,Temporal_Mid_R,Thal_PuI_R,OFCmed_L,Vermis_1_2,OFCpost_L,Thal_MDl_R,Thal_MDm_L,Cingulate_Mid_L,ACC_pre_R,Fusiform_L,Frontal_Inf_Tri_R,Cingulate_Post_L,Angular_L,Vermis_6,Thal_VA_L,Paracentral_Lobule_L,Cuneus_L,Parietal_Inf_R,Thal_Re_L,Rolandic_Oper_L,Occipital_Sup_R,Frontal_Med_Orb_L,SupraMarginal_L,Thal_LGN_R,Raphe_M,Cerebellum_Crus1_L,Temporal_Pole_Sup_R,Thal_PuL_R,Occipital_Mid_L,ParaHippocampal_L,Precuneus_L,Vermis_7,Thal_VPL_L,Postcentral_R,Raphe_D,VTA_R,Precuneus_R
SN_pr_R,1.0,0.3170106025984854,0.11827702639910578,0.4494320114150887,0.16081472002874606,0.45457399344185856,0.30313262649598227,0.10494805134738638,0.6167394567070622,0.34288024685730323,0.4098288634543985,0.3467196961932841,0.3306995726382544,0.4060512489199161,0.4970600691235058,0.5346740707373678,0.48812232845679304,0.6492010422014428,0.5078631653241523,0.6059886605514859,-0.14525964105684586,0.4695537287109889,0.2243344736800039,-0.18582447311750272,0.2711626301546978,-0.16126445586456903,0.552903389074899,0.3037425959838915,-0.11770789241863476,-0.22663792146578887,0.1302576696221839,0.5485191154726426,0.0894769556033474,0.0931825326466143,0.4636032343305474,0.03216245452927729,0.29001631324688426,0.7657679770855004,0.5141076862867014,0.07380734279930816,0.4146072227375914,0.2684538904110837,0.48575720897910607,0.20322834040386817,0.4592662040494465
Vermis_10,0.3170106025984854,1.0,0.37259271491519746,-0.013850666390290983,-0.06968073115456049,0.19090361513420853,-0.03090446111126738,0.2826260123567198,0.263868533153324,0.17287583109894647,0.28285467352908367,0.5210235360357298,0.1895512509442935,0.17128317891009096,0.0916041626701448,0.11839587951995775,0.3602301946956218,0.58723941729803,0.37031069896937385,0.1529359748614092,-0.07098828960016489,0.2174104978695345,0.2778357629245584,-0.0020166802497702165,-0.12540387447307896,-0.29331838601772964,0.2176783156470767,0.3929336086673432,0.035476016022094346,0.19777873932939252,-0.18746351596027067,-0.010812820202200674,0.3653808230987315,0.2697952182714316,0.3935468205342882,-0.08323873409299841,-0.06851087728203377,0.3648571017437591,0.043784488441757474,0.13479849057005744,0.28803524954063153,0.035200534458599615,0.19008065395286258,-0.1457023351459349,0.015612928238957872
SN_pr_L,0.11827702639910578,0.37259271491519746,1.0,-0.677862108951076,-0.5616975762095164,-0.3156710073640749,-0.559157092725379,-0.06340131535717743,-0.255753059941361,0.3735033037406874,0.5169722185399355,0.4570520006548178,-0.35298193174457665,0.031676472695446975,-0.2667238919851808,-0.32729764444560777,0.18545209380854497,0.27223504315477287,0.16211150853290052,-0.2677420249725122,-0.2841263709052837,-0.2655827147862845,-0.0034829289721725405,0.10056479306606692,-0.7247441111549464,-0.459808784314846,0.28316059211009115,0.1834765999260497,-0.21960936178540838,0.7080746903601235,-0.3298030158373887,-0.6766636125644346,0.6075264940214613,0.0036087990959057484,-0.006540675868456665,-0.3382132247316311,-0.6140735311589662,-0.13392196136572526,-0.5472859922458388,-0.28662301060037704,0.3511067250445382,-0.6298311471747658,-0.31727101588972423,-0.8148739142183903,-0.5096800456566565
Red_N_L,0.4494320114150887,-0.013850666390290983,-0.677862108951076,1.0,0.32788528010316886,0.4040770909226936,0.4615813045906523,-0.029704157536691405,0.6851277106500292,-0.10486677642571904,-0.24261728632565713,-0.20110060105991207,0.5180574048660767,0.22300298651696104,0.4977950268235965,0.4639162881450129,0.23086767819236514,0.3582137195763598,0.12471426620210908,0.562867833481933,0.06566628409561982,0.6009631532072707,0.1707527436477646,-0.057135527893419906,0.6642411989009323,0.24865010244720012,0.12971032337321722,0.018916897987259894,0.14999921198608174,-0.628257899646526,0.22815366752876626,0.8684891284123203,-0.5262789349714669,0.313301302349151,0.3195410280391782,0.3692047201788835,0.6067578819786744,0.5327422683583752,0.6493674323167324,0.5022370638446363,0.03949857442098955,0.5713162387161228,0.5600653688948233,0.8344921520232761,0.6444033467394975
Supp_Motor_Area_L,0.16081472002874606,-0.06968073115456049,-0.5616975762095164,0.32788528010316886,1.0,0.648255416623458,0.7884027331093946,0.47856934513463795,0.37041608598484566,-0.22272331849809693,-0.03891575260614036,-0.04387875673865916,0.455526818390872,0.2193512312406012,0.3589815001469091,0.6802681539756238,0.07559475596017262,-0.04900611171328484,0.4550293464850505,0.42427316626082895,0.20404487520386813,0.37908722940055045,0.18580514080013674,-0.29521425849136634,0.6781622931149692,0.20265131310672357,-0.07732460063998409,0.23198380747181602,0.17979536257380183,-0.6829193123398577,0.43802840726095715,0.577593231287027,-0.06920075407131399,-0.15054602872331407,0.3917557977819157,0.21083278895148974,0.6441686342545171,0.5062237674280785,0.6776449390350291,0.07227083077229138,-0.2692188607215181,0.8209306726897874,0.4248803194748093,0.5632115747523226,0.652912163111829
Temporal_Sup_L,0.45457399344185856,0.19090361513420853,-0.3156710073640749,0.4040770909226936,0.648255416623458,1.0,0.7525921472529129,0.5974015230013697,0.6893668605592973,-0.07162510133205097,0.1434725802234956,0.09010614370649933,0.5197485226132302,0.4744327528112257,0.5263731192082363,0.7714070723286858,0.44410459971854044,0.394424800234125,0.5973258938423994,0.6643674492719397,0.31184852072257857,0.41667307694171596,0.4059456497355939,-0.3590998806643577,0.7393876005985703,0.12841764956148058,0.18282440650974965,0.5987801266424823,-0.10736001320225556,-0.33362721921722915,0.5085173659226846,0.5956394462980965,-0.11731452233134697,0.01723575716216749,0.5948636261249749,0.27850393785165906,0.7124350170985261,0.71055943121204,0.8213163888439972,0.12843964992626747,0.19348294631797755,0.6336255763529615,0.6381910781435944,0.48939233996495174,0.8131712784792927
Postcentral_L,0.30313262649598227,-0.03090446111126738,-0.559157092725379,0.4615813045906523,0.7884027331093946,0.7525921472529129,1.0,0.3964783948842924,0.4341859849295727,-0.09696044578282483,-0.047972686605563565,-0.03075375517618501,0.3918507807375162,0.24517956994682355,0.5042361232201404,0.8091332344716681,0.15332860562276343,0.013360916952218737,0.32565567035456594,0.5398546000903743,0.30561139185361463,0.35914454135111296,0.05941519275964781,-0.43041637372078856,0.858647631969724,0.3269451130438794,-0.032728498457608106,0.1631465358978981,-0.0366461196435587,-0.5579447626562319,0.6058049968565582,0.6692313965445165,-0.25420520420015075,-0.2135436252869173,0.33538064767868175,0.11246284087790226,0.8236217803758037,0.5893569337542417,0.8084084353542593,0.007670158506779138,-0.1150435452829891,0.6397947854611321,0.570313809093526,0.6171765180636102,0.7397239109568319
Heschl_R,0.10494805134738638,0.2826260123567198,-0.06340131535717743,-0.029704157536691405,0.47856934513463795,0.5974015230013697,0.3964783948842924,1.0,0.23826252348019133,0.10784066012673699,0.013199658550423278,0.23069368982855432,0.1711597205238217,0.12061219522004371,0.48209184032022734,0.4164592443695903,0.08030045890503523,0.22736870206719173,0.50303331159616,0.3484119157202671,0.2374988654498787,0.14977907367288168,0.19406426120869763,-0.23079328969462806,0.28994922746849827,-0.07750842537526738,-0.11882809131223979,0.5459530522474657,0.034339613489165595,-0.08007012961717329,0.10790132479336659,0.22259591400752055,0.2797269552100621,0.01894377322430681,0.40334727087903977,-0.09699562465133402,0.3119877941092845,0.3878172114114647,0.4088913150751222,-0.03209653143395172,0.11313198331285729,0.36338995061512686,0.3219657359395396,0.11153712334536117,0.3109715371981614
Temporal_Mid_R,0.6167394567070622,0.263868533153324,-0.255753059941361,0.6851277106500292,0.37041608598484566,0.6893668605592973,0.4341859849295727,0.23826252348019133,1.0,0.01979946093496042,0.1608818237731404,0.046051882250597774,0.6420387004860653,0.5783608802436063,0.4480500509595938,0.6491619434439163,0.6516606609445795,0.7361109508581711,0.7020083862336264,0.773955003986015,0.013191123917066765,0.752516409226014,0.4467202058251081,-0.1649706963161673,0.5434288567428441,0.02183959749022254,0.34323221471147153,0.5413173055479451,0.06567461807264671,-0.34177646234387576,0.19775195191505648,0.6792858473362194,-0.12773894198321828,0.4474719451993777,0.7214310112320651,0.37955019411183194,0.5921867156404649,0.6849969554338533,0.7309125606278725,0.5029902902343525,0.2563033386184198,0.6340526817295651,0.6172526499990021,0.5431242399172769,0.8112684562153601
Thal_PuI_R,0.34288024685730323,0.17287583109894647,0.3735033037406874,-0.10486677642571904,-0.22272331849809693,-0.07162510133205097,-0.09696044578282483,0.10784066012673699,0.01979946093496042,1.0,0.3006603602426379,0.44489483899922644,-0.05159783559108232,0.114684916378213,0.3821107755076659,0.22617579564177012,0.1447262904831516,0.34250137537029596,0.18928707042906467,0.3448796084774925,-0.1486325005071967,0.14740219960637127,-0.5287007624291137,-0.19322803302470698,-0.286941088063185,-0.4623390327224901,0.1656477628555094,0.08475860556438108,-0.13164894970633537,0.04303686613174023,-0.2683805099037847,-0.07175863569380869,0.4179414734519478,0.07446681847023144,0.15598196796754882,-0.6635044935729297,-0.09591123749626947,0.1472038050834106,-0.018165630875962034,-0.2576086645013713,0.18971186379594937,-0.3865174436763988,0.051374222808162076,-0.3685042253351576,-0.07245135955436426
