,Occipital_Mid_L,Vermis_1_2,Cerebellum_7b_R,Temporal_Inf_R,Heschl_L,Amygdala_L,Thal_LP_L,Thal_VA_R,Parietal_Inf_L,ACC_pre_R
Occipital_Mid_L,1.0,-0.16624007106038136,0.4717886556016744,0.32001286103785714,-0.2876735943240942,-0.45104465664118093,0.09020212912215707,0.20901021105544215,0.6303887360231203,0.24991537520226878
Vermis_1_2,-0.16624007106038136,1.0,-0.3095285743515765,0.3030753976722356,0.08584069336179875,0.48151602458493364,0.06894919456166335,0.15430828941794283,-0.07402667872416556,0.3486232489282574
Cerebellum_7b_R,0.4717886556016744,-0.3095285743515765,1.0,0.29563501131685177,0.17799902001872575,-0.5446896823719508,0.21426179370259127,0.11230322568760708,0.24415191014783127,0.199120086545729
Temporal_Inf_R,0.32001286103785714,0.3030753976722356,0.29563501131685177,1.0,0.4254736300008859,0.2071731164347411,0.03473392693707732,0.5038493078807044,-0.07357160107585377,0.7405597216685308
Heschl_L,-0.2876735943240942,0.08584069336179875,0.17799902001872575,0.4254736300008859,1.0,0.1839540594953512,0.08598481091106207,0.16993535114753763,-0.40016195842674157,0.4988635439857781
Amygdala_L,-0.45104465664118093,0.48151602458493364,-0.5446896823719508,0.2071731164347411,0.1839540594953512,1.0,-0.16066437257346086,0.15825780575567194,-0.3822224079850423,0.17521427031414238
Thal_LP_L,0.09020212912215707,0.06894919456166335,0.21426179370259127,0.03473392693707732,0.08598481091106207,-0.16066437257346086,1.0,0.10324726103862472,0.06750180247775217,0.19326345657510335
Thal_VA_R,0.20901021105544215,0.15430828941794283,0.11230322568760708,0.5038493078807044,0.16993535114753763,0.15825780575567194,0.10324726103862472,1.0,0.1131873694106894,0.4117950887808655
Parietal_Inf_L,0.6303887360231203,-0.07402667872416556,0.24415191014783127,-0.07357160107585377,-0.40016195842674157,-0.3822224079850423,0.06750180247775217,0.1131873694106894,1.0,-0.0759642000205539
ACC_pre_R,0.24991537520226878,0.3486232489282574,0.199120086545729,0.7405597216685308,0.4988635439857781,0.17521427031414238,0.19326345657510335,0.4117950887808655,-0.0759642000205539,1.0
