,Cerebellum_4_5_L,Vermis_7,Thal_MDl_R,Frontal_Inf_Orb_2_L,Thal_VA_L,Temporal_Mid_R,Thal_PuL_L,Thal_VPL_L,Cerebellum_7b_L,Temporal_Pole_Sup_R,Supp_Motor_Area_R,Calcarine_L,Hippocampus_L,Occipital_Mid_L,Cerebellum_Crus2_R,OFClat_L,Frontal_Sup_Medial_L,Amygdala_L,VTA_L,Thal_MDl_L,Thal_LGN_R,Heschl_R,Vermis_4_5,Thal_PuM_R,Olfactory_L
Cerebellum_4_5_L,1.0,0.1603290650896785,0.39496373297186455,0.40572634631293675,0.2533690440683145,0.5975277316555905,0.06836733905700274,0.5571996004130532,0.1332783995290472,0.47699838614457957,-0.003250812085084629,0.3768276093678476,0.7522897123102951,0.04293573869507672,0.39702553817942,0.03435790937875669,0.3891976281806413,0.33420943670570563,0.02026252954642152,0.38104416645233036,0.3380974127641293,0.12124653506703198,0.7327431730009069,0.41097322217467935,0.3238864995624424
Vermis_7,0.1603290650896785,1.0,0.11397826426247515,-0.015762363558390762,0.29152426976790896,0.5029902902343525,-0.13853281953175947,-0.048533170795307265,0.6829957831345114,0.32306896530973556,0.15842242783701196,0.44228495770776866,0.0809373480178986,0.2798285877856303,0.4825612446247029,-0.18131750825171866,-0.03342957203652094,-0.312208444085623,0.28151841186568455,0.06786871463988955,0.3145614093709799,-0.03209653143395172,0.3570762742716567,0.17307182377627883,-0.07349725141042611
Thal_MDl_R,0.39496373297186455,0.11397826426247515,1.0,0.44196870354364676,0.2954903741365798,0.5783608802436063,0.03905091862670987,0.27105718895329606,0.11126687201174659,0.46314163931411106,0.3237125459183512,0.35214362330786636,0.3815166545657225,0.32547660720538685,0.060864543965936206,0.09008944050295215,0.43487738474311305,0.046872138544139935,0.16643584351376137,0.2636535135842821,0.26819561581843754,0.12061219522004371,0.5961757971716137,0.5874688193755124,0.12156935920862733
Frontal_Inf_Orb_2_L,0.40572634631293675,-0.015762363558390762,0.44196870354364676,1.0,0.07792795564695136,0.3486890669142429,0.1178298442811257,0.21530007410238505,0.08522698568861854,0.5695344277313241,0.1472054490270643,0.15658507434455948,0.5346953784595028,0.04025327600138142,0.200301603888564,0.6742351655612039,0.794556041785292,0.5508954619698555,-0.08075671793646617,-0.11738879442772913,-0.13214511526957343,0.3354225065232032,0.5318374569046904,0.47016348823412984,0.6565756665938657
Thal_VA_L,0.2533690440683145,0.29152426976790896,0.2954903741365798,0.07792795564695136,1.0,0.4467202058251081,0.230227858763006,0.32886882408945606,0.3676028011992685,0.3372259180712407,0.11134452222375821,0.0322638675167789,0.3779468328665245,0.06352789038514518,0.1711623440596453,0.05058301485590099,0.15813516316965842,-0.14422933416881994,0.6917131809961281,0.12011852858575733,0.1589141510248063,0.19406426120869763,0.2658586952243365,0.6390781253462143,-0.021947973525701336
Temporal_Mid_R,0.5975277316555905,0.5029902902343525,0.5783608802436063,0.3486890669142429,0.4467202058251081,1.0,0.07357971632062746,0.2563033386184198,0.4051306705378055,0.7214310112320651,0.47467701086513825,0.7875127097117447,0.44846209952023197,0.5921867156404649,0.2826840960493012,-0.16593557916805537,0.34312330288002874,-0.10827810412600546,0.14192025327665972,0.4513875889871729,0.6792858473362194,0.23826252348019133,0.7570449406748461,0.4643202495234558,0.009678301008710859
Thal_PuL_L,0.06836733905700274,-0.13853281953175947,0.03905091862670987,0.1178298442811257,0.230227858763006,0.07357971632062746,1.0,0.1938489866317309,-0.10878036215001229,0.17995539454105428,0.1880942379067632,0.04297809923475826,0.09222447103129171,0.16771117348181702,-0.3573417703724597,0.08147829869546923,0.17002941596680463,-0.061703943351362145,-0.0938038794926668,0.04098743689245616,0.11128993960775897,0.372332492532311,0.00879117551883785,0.03197059596083909,0.044918732237391
Thal_VPL_L,0.5571996004130532,-0.048533170795307265,0.27105718895329606,0.21530007410238505,0.32886882408945606,0.2563033386184198,0.1938489866317309,1.0,-0.003062759578228146,0.20714536552063798,-0.28175242408176054,0.020625233514282592,0.5672274793918172,-0.08657190890958064,0.18095573841007517,0.1690253531996239,0.17205485692392986,0.2373538610904289,0.27721285554437974,0.2728240351429357,0.07174287930507892,0.11313198331285729,0.2739497574389216,0.4760011224232722,0.31369560949597614
Cerebellum_7b_L,0.1332783995290472,0.6829957831345114,0.11126687201174659,0.08522698568861854,0.3676028011992685,0.4051306705378055,-0.10878036215001229,-0.003062759578228146,1.0,0.29641335799927043,-0.00599066614807264,0.28928455869336783,0.08934279965226616,0.18978516777524038,0.6612510385534163,0.020926621630130687,0.01570036527338409,-0.273992628636826,0.3138780031487807,-0.06146226300363916,0.08723915904105571,0.02712186344347242,0.34478117576659073,0.269234651496952,0.05570089069503253
Temporal_Pole_Sup_R,0.47699838614457957,0.32306896530973556,0.46314163931411106,0.5695344277313241,0.3372259180712407,0.7214310112320651,0.17995539454105428,0.20714536552063798,0.29641335799927043,1.0,0.45602005592287376,0.5527993361038862,0.5362100519740683,0.40756018422226764,0.23557651780478273,0.10149317354038499,0.5726209020858938,0.08479164211050425,-0.055315307966743,0.2630694223121602,0.37878495968559234,0.40334727087903977,0.6691978902771095,0.36671176339111883,0.21843380460376496
