,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_R,1.0,0.4725259634545101,0.42508533622805916,0.4718116407488168,-0.6258898288090582,0.18435355946399773,0.7092048255602019,0.7273339937640745,0.3341863103014806,0.3533633756103805
Thal_MDl_L,0.4725259634545101,1.0,0.26722638513497377,0.40567999126907023,-0.412910928102045,0.0513767067990678,0.4201620945088116,0.2690183961940378,0.3076066037087504,0.08915150230389192
OFCpost_R,0.42508533622805916,0.26722638513497377,1.0,0.5362744249880677,-0.059825540577759476,0.1497158057214757,0.3805527150749827,0.48871519833021326,0.654977012195105,0.5413474784185631
Temporal_Sup_R,0.4718116407488168,0.40567999126907023,0.5362744249880677,1.0,-0.031928930249087134,0.5296918356165706,0.42427274393590947,0.5797018938065753,0.7042763214184334,0.44569692898649116
OFClat_L,-0.6258898288090582,-0.412910928102045,-0.059825540577759476,-0.031928930249087134,1.0,0.29431742013057904,-0.4720978875785007,-0.31661820230432675,0.0564213257414038,-0.016846894773895282
Heschl_R,0.18435355946399773,0.0513767067990678,0.1497158057214757,0.5296918356165706,0.29431742013057904,1.0,0.28994922746849827,0.21120991156017285,0.08728930528221134,0.03186525711046464
Cuneus_L,0.7092048255602019,0.4201620945088116,0.3805527150749827,0.42427274393590947,-0.4720978875785007,0.28994922746849827,1.0,0.4684389484184988,0.1471000979624841,0.0703523648077186
Occipital_Inf_R,0.7273339937640745,0.2690183961940378,0.48871519833021326,0.5797018938065753,-0.31661820230432675,0.21120991156017285,0.4684389484184988,1.0,0.6513824603048363,0.5613685541713631
Temporal_Inf_R,0.3341863103014806,0.3076066037087504,0.654977012195105,0.7042763214184334,0.0564213257414038,0.08728930528221134,0.1471000979624841,0.6513824603048363,1.0,0.621300846580336
Vermis_8,0.3533633756103805,0.08915150230389192,0.5413474784185631,0.44569692898649116,-0.016846894773895282,0.03186525711046464,0.0703523648077186,0.5613685541713631,0.621300846580336,1.0
