,Pallidum_R,Vermis_4_5,Parietal_Sup_R,Thal_VL_L,OFCmed_L,Thal_PuA_R,Cingulate_Post_R,Temporal_Inf_R,Cerebellum_9_L,Frontal_Sup_Medial_L,SN_pr_L,SupraMarginal_R,Olfactory_R,Occipital_Sup_L,Thal_PuM_R,SN_pc_R,Lingual_R,OFCpost_R,Thal_MDl_L,Putamen_R,Heschl_L,Occipital_Sup_R,Paracentral_Lobule_L,Caudate_R,Pallidum_L,Frontal_Inf_Orb_2_L,ACC_sub_L,N_Acc_L,Thal_PuM_L,Supp_Motor_Area_R
Pallidum_R,1.0,0.4482868241617678,0.1939710963441266,0.022717448589761186,0.34974492102720633,0.3691731063896439,0.4752844927434352,0.4761904204898324,0.30970027574850434,0.3157067019113033,0.21144278080870746,0.02600779626986601,0.593988961774222,-0.01683908607812458,0.7257056855356749,-0.012095553223592506,0.32829357558386546,0.3919550665863597,0.22977061376255778,0.4836406188424642,0.5420567219890247,-0.12719903953078585,0.14287546531535536,0.8898401105285199,0.5584723543415729,0.2613599999886722,0.20971561481399,0.15293709905655556,0.46310248308242796,0.0018670899878664587
Vermis_4_5,0.4482868241617678,1.0,0.0037004064444784183,0.40122080111251107,0.25195198377519706,0.00045243130964085125,0.769590402779087,0.8467682697709787,0.6368096424170675,0.5670401126848489,0.07083230229938692,0.34222581182822936,0.31001025272663063,-0.053299684203576295,0.47630690980141654,0.35901724196089085,0.81763981503605,0.55508744633573,0.2653574159117785,0.5005751894373905,0.33017069458644416,0.19791211305083378,-0.045006962598128857,0.40823513809716044,0.45588555035116063,0.5318374569046904,0.26768168548160515,0.3037607442983282,0.407536797918013,0.35924106916793147
Parietal_Sup_R,0.1939710963441266,0.0037004064444784183,1.0,0.06300727522189298,-0.08655283088265613,0.1477311461210007,-0.052527044509964704,0.11721244083957043,-0.025980507385789147,-0.11822294111105965,-0.02214887898838267,-0.1280407759001841,0.04677265995792834,0.18867927210781982,0.19386841980219857,-0.030080816729712464,0.05469216724165012,0.2922048166969239,-0.009036614964171963,-0.09238078107405544,0.268330383650165,0.06570557897885426,0.19991938339276774,0.19568320813571793,0.23589206799935392,-0.08985159880835786,-0.10441537652726354,-0.01789052165729553,0.07499504892863469,-0.20996503658764487
Thal_VL_L,0.022717448589761186,0.40122080111251107,0.06300727522189298,1.0,-0.1459116236249497,-0.6726162353798266,0.42047400316572053,0.3237790188877746,0.1964955588403188,0.028828213882325038,-0.5593706694675181,0.7972836953393829,-0.1470962014263444,0.4656099437200991,-0.09231018890329447,0.7904511817685869,0.5906054589722081,0.5213457758400482,0.5267008649706201,0.18397384950606668,-0.19640657487228322,0.06775801057097687,-0.1988005605650266,-0.1396626005421431,-0.031078146304629937,-0.03364178176445336,-0.17673020252446425,-0.2166711416687424,0.28879199529388005,0.5447588176796498
OFCmed_L,0.34974492102720633,0.25195198377519706,-0.08655283088265613,-0.1459116236249497,1.0,0.31975723311859144,0.3787354585754227,0.2765533843780608,0.437349694958334,0.4011903947115225,0.5169722185399355,-0.18962950537152135,0.41717813849222396,-0.29450842849762127,0.354069896502316,-0.24206790422475355,0.20868569210415638,0.02361505170594006,0.07445942187332398,0.548671934328335,0.056469251199163975,-0.23766466430419864,-0.16675367312700815,0.398374578718658,0.3681517637140873,0.4690674197816824,0.4347121180171145,0.3548524921819061,0.21356917664928735,0.10805260321012326
Thal_PuA_R,0.3691731063896439,0.00045243130964085125,0.1477311461210007,-0.6726162353798266,0.31975723311859144,1.0,-0.024317122089144015,0.12483963855445995,0.12901980460033155,0.17291388347653672,0.7869512430265153,-0.8026737884153721,0.409376901063633,-0.4985187636623799,0.6140799385785916,-0.7336017517747807,-0.20929418572895084,0.001749499564631326,-0.3301611378670078,0.11260210815696277,0.6595132392648387,-0.20867974027598368,0.2946212408649462,0.5506823228092168,0.41433247167430337,0.3680198171239692,0.43183879726051644,0.6043552387529515,0.1790155786841756,-0.6542030396188683
Cingulate_Post_R,0.4752844927434352,0.769590402779087,-0.052527044509964704,0.42047400316572053,0.3787354585754227,-0.024317122089144015,1.0,0.6775810692319092,0.5445966344936257,0.6840202667589013,0.024913878203103493,0.46837565687543015,0.3325629069795059,0.039472072616653,0.5563828887579106,0.2851950928589097,0.777376439744822,0.45844541165877234,0.24419345032861048,0.5186995445320057,0.27470179901835506,0.007942060180906374,-0.23451049606592445,0.4891674178752076,0.4083035674031841,0.6496705239763366,0.2881775734395895,0.28815386239959384,0.44720497495735084,0.5199876589772242
Temporal_Inf_R,0.4761904204898324,0.8467682697709787,0.11721244083957043,0.3237790188877746,0.2765533843780608,0.12483963855445995,0.6775810692319092,1.0,0.6555125111779748,0.4513475213388664,0.10004010250905475,0.1747340200195108,0.42698288506171994,-0.0475417051065777,0.47093676262859346,0.3341863103014806,0.7956227931501753,0.654977012195105,0.3076066037087504,0.5975620372490508,0.4254736300008859,0.10470158173894774,-0.06563432696180707,0.39271969801413986,0.49040270411178083,0.48834533561594357,0.31958700385186456,0.2839081921630138,0.349209186816828,0.182893370608253
Cerebellum_9_L,0.30970027574850434,0.6368096424170675,-0.025980507385789147,0.1964955588403188,0.437349694958334,0.12901980460033155,0.5445966344936257,0.6555125111779748,1.0,0.49342151241350996,0.3099412645215766,0.06874405694399208,0.3733735323500491,-0.25306118706114156,0.29737209264540726,0.10148894621972533,0.5236899089036239,0.36573499051228114,0.1967183082060735,0.5183035671645365,0.2430307635133494,0.10909823857831968,-0.06269006033405751,0.28706402671944964,0.3642463838063137,0.5119589040453911,0.4512190852277966,0.43465498117056195,0.33416607588470126,0.13004218772137977
Frontal_Sup_Medial_L,0.3157067019113033,0.5670401126848489,-0.11822294111105965,0.028828213882325038,0.4011903947115225,0.17291388347653672,0.6840202667589013,0.4513475213388664,0.49342151241350996,1.0,0.38051438952648864,0.15428848524729,0.3111738761033351,-0.13640779458157626,0.3980448548537916,-0.1235390903934855,0.39158360448879126,0.17939559329738655,-0.08279887879734119,0.3768751583342225,0.17493683252680142,0.04300260360077501,-0.22105716006921833,0.3985304192055693,0.3352997054413989,0.794556041785292,0.4857507049788144,0.5217672552364644,0.2355584812925762,0.35858346463323376
