,Thal_VL_L,Cuneus_R,Lingual_L,Frontal_Sup_2_L,ACC_pre_L,Temporal_Pole_Sup_L,Frontal_Mid_2_R,Rolandic_Oper_L,Lingual_R,Vermis_8,Thal_MDm_L,Vermis_3,Thal_VPL_L,Raphe_D,Vermis_7,VTA_R,Thal_MGN_L,Cerebellum_6_L,Pallidum_L,Frontal_Inf_Oper_R,Amygdala_R,Raphe_M,Frontal_Inf_Oper_L,Thal_PuL_R,Thal_MGN_R,Precuneus_L,Frontal_Inf_Tri_L,Temporal_Sup_R,Cerebellum_4_5_L,Temporal_Inf_L,Temporal_Mid_R,Temporal_Inf_R,Calcarine_R,OFCant_L,Cerebellum_Crus1_L,Hippocampus_R,Pallidum_R,Putamen_R,Rolandic_Oper_R,Frontal_Sup_Medial_R,Vermis_1_2,Occipital_Inf_L,Parietal_Sup_L,Insula_L,Cerebellum_8_R,SN_pr_L,Calcarine_L,Thal_MDl_R,Putamen_L,Red_N_L,Caudate_R,Thal_PuI_L,Thal_VL_R,Cerebellum_Crus2_R,Thal_IL_R,SN_pc_L,SN_pr_R,ACC_pre_R,Frontal_Inf_Tri_R,Amygdala_L
Thal_VL_L,1.0,0.6855330890838169,0.4939884163161285,0.15790529770465617,0.136059819036042,-0.05012861505133431,0.4204293059240662,0.24238095912630742,0.5906054589722081,0.25061645732465676,0.7504508551581976,0.3729176696833319,0.09601541364221643,0.6383603570676776,0.23624415454486863,0.7440914816606127,0.3399452596997519,0.3275742031068686,-0.031078146304629937,0.1681333478831773,-0.10572230733364962,-0.2523623494598282,0.4316438091439091,0.14484764442568693,-0.3091447537378235,0.7320821231396399,0.30666464561765067,0.5836896818720689,0.28877897373021777,0.08360764536884681,0.5938725536666611,0.3237790188877746,0.7143980977908989,-0.5948616098780196,0.16431896220495543,0.24508571622586436,0.022717448589761186,0.18397384950606668,0.22816959363014166,0.11492757314946128,-0.05223807172637295,0.47227037989098264,0.10875610320384553,0.246973959963599,0.35667865847978153,-0.5593706694675181,0.7360095652233586,0.19920560856167985,0.221832395225784,0.6903911904635021,-0.1396626005421431,0.3648034567601884,-0.1682428000333789,-0.1699995532290361,0.42449279204548945,0.0023973891588482503,0.44839216390746806,0.16048355228870548,0.3470285362449394,-0.33523103736805615
Cuneus_R,0.6855330890838169,1.0,0.3943750507261149,0.16660426007912457,0.08481722638550916,0.0316003010725134,0.5092847763363235,0.18182658459528334,0.7038689930804359,0.30335118088278196,0.5968619682450902,0.42928348080110623,-0.10599545258013034,0.5832796278353305,0.21380237583560172,0.581186927035371,0.35027090792026677,0.38564429507598774,-0.09629162957411823,0.23187185129136487,-0.06686660309113601,-0.23332102844505576,0.5205824291064797,-0.11612791500166651,-0.3275419547700853,0.6909025232116722,0.19563929439168506,0.5075532394062701,0.28181980708822696,0.20366598684234322,0.6088782981168445,0.45992302405130864,0.7059080683165804,-0.5866161183084078,0.26655944962641015,0.08136035445600454,-0.08299813532817583,0.24999552006634695,0.3607784607739871,0.18793765948169688,0.012134197925361322,0.5528682452688398,0.13452875704302028,0.17243314198450255,0.26980277136910896,-0.4433854075563447,0.8245532771578724,0.2729738828478354,0.12563795412158524,0.5899790099373107,-0.24943204263413016,0.2763022767981531,-0.15200904533894452,-0.020833690693503246,0.5262581845525569,0.13452430329713416,0.46365644504681497,0.22772860862627034,0.35102758290715935,-0.2352397725924905
Lingual_L,0.4939884163161285,0.3943750507261149,1.0,0.11806850641873279,0.40832833003773406,0.23060514147161482,0.32751827937780276,0.51941945044837,0.7722345535440871,0.5668161723374016,0.21986386317019554,0.2375022383632723,0.2921444365411012,0.5012636399238722,0.6010967366523418,0.5310845172220617,0.22951628349295028,0.7141165222366904,0.48507525813066094,0.571679743409642,-0.09510001026472104,-0.19580125078370209,0.42338493214952766,0.5886440197069168,0.3513877148099121,0.6448247607621753,0.35738781733030606,0.7109920404275538,0.4791255761404171,0.36793213998106195,0.8764670083226306,0.644624280402303,0.837229886419974,-0.18643806657669967,0.43538341254902096,0.6677224967189439,0.6116972037662595,0.29649681384127957,0.5096261832586344,0.23794196437932733,-0.07663788752423992,0.3755773684531827,-0.0968099635679233,0.6561657302210491,0.6623383765251462,-0.24443023144966688,0.6432737106741117,0.44851475375466215,0.6682245671496683,0.6087465374707458,0.5644082630908953,0.2196465555132597,0.1348228725983617,0.2825573703354303,-0.0138213623471267,0.0031434443054907447,0.4675193024752972,0.5496120261799714,0.5439348037390884,-0.20065853483499543
Frontal_Sup_2_L,0.15790529770465617,0.16660426007912457,0.11806850641873279,1.0,0.18880167060400752,0.41287450117984503,0.777964951538438,0.5394615193568929,0.32967915568178807,0.09283794113362427,0.20293683916379507,0.44378360909209236,0.024743020910566484,0.16749716944442852,-0.14207574254121913,-0.15149936697082442,0.08127619175795195,0.2775525946028769,0.15901343185848377,0.6619902035920646,0.46792501335865555,0.5666918163128692,0.7727796200159531,-0.14524156625992818,0.0782025041568848,0.2512565404632931,0.8795838248898681,0.4200700560696878,0.18822177872622298,0.2850175071011429,0.21835086343833487,0.12827754386530912,0.18769204350126323,-0.012107743220649114,-0.06603362542424336,0.3101497242824378,0.12645999598653332,0.14207262044463992,0.275189256625257,0.8786798208805966,0.38743520368965695,-0.036979965064564774,-0.10293065071302862,0.33992982938623884,0.1227900177481432,0.18368483096576657,0.12791675709273692,0.2601303431621311,0.1440058517656285,-0.23321343560919452,0.22348106798451017,0.05672061982022107,0.1939830458194443,-0.1742212939916316,0.32516216544530496,0.0530592502574428,0.20839856765299525,0.24465341110995073,0.7538775228845487,0.308385607926282
ACC_pre_L,0.136059819036042,0.08481722638550916,0.40832833003773406,0.18880167060400752,1.0,0.5947978329229736,0.10181896098205256,0.5481304478215167,0.41000689344085484,0.2890416099095457,0.22705329502590818,0.4071709020334104,0.39555055787926047,0.22177025179741275,0.15450959805102937,-0.10541335014430941,0.18657746200365827,0.5137491198124752,0.4352549384648523,0.5783706613141943,0.33186183552106563,0.20147999495001284,0.47315528414540153,-0.01895288827893396,0.2010751810244208,0.21900089943244144,0.2514706762353405,0.4483135359140352,0.4748820522115371,0.6099292423866979,0.42410167386281494,0.6119716384119902,0.2882729095500784,0.3575596652589877,0.283284578649728,0.575199793357727,0.3425221079633203,0.46020294575360154,0.6750271012068068,0.33361676250580585,0.32368426527252653,0.13647991297344655,-0.0351568944199474,0.5552129907597837,0.38394756825829585,0.33974757870718253,0.2990789757827416,0.42695714504796867,0.5212854748365057,0.036239133744279256,0.3937210020981902,0.22273486166656042,0.6307176460995644,0.2654219282842978,0.2216343997022477,0.37218939705564785,0.4135120421881684,0.7626836163466829,0.4829018012426973,0.25731771600283576
Temporal_Pole_Sup_L,-0.05012861505133431,0.0316003010725134,0.23060514147161482,0.41287450117984503,0.5947978329229736,1.0,0.3349381425545651,0.6173028402108096,0.41963059864072966,0.3593187860368977,0.17195634119424977,0.44286973882304903,0.3472245750010204,0.027664980815538715,0.13206036207878563,-0.32670097213854316,0.05960432593209042,0.6051511318502937,0.4389752065275321,0.6580596092631137,0.4128534149568679,0.4591816842049528,0.5709546398485694,-0.22422671891458948,0.18396463920294134,-0.000802978266871741,0.362037130514213,0.4550109574038164,0.5181150331543813,0.7235580000407794,0.34594230505369994,0.5643623829495643,0.13962326816821952,0.4164366313386824,0.3600542373438916,0.5483451867204594,0.2918158900563401,0.42332542515523053,0.6414330946743629,0.5143601126987907,0.46007831430393065,0.05165692356503695,-0.04258598341559122,0.6319307102678349,0.3784695249960655,0.5547018499255879,0.15091139331584347,0.22487312863591552,0.4777340852214005,-0.21210468524234047,0.41002074601914634,0.09467255355894483,0.6083110623354251,0.43300655574669494,0.2147732767485404,0.49330077236008796,0.33799219852261014,0.5377159487265204,0.5833171847655533,0.5737647402677866
Frontal_Mid_2_R,0.4204293059240662,0.5092847763363235,0.32751827937780276,0.777964951538438,0.10181896098205256,0.3349381425545651,1.0,0.49865001628225025,0.6385649978263355,0.3438771772046546,0.43801815017332874,0.5257064974110571,-0.04422508611922154,0.42397291172762125,0.09335199744630754,0.21788514096093187,0.2402984256665345,0.46476895491124354,0.17670728569368443,0.7024437090361394,0.3622569886501803,0.36122695569547225,0.7590682702377897,-0.0044634326592179595,0.011787521001841073,0.48321366599398824,0.6981465981284912,0.6778746121217669,0.35585612833104857,0.3157553625541436,0.5642692237250126,0.43572229468679075,0.4877276951873262,-0.39267814081572394,0.16035426450189916,0.32928704809538445,0.2580161710776403,0.33645070293645546,0.41693367893994826,0.8387358325448661,0.33110281411281123,0.13958473464590357,-0.05373803956458358,0.47920734058229286,0.3691991156961945,-0.11359349975294387,0.4659730065343083,0.38191243844501405,0.29081330273153316,0.23275737768170143,0.23445350919915334,0.09531560775417473,0.0796887580963081,0.0012459991186904427,0.5291539859965757,0.13649163619790258,0.4469103430096248,0.3922605433606369,0.8141436172431987,0.16027639725497708
Rolandic_Oper_L,0.24238095912630742,0.18182658459528334,0.51941945044837,0.5394615193568929,0.5481304478215167,0.6173028402108096,0.49865001628225025,1.0,0.5586784727691612,0.3135781949583985,0.2763630272664155,0.5115098170181265,0.2970967674034554,0.2991056751151124,0.20325915805594927,-0.02931148861445209,-0.01358039145618107,0.5998150885532427,0.3965558902513984,0.7525681875804506,0.13972603123436095,0.2594606517945511,0.7132132089971277,0.22598579722987847,0.2922575578478847,0.3507640496276659,0.6746088615207605,0.7173459515518986,0.4165041911776092,0.6287856909112758,0.5413173055479451,0.47782426727582167,0.5279973015492571,0.14062782025386059,0.4057305550507624,0.6194663942346742,0.48216644298483685,0.18647875355493548,0.660104648979092,0.5983275110084618,0.36473625484659294,0.34065933886137245,0.047876459816291524,0.7694047991358214,0.41537465959185144,0.1834765999260497,0.29527894546524047,0.3592012231537581,0.5185816343998829,0.018916897987259894,0.5974447301415049,0.14840945607946407,0.49165718315915286,0.2528838149608987,0.1644009723554633,0.16218656515178018,0.3037425959838915,0.6571170911084571,0.7066010549435445,0.20922223953703797
Lingual_R,0.5906054589722081,0.7038689930804359,0.7722345535440871,0.32967915568178807,0.41000689344085484,0.41963059864072966,0.6385649978263355,0.5586784727691612,1.0,0.6604575746120533,0.48329784513387924,0.562210932123997,0.16768152108115583,0.6271552390281289,0.5192695967886412,0.4813350071308384,0.3208448449563294,0.8009261605164082,0.34605296751700143,0.6917418389158564,0.08637841896428969,0.006572854237776349,0.6704612928316906,0.15637095349498858,0.11765082240220709,0.624059191404281,0.4400132015661462,0.7558817265726765,0.5493731657508255,0.5760845473691669,0.8823706333210823,0.7956227931501753,0.8417622604894955,-0.30713217691391664,0.5471351671533113,0.5464450923787334,0.32829357558386546,0.400501130641599,0.6478280876933983,0.4664632034273156,0.1570492391997601,0.5268099576297243,0.023981460850205485,0.6303541479767766,0.6688792690695583,-0.16528098499936925,0.7969048411539785,0.4827856470598035,0.5453385923894084,0.5260012183985938,0.2925043413290578,0.26850890370469704,0.19010512613098088,0.33238099275235344,0.3894351829560405,0.2263215994324988,0.5729578230250286,0.5967229319609075,0.7148131894812706,0.00564920798535861
Vermis_8,0.25061645732465676,0.30335118088278196,0.5668161723374016,0.09283794113362427,0.2890416099095457,0.3593187860368977,0.3438771772046546,0.3135781949583985,0.6604575746120533,1.0,0.1753613771113635,0.25970737035163816,0.03042963860524422,0.28236186447546713,0.7938289821418436,0.34168667028223876,0.16798896262778354,0.6953589199842892,0.36345525741513246,0.4647683413360456,-0.028766517958518045,0.008727464212080966,0.25356066062595556,0.1329928760807943,0.14240188673633652,0.21014712551647075,0.13136210707682974,0.44569692898649116,0.3944117055847973,0.4792335681328442,0.59141241327044,0.621300846580336,0.43610636979696354,-0.22164133669143923,0.6688539330833233,0.33200135534504144,0.23226327629394775,0.20501047567515596,0.3386808083230772,0.2772564719437541,0.0023838685114792105,0.3465743025386668,0.01600558143747169,0.47776529189486844,0.8284794468622728,-0.08169478904198048,0.4900384025902692,0.2510734281526778,0.3550242447734569,0.41093536740984404,0.2661346099601602,0.0279471332569701,0.12478303820614071,0.5549109185805751,0.1818123397847705,0.20511343691597883,0.2922876156749242,0.44459954924718054,0.42219958148511755,0.0034769937968107084
