,Vermis_3,Thal_AV_R,Parietal_Sup_L,SupraMarginal_R,Cerebellum_10_R,Angular_R,Thal_VA_R,Thal_LP_L,Cerebellum_6_R,Lingual_R,Heschl_R,ACC_sup_R,Thal_PuA_R,Frontal_Sup_2_L,Frontal_Inf_Orb_2_L,Thal_Re_L,Temporal_Mid_L,Pallidum_L,Occipital_Sup_R,Rolandic_Oper_R,Temporal_Pole_Sup_L,Supp_Motor_Area_L,Precuneus_L,Thal_MDl_R,Occipital_Sup_L,Occipital_Inf_L,Fusiform_L,Frontal_Inf_Orb_2_R,Cerebellum_7b_L,Rolandic_Oper_L,Frontal_Inf_Oper_L,Paracentral_Lobule_L,Temporal_Mid_R,ACC_sub_R,Temporal_Pole_Mid_L
Vermis_3,1.0,0.3252673369717295,0.20503471610630083,0.33896324469379047,0.4279235954545588,0.05162555640617599,0.29384854588555664,0.0297072174072064,0.44383016825248384,0.562210932123997,0.43155526582682635,0.6147122936201403,-0.06903575021128223,0.44378360909209236,0.5013858114660034,0.3096993101534146,0.4086050509041854,0.16965085116548334,0.25164973170033167,0.4498343862231998,0.44286973882304903,0.20182776947591002,0.29335189139394596,0.5238996650877527,-0.05662898144128741,0.38235919060866264,0.621644005894226,0.5511093629399576,0.20934998498538354,0.5115098170181265,0.5811375045912609,-0.08137273576017422,0.43735074711224303,0.29786897778408133,0.3215572948436909
Thal_AV_R,0.3252673369717295,1.0,0.03165398542326629,-0.031031715651001036,0.22832329470943652,-0.2591594958332076,-0.05913333020842913,0.0022541696160474395,0.12357165536603026,0.08795601650351205,0.2893078111450062,0.21924989891637034,0.1100530431967831,0.3229709632521663,0.43481041709817125,0.13367275359280953,0.18866009186199437,0.05776755411091097,-0.0887099593105083,0.1953624065811244,0.35421141316142846,-0.019796474267044655,-0.06960941952394288,-0.013493003847526561,-0.1420120753934948,0.1464593350896458,0.1721846523459703,0.2446531857078949,0.021406067969597816,0.2756527453263292,0.33115592279328254,-0.09375926575530316,-0.06866766549629084,0.29867442747142303,0.30212384834557554
Parietal_Sup_L,0.20503471610630083,0.03165398542326629,1.0,0.06010555337280577,0.02110186905083519,0.03969706593778463,-0.03546048131057874,-0.15945099515641176,0.03373267362806263,0.023981460850205485,0.04043747725215927,-0.08376203446705613,-0.06921149825840714,-0.10293065071302862,-0.10946514719585888,-0.13748641791524943,0.05941814900155117,-0.2099326324777082,0.26193677997424075,-0.1616327607397083,-0.04258598341559122,-0.029261596996909407,-0.13196281824428766,-0.15797773565107653,0.07053001653678669,0.4963119654430571,0.013763271266501398,0.051568311261118445,0.31645442981073824,0.047876459816291524,-0.09705670367045686,0.07022987592258857,-0.051398298622504016,-0.30463551545683804,-0.10404692271941093
SupraMarginal_R,0.33896324469379047,-0.031031715651001036,0.06010555337280577,1.0,0.10791604839260055,0.7984506889473055,0.1456979801320155,0.15276823583955917,0.02403349833093004,0.5153813557976273,0.5276998146709992,0.34567723740878936,-0.8026737884153721,0.358681802333771,-0.04614385182939433,0.022813274628086192,0.460369990489746,-0.19752453720724658,0.17635167108492644,0.10154403198908525,-0.14579003674085134,0.8441222139742819,0.8553562782569201,0.2521797122757953,0.5035536655445316,0.3568362439825458,0.1192297938808105,0.5223160133658514,0.07043878527716037,0.25651954732407406,0.49947628131114163,-0.30855986927125173,0.5526867733134634,-0.2130365863904186,-0.4293532400789223
Cerebellum_10_R,0.4279235954545588,0.22832329470943652,0.02110186905083519,0.10791604839260055,1.0,-0.16296260313106214,0.2753515231642322,-0.18368457786324033,0.44038563751242177,0.37389304073432655,0.24587131911696483,0.5094538292725664,-0.07757904445674273,0.25115464730198167,0.37550073075393486,-0.03222795626705189,0.07200643369098969,0.10240134325238119,0.05583150379542715,0.4580935171703577,0.47341862376442034,0.03575227832571561,0.11874569489461771,0.10361453949356648,-0.20332864109421322,0.04448190676404456,0.45535571887042237,0.38164624635225103,-0.028696301191975547,0.1798888660082662,0.3906868691848998,-0.09023011544279853,0.28594680084348045,0.257101457324149,0.5139963798922248
Angular_R,0.05162555640617599,-0.2591594958332076,0.03969706593778463,0.7984506889473055,-0.16296260313106214,1.0,0.14814991103686437,0.2895498390802634,-0.012893145717830996,0.44724886333196057,0.1771025288003578,0.1308495476669459,-0.659145172163872,-0.0426026608448024,-0.27235663654910985,-0.008660077460632668,0.45017732860311443,-0.10927503914801891,0.1732957979364061,0.0008986306593664681,-0.3392645648001254,0.656111237941991,0.7786072115760545,0.23071426214719176,0.6741361252017389,0.4031062964692566,0.00783402094039555,0.24862412374184456,0.25164894506792274,0.1462536420399594,0.15122737761543492,-0.12483161995015839,0.5569671017264989,-0.5091699359773292,-0.5633352206452843
Thal_VA_R,0.29384854588555664,-0.05913333020842913,-0.03546048131057874,0.1456979801320155,0.2753515231642322,0.14814991103686437,1.0,0.10324726103862472,0.277621779866183,0.33888175417365884,0.13623715666994607,0.5298307855621114,0.06029748104382824,0.038368206236391526,0.19616134414448858,0.24406961524475979,0.23324098694428932,0.318873552920846,-0.05080555335071008,0.4978515590087555,0.15522626721406882,-0.02955136722902499,0.32061684976214305,0.3288987027768705,0.07687252082090074,0.03066951394442084,0.4756390029933773,0.2204470560689174,-0.009641696407189634,0.18803686124906926,0.29811664744173555,-0.0716621779274093,0.4900509420129511,0.2306369396819471,0.22787629795607434
Thal_LP_L,0.0297072174072064,0.0022541696160474395,-0.15945099515641176,0.15276823583955917,-0.18368457786324033,0.2895498390802634,0.10324726103862472,1.0,-0.04717424332537732,0.10275652909029664,0.011085834517357342,0.13116700846637086,-0.05953738313218672,-0.026657382511987567,-0.020042769257760176,0.25464306491278543,0.149972131693487,0.15529207756220334,-0.10405212296697802,0.07150357416882985,-0.029067980107420524,0.09041954844491144,0.22521226399495614,0.06480476584857937,0.2243562168576106,0.006177168409989996,0.018055261449962366,0.027397254719505992,0.058000267377822746,0.18596467390661137,0.039521268227732116,-0.01331119687802263,0.1358034453159289,-0.03986353981882635,-0.10714857931571715
Cerebellum_6_R,0.44383016825248384,0.12357165536603026,0.03373267362806263,0.02403349833093004,0.44038563751242177,-0.012893145717830996,0.277621779866183,-0.04717424332537732,1.0,0.7551983233898288,0.09120453262258287,0.5104330846478916,0.27474886816492156,0.19402823865829386,0.4679281527178718,0.239683588038689,0.4190678416964423,0.5417897049691206,0.14371932764046372,0.6476585108472733,0.5757524787035201,-0.05398713293802052,0.12622591935975824,0.3612826253369199,-0.24939623375762032,0.3849436150436714,0.7979393288593314,0.5725334660974201,0.5993496470726849,0.5459482631341563,0.434059920349164,0.1090356081189451,0.6740259145282579,0.08874517697181247,0.34656281745681233
Lingual_R,0.562210932123997,0.08795601650351205,0.023981460850205485,0.5153813557976273,0.37389304073432655,0.44724886333196057,0.33888175417365884,0.10275652909029664,0.7551983233898288,1.0,0.2867594927030283,0.6585364777761963,-0.20929418572895084,0.32967915568178807,0.4257197788471757,0.2274762171444903,0.7153727772673618,0.34605296751700143,0.13648897877527802,0.6478280876933983,0.41963059864072966,0.40368142589283657,0.624059191404281,0.4827856470598035,0.1567785814707323,0.5268099576297243,0.7159002778251686,0.6723984570847319,0.459973611423661,0.5586784727691612,0.6704612928316906,-0.1595431814281074,0.8823706333210823,0.03053431405660088,0.148946123122686
