,Thal_VPL_L,Cingulate_Mid_L,Thal_VPL_R,Lingual_R,Thal_PuI_L,Thal_MDm_R,Fusiform_L,Precentral_L,Cingulate_Mid_R,Vermis_8,Parietal_Sup_L,Supp_Motor_Area_L,SN_pr_R,ACC_sup_L,Cerebellum_10_R,Frontal_Inf_Orb_2_R,ACC_sub_R,Cerebellum_6_L,Cerebellum_9_L,Angular_L,Thal_PuL_R,Pallidum_R,Caudate_L,Cuneus_L,Thal_VA_L,Lingual_L,Pallidum_L,Vermis_4_5,Temporal_Pole_Sup_L,Thal_LGN_L,Parietal_Inf_L,Thal_MGN_R,SN_pc_R,Thal_IL_L,Parietal_Sup_R,Rolandic_Oper_L,Cerebellum_Crus2_R,Frontal_Inf_Oper_R,Occipital_Sup_L,Putamen_L
Thal_VPL_L,1.0,0.013108421417431662,0.39365986506655615,0.16768152108115583,0.45020693294177416,0.4437563924295317,0.48752098476603567,-0.1528329512749407,0.049825680119699726,0.03042963860524422,-0.17227810593604273,-0.2692188607215181,0.4146072227375914,0.2949794729976557,0.1483641012743268,0.03370840767466903,0.3101341402245107,0.3236863024309996,0.2595250439401017,-0.08658274462632955,0.13823794453215413,0.4668188484135031,0.53707213700671,-0.05757962324405263,0.32886882408945606,0.2921444365411012,0.5253036252992557,0.2739497574389216,0.3472245750010204,0.5359454894813735,-0.10800904228786301,0.286940986400493,-0.060477698565324256,0.2173347547678058,0.15913563125944838,0.2970967674034554,0.18095573841007517,0.25941447091444253,-0.053299520339802085,0.6326457221817877
Cingulate_Mid_L,0.013108421417431662,1.0,0.24958415574736081,0.6529182831366462,0.4062930240064688,0.2260271717623868,0.35968773146508853,0.7288554684399764,0.7591192985712394,0.1881618266014587,-0.05520247560230683,0.6802681539756238,0.5346740707373678,0.31701028267625175,0.3060138256312702,0.48132656884001557,0.14119315092019072,0.3537825046699004,0.2708011208736477,0.25755387610884034,-0.017242642355167974,0.12876555750670748,0.2798546502282674,0.7195242454986792,0.01876087446118332,0.43375936237383844,-0.04959613136370991,0.4834872086438132,0.19178605504647644,0.18449449366819876,0.514136034417416,-0.1720602919349264,0.6026479848623533,0.0597981001256721,-0.22065049065549333,0.37263458729933696,-0.20836682401392512,0.4446731002706996,0.41683518229248734,0.21454115211470606
Thal_VPL_R,0.39365986506655615,0.24958415574736081,1.0,0.42080281799755964,0.19415293640969605,0.3124743319547741,0.6555546222180807,-0.1278860612622297,0.22682242878809006,0.3479284893979778,-0.1309714578120153,-0.16898892115616077,0.47636577569444954,0.30482773168117366,0.6074479818317299,0.3415141124462857,0.3213495051210018,0.6011090648047943,0.6217684403100345,-0.19439577387034124,-0.08130357939690111,0.4010000690984116,0.5603086517030098,-0.09258332827550973,0.04600814409831089,0.2896862761348334,0.3851801789062726,0.6049864339720185,0.504981081898144,0.4996125973865455,-0.15006322837551617,0.13598019764211164,0.15816186645457186,-0.10131202734661095,-0.007728525379959282,0.4454545882792191,0.3948119890560646,0.42954138366255007,-0.25805861974585254,0.5541109706879557
Lingual_R,0.16768152108115583,0.6529182831366462,0.42080281799755964,1.0,0.26850890370469704,0.2140391402047664,0.7159002778251686,0.40536346216488905,0.7957829639187758,0.6604575746120533,0.023981460850205485,0.40368142589283657,0.5729578230250286,0.5470022862940286,0.37389304073432655,0.6723984570847319,0.03053431405660088,0.8009261605164082,0.5236899089036239,0.005430909896015057,0.15637095349498858,0.32829357558386546,0.5110050365607799,0.43173888294813445,0.2950163467405759,0.7722345535440871,0.34605296751700143,0.81763981503605,0.41963059864072966,0.3516281206223904,0.15893938356594617,0.11765082240220709,0.5882685362515608,0.20134300019360019,0.05469216724165012,0.5586784727691612,0.33238099275235344,0.6917418389158564,0.1567785814707323,0.5453385923894084
Thal_PuI_L,0.45020693294177416,0.4062930240064688,0.19415293640969605,0.26850890370469704,1.0,0.40459267393596826,0.25073812699527326,0.318192920278922,0.2671547988289929,0.0279471332569701,-0.2109935932178394,0.1573385001655683,0.4414027809892962,0.12610266058138403,0.1560039006624758,0.08072466410380351,0.174464027311987,0.13750834496646044,0.08648218263065435,0.11748709750321186,0.1038752773422557,0.1649923619675509,0.2658551123590622,0.37825158453820046,0.057743236669478434,0.2196465555132597,0.11712506179220995,0.1882562061328992,0.09467255355894483,0.3657350700087799,0.23678514408321663,-0.025694294386721238,0.28681737346437014,0.17806039460561554,-0.025239885557456744,0.14840945607946407,-0.14676036199749942,0.10889708029534932,0.22903126430941714,0.27245422079968956
Thal_MDm_R,0.4437563924295317,0.2260271717623868,0.3124743319547741,0.2140391402047664,0.40459267393596826,1.0,0.39514307679679994,0.019405395490362663,0.2885693974132598,-0.02105704213607282,-0.2676629608665784,-0.08715595611020774,0.37111212907383617,0.34018441542761757,0.014172226802298016,0.07413766903002403,0.4549095942197834,0.27093046214666505,0.14860717789455585,0.03338173398351204,0.04608805536099063,0.41708247878683635,0.39751969581307295,0.053095502069729295,0.19365083205109798,0.259807749242825,0.3562949700736916,0.3155471575082841,0.3059904660560211,0.2197830149478558,-0.1742815773278887,0.441353576164673,-0.2108634401605802,0.12758178900646414,0.05062232180581807,0.3008567186955705,0.00739046885387169,0.4670178001705208,-0.014710737020866513,0.45629385645389425
Fusiform_L,0.48752098476603567,0.35968773146508853,0.6555546222180807,0.7159002778251686,0.25073812699527326,0.39514307679679994,1.0,-3.707860351171213e-05,0.4453098450711449,0.5269413218350485,0.013763271266501398,-0.04900611171328484,0.6492010422014428,0.5645212872525268,0.45535571887042237,0.5080846323105112,0.29058114777603283,0.9028219185540183,0.6707301072436879,-0.0945121105969124,0.04445790171753198,0.5425292776300706,0.7553868161401525,0.03772509592683865,0.32529053740382696,0.6547636536830487,0.5867408522744069,0.8465272964420503,0.636925971894948,0.49425855885420295,-0.14015956527273013,0.23377998009239248,0.25291740391973183,0.16066777397244542,0.12105959871407622,0.5800942387388389,0.5509447538944456,0.6519964341993969,-0.09176168099621813,0.7291185504771179
Precentral_L,-0.1528329512749407,0.7288554684399764,-0.1278860612622297,0.40536346216488905,0.318192920278922,0.019405395490362663,-3.707860351171213e-05,1.0,0.617887605723002,0.019643592451596595,0.06549540484224152,0.8847364385115488,0.16960482761761558,0.3475210413702347,0.001372148292666944,0.4771933948605476,-0.25977660623274657,0.031390977115128206,-0.08233062054551968,0.3714188276471512,0.22154508956473518,-0.04757501011241541,-0.018576333925300087,0.8139115822093665,0.233137021155729,0.348682865016548,-0.22820859363473972,0.19360355445091207,-0.16237541344808304,-0.14761727960995985,0.6992909020120861,-0.19960255374786032,0.5923856045724666,0.24678037901184677,-0.1551626132700283,0.32552357608665855,-0.5035736642300277,0.2140436958522322,0.5528291078569947,-0.03977722823240781
Cingulate_Mid_R,0.049825680119699726,0.7591192985712394,0.22682242878809006,0.7957829639187758,0.2671547988289929,0.2885693974132598,0.4453098450711449,0.617887605723002,1.0,0.4552180816721175,-0.10940638686662535,0.6684517787701935,0.48161128588415564,0.6134647561754121,0.22502243403880764,0.6379652936836617,0.06483391152996998,0.521858615733834,0.3335952460925078,0.06975132364687227,0.29513521783117946,0.3445700073981735,0.37275523753676604,0.5603192981402304,0.3475077398207464,0.6745571409955501,0.28304009147265496,0.6181190333153699,0.35300534284069884,0.16639188996180349,0.3385641001599791,0.1538036792128174,0.49116530874753794,0.2678250219830178,0.008084541532806517,0.5855721435463083,-0.002859212626405031,0.7438851032311763,0.3207912828718163,0.4425302567815255
Vermis_8,0.03042963860524422,0.1881618266014587,0.3479284893979778,0.6604575746120533,0.0279471332569701,-0.02105704213607282,0.5269413218350485,0.019643592451596595,0.4552180816721175,1.0,0.01600558143747169,0.08849585695401882,0.2922876156749242,0.3537076086012948,0.4157478722581845,0.46059602705724517,-0.05170042367891834,0.6953589199842892,0.6257117532876143,-0.034891948245140976,0.1329928760807943,0.23226327629394775,0.37941045219822866,0.0703523648077186,0.1806983710934283,0.5668161723374016,0.36345525741513246,0.5575759089757675,0.3593187860368977,0.2828213921067885,-0.042679503246787945,0.14240188673633652,0.3533633756103805,0.13846299653943325,0.10808390797847131,0.3135781949583985,0.5549109185805751,0.4647683413360456,-0.014959588697940776,0.3550242447734569
