,ParaHippocampal_L,Cerebellum_3_L,Temporal_Sup_L,Temporal_Inf_L,Putamen_L,Cerebellum_9_R,Cerebellum_6_R,Cingulate_Mid_L,Parietal_Inf_L,Thal_VL_R,Temporal_Sup_R,Fusiform_L,Cerebellum_Crus2_R,Cerebellum_8_L,Cuneus_R
ParaHippocampal_L,1.0,0.5234054839983755,0.71055943121204,0.2630807250625759,0.551431201309416,0.39918450000283734,0.3674403616141093,0.6767662738118543,0.39810668957201206,0.11066460835533892,0.6699275832261512,0.5809248232953401,-0.0904375876254907,0.5300327926977391,0.5404224850552218
Cerebellum_3_L,0.5234054839983755,1.0,0.1229444475659996,0.5051213680126376,0.4304887881606609,0.4544528888289011,0.45957992999600594,0.2621325591972653,-0.059775614451653435,0.41580962098070506,0.4064979397566638,0.6000717413645746,0.2580064698521062,0.5586384758629059,0.26168622257253493
Temporal_Sup_L,0.71055943121204,0.1229444475659996,1.0,0.21368331606223676,0.41636467103205405,0.120549324085361,0.22729957241190524,0.7714070723286858,0.4921609449336255,0.08922606873968518,0.731668564987831,0.394424800234125,-0.22734544028661172,0.21034344960959872,0.5936921791581075
Temporal_Inf_L,0.2630807250625759,0.5051213680126376,0.21368331606223676,1.0,0.48017915179629056,0.6085235688693434,0.761838711596219,0.18536282412457997,-0.25438690429448535,0.5745079729536002,0.48319849628734146,0.8078441313881924,0.6404078875128075,0.6718350332414903,0.20366598684234322
Putamen_L,0.551431201309416,0.4304887881606609,0.41636467103205405,0.48017915179629056,1.0,0.48475179718020384,0.5912743028232255,0.21454115211470606,-0.1806281552036406,0.500366589233306,0.6386447952286524,0.7291185504771179,0.35511194762247195,0.5929588412527348,0.12563795412158524
Cerebellum_9_R,0.39918450000283734,0.4544528888289011,0.120549324085361,0.6085235688693434,0.48475179718020384,1.0,0.7284244073606494,0.17629436114615712,-0.20487330073942528,0.4891876905154423,0.4052185977500224,0.6542225106481135,0.5869861397417915,0.8192520273781642,0.07142101329139308
Cerebellum_6_R,0.3674403616141093,0.45957992999600594,0.22729957241190524,0.761838711596219,0.5912743028232255,0.7284244073606494,1.0,0.20351531324605418,-0.275930821013404,0.426497944393567,0.60502328036788,0.7979393288593314,0.7643869857196555,0.7593204769917421,0.31630490776648906
Cingulate_Mid_L,0.6767662738118543,0.2621325591972653,0.7714070723286858,0.18536282412457997,0.21454115211470606,0.17629436114615712,0.20351531324605418,1.0,0.514136034417416,-0.004439440988075531,0.6403726667668181,0.35968773146508853,-0.20836682401392512,0.1534881805710111,0.7829246086009273
Parietal_Inf_L,0.39810668957201206,-0.059775614451653435,0.4921609449336255,-0.25438690429448535,-0.1806281552036406,-0.20487330073942528,-0.275930821013404,0.514136034417416,1.0,-0.37644284416144747,0.2559987259417395,-0.14015956527273013,-0.5117849094047917,-0.10694947049446006,0.4273486405650798
Thal_VL_R,0.11066460835533892,0.41580962098070506,0.08922606873968518,0.5745079729536002,0.500366589233306,0.4891876905154423,0.426497944393567,-0.004439440988075531,-0.37644284416144747,1.0,0.3093373063256489,0.5354621043642572,0.3543512146352269,0.44558320442988797,-0.15200904533894452
Temporal_Sup_R,0.6699275832261512,0.4064979397566638,0.731668564987831,0.48319849628734146,0.6386447952286524,0.4052185977500224,0.60502328036788,0.6403726667668181,0.2559987259417395,0.3093373063256489,1.0,0.6861171764981049,0.16981967790049574,0.5360004296278534,0.5075532394062701
Fusiform_L,0.5809248232953401,0.6000717413645746,0.394424800234125,0.8078441313881924,0.7291185504771179,0.6542225106481135,0.7979393288593314,0.35968773146508853,-0.14015956527273013,0.5354621043642572,0.6861171764981049,1.0,0.5509447538944456,0.7344323578384825,0.3508846541503277
Cerebellum_Crus2_R,-0.0904375876254907,0.2580064698521062,-0.22734544028661172,0.6404078875128075,0.35511194762247195,0.5869861397417915,0.7643869857196555,-0.20836682401392512,-0.5117849094047917,0.3543512146352269,0.16981967790049574,0.5509447538944456,1.0,0.594938544366047,-0.020833690693503246
Cerebellum_8_L,0.5300327926977391,0.5586384758629059,0.21034344960959872,0.6718350332414903,0.5929588412527348,0.8192520273781642,0.7593204769917421,0.1534881805710111,-0.10694947049446006,0.44558320442988797,0.5360004296278534,0.7344323578384825,0.594938544366047,1.0,0.13893365718429843
Cuneus_R,0.5404224850552218,0.26168622257253493,0.5936921791581075,0.20366598684234322,0.12563795412158524,0.07142101329139308,0.31630490776648906,0.7829246086009273,0.4273486405650798,-0.15200904533894452,0.5075532394062701,0.3508846541503277,-0.020833690693503246,0.13893365718429843,1.0
