,OFClat_R,SupraMarginal_L,Frontal_Inf_Oper_L,Thal_MDm_R,Cingulate_Post_L,Parietal_Inf_L,Paracentral_Lobule_L,Thal_AV_L,Cerebellum_7b_L,Cerebellum_4_5_R,Cerebellum_3_L,Vermis_1_2,Temporal_Pole_Mid_R,Occipital_Inf_R,ACC_pre_L,Thal_LP_R,Thal_LGN_R,Cerebellum_3_R,Frontal_Sup_2_R,Thal_AV_R
OFClat_R,1.0,-0.2113537010862129,0.276039315617471,0.2025357456124598,-0.07980095358655981,-0.12543387617007987,-0.040839647136091006,-0.40792697287775326,0.10396243690543946,0.06945982785152766,0.15732339069123422,0.4294362725042555,0.5404777729057897,-0.0772421963851965,0.3596195534389832,0.2779429490982008,-0.41449182498688997,0.2258042369601671,0.27638399043715206,0.36055633032725537
SupraMarginal_L,-0.2113537010862129,1.0,0.17473923920097087,0.2848916453419246,0.2850485011236148,0.48161510507264194,-0.3828151858553881,0.41437834208677465,-0.2266917781512886,0.011637078649726015,-0.2425413192236671,-0.256046873576688,-0.12651810884490716,-0.008591802822524777,0.05739357005580271,-0.41606790318494175,0.38590527807182184,-0.19940858943276404,0.03557929654453714,-0.15265106707595433
Frontal_Inf_Oper_L,0.276039315617471,0.17473923920097087,1.0,0.4144265067506207,0.6468282793307238,0.2234808600942022,-0.34256406088341473,0.018038123560197666,0.04862215840909151,0.5514584316247975,0.38269623735121133,0.3455281555930725,0.4118749829456486,0.43975619403425453,0.47315528414540153,0.35235469120341506,0.3331653957525213,0.41305087286337683,0.7433515354145015,0.33115592279328254
Thal_MDm_R,0.2025357456124598,0.2848916453419246,0.4144265067506207,1.0,0.3461281158219352,-0.1742815773278887,-0.1395987550098278,0.2881627683275722,-0.10515951586858104,0.25825280863471406,0.2733874002899283,0.25292504229454355,0.4787654869478124,-0.1309921889993609,0.5339036980261576,0.2990754438930508,-0.06380919654788013,0.3066234132024376,0.23255559572451578,0.1745341883536944
Cingulate_Post_L,-0.07980095358655981,0.2850485011236148,0.6468282793307238,0.3461281158219352,1.0,0.35921884833294865,-0.3495852115872219,0.23535587996239996,0.0004923383959048913,0.6334881503071847,0.40748492468069664,0.1090010400489508,0.19332861637554058,0.5791556622703725,0.42424612708506054,0.35632952889160624,0.6673179002997075,0.4408763759993456,0.4370237869813279,-0.032728855042621775
Parietal_Inf_L,-0.12543387617007987,0.48161510507264194,0.2234808600942022,-0.1742815773278887,0.35921884833294865,1.0,-0.31065231104056007,0.08916120436344674,-0.13522701411250995,0.22924613189381407,-0.059775614451653435,-0.07402667872416556,-0.33680980622509554,0.3156235673008784,-0.0903918113710304,-0.3400215050786184,0.5625698056387937,0.029984322156985207,0.17843130827379083,-0.06944205411602537
Paracentral_Lobule_L,-0.040839647136091006,-0.3828151858553881,-0.34256406088341473,-0.1395987550098278,-0.3495852115872219,-0.31065231104056007,1.0,0.0331051384997054,0.2612212504113656,-0.13178026300196743,-0.023609191277719575,0.0016522677261553702,-0.19684141411259481,-0.13446117979675737,-0.04917220833932106,0.0027918636140772026,-0.23151681899853255,-0.08820059676860817,-0.1610979607752061,-0.09375926575530316
Thal_AV_L,-0.40792697287775326,0.41437834208677465,0.018038123560197666,0.2881627683275722,0.23535587996239996,0.08916120436344674,0.0331051384997054,1.0,0.008474630663413755,0.24394308942141896,-0.059697621639114934,-0.1141913414020364,-0.16339138195625738,-0.017879992047816085,0.0489464867450861,-0.29181350179200677,0.33270448043965145,-0.18555252037678016,0.06408291479301621,-0.40304395286783845
Cerebellum_7b_L,0.10396243690543946,-0.2266917781512886,0.04862215840909151,-0.10515951586858104,0.0004923383959048913,-0.13522701411250995,0.2612212504113656,0.008474630663413755,1.0,0.28913838432979133,-0.07240497350914847,-0.11994699436253232,-0.06504800423620047,0.44451463523528856,0.1848141875695465,0.15196578026607807,0.08723915904105571,-0.16060632543545195,0.06746011346905423,0.021406067969597816
Cerebellum_4_5_R,0.06945982785152766,0.011637078649726015,0.5514584316247975,0.25825280863471406,0.6334881503071847,0.22924613189381407,-0.13178026300196743,0.24394308942141896,0.28913838432979133,1.0,0.5811188461729941,0.45127872308179556,0.15095008869578586,0.6066049589228343,0.41490504727339433,0.25249511895499477,0.6157300870854882,0.6468490183429461,0.45280367989773446,0.0752392661720573
Cerebellum_3_L,0.15732339069123422,-0.2425413192236671,0.38269623735121133,0.2733874002899283,0.40748492468069664,-0.059775614451653435,-0.023609191277719575,-0.059697621639114934,-0.07240497350914847,0.5811188461729941,1.0,0.6709749063858288,0.3901419747351496,0.29321503041286745,0.3662526511097197,0.4210045310729669,0.2215330365090856,0.8023874997069441,0.3096858979127318,0.1853703688693005
