,Cerebellum_Crus2_R,Thal_VL_R,Frontal_Inf_Tri_R,Thal_Re_L,Cerebellum_7b_L,ACC_sub_L,Paracentral_Lobule_L,Thal_MDl_L,Thal_VA_R,OFCmed_L,Thal_MDm_L,Occipital_Inf_L,Occipital_Mid_R,Caudate_L,OFCpost_L,Cerebellum_9_R,Red_N_R,Supp_Motor_Area_L,SN_pc_L,Vermis_1_2,Thal_IL_L,Pallidum_L,Thal_VPL_R,Cuneus_R,Thal_PuI_R,Precentral_L,Cerebellum_8_L,Thal_PuM_L,Rectus_L,N_Acc_R,SN_pr_R,Rolandic_Oper_L,Frontal_Mid_2_R,Vermis_3,Parietal_Inf_L,Thal_LP_R,Thal_IL_R,Calcarine_R,Frontal_Med_Orb_R,ParaHippocampal_R,Thal_PuA_R,Calcarine_L,Cerebellum_Crus2_L,Thal_MDl_R,Frontal_Inf_Tri_L,SN_pc_R,Thal_MDm_R,Putamen_R,ACC_pre_R,SupraMarginal_R,Thal_MGN_R,Thal_LGN_R,Insula_R,Amygdala_R,ACC_sup_R,Hippocampus_R,Insula_L,OFClat_R,Supp_Motor_Area_R,ParaHippocampal_L,Temporal_Sup_L,OFCpost_R,Thal_VPL_L,Cerebellum_9_L,Thal_LP_L,Cerebellum_6_L,Hippocampus_L,ACC_sup_L,Parietal_Inf_R,OFCant_L,Heschl_L,Raphe_D,Vermis_10,Frontal_Inf_Oper_R,Pallidum_R
Cerebellum_Crus2_R,1.0,-0.31965124751613305,-0.46286365788806055,0.013224271689707388,0.665887798109231,-0.2482673688018907,-0.5018088078071453,0.4943340813559469,-0.43620153849304866,-0.2879623680520498,-0.03043434184240977,0.4856666338170655,0.5827865363114352,-0.5613256351052973,0.22759846963413036,0.7750629299726095,0.48450940294312983,-0.2932801355621333,0.5959733742891168,-0.6123656691628714,0.3047090484116039,-0.38361464511231985,0.31464715326264936,0.20345193606711198,0.17738379257800496,-0.5333595814055205,0.696310382346538,0.5382084083010013,-0.21775347947630658,-0.11938876594788618,-0.34697547141353813,-0.28265103709970757,-0.628924767823441,0.06348867500389264,-0.21236047909015773,0.16840281422079653,0.16908008655622384,0.4137869733665196,-0.2616582162260093,-0.33223864688254184,-0.12302822775039071,0.46702105424790524,0.6327014097282583,-0.2000490187098141,-0.3405013098444462,0.09403905990362015,-0.28188890561314806,-0.15374227248642844,-0.10616297776512827,-0.11078278517945644,0.29635381916231673,0.1738922105772676,-0.17589536625134516,-0.712741907701365,-0.1400119022708095,-0.5634519114722196,0.5678194124473273,-0.5830375944077715,-0.3577406532478078,-0.08069789472526255,0.22118404180678752,-0.40047585375607264,0.22485892861769693,0.7794266990857212,-0.5565531046726817,0.8698009544140053,-0.370147604281379,-0.03524213627654128,-0.17124362514548366,-0.39788620427542515,0.29601577570279375,0.48314916194644836,-0.43607008747633186,-0.3755697574405003,-0.4465098036498706
Thal_VL_R,-0.31965124751613305,1.0,0.4781465956658646,0.09426417606654591,-0.1945504102918876,-0.03115181324983816,0.5461838688802225,0.12288236958810196,0.5219936102895265,-0.04495606555605364,0.3532984717415847,-0.13176983399328815,-0.16321145450854174,0.5085583730591321,-0.15111601301426422,-0.2680908780645538,-0.13381059263460207,0.2895068709284807,-0.2272708208121708,0.24167361011571858,-0.12916731443314883,0.5297272046610638,0.21824848572792568,0.10194939570962087,0.0898240054796992,0.508390560833354,-0.050988310634346584,-0.040649832314432664,0.20319214966403357,0.3396231268778254,0.43979842135338587,0.4361013419451479,0.44309506269995946,0.3509596276878311,0.4247328349466601,-0.31579906436119026,0.5878767345721337,0.13442181121142974,0.04522777502676448,0.21109939145856466,0.3682209050878822,0.08637606563305826,-0.17710237094788106,0.8163175095528717,0.5804580267934343,0.10175142362432273,0.811730310094716,0.5435177380380417,0.21252922741145286,0.3453329583872453,0.1415433742299186,0.3006710487483485,0.4448542512081418,0.5063213590585515,0.4757760015114689,0.43954810800604266,-0.14853017435711907,0.32086435914098216,0.4562374351083609,-0.07227783504547215,0.1873991156581341,0.3290340511979303,0.17158643375572505,-0.23725344057180256,0.2573649144499581,-0.26232625015570427,0.4041047801429615,-0.0006828357706171495,0.40010652822185133,0.33013415702043564,-0.06868858712765645,-0.14438010054202474,0.2204091241329551,0.573632769993707,0.5958147356151299
Frontal_Inf_Tri_R,-0.46286365788806055,0.4781465956658646,1.0,0.1501141318729738,-0.2871195282036916,0.30244465771809426,0.7360353305697819,-0.1655723995404814,0.5820828980227832,0.23498357904046882,0.3467003321465154,-0.3251012763958599,-0.2308280331912686,0.6814195003082931,-0.03549204445995223,-0.17861545019532132,-0.37761994425832957,0.680982315765898,-0.19388785056133956,0.5990647532408454,0.0709221367234896,0.7578653220248049,0.09248673606921938,0.1413040973655297,0.08151607173082538,0.7107482700439546,-0.09397013851922265,0.10333969362037537,0.47213636061903697,0.5367889888917944,0.6071313076461662,0.6827055055536362,0.8630993255891589,0.571689251793439,0.341624425444721,-0.07296973763322907,0.11227768513591808,0.04441371657013117,0.007603028578200478,0.7796530071495364,0.2564252211256534,-0.10728691504162538,-0.41328125293076584,0.28163870124169255,0.7752979006881495,0.15554264158577344,0.38008997409712975,0.6950072882216708,0.3547714859175742,0.523542072015107,0.2632980867152774,0.2687005850430231,0.7571244896101211,0.7997517863095251,0.37802873828791483,0.8492056445220564,0.0542577150777377,0.6958529198824563,0.7569517726712022,0.46732772573167036,0.1755157300239114,0.6486072729491809,0.3932473220456925,-0.18935902336560093,0.5996576612818949,-0.40720610809696656,0.7097787515841584,0.2640070050728441,0.37252255584898747,0.5838795331321414,0.13594892444543782,-0.28728746690186807,0.6578447697150058,0.8246069640665926,0.7097528251355089
Thal_Re_L,0.013224271689707388,0.09426417606654591,0.1501141318729738,1.0,-0.04043130459542305,-0.10092277330046856,0.11945131720755392,0.016723269522842674,0.041624192948327164,0.03286531713402293,0.15949018264310327,0.12110386502069687,-0.020240169146388914,0.024121838968619094,0.0296752203301659,0.09892520159033931,0.24728027398311536,0.011168382743873431,0.05498392047637178,-0.0764551578347206,-0.040614907363309645,0.09136265835484204,-0.06922815982817469,-0.01680703954631281,0.2170958468817256,0.04200936613829996,0.06301065785506464,0.20628738839223923,-0.10744659935203871,0.22898414351916227,0.08008232864968574,0.1468457843160122,0.07278191803206505,0.10748141474505614,0.1611323230074968,-0.17448059062774157,0.0434232731307923,0.07396301596583016,0.008320360497436055,0.06204973509621158,-0.04606203896470645,0.061018555364338145,-0.012795969053094595,-0.02274621544301331,0.21488910289541036,0.22728369606193496,0.25782904101578974,0.010139773025596216,0.059938297609239834,0.06030967792347933,-0.15087981011893842,0.11561260462075378,0.1378320795771907,0.13865483277930712,0.0449503517647218,0.06107621610629778,0.11626960148314766,-0.011194315809920568,0.08798202963615862,0.19580894906396756,0.1809863996041923,0.06017368830206619,0.1296084422879002,0.09259768329534034,0.08702031955145961,0.038984465129473206,0.017106438291624292,-0.12995059400392114,-0.01769707653789197,0.02919345156362294,0.18574137006492283,0.17914074045858586,0.08842938209061674,0.18297548941092456,0.06181817973605961
Cerebellum_7b_L,0.665887798109231,-0.1945504102918876,-0.2871195282036916,-0.04043130459542305,1.0,-0.25308145181210184,-0.32297525973037977,0.3061897678877797,-0.30849452102311836,-0.45136558373469543,0.05504503020120771,0.38304956909999494,0.4625399589115856,-0.2703115423117021,-0.05519805497296759,0.4384255050296455,0.31231658448457084,-0.2127979428376409,0.36983481371723165,-0.32077879643653556,0.20412453562617952,-0.31200281604460095,0.35499298772757487,0.27377893605622566,0.15940448499141427,-0.3486866610216217,0.41364849268823495,0.3721111878549927,-0.27834625350497816,-0.14370524153151465,-0.19245934855955668,-0.26279446908117593,-0.4210462420879056,0.0736738916281421,-0.17628272985154209,0.16087540291792193,0.18595077957917322,0.36075244024337716,-0.1680458746340275,-0.23024868156113995,0.013499334895380426,0.43614030848925395,0.5169045770976217,-0.035105833600015776,-0.3246597729731781,0.043762839390371074,-0.26670666144039806,-0.12911678194994292,-0.24034076628238948,-0.04078658105713935,0.17277581520373458,0.17527203841128314,-0.10866165574740821,-0.5005735113050899,-0.238804912328095,-0.37736741961461284,0.2809830107697076,-0.4718160674420589,-0.2646071692000944,-0.2286864842595679,-0.05133886481162107,-0.39111424596391126,0.048175500191397894,0.4462929484916871,-0.35906106063443205,0.5367272066302009,-0.12183518010754923,-0.07578538857169087,-0.023148382468904917,-0.4052568676580234,0.02315252012475384,0.2734362728672757,-0.2981371624773186,-0.20471086450752632,-0.19533257188598793
ACC_sub_L,-0.2482673688018907,-0.03115181324983816,0.30244465771809426,-0.10092277330046856,-0.25308145181210184,1.0,0.18707722577255256,-0.37844998790359724,0.2804919335089438,0.44805821075981256,-0.001969325458021789,-0.27960923838620955,-0.3372076210674454,0.10652597208532232,0.14121656610465128,-0.17947529491344794,-0.4973051563500648,0.29487745280177957,-0.16940808409609162,0.2757065478772096,-0.13313309837578943,0.3539869402061897,-0.09097919844583836,-0.21800381119859233,0.032555547615134975,0.07620380888554515,-0.09649830169885729,-0.10552114187497477,0.24218965400195153,0.3076940378478551,0.10101543265257597,0.12100164365736649,0.33445351766083775,-0.028004965282273555,-0.08888483348549815,0.20750261917512197,-0.17266553353327282,-0.22570411678963684,-0.18501697153831834,0.2752939406784363,-0.15960327140236538,-0.3080784881399784,-0.31807733183780473,-0.10881443006837749,0.20296271176802824,0.16895962014086272,-0.056181398459144355,0.25322649394930696,0.4538309609648457,0.008626525933262694,0.08334497681243595,0.03843369194696128,0.0498070139849411,0.2264180061368357,0.2728602850402647,0.28312918379621355,-0.027916386345983122,0.4856373542183936,0.21921841353981855,0.12759715323347642,-0.049693249644395705,0.5296156942112386,0.05309926322753751,-0.16114425751898798,0.46299961064621514,-0.2947887343663348,0.08028700567047929,0.25615036659800183,-0.08950842894580574,0.6248981127210204,0.11970154928096459,-0.28212710695770943,0.20963775707422042,0.039609808829415366,0.08148491518050631
Paracentral_Lobule_L,-0.5018088078071453,0.5461838688802225,0.7360353305697819,0.11945131720755392,-0.32297525973037977,0.18707722577255256,1.0,-0.23978487749787786,0.5028286839324428,0.20922574726448254,0.3147698754056623,-0.2560955040487749,-0.12867563670013168,0.7139904833195558,-0.15904324372206963,-0.307488493577869,-0.3055615351130098,0.6563415120167725,-0.2881759306267301,0.6134148976053814,-0.056894215439497964,0.6832692946005803,0.06633555298673692,0.28403489492481554,0.09452224537408958,0.8942188709368672,-0.05480828078397796,-0.016574463610954424,0.47259035425070517,0.23508852469338595,0.5924740309946577,0.6750076149290836,0.8050938406439677,0.4114298615952982,0.6876864953183399,-0.1625582298310858,0.008585879359360305,0.0888709044855503,0.08779524660354655,0.5924223033811233,0.2960504672765533,-0.03720443696673385,-0.4285685590617523,0.2757443741143961,0.6747056895889547,0.022612660153417365,0.42237694197061887,0.5493253125730716,0.14805171576639972,0.5585978389060027,-0.03505514468417493,0.046843346954039945,0.6811680731022389,0.7359144248551648,0.3691838213430265,0.7417285734702994,-0.16147466002078414,0.6365831911287759,0.8932795518906177,0.409216931137965,0.29479530680378363,0.6172118825360646,0.1933747538343013,-0.2602183094584573,0.5238545629865858,-0.4385433950540129,0.6634462306555181,0.2016387780141379,0.5723566446965164,0.5415198365767032,0.060295266809923156,-0.23661682450628127,0.7059650647802724,0.7167122938598705,0.6300382560159029
Thal_MDl_L,0.4943340813559469,0.12288236958810196,-0.1655723995404814,0.016723269522842674,0.3061897678877797,-0.37844998790359724,-0.23978487749787786,1.0,-0.31012750757821317,-0.12253885737523593,0.3861097183152926,0.4122760658094536,0.4932345840285605,-0.12647678250328478,0.29271429796300696,0.43470423665013136,0.46653783490072315,-0.17138547937969342,0.48734283577309917,-0.2985977531404495,0.32078685861551104,-0.14006100186140394,0.5326709385757925,0.34672237155536473,0.17636169298757978,-0.20872710724354748,0.5255810099282174,0.5505519917815421,-0.11960368525712212,0.09183915748310137,-0.10028345693408525,0.041226714654286636,-0.3610099208154756,0.2785820233839424,0.03081438334021062,-0.018203726187720915,0.4799768286692114,0.47039511736856787,-0.02170817851528397,-0.0897909000689333,0.1951845428917004,0.5515779065551801,0.4867235956182255,0.16777542445995827,0.0408358785485291,0.052110504591036846,0.15523075836374592,0.08788514026637355,-0.06678300155003376,0.026639100509881955,0.38634275105240334,0.31282242039124475,0.051948920488128804,-0.32321050230824533,-0.019382762437913315,-0.21882683014161713,0.5323987305877116,-0.3711889203765941,-0.15755397347379527,-0.01297814049112751,0.33730098352124155,-0.3694684210940368,0.39365360519825804,0.5130711567057985,-0.4134121011154592,0.5872582279279636,0.021636344511079993,-0.04095433666044136,0.10298179566814866,-0.23120123274745122,0.2173217413711638,0.43035700151230816,-0.23477505972891397,0.027596413494733206,-0.016417304785451753
Thal_VA_R,-0.43620153849304866,0.5219936102895265,0.5820828980227832,0.041624192948327164,-0.30849452102311836,0.2804919335089438,0.5028286839324428,-0.31012750757821317,1.0,0.1285170811476376,-0.11142297559187363,-0.31678790068410806,-0.4855540250882477,0.34602530211875177,-0.1615440268729533,-0.3261342371285979,-0.37661479673360027,0.4070884525232043,-0.3218028264004935,0.25229908565731757,0.005127968963700366,0.7133003224620343,-0.31953630965841934,-0.20816859702545998,-0.1999855435224505,0.43165158429209904,-0.2154903230036053,-0.08988907189929826,0.5966927077467521,0.3632477561294044,0.3194593299229092,0.4449939469288673,0.613885122237305,0.4540560775741793,0.10316952158455145,-0.4110621241798438,-0.020950111553457253,-0.010133739795471634,-0.059146385964648045,0.3344075156380333,0.4379835471845142,-0.1345387766320663,-0.4560059824269298,0.362723065652714,0.6084394507752066,0.0884055639503501,0.3630232402092073,0.7304565807046792,0.5789993289795826,0.17363046355990855,0.13312223176412336,0.2417869159644664,0.5672592227062783,0.6583987591454775,0.4139172185191986,0.6533574321326793,-0.05363115054863392,0.48346156905336385,0.4890197384478585,0.15523937876589133,0.1823856011747882,0.6720138773375253,0.2128553927027404,-0.31984845270561213,0.33902829472017065,-0.43780038432793406,0.32487708014084316,0.05220181917637602,0.13381792884208563,0.6162675669647573,-0.023485512355771225,-0.22941708559150176,0.3927456744145531,0.48878273036381015,0.6192617547305151
OFCmed_L,-0.2879623680520498,-0.04495606555605364,0.23498357904046882,0.03286531713402293,-0.45136558373469543,0.44805821075981256,0.20922574726448254,-0.12253885737523593,0.1285170811476376,1.0,0.09573064982754527,-0.2630028932623147,-0.2426284987109298,0.14654097209683284,0.5647514960152228,-0.10503069953434604,-0.19778817334054316,0.4575459197148333,0.0447656205502592,0.2895767675867237,0.09424843381499051,0.3422678845370041,-0.1996924936513024,-0.14593041442266758,0.059416862153079765,0.13521540413320687,0.02828195961830296,0.029651206479968266,0.32033814865774984,0.21179440180737077,0.2797278836684418,0.31791902749666956,0.363675899171447,0.0878598631347447,0.0014811559822110424,0.20782481397903432,-0.22299966627223225,-0.31684602058027744,0.1282362231538895,0.2434372962331774,-0.3101812779636595,-0.3523103813551599,-0.3501145719008702,-0.1686034696142206,0.2876459101180408,-0.08586378227268673,0.11089595287913497,0.10573568731427851,0.4544226706131373,0.0786160643248193,-0.02195154093390793,-0.12999253543166087,0.14150920307375425,0.24961340994969267,0.48528772377018337,0.3191328379443486,0.21022971638088922,0.4967390220951319,0.3072425192255508,0.5095169235835125,0.18859734951774265,0.3670184822943274,0.33763385957774833,-0.035791293888990085,0.407993401207507,-0.22183531208425933,0.18024647974142424,0.513415658182943,-0.08522622733358945,0.6003043007284281,0.3607483777847082,-0.05200314803204034,0.32306548197719354,0.09794298989935732,-0.03389288370079421
