,Thal_VPL_L,Cerebellum_8_L,Thal_PuM_L,ParaHippocampal_L,Thal_MGN_R
Thal_VPL_L,1.0,0.5202209510358167,0.7197008288734174,0.5527436198138678,0.4782498321817619
Cerebellum_8_L,0.5202209510358167,1.0,0.6505491090106382,0.24592919885086667,0.36812918078764634
Thal_PuM_L,0.7197008288734174,0.6505491090106382,1.0,0.3498100382110253,0.4029491228741991
ParaHippocampal_L,0.5527436198138678,0.24592919885086667,0.3498100382110253,1.0,0.12287569702410647
Thal_MGN_R,0.4782498321817619,0.36812918078764634,0.4029491228741991,0.12287569702410647,1.0
