,Hippocampus_R,Vermis_7,VTA_L,Cerebellum_9_L,Heschl_L,Cerebellum_8_L,Vermis_6,Thal_PuA_L,Cuneus_R,Cingulate_Mid_R,ACC_sup_L,OFClat_L,Angular_R,OFCpost_L,Amygdala_R,Cerebellum_Crus2_R,Frontal_Med_Orb_R,Temporal_Pole_Sup_R,Postcentral_L,Olfactory_L,Vermis_9,Red_N_R,Occipital_Mid_L,Thal_MDm_L,Thal_LP_R,ParaHippocampal_L,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,ACC_pre_L,Thal_VPL_L,Rectus_R,Cerebellum_Crus1_R,Temporal_Inf_L,Frontal_Sup_Medial_L,OFCpost_R,Cerebellum_10_L,Thal_Re_L,Postcentral_R,Rolandic_Oper_L,Temporal_Pole_Mid_R,Putamen_L,Cingulate_Post_L,Temporal_Inf_R,Precentral_L,Thal_AV_R,Parietal_Inf_L,Parietal_Sup_L,Occipital_Sup_L,Calcarine_L,Vermis_3,ACC_sub_R,Putamen_R,Thal_VA_R,Cerebellum_7b_R,OFCmed_R,Cerebellum_10_R,Amygdala_L,Vermis_4_5,Paracentral_Lobule_R,N_Acc_L,Cerebellum_6_L,Thal_PuA_R,OFClat_R,Thal_AV_L,Calcarine_R,Caudate_R,Thal_PuL_R,OFCant_R,Temporal_Mid_R,ACC_pre_R,Frontal_Inf_Orb_2_L,ACC_sup_R,SN_pc_R,Thal_VL_R,Frontal_Inf_Tri_R,Frontal_Med_Orb_L,Cerebellum_9_R,Vermis_1_2,Cerebellum_4_5_R,Paracentral_Lobule_L,ACC_sub_L,Temporal_Pole_Mid_L,Precuneus_R,Pallidum_L,Frontal_Mid_2_L,Occipital_Inf_R,Cerebellum_Crus1_L,Thal_VL_L,Thal_IL_L,Fusiform_L
Hippocampus_R,1.0,-0.4676339493430628,-0.20005219326611512,-0.30406232524989424,0.11164689089492821,-0.21698463781695837,-0.25762846710015486,0.2921372837380385,0.14444187939378342,0.5072056891611856,0.2945002571830897,-0.4233599819516942,0.1587400702907039,-0.05343488013201044,0.843535560233036,-0.5634519114722196,0.057088041638893396,-0.22345528906376103,0.6822272509799523,0.6579315034732386,-0.635988325596297,-0.4401540151068288,-0.42627119546955033,0.2290013041990145,-0.1427948506581901,0.5320053111516384,0.8238060888889895,0.9221627031949164,0.5671725093388559,0.42721628313241744,0.7363466871438885,-0.6351118622932608,0.3967185398356809,0.8142546013718348,0.7499903274573628,-0.05091002747424288,0.06107621610629778,0.7870629079626814,0.6638810037321575,-0.7215912150370934,0.7539564325743339,0.5395426364054776,0.17874213753895943,0.7344171931101646,0.13154807714090677,0.36220684487932037,0.5343588125341311,-0.34167470531658756,-0.10031656139974515,0.5185468688308337,0.2850714419851256,0.7375146387327483,0.6533574321326793,-0.5062371108522759,0.29528892940949797,0.43665882697457187,0.8335058031204894,0.28605302524598225,0.6060377058284127,0.5767016554278266,-0.529900611141365,0.26152406217301977,0.7920782178701299,0.7775580956545677,0.0714996935932048,0.5144092149706516,0.10256806280864252,0.7638149445811344,0.08346702347410753,0.3761261506200473,0.19212874525815948,0.38357172813562374,0.05530516744303351,0.43954810800604266,0.8492056445220564,0.20317472561741204,-0.28727597007548755,0.6390874004442434,0.419214702014499,0.7417285734702994,0.28312918379621355,-0.4942739354372596,0.6324414198658083,0.840012230033887,0.6463164991369956,-0.5768807116273571,-0.06867325576675586,0.8435897453054778,0.13664737194609552,0.2292524049407032
Vermis_7,-0.4676339493430628,1.0,0.23468698827306944,0.6765312861627263,0.26307335445795416,0.5738152179322279,0.49044316304220714,0.08310586588097446,0.31384450548446186,-0.1414656127637827,0.09416985047604938,0.4576345426595901,0.13217022549648477,0.2146070052127435,-0.5742651103291012,0.6379236638573514,-0.09693261219906568,0.5135454187953147,-0.362271352027078,-0.2691974630907075,0.6585476475750406,0.475527721303681,0.572863423751644,0.04937297744074078,0.2718270652962575,-0.07872328246229045,-0.36232667228410703,-0.41388328716227135,-0.2959881712040562,0.16361858467421372,-0.4461178129396196,0.7545101772388297,0.07435772069875118,-0.34566621064871556,-0.37254585536455376,0.43100353688542953,0.07884472031684911,-0.2665246497234997,-0.22647657038385452,0.6627332437112213,-0.05236385716913613,-0.024324803370418438,0.49878786836650985,-0.35059524307055284,-0.19518852849682924,-0.0929039030994384,-0.24580554178172181,0.6237605970833519,0.38644130939864735,-0.07980854160882195,-0.3260678942919501,-0.2333285942795694,-0.48697512074145805,0.43604359329363723,-0.2700722087330269,0.1706946701167019,-0.6693140256643147,0.18954011700958528,-0.13250312153464783,-0.18108764386749027,0.7167429725593962,-0.2509039892888338,-0.36104999580621505,-0.5100770936169667,0.3760447975769908,-0.11924081044756805,0.12703403075287029,-0.4595509342072008,0.3715008948908656,-0.17502567955135395,0.10846445509133587,0.0059805675461257115,0.09922285708822055,-0.22218072140165732,-0.3235364939851127,-0.0009982705943204595,0.7056166491889356,-0.33788486781786625,0.2017880807318464,-0.2626251940353117,-0.21128461762442888,0.452939343418513,-0.17452818387493088,-0.3903271600290374,-0.20884299988731655,0.6233092765097435,0.30394486492923695,-0.4876441416143609,-0.0485786106112626,0.2829877047215545
VTA_L,-0.20005219326611512,0.23468698827306944,1.0,-0.028994850862944524,-0.22495725712186082,-0.19413038566199492,-0.17510430728088172,-0.3371171096032268,0.07932108982861769,-0.10458907328647377,-0.2262137405354685,-0.13323617438712138,-0.014341007653895689,-0.24774101176615768,-0.08168063508209802,-0.010528846947325109,0.11656470939985962,-0.23598235336365556,-0.12047153703731345,0.02254196401601764,0.1420165779616261,0.00572346342276282,0.08213038594351553,0.19587038001407195,0.1739536996821084,-0.4143545523013602,-0.18982084961096257,-0.20857808570847133,-0.18708029644198673,-0.21790335977683203,-0.2636638764699902,0.22602886523453372,0.014999731056181752,-0.27467025537496226,-0.39453421583017906,0.007739114513024157,-0.059322104773846626,-0.15289025784152827,-0.22356665632063483,0.28464574206783405,-0.08522390239399119,-0.048983046625889995,-0.06845063285307364,-0.1434324987249131,0.05540404176945571,-0.07769623938938505,-0.031062777228936397,0.03004933028726533,0.0845254104605603,-0.17249821822082304,-0.12273345781777013,-0.27141525248388576,-0.3519397851585449,0.08423517905402687,0.0669010814366533,-0.09437153894574,-0.23356269940151145,-0.08126812791405529,-0.12301658844092836,-0.47774751392245957,-0.0016559743615947632,-0.04817874063562449,-0.2101462536223227,-0.06983344592465275,0.00517169801723428,0.009063244786907685,-0.03580824207547487,-0.32781838098605376,-0.0572213568970851,-0.4352730880075513,-0.024517515648660285,-0.3100017172864228,0.2435397359350022,0.0588557963579508,-0.13651221699129681,0.06759881559727175,0.03396196964950388,0.007489786440763338,-0.10774145866483935,-0.09625961998021859,-0.10904998880113614,0.33350391848530936,-0.06435751161342528,-0.3356626669026094,-0.2644910364588433,0.10086398084777484,0.4892785567966718,-0.17789177268509673,-0.4728492001336773,0.023247808093350766
Cerebellum_9_L,-0.30406232524989424,0.6765312861627263,-0.028994850862944524,1.0,0.5917560227659495,0.7973589920501705,0.6825197964725919,0.37599594388113455,0.2848063439363126,-0.0069980893248697135,0.20252264252602278,0.7206223136287995,0.1749336533262311,0.4901977596011197,-0.49860499480522985,0.7794266990857212,-0.1092710051308287,0.6237071406917098,-0.4364870421484802,-0.27504433258856287,0.715318090211591,0.4296986895419046,0.6837021505796985,0.027617434845694646,0.2768950827154308,0.26290316019028453,-0.36400027240548327,-0.3648041260329067,-0.20707578695588857,0.5216176810796043,-0.3556978892179914,0.7706617834231086,0.21586232034211067,-0.2004076672414251,-0.2319571832063589,0.7261668356599775,0.09259768329534034,-0.21303251623710148,0.05898075136565465,0.6287311812346831,0.14240118477427582,0.12713949810890668,0.531338977004157,-0.33286488523911323,-0.2247713235774318,-0.13755815896616314,-0.3937641905127369,0.7604456586530721,0.3893346069914982,0.27750636087043856,-0.1129778559723449,0.005500274438360017,-0.31984845270561213,0.41952135277855196,-0.15826208439112827,0.414413854662956,-0.5996422689677496,0.2829615073606384,-0.07148218631519959,0.1741312555232835,0.8925711816044475,-0.1584958984832999,-0.35753624052617167,-0.4898662581072075,0.42897575940312194,-0.07403219706503247,0.14079832354328276,-0.37182979495551827,0.43804766894457825,0.04364366846897837,0.3107990981804729,0.06910299101030504,0.09434443872218852,-0.23725344057180256,-0.18935902336560093,0.0793910001536499,0.957398683204896,-0.4207390308052698,0.4822633029189442,-0.2602183094584573,-0.16114425751898798,0.2668264702732643,-0.14637839278035694,-0.19625042201003423,0.016595138245766333,0.6248402964492816,-0.04888735752623045,-0.35906113975935017,0.28519210030217473,0.5260839316298771
Heschl_L,0.11164689089492821,0.26307335445795416,-0.22495725712186082,0.5917560227659495,1.0,0.5294389091157526,0.31119878383520777,0.3376932462625101,0.20126852914916848,0.1502292540249713,0.5443091629342329,0.4413746336997136,0.022711552944668253,0.6523944694008867,-0.09949799562427072,0.29601577570279375,0.04896951158779899,0.4621445997994909,-0.0948141074959897,0.15448364280736396,0.18447134029551351,0.11537869504604785,0.2347694873939216,0.1411613784771093,0.3630580901802375,0.5154023199352282,0.13937961032463672,0.12408551860948222,0.3209688495304074,0.6001931914714731,0.08369577209189064,0.2580247399144748,0.4179542437391681,0.2533461917344253,0.16023748456770684,0.4092502982463964,0.18574137006492283,0.09065789718165802,0.4483872602468316,0.13035564963760393,0.38667339218990343,0.3251434843503592,0.39363985176788346,0.016294851240942293,-0.14648806763035072,0.021235370217948055,-0.17205009599785098,0.30223187451256006,0.058950254613121866,0.2611541035729849,-0.0632961982674678,0.14962833105491558,-0.023485512355771225,0.08433760207856278,-0.10570977987149092,0.42790873826774883,-0.12307379913762717,0.19171606941173144,0.14276535172639973,0.47120465268055683,0.44682149970123447,-0.32550829802565057,0.0938847106911335,-0.05583474291177138,0.1945795855109589,0.08971077892167881,0.3290967704209109,0.09154581115783568,0.14619470262892378,0.34197783585938846,0.6165909655373008,0.4090264794447029,0.03918960498162915,-0.06868858712765645,0.13594892444543782,0.05311790351529321,0.552045798227502,-0.07423580648455812,0.4152400396683528,0.060295266809923156,0.11970154928096459,-0.08695781470078287,0.001763376603732748,0.17414108169059728,0.49190416024863576,0.09467929347575635,-0.08248616621614539,0.10245424211130347,0.27009216626811566,0.6041706021041959
Cerebellum_8_L,-0.21698463781695837,0.5738152179322279,-0.19413038566199492,0.7973589920501705,0.5294389091157526,1.0,0.7067639816064651,0.43713480892370704,0.42166077212785424,0.1620719444079895,0.23987711416592,0.7568356831866911,0.35818404008368343,0.43889432122758765,-0.3852565110929477,0.696310382346538,-0.22362803600341327,0.6429218130049175,-0.1833221969714564,-0.22356417349818905,0.6591638177720871,0.5104445302018191,0.630331126999795,0.15478691952567752,0.18509038573327816,0.24592919885086667,-0.21678629625745685,-0.22220013393337,-0.13811537470033886,0.5202209510358167,-0.23684378558939398,0.6523199253681409,0.2922838188892152,-0.05412090331541519,-0.08597074891430603,0.7075970473788011,0.06301065785506464,0.03190422935696166,0.19390020188201798,0.5610899886760163,0.2268231940927867,0.1813237360273771,0.4907557566832661,-0.093072585154167,-0.23799046118350137,0.11607612437015713,-0.13648061118562826,0.6424128615280764,0.47473566615284996,0.3881937808611771,-0.01889418574740114,0.1379348107808459,-0.2154903230036053,0.5161360448034661,-0.13300838913291815,0.4266189701819681,-0.45907356968347557,0.44625017178358045,0.15228540658612644,0.23708163052374429,0.7836561369108503,-0.027192887838267083,-0.18875535856820458,-0.2635972551333686,0.5154102559606012,0.15817747902836654,0.11145654005527648,-0.2688596029530007,0.44552340332369567,0.12939122522705088,0.27144284638907384,0.214254538627151,0.016640965911444816,-0.050988310634346584,-0.09397013851922265,0.06387520226177984,0.7167601839859146,-0.2653895507035196,0.5876663641965338,-0.05480828078397796,-0.09649830169885729,0.23014331096969012,0.04971482827807135,-0.031720887689071386,0.19422386098724614,0.562519187413102,-0.09489074937309595,-0.19781653540723637,0.3470433659935427,0.5078224222755587
Vermis_6,-0.25762846710015486,0.49044316304220714,-0.17510430728088172,0.6825197964725919,0.31119878383520777,0.7067639816064651,1.0,0.4992307814268771,0.3403837149066171,0.041310819807204475,-0.10614965433812099,0.6677907262501392,0.3491579612166514,0.12074799737805204,-0.36867291896232834,0.7215831301251754,-0.2157690394095373,0.4415083475675598,-0.2912384690417271,-0.46257698634633715,0.7770948694470122,0.4726472807650949,0.6521867210234871,-0.13984943381012113,-0.07817484224329482,0.04656281188379296,-0.4404097346123394,-0.3510526771049851,-0.46498394749962824,0.37493524369017134,-0.31623619333304637,0.6035990340168988,0.013894911715521648,-0.24596892662144768,-0.17964598095851422,0.6185206787660011,0.06205583299177675,-0.07508645003050228,0.06049831608394782,0.47745197995135324,-0.010895369951252237,0.03364179444095236,0.516913559464917,-0.23293165932481255,-0.10141546301736028,-0.0158148711101054,-0.1854237820327409,0.7539245117194755,0.6233538955022512,0.4303478912742795,0.08432741458112591,0.20999575251203098,-0.07812929356435495,0.5135761918788331,0.008234119912281993,0.2898417289488499,-0.49755594813813997,0.6446138420232155,0.08315004397772399,0.14918777198733268,0.819972351043134,0.34148851711239153,-0.448922638996724,-0.422324604747104,0.6664160850601654,-0.006204726791504063,-0.11906517211021751,-0.3553161810014508,0.6210983780823667,0.07926783843082215,-0.002632547031485097,-0.07045890348355478,0.028284119558959736,-0.06340298326828939,-0.17749397439549217,0.06196339269923914,0.6290831687031455,-0.48727197190890903,0.6077495649675267,-0.20485553649218619,-0.28173855788809554,0.2666331103960746,0.12346836142982676,-0.09480998463565053,-0.14297407857376085,0.7710316900373939,-0.2605274054816058,-0.3527531430964684,0.3258594157362696,0.26143738917032316
Thal_PuA_L,0.2921372837380385,0.08310586588097446,-0.3371171096032268,0.37599594388113455,0.3376932462625101,0.43713480892370704,0.4992307814268771,1.0,0.291707098514572,0.3028631678044886,0.11254412909842575,0.42570922408820183,0.396735914543087,0.1756285567500321,0.01919873044222869,0.3894010637083464,-0.2090938340768069,0.3400179195091818,-0.028045759805700565,-0.1118884404163844,0.2735748844452174,0.06935400739013785,0.3105543984388791,0.2363095583968068,-0.14507026752656638,0.37050912854868207,0.07621250795626594,0.15321588430538244,-0.08505614917455473,0.6637132326743094,0.1147322433804389,0.15852110119424365,0.04364138309905392,0.17735003464056665,0.24744854905503572,0.43959575429009473,0.1276633345089888,0.23186071026748445,0.24580030792764707,0.03587688483243692,0.4076868439528782,0.33470353724866253,0.3777960916526533,0.05714067738616131,-0.019981292228534998,0.04057713756167977,0.012518165058624301,0.3777341799550081,0.4025651795019514,0.4884490449180153,0.17940388674386124,0.5296398310688529,0.1832213238540088,0.16071218024022918,-0.04624105906892761,0.4186392756536265,-0.02264332224115429,0.5395214807457113,0.37682592339757204,0.4175656943370312,0.3341408518892309,0.25200872033383953,0.07893837148765659,0.02294414057092161,0.47033260904088386,0.29704844523878493,-0.0846797730294902,0.18749842745048478,0.5848642487621601,0.3051544976391815,0.13391453977458181,0.2107799480131445,0.02880279405437124,0.09719549691386145,0.2938676672219217,-0.019084797218460983,0.37021511419769854,-0.14511565963142475,0.518204660387243,0.1242687287888899,-0.02419473417729372,-0.07830400219025647,0.29047964832648654,0.36487193512444493,0.17759854470194986,0.2951671647856678,-0.19415562293405456,0.19063505367185699,0.598071163649489,0.20408210446049949
Cuneus_R,0.14444187939378342,0.31384450548446186,0.07932108982861769,0.2848063439363126,0.20126852914916848,0.42166077212785424,0.3403837149066171,0.291707098514572,1.0,0.3659922471367431,0.11397875572651457,0.12350493785480085,0.7969142452626373,0.04696018757929861,0.009259659230599392,0.20345193606711198,-0.08645706116390924,0.30604754926592925,0.25264311140901363,0.05315561043205801,0.25782969165111697,0.2777862990422819,0.49656518673739763,0.29449477298577575,0.16597672221780965,0.17152522152558458,0.11367490812500353,0.17020315962039376,-0.10856859435235498,0.3047428616975417,-0.053870510789711876,0.31946715593662933,0.3518528319789242,0.14363022179135043,-0.032639259080170645,0.3148205770245527,-0.01680703954631281,0.40930762091437556,0.15044439203869733,0.18409855752929824,0.38705168847452015,0.3252172631209752,0.5166085430006677,0.24609185602798417,-0.17930471582456256,0.5217436463053947,0.48289442283181744,0.5213214785928229,0.6733324927995219,0.194193802790042,-0.16046212987538833,0.16012991878784735,-0.20816859702545998,0.23006951859146316,-0.03893101431169573,0.30319240213883464,-0.10456892568045281,0.574733736742992,0.41666004365201353,-0.03974681978371617,0.2857512113445011,0.08818862235096596,0.10354092760913287,-0.02320216187486489,0.7106420232313158,0.23482274251818355,0.07377558347315925,-0.07559358301769355,0.540918151672969,-0.23247227006109308,0.0870850022167007,0.023517604875400944,-0.1613019060798654,0.10194939570962087,0.1413040973655297,0.13920109698819044,0.2536087240733573,0.03410819482348166,0.5150681932946359,0.28403489492481554,-0.21800381119859233,0.12335856357075305,0.6125563045438784,0.016479059263389537,0.14840498351332207,0.2905926693362888,0.32833219303705974,0.01570794526671406,0.18134322542576448,0.519914864489874
Cingulate_Mid_R,0.5072056891611856,-0.1414656127637827,-0.10458907328647377,-0.0069980893248697135,0.1502292540249713,0.1620719444079895,0.041310819807204475,0.3028631678044886,0.3659922471367431,1.0,0.16142345128535687,-0.10743935372361575,0.5091420530804569,-0.10888750885067401,0.44380126849074675,-0.12801074612161256,-0.04532734132524854,-0.16212602372892482,0.6241402253246966,0.2659932604028742,-0.19404472477341148,-0.1813692369946512,0.1040581955241491,0.44123529934302813,-0.03006148184793323,0.31655876075958717,0.36946479609640076,0.5388354877614667,0.15792443330062722,0.29145529378979784,0.3317258656217889,-0.19181978756075005,0.36206909798912096,0.6755258455908493,0.42394743214032726,0.24986227353804066,0.1526448911020473,0.7071155238875938,0.5976413188964719,-0.243699270037266,0.6355022274898948,0.6344815819561165,0.1381226560603387,0.6855686067988144,0.1175012199137857,0.6870221882995706,0.6099134965312375,0.01879626464387928,0.10893996684744438,0.4305021088798204,0.20643856876742783,0.5090564046754051,0.3396368679384873,-0.039800356781998655,0.039534619310332725,0.4939751907803663,0.43603179015735904,0.2951348353668825,0.7447693664982147,0.2168450945070551,-0.10928637423994336,0.27807243673518534,0.32968956911997754,0.521603189678459,0.20919774125385177,0.46916699618384294,0.08431844534902716,0.30468605254252756,0.03915728861640295,-0.014199605372508627,0.17898252506832749,0.23156449347809915,-0.09620605626842034,0.5468986044378997,0.5352485526082428,0.024426767610017452,-0.01575329543691049,0.4018520062544342,0.4726683048662897,0.6952747652970506,-0.037053364449230436,-0.25727927929714806,0.6868969734043385,0.5228026887851908,0.5537079501415205,-0.2424711654128324,0.05350959141569787,0.550830635976797,0.169853495764424,0.2953865296648048
