,Cerebellum_4_5_R,Vermis_6,Cerebellum_8_R,Hippocampus_L,Occipital_Inf_L,Amygdala_R,OFClat_R,Frontal_Med_Orb_L,Calcarine_L,Vermis_9,Thal_MDm_R,Cerebellum_Crus1_R,ACC_sub_R,Rolandic_Oper_L,Cerebellum_10_L
Cerebellum_4_5_R,1.0,-0.19667361883738868,0.5079854808341576,0.19132262554834914,-0.0006242712841447431,0.12739022887368576,0.17613640119266033,0.04367727571503765,0.7287284670815956,0.609045130555646,0.07623904555348282,0.3963188989771722,-0.02805550888623659,0.31026101461413463,-0.6028811512118694
Vermis_6,-0.19667361883738868,1.0,0.13982627445598092,-0.0025370552201307035,-0.08025314863489627,-0.022014430268279015,-0.2986191357073406,0.03296575103114525,-0.013971319483180929,-0.057332852206423326,0.09553005598381342,0.21146572816916862,-0.1787120583773451,-0.12464522795053415,0.3098687452023123
Cerebellum_8_R,0.5079854808341576,0.13982627445598092,1.0,0.16421883402063056,-0.08411409043639585,0.1322617476336314,0.12687953617814873,0.16780700746053506,0.4334616289910112,0.5852871846886415,0.2192546085316557,0.6363399780333536,0.001959289050276405,0.1582318394210562,-0.04085432416749208
Hippocampus_L,0.19132262554834914,-0.0025370552201307035,0.16421883402063056,1.0,0.05934242309416189,0.6561524929626944,0.008042889746981596,0.08537736993602248,0.20436257852479675,-0.03954532167105742,0.7666791433162087,-0.06900673208954015,0.13060448649628195,0.5636286025405602,0.21909893950477582
Occipital_Inf_L,-0.0006242712841447431,-0.08025314863489627,-0.08411409043639585,0.05934242309416189,1.0,0.010567563203968292,0.11299841085641849,-0.03671613480992806,-0.004670133426420803,0.0738977720457997,0.028047853997888124,-0.20438970259427444,-0.06224035727669063,0.005929560906570724,-0.108725161884212
Amygdala_R,0.12739022887368576,-0.022014430268279015,0.1322617476336314,0.6561524929626944,0.010567563203968292,1.0,0.0903052448344599,0.32193961020205114,-0.10492642349146646,-0.17483929325640063,0.5361175650650537,-0.09356182825134703,0.3213983635389084,0.641452605603794,0.036373769555045364
OFClat_R,0.17613640119266033,-0.2986191357073406,0.12687953617814873,0.008042889746981596,0.11299841085641849,0.0903052448344599,1.0,0.08885080535342513,-0.136181717313475,0.025366724360642117,-0.042991433088391186,-0.24089866321241302,0.5107592685641362,0.13461472591546833,-0.3231575506069447
Frontal_Med_Orb_L,0.04367727571503765,0.03296575103114525,0.16780700746053506,0.08537736993602248,-0.03671613480992806,0.32193961020205114,0.08885080535342513,1.0,-0.03439021958701403,0.15127540880910564,0.09325266861386612,-0.03593394206713459,-0.0059054077132022825,0.17861196359551887,-0.026326084266455062
Calcarine_L,0.7287284670815956,-0.013971319483180929,0.4334616289910112,0.20436257852479675,-0.004670133426420803,-0.10492642349146646,-0.136181717313475,-0.03439021958701403,1.0,0.6856820284992018,0.2527648279771882,0.42443287028772725,-0.39161595652464276,0.06364963252881102,-0.18805256793894104
Vermis_9,0.609045130555646,-0.057332852206423326,0.5852871846886415,-0.03954532167105742,0.0738977720457997,-0.17483929325640063,0.025366724360642117,0.15127540880910564,0.6856820284992018,1.0,0.10200912975695584,0.4648280761353344,-0.2860615068538201,0.08251161410031349,-0.29930939403494217
Thal_MDm_R,0.07623904555348282,0.09553005598381342,0.2192546085316557,0.7666791433162087,0.028047853997888124,0.5361175650650537,-0.042991433088391186,0.09325266861386612,0.2527648279771882,0.10200912975695584,1.0,0.09101191052081455,-0.009870149232235994,0.5824041371098769,0.35176553834838376
Cerebellum_Crus1_R,0.3963188989771722,0.21146572816916862,0.6363399780333536,-0.06900673208954015,-0.20438970259427444,-0.09356182825134703,-0.24089866321241302,-0.03593394206713459,0.42443287028772725,0.4648280761353344,0.09101191052081455,1.0,-0.1922628920947549,-0.0183789502174888,-0.049281126692001284
ACC_sub_R,-0.02805550888623659,-0.1787120583773451,0.001959289050276405,0.13060448649628195,-0.06224035727669063,0.3213983635389084,0.5107592685641362,-0.0059054077132022825,-0.39161595652464276,-0.2860615068538201,-0.009870149232235994,-0.1922628920947549,1.0,0.2673998241011194,-0.1374465211866514
Rolandic_Oper_L,0.31026101461413463,-0.12464522795053415,0.1582318394210562,0.5636286025405602,0.005929560906570724,0.641452605603794,0.13461472591546833,0.17861196359551887,0.06364963252881102,0.08251161410031349,0.5824041371098769,-0.0183789502174888,0.2673998241011194,1.0,-0.14511298632519234
Cerebellum_10_L,-0.6028811512118694,0.3098687452023123,-0.04085432416749208,0.21909893950477582,-0.108725161884212,0.036373769555045364,-0.3231575506069447,-0.026326084266455062,-0.18805256793894104,-0.29930939403494217,0.35176553834838376,-0.049281126692001284,-0.1374465211866514,-0.14511298632519234,1.0
