,Temporal_Pole_Sup_R,Amygdala_L,Cerebellum_Crus2_L,Cerebellum_8_R,Red_N_L,Postcentral_L,Thal_MDm_R,Thal_MDl_L,ACC_sub_L,Thal_PuL_L,Precuneus_L,ParaHippocampal_L,Vermis_10,Occipital_Sup_R,Cingulate_Mid_R,Thal_AV_L,Frontal_Mid_2_L,Thal_VA_L,Cuneus_R,Frontal_Sup_Medial_L,OFCpost_R,Paracentral_Lobule_R,Precentral_L,Cerebellum_Crus1_R,Putamen_L,Angular_R,Cingulate_Post_L,Thal_VL_R,Cerebellum_Crus1_L,Cerebellum_4_5_L,Frontal_Sup_2_R,Thal_AV_R,Paracentral_Lobule_L,Frontal_Inf_Oper_L,Temporal_Pole_Sup_L,Occipital_Inf_L,Frontal_Med_Orb_L,Temporal_Inf_L,Temporal_Sup_R,Insula_L,Lingual_L,Cingulate_Mid_L,Vermis_4_5,Parietal_Inf_R,Cerebellum_9_L,Supp_Motor_Area_R,Thal_PuL_R,Thal_IL_R,Angular_L,N_Acc_R,Frontal_Inf_Tri_L,Cerebellum_3_L,Vermis_9,Heschl_R,ParaHippocampal_R,Olfactory_R,Thal_LP_R,Cerebellum_9_R,VTA_R,Vermis_1_2,Occipital_Mid_L,Vermis_3,Thal_MDl_R,Temporal_Mid_L,Thal_LGN_L,Rolandic_Oper_L,Temporal_Mid_R,Thal_MDm_L,OFClat_R,Pallidum_L
Temporal_Pole_Sup_R,1.0,0.49694960057429793,-0.14995187802531093,-0.12398473956311555,0.6162199211349558,0.12373623014029744,0.16237243608889787,0.39293173921123176,0.36762886685683605,0.09394312384731256,-0.1352673755926389,0.5296557239032479,0.005652995596588452,-0.2945599735253312,0.48694704430310926,0.17365122823942816,0.3700989948669185,0.18932283595744764,0.30523934805034564,0.46158694451769333,0.6768552898679708,0.035003661338950276,0.40712679338222113,-0.23928857355293992,0.7059117313469824,-0.18976768809510197,0.06426041000231528,0.46998525712729916,-0.18132154426173896,0.19318892228394863,0.4974315897450117,0.6429202765247801,0.30579927848432886,0.2764023780753772,0.527046687677282,-0.0456775733518558,0.3315000570320367,-0.07022580323471801,0.455300699587225,0.5923567441355351,-0.12626407606386486,0.46543216834790885,0.09524284216762394,-0.22685370837343996,-0.2543979553917648,0.427717287236287,0.40538360442726934,0.46886409120100275,-0.2541926820035327,0.8610702607342413,-0.06133788088303143,0.39245554704252994,-0.2882244074704571,0.1394238358382688,0.59465436352202,0.7540667355186285,-0.12450478425869609,-0.29791664185179867,-0.10614623214989088,0.4465330590908242,-0.0360699356757362,-0.09412585210623352,0.3337309317499533,-0.0027800243196055645,0.3338686935147345,0.4384176917981746,0.5244411068114709,0.18906328057797522,0.1212325502488381,0.5482028906027147
Amygdala_L,0.49694960057429793,1.0,0.05159858869973312,0.2680309878434018,0.6113739752649727,0.3640736855244097,0.6066119869220398,0.4189618411467753,0.389040730936569,0.43928239045370826,0.0229625871782132,0.782780282773582,-0.12207202797722672,-0.12394534449449518,0.6399299125036316,0.4375027273005323,0.6200028841794445,0.49292429045849073,0.2784037274777934,0.698645283600598,0.20737892811415415,0.10215205941100029,0.6851673248355373,-0.15042078734574252,0.7747110873028479,-0.014872057100549462,0.3074056560728913,0.5795816209797374,-0.08205759417998508,0.19642655280853943,0.6918373238200981,0.3877485867491591,0.4638331397001436,0.5337716729725457,0.5823111358019595,0.1840888609954212,0.18175301749922676,0.3227159280651056,0.43138535815075124,0.7276084062019356,0.1894741014463063,0.5881906931488196,0.2066280612964965,-0.14777985281668016,0.28848587036014745,0.5929761899098003,0.13106797149448543,0.753400376714132,0.047129634418365665,0.47556349220995153,0.4491390046877793,0.2181015605384248,-0.06389576801477972,0.011587675564554117,0.564810738248623,0.5383252711204665,0.2432147237967355,0.22325762503919372,0.012545090340336509,0.14285122079935889,-0.011996914872118503,0.12064961769774629,0.5557029396153134,0.4827193298546359,0.35854077533779155,0.6034149404604753,0.2623531529870282,0.4694232677120734,0.4181971731024633,0.7315239102477704
Cerebellum_Crus2_L,-0.14995187802531093,0.05159858869973312,1.0,0.08373856603619877,-0.1247464983903124,-0.13659442413862727,0.015710522079328028,0.0328933919789416,-0.054687352531851745,0.02737842084025686,-0.16815079825426335,0.010896923633464896,-0.04268320483883719,-0.11136254420383429,-0.07186539246777095,0.14514410223974142,0.036234307345480055,0.08355824618578811,0.20861514751556348,-0.0484925546814834,-0.2995276709897249,-0.1269792588853106,0.03518759736733032,0.13373617982114597,-0.03039101032204511,0.024187197352810753,-0.025994019083272125,-0.0060259725770121534,0.3482599206144348,0.03953826037022143,-0.07909895110430451,-0.0646084095100499,-0.057942840251769316,0.08668896617894291,0.0061873601880638625,0.18423968116281142,-0.012014761295814486,0.20611687077248528,0.012160550686571908,-0.07301969620007728,0.026099341004790267,-0.09082005618647652,0.08512759005728998,-0.14427178379750613,-0.15755782088336848,0.0005204991006730345,-0.05132198496702395,0.046147079828529176,0.29495447922081597,-0.19227779989671093,0.10515204955142314,0.015152233556928544,0.15665327735845302,-0.12451628248511833,0.011316428390699056,-0.15637719335380218,0.0743240219928216,-0.03373632387673355,-0.17649557413839045,0.060478088029875594,-0.13276494673962813,0.0864639667281934,0.05426913981490042,0.08321140477959886,-0.07668718857533137,0.022535824132449974,-0.01623107884873278,0.03141306534342529,0.11951709590333154,-0.12882966452679048
Cerebellum_8_R,-0.12398473956311555,0.2680309878434018,0.08373856603619877,1.0,0.048395602304526913,0.04090027006015959,0.2192546085316557,0.15448635056644971,-0.08596003740573809,-0.040178009693291605,0.07699692227003423,0.19867678819199994,-0.2687617654317478,-0.20918534617038267,0.1480037601171861,0.02908755473780707,0.14871516148946679,0.20613558207429633,0.2957065522966482,-0.009170438544381512,-0.28536201388012145,0.019380984903041493,0.2453210667728265,0.6363399780333536,-0.022407729928252546,-0.3801286308373578,0.24394899232533962,0.15485018450775517,-0.0912258552634144,0.4160451308228466,-0.00569748733555114,-0.0548514644059229,0.180886527540012,0.18416492536846485,-0.12461538378046035,-0.08411409043639585,0.16780700746053506,0.13386514919448994,0.3834510735468192,-0.13805869540731577,0.39433210822277515,0.11355785130534377,0.48778409565885017,-0.04679204485573003,0.4131709305708263,0.21278890622045094,0.048532264719412486,0.2813010984787252,0.316250988702091,-0.21948461791285834,0.18983923651011228,0.27035840688116786,0.5852871846886415,-0.04444293208752387,0.3217093814790781,-0.0946497456076762,0.21910071803890957,0.4032748826938093,-0.009313490651296503,0.1691855231332809,0.12272013810597322,0.3629667768358869,0.09873305078791972,0.35861233693230354,0.046143043441375896,0.1582318394210562,0.3087365178804666,0.16819117324641422,0.12687953617814873,0.08662329513536816
Red_N_L,0.6162199211349558,0.6113739752649727,-0.1247464983903124,0.048395602304526913,1.0,0.5618580248526313,0.653247712881221,0.4756752794248955,0.04124943367330108,0.1807492220249218,0.33293647390329023,0.6332660192578045,0.14789640339277035,-0.0004124840140973103,0.7491228626829246,0.5817765232049109,0.4794564571820655,0.5082809848352965,-0.04438922879862073,0.5185005393220375,0.4999175807572411,0.43238179820424305,0.48071456049176575,-0.11239442978782026,0.6451754097293776,0.07075376712302554,0.4298977828461745,0.7304400657468951,0.035339295794727346,0.15875324338128358,0.5835544249890405,0.732164655088967,0.50037282353782,0.33980388303300424,0.21702630591640015,-0.01682384075366311,0.14841289754697318,0.0006800151801444962,0.39011863265344815,0.6312666821541062,0.26059899684588717,0.7187512214831259,0.1025430464765566,0.2656241571570876,0.20866127638740906,0.5098942602676754,0.2587574555390233,0.5115156159287343,-0.06726296846773322,0.5593926734274406,0.13097806363075365,0.21379874948158464,-0.14464830418290525,0.5788077318475866,0.48264829389012903,0.5295795428374779,0.264301989993966,0.15840580081705088,0.4508388811222012,0.27238726044981315,0.027833397778913183,0.02674331929022357,0.45468501552127893,-0.07089079937934645,0.5715538610778674,0.5743797409267253,0.28516657301021336,0.6255840413997422,-0.1695186345730894,0.7964071138626594
Postcentral_L,0.12373623014029744,0.3640736855244097,-0.13659442413862727,0.04090027006015959,0.5618580248526313,1.0,0.7112917827230747,0.43394543271601355,-0.20840495555958108,0.11122017847703446,0.7638781012906054,0.4303903171917711,0.13548934113006267,0.41446708378164904,0.7931426706559059,0.650527275255248,0.5633709907528233,0.5887825060931451,-0.30920547450668245,0.410810199610855,0.27898959086517144,0.8498687392598777,0.6203603657758189,0.05118898666426071,0.38029232016829023,0.30655920204473347,0.6079086091649951,0.6206848990415281,0.16045525470916708,0.043203150089453614,0.5284902871528935,0.45771050381108347,0.8016589995638211,0.3645959449703514,-0.06208597441270136,-0.03131763293186626,-0.010052214453683369,-0.0037261143131735856,0.24018834110591628,0.38708262257188497,0.4394263078047858,0.8258342309706589,0.132226591035951,0.7413527909702857,0.40226632313561006,0.6516918485164078,0.14370962517385868,0.38245455822207347,-0.00922732690344294,0.17086687576681597,0.2785061559308363,-0.001544085388457524,-0.06557245905449975,0.6089453117611924,0.22576753073131045,0.17842645080848385,0.5140089636806134,0.3432146149327085,0.5460872720678668,0.10201592320766838,0.03631102217587264,0.20538588129673374,0.40667255718518586,-0.11080359760034834,0.6084863539677956,0.6082434839147572,0.047428052044096,0.663942987978366,-0.3401459778276853,0.6805255178718395
Thal_MDm_R,0.16237243608889787,0.6066119869220398,0.015710522079328028,0.2192546085316557,0.653247712881221,0.7112917827230747,1.0,0.5423336734629873,-0.009682019800114105,0.42628399855834115,0.49543852278412054,0.4873607106506599,0.02662377671658695,0.21680445114931482,0.7496960249456482,0.8047009760910703,0.6410299026745653,0.7532271474756288,-0.0932632298516302,0.49886316511351847,0.12029901468828663,0.5268897628729649,0.6369675066612408,0.09101191052081455,0.5049947732819283,0.17916675510883615,0.5927382116745601,0.8290937969859193,0.13654795056435384,0.0903071731933558,0.6334492534293542,0.5115633566611929,0.6461291270442518,0.3929198612958661,0.052896497039092674,0.028047853997888124,0.09325266861386612,0.22664028286763716,0.34234486117372503,0.5069998887161107,0.4447173308041149,0.7519888461980501,0.2014091677271519,0.3563097597680559,0.5192494812847703,0.6171990920766972,0.08191930869459917,0.6549377868903337,0.07381639232794432,0.17600124418656612,0.321707809118286,0.031639725080638594,0.10200912975695584,0.47456541244273337,0.312837345416402,0.29406418234971055,0.614109852217326,0.41797124835347627,0.5538040528812154,0.0023017438614861777,0.14922991137736585,0.21555704216345595,0.7168799048170483,0.15240917324605818,0.5147359246088975,0.5824041371098769,0.09398087069636941,0.8464410767033569,-0.042991433088391186,0.7841818793436633
Thal_MDl_L,0.39293173921123176,0.4189618411467753,0.0328933919789416,0.15448635056644971,0.4756752794248955,0.43394543271601355,0.5423336734629873,1.0,0.15926842628790572,0.18952976734340346,0.055022785474732515,0.46521929723594435,-0.057471691510330616,-0.30370918619243453,0.6696380165197818,0.5610118810996059,0.6460832278497751,0.7699366335429455,0.2662201487326896,0.418704476234068,0.17811587165997364,0.4154783862483205,0.683061781267295,0.09420261980642512,0.5431394498325138,-0.23619012901025593,0.3523563517536802,0.7630548139881059,-0.003793370540583305,0.19251629153211836,0.4546313770281777,0.5687378510690014,0.632618912817651,0.6898053028510089,0.2710852877075269,-0.06675198640938829,0.20733201121498568,0.056192985232377576,0.5270215387220313,0.4772608654163053,0.2303341328418801,0.630578394335586,0.2936591371520483,0.03396549172740929,-0.013734521683422691,0.6799951770139466,0.55671315254798,0.5460184455246507,0.05576278567316543,0.2877934229305554,0.39742005397314134,0.26834358354365784,0.13368449188267678,0.35779544806434366,0.5410375997327602,0.2925277282503049,0.5355933196682579,0.015336843601426493,0.09635126885577754,0.25372109298509643,-0.04509533341515691,0.1863911393525435,0.5085147313147077,0.24564964893014227,0.5907296181007319,0.8190791059581333,0.38372791464967665,0.7434441657130763,0.055018905178022874,0.6111533405826929
ACC_sub_L,0.36762886685683605,0.389040730936569,-0.054687352531851745,-0.08596003740573809,0.04124943367330108,-0.20840495555958108,-0.009682019800114105,0.15926842628790572,1.0,0.3446181936029502,-0.5088746641876238,0.3037180087442666,-0.04582576454604297,-0.36648789661313447,0.07307682407861583,-0.1591659409538393,0.2980784936319152,0.0573345539493744,0.25463920576500104,0.45945922635331676,0.11743826707563912,-0.24702298683080431,0.28980047770062195,-0.3794605207676069,0.40811398699210333,-0.08316463514227185,-0.15500738473811596,0.07509313822285496,-0.33621699107198916,-0.09707220949560273,0.326063513811906,-0.020878376187510993,0.04345429291065418,0.3906585170316811,0.6890096549223674,0.05474943139779263,0.09613792512146319,0.13302622379246978,0.1705464109042353,0.39728607881715877,-0.33059510285551497,-0.017004916109250905,-0.06463586351707777,-0.4808513104228682,-0.12110676734067068,0.21155945619824618,0.1154919014698496,0.34857585640102356,-0.19492395748893088,0.34877307250547135,0.3254744644887184,0.12712600791012588,-0.22363827906492964,-0.44273274650639377,0.2847380307463835,0.3970658056308825,-0.10169292942086892,-0.10458358205506932,-0.3403559299696593,-0.09985638161749985,-0.10710131214855634,-0.12412180423953555,0.2671495935311545,0.40960968211637877,-0.023678270786611808,0.2402866162269936,0.1947996763972853,-0.0379761683216831,0.7104059667588313,0.09930144267348666
Thal_PuL_L,0.09394312384731256,0.43928239045370826,0.02737842084025686,-0.040178009693291605,0.1807492220249218,0.11122017847703446,0.42628399855834115,0.18952976734340346,0.3446181936029502,1.0,-0.16042855635032632,0.11649545851200677,0.40398015572790813,-0.014795796631262171,0.15925335266493953,0.30228192770017565,0.4308927572356953,0.28510389045452805,-0.0823426392158479,0.4715799138173287,-0.027041708542514226,-0.05385869858072303,0.3688180585439099,-0.21931029666369362,0.44652103618235545,0.26517272316562207,0.03173869223291093,0.23457880954856555,-0.19035820080299737,-0.46466996467943084,0.5578905283967768,0.07347918300751081,0.21296559351193786,0.11300347455830256,0.3563063444690516,0.03547268390234475,0.11604551460871834,0.1976817836116085,-0.11028203302782497,0.47634386787161276,-0.31734326333169854,0.1709906702528851,-0.3740557541621022,-0.17346797144838735,0.2142478740954783,0.29307513756443704,-0.11196811951514807,0.3441276435822785,-0.2767423853553565,0.2639090783640774,0.16148023689897636,-0.42219851019912996,-0.3176897331307133,-0.11493285266467308,-0.1042266671437323,0.3450139213305038,0.2609388907924214,0.3651849258743682,0.2291723515126146,-0.49406592415757405,0.12250441557521428,-0.3447302292431736,0.45445029054699343,0.13493052064175529,-0.05978702087503787,0.16364460158962582,-0.29776226739094613,0.24563557829951002,0.45724219859331294,0.30551041119589034
