,Caudate_R,Vermis_9,Temporal_Inf_L,Frontal_Sup_Medial_R,Thal_LP_L,Angular_R,Temporal_Inf_R,Thal_MGN_R,Olfactory_R,Insula_L,Fusiform_R,SupraMarginal_L,Thal_PuM_R,Rectus_R,Cerebellum_3_R,Rolandic_Oper_R,Red_N_R,SN_pc_R,Temporal_Mid_R,Frontal_Sup_2_R
Caudate_R,1.0,-0.021850952159761128,-0.01631178891656175,0.5204258944828644,0.5297600082138122,-0.24729251053483473,0.4493522994629944,0.1856963757253707,0.7124559899468578,0.5875391194200201,0.38637331088357096,-0.07330177305686332,0.6613376460424223,0.5263684976790574,0.34305286959039455,0.8022780266816296,0.7518587823231191,0.5275962201584059,0.5490657288871409,0.5901361339906731
Vermis_9,-0.021850952159761128,1.0,-0.03651183250812368,-0.2698364529886184,0.31736500101841497,-0.504918682452385,0.19314793559044321,0.6027408160609586,-0.3205226064778791,-0.4517496739594783,0.5496676960611493,0.22378983685326057,0.15027109758319632,-0.3361330050778315,0.42411673406626355,-0.027676295621911096,0.17635382228970242,-0.010084138380862041,0.414265368493313,-0.29482196045023407
Temporal_Inf_L,-0.01631178891656175,-0.03651183250812368,1.0,0.31502280350007617,-0.06985660791502754,0.11359218807150412,-0.3178855372833917,0.00012201030884622109,-0.15324630013837304,0.31971936066485146,-0.0696481945096597,0.22084167563930548,-0.06550807054500771,-0.0850321062161624,0.18735716784385062,0.09971063909394576,0.1525639569769839,0.1360408137128574,-0.2309524910670875,0.2687633335717059
Frontal_Sup_Medial_R,0.5204258944828644,-0.2698364529886184,0.31502280350007617,1.0,-0.058898138671303446,0.24537121317937804,-0.07036914439230278,-0.14580123061011235,0.46495117433641847,0.7924802631722774,-0.14524167676735603,0.1377315804380871,0.19422125324361073,0.35535344845403544,-0.06700305438863532,0.6468266617053727,0.3734427781600777,0.6102482044285562,-0.06665207217401657,0.917728575005742
Thal_LP_L,0.5297600082138122,0.31736500101841497,-0.06985660791502754,-0.058898138671303446,1.0,-0.45300187668244596,0.38132414319525487,0.4360860387032931,0.08175764099770469,-0.02169179815404187,0.5915731913415948,-0.030835510585764312,0.6738559598867465,-0.0353918808099804,0.523101923572161,0.31234724902220046,0.5511226023276704,0.20496403648419273,0.6461978071930874,0.05397333367281758
Angular_R,-0.24729251053483473,-0.504918682452385,0.11359218807150412,0.24537121317937804,-0.45300187668244596,1.0,-0.39756282199388887,-0.29065900151964696,-0.020265246320003788,0.2237256695329729,-0.6222835395961072,0.29144595183359595,-0.3251915208214519,0.11799923823861294,-0.5351652066152917,-0.07260121221397534,-0.38952080290791735,0.055877701571479664,-0.68686896510431,0.2523950834925938
Temporal_Inf_R,0.4493522994629944,0.19314793559044321,-0.3178855372833917,-0.07036914439230278,0.38132414319525487,-0.39756282199388887,1.0,0.29257038908117006,0.3499369386851758,0.04975727386016428,0.6196087234448296,-0.013015198174736167,0.6208770419104456,0.42919540172221116,0.15053145514461225,0.4636793853556462,0.49025997935345955,0.26231461267447975,0.7013789864657675,0.09083883045935191
Thal_MGN_R,0.1856963757253707,0.6027408160609586,0.00012201030884622109,-0.14580123061011235,0.4360860387032931,-0.29065900151964696,0.29257038908117006,1.0,-0.08106683661495041,-0.23592310729939853,0.5862778538429444,0.35771549353786763,0.34762226372155924,-0.07929164037095603,0.5048953309330088,0.16365221205304928,0.40883629140673633,0.30422878775087137,0.45629241743855736,-0.10103086887918851
Olfactory_R,0.7124559899468578,-0.3205226064778791,-0.15324630013837304,0.46495117433641847,0.08175764099770469,-0.020265246320003788,0.3499369386851758,-0.08106683661495041,1.0,0.5809473902669555,0.058420858381003436,-0.23903657279149734,0.33998061355899123,0.7932652716903172,0.03847968735593954,0.6324520295130043,0.4694927564908377,0.32529283051567687,0.2727479018885528,0.5269171055610997
Insula_L,0.5875391194200201,-0.4517496739594783,0.31971936066485146,0.7924802631722774,-0.02169179815404187,0.2237256695329729,0.04975727386016428,-0.23592310729939853,0.5809473902669555,1.0,-0.1514498704600145,0.08538187315650204,0.3393059217238767,0.47169640916377253,-0.030923901483681515,0.7562896029850966,0.4794144184032142,0.5384483113156228,-0.0655039557549708,0.8137173204086553
