,Occipital_Sup_L,Cerebellum_Crus1_R,Cerebellum_7b_L,Cerebellum_10_L,ACC_sup_L,ParaHippocampal_L,Vermis_7,Postcentral_R,Cerebellum_8_L,SN_pc_R,Parietal_Inf_R,Vermis_1_2,VTA_L,OFCmed_R,ACC_sup_R,Frontal_Sup_Medial_L,Temporal_Inf_L,Temporal_Pole_Sup_R,Cerebellum_Crus2_R,Supp_Motor_Area_R,Cingulate_Post_L,SN_pr_R,Temporal_Mid_R,Vermis_9,Cingulate_Post_R,Cerebellum_10_R,Cingulate_Mid_R,OFCpost_R,Cerebellum_7b_R,Olfactory_R,ACC_pre_R,Angular_R,Frontal_Inf_Oper_R,Thal_PuI_L,SN_pc_L,Occipital_Mid_L,Precentral_L,Parietal_Sup_L,Thal_MGN_R,Temporal_Pole_Sup_L,Vermis_3,Frontal_Mid_2_R,Olfactory_L,Vermis_4_5,Frontal_Inf_Tri_L,Thal_PuM_R,Thal_LP_L,SN_pr_L,Thal_AV_L,ParaHippocampal_R,Cingulate_Mid_L,Heschl_R,Thal_Re_L,Thal_VA_R,Paracentral_Lobule_L,Cerebellum_6_L,ACC_sub_R,Amygdala_L,Frontal_Mid_2_L,Temporal_Sup_R
Occipital_Sup_L,1.0,0.25008173454177546,0.021547322692905872,-0.33670178398972467,0.07230609836118887,0.1419535550714537,0.0,-0.26061203924194165,-0.12450259078518786,0.0060237617880205836,-0.3212862307555605,0.1468874320735676,-0.27374084150962086,-0.10918371995479463,-0.045950659792851116,-0.07598398157084535,0.03819698211191735,0.012375292100895597,-0.15480786825473647,0.1807663014453254,0.17380346840949096,0.03477595813039808,0.4251830942124294,0.4822871136348654,0.012391444728587308,-0.42520588066809567,0.08408531941232687,-0.25161798315210476,-0.3144910818770338,-0.05873833427741174,-0.08465070077730179,-0.5967324249294387,0.24470556177330635,-0.05146525725504232,0.24301449752241144,-0.010571569395525199,0.14151371780147115,0.3975645951698826,0.3803782265648676,-0.006651135883696,0.30431139381265365,0.03929751099183997,-0.0028501701556402836,0.5060964197034783,0.16526220106598122,0.2470057962385949,0.3804611231730882,-0.06333217316910203,-0.1374734642672544,0.3814438269353896,0.03848195658831849,-0.2021570750867837,0.25083410115345267,0.07874384526016275,0.03955972337923723,-0.17378480905301943,-0.006363139915553357,0.0950958445818316,0.06985731103702243,0.39932910676656114
Cerebellum_Crus1_R,0.25008173454177546,1.0,-0.13146667751256838,-0.049281126692001284,-0.07033366109970474,-0.10386642087615358,0.0,0.03462701123367693,-0.021046787277850604,-0.002300504170498035,0.1539243076705174,0.2742137460667097,-0.24165640239450376,-0.21144133622917496,-0.14699772069051145,-0.2654541078500444,0.18076771287754576,-0.23928857355293992,0.5794112445840823,0.10005948724105591,0.27146038038860076,-0.08977288044715577,0.1733760167443992,0.4648280761353344,0.2826405479862859,0.02215550087087994,0.06296806751362603,-0.2811585646285039,0.38670584115297607,-0.3113211793324763,-0.10317277559424753,-0.2448081038983179,-0.05222286822291401,-0.049757800551512875,-0.15232976505309742,0.12523278144914804,0.025760082049944285,0.24313268288638754,0.3731621586889368,-0.3786611363467456,0.4539686724841332,-0.12958279231154815,-0.15682906620396445,0.3934403128639731,-0.009441689064367768,0.12980225098758263,0.1591314965615768,-0.28437285608975027,0.06437419872066726,0.08651009081314452,0.0965662568235513,0.11701672504376151,0.038418203721608445,0.10319420069102095,0.08463726680912936,0.15763126246577136,-0.1922628920947549,-0.15042078734574252,-0.02326774902567888,0.2015127179154468
Cerebellum_7b_L,0.021547322692905872,-0.13146667751256838,1.0,0.389170865893028,-0.01230767071521898,-0.11759915606891626,0.0,0.1791259683913693,0.22620480075913593,0.08484728641055396,0.3297658367498068,-0.2544932346646139,0.06823842303112578,-0.027777032341313613,0.1082368936658818,-0.07550002104310942,-0.17358716043450634,-0.1701014347656736,0.16494088031108636,-0.0955138556881388,0.05634404359403674,-0.06001745983756552,-0.1690948699063537,0.03504071626115285,0.2040882319332352,0.21930493429470885,-0.00981640526624967,0.03481619029113064,-0.2061859103595034,0.02932833598390997,-0.08679215754894144,0.07986476097402143,-0.2513983037313216,-0.0161448409065586,-0.20380804164007144,0.19851318378089666,-0.06898193126596408,0.019854246852469216,0.049595999877350416,-0.2665118160701636,-0.14009652390321167,-0.052916944564328765,0.058232990972263504,-0.10313964899863051,-0.18520841546850475,-0.11751408314709477,-0.25139492899503735,-0.024979412425570738,0.08318921172396025,-0.17976023202372537,0.010909946448330278,0.23017587810479292,-0.05998836228269393,-0.009662749933278661,0.03974943716103298,0.11188754785027827,-0.2844956241668021,-0.09366473916725965,0.018284796535103665,-0.14975902967078117
Cerebellum_10_L,-0.33670178398972467,-0.049281126692001284,0.389170865893028,1.0,0.03818845296617265,-0.27507537531080567,0.0,0.37642831415759814,0.27903180618392714,0.2680788405664918,0.449256617124977,-0.4801332822706645,0.3839241597215467,0.12467579610709947,0.26660651751419423,0.17346582104034905,-0.051348337926817506,-0.16985793292486784,0.39971447979928765,0.03941056083172311,0.026750151176391256,-0.02012339394720948,-0.5237097889840051,-0.29930939403494217,0.3514193844820991,0.6453023962397726,0.058003026236056104,0.1277513495172432,0.15922648045906707,0.11246053541833116,0.1512103013930487,0.4760433288028568,-0.2704572831026017,0.06928315678320612,-0.40062237655186234,0.31055953931935265,0.026091545301807267,-0.3376688964144632,-0.08634080112614882,-0.2555136917085324,-0.3863021299979732,0.11059789096561264,0.06479811292736787,-0.5406666061396307,-0.19843456847430616,-0.199048526981641,-0.3974110836890705,0.10361682492300618,0.2916836492188706,-0.4913483483758257,0.12381834298293831,0.45212792655332007,-0.39138669700546797,-0.029850051784753844,0.12650235386496064,0.49253572084428765,-0.1374465211866514,-0.06123498678408505,0.18092972125435747,-0.43158904770779727
ACC_sup_L,0.07230609836118887,-0.07033366109970474,-0.01230767071521898,0.03818845296617265,1.0,0.6950284811913409,0.0,0.6123408490646172,0.19909875699152105,0.6740469355861581,0.04900262017573342,0.15060106996147582,0.5594765295758087,0.5013435595552908,0.8320198454998258,0.7449506056866432,0.24976310487984277,0.5331693489961994,-0.026816841267187506,0.7522038851804479,0.4034127896373535,0.5853036472428318,0.22909709551225985,-0.1104348739169595,0.1591840902563552,0.2242269083354337,0.7942758415695665,0.31426088529202645,0.18974156742136442,0.5685019064489255,0.5944505955812868,0.01353899287043762,0.6805040042391909,0.5804952691283998,0.6771763330778221,0.05581184608592518,0.7821191541565178,0.12550077061294165,0.11802090827938486,0.48327835840005245,0.11129811309491451,0.8969339649199098,0.4618592956611762,0.1573197950287553,0.42679027029752725,0.4666598165213374,0.23496341713089924,0.7693715695666923,0.6285750169493306,0.49537514788850334,0.771807398972216,0.2342099843831728,0.4525327573119681,0.821650838599686,0.6434210918764248,0.12914756805797434,0.3084969663759289,0.7699626435545,0.7781106991031036,0.4088612770632719
ParaHippocampal_L,0.1419535550714537,-0.10386642087615358,-0.11759915606891626,-0.27507537531080567,0.6950284811913409,1.0,0.0,0.43984528721127447,0.1428308017787622,0.5286752670844674,-0.003984473432434892,0.33443029689264053,0.4492227574832751,0.37276356852482273,0.5579927111984083,0.49897187938873344,0.22287062338200947,0.5296557239032479,-0.21116275336575982,0.5615987537627691,0.47914585096584816,0.5888891603626062,0.4765408096706447,0.01442076394323176,0.08236143891506041,-0.07721864506333963,0.6897480531139156,0.19303560631174077,0.027289601886836504,0.4420677087046759,0.36163750309891646,-0.19945135131218647,0.6438475138118004,0.3885974439657197,0.7969654444224349,-0.12409615719736074,0.5884256777551493,0.3555194229777611,0.2634762276510807,0.545100524086366,0.38653973035774297,0.6289087634705638,0.3967513518944679,0.43087816695676073,0.41468129657024383,0.48231974575911907,0.4079079272486807,0.7272288034412341,0.3210869898710821,0.7689085913238757,0.6245184420109534,0.06304807073818192,0.6439329878015703,0.691798793797405,0.5280048213944998,-0.0778786902939723,0.4233723895030108,0.782780282773582,0.4819489866228098,0.628044045831509
Vermis_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Postcentral_R,-0.26061203924194165,0.03462701123367693,0.1791259683913693,0.37642831415759814,0.6123408490646172,0.43984528721127447,0.0,1.0,0.2232651877295045,0.6510095524603038,0.7053787192320817,0.13740629102391155,0.5586949043146721,0.32895263574509603,0.6398615981379812,0.44484697571520504,-0.03532304360883819,0.28431610207959684,0.20485406437028703,0.681386878075389,0.5743333665003884,0.5036749408960823,0.07099031348289322,-0.1417960443992977,0.49528461827321824,0.508799525616463,0.800143968287749,0.40503083713033755,0.2100424085840959,0.3397418723769212,0.3440807730853653,0.3298306844916964,0.29568377980370647,0.4237893497855996,0.24548830190226748,0.10575371644146818,0.6337387118445661,0.03264746844055747,0.19427296196709623,0.0017904341021479622,0.12404365666218806,0.5781136873378658,0.34869616159986894,0.08748594621393421,0.18478951281242528,0.4487975416203897,0.19391588066805177,0.4695680294396774,0.667885961141101,0.25458802984665785,0.8463779860536913,0.6303185924724526,0.22721349866157478,0.7069387884819439,0.8203667062841139,0.227658780030583,-0.04811227699018446,0.4019447539812552,0.6118398419351143,0.25476494673441974
Cerebellum_8_L,-0.12450259078518786,-0.021046787277850604,0.22620480075913593,0.27903180618392714,0.19909875699152105,0.1428308017787622,0.0,0.2232651877295045,1.0,0.2120715718395774,0.13331614807445238,-0.34086453071570305,0.15220478386722341,-0.00834322241130512,0.2811989118712229,0.20720900930574404,0.1813445709024504,-0.16218249634892742,0.14951396536817585,0.047922678984120594,0.03067898393222356,-0.15617410511582072,-0.26178982238912724,0.11244951187100852,0.16832880573826672,0.15165868000490465,0.08684296108845978,-0.120417617961058,0.1372548096232253,0.06564245169136655,0.08766889024698231,0.2624881265754383,0.003367893062848784,0.13224047847487913,-0.034335032845024246,0.3343237270902621,0.18388492907504703,0.03763260272695744,0.12791129305003796,0.07188757281369938,0.001939544580099354,0.27799015878469224,0.004793213980552484,-0.029680137742550648,0.23965515037898757,-0.2869786183389844,-0.24861968110047306,0.17517442838718733,0.191511377672696,-0.0831973739595442,0.057287689978129046,-0.016981632321924008,0.02148836461720057,0.09259472740883042,0.11573383592903023,0.39785871679986984,0.013245785526663159,0.357537671947293,0.2575685336574464,-0.08973570160873971
SN_pc_R,0.0060237617880205836,-0.002300504170498035,0.08484728641055396,0.2680788405664918,0.6740469355861581,0.5286752670844674,0.0,0.6510095524603038,0.2120715718395774,1.0,0.27205316599995943,0.12982021842388855,0.6846588103790492,0.3152755030895989,0.6996788474242888,0.6141672491219351,0.1360408137128574,0.25840374030049773,-0.03874037294670423,0.6711363998991543,0.5522047142315633,0.5151801175292736,0.20403361916701332,-0.010084138380862041,0.46652889374611084,0.27471287579120146,0.7310065350512639,0.15975138817653328,-0.02475823664519547,0.32529283051567687,0.47292068260231435,0.055877701571479664,0.4228860709805595,0.4064282135616664,0.4720725021947402,0.011013416519553544,0.6747154200140142,0.06545198167701814,0.30422878775087137,0.1244933493033712,0.14204378002777016,0.6649090961109309,0.33077867049875587,0.15886077369885995,0.3535813111542557,0.40918444027743234,0.20496403648419273,0.6047305451265736,0.6010367285231951,0.4005591090287572,0.7207361447278344,0.3883578909955445,0.19865144665508563,0.7082252657636475,0.616809671062924,0.1990317038778229,0.0992618710136753,0.6534583848589585,0.65810258840008,0.3507895481068546
