,Parietal_Sup_L,OFCmed_R,Rectus_L,Frontal_Sup_Medial_L,Rolandic_Oper_R,Frontal_Inf_Oper_L,Olfactory_L,Vermis_1_2,Frontal_Inf_Orb_2_L,Cerebellum_Crus1_R,Occipital_Sup_L,Thal_PuM_R,Thal_PuM_L,Cerebellum_8_R,Fusiform_R,Cuneus_R,Cerebellum_4_5_R,Olfactory_R,Putamen_R,Thal_VA_L,Amygdala_R,Thal_PuI_R,Vermis_9,N_Acc_L,Insula_L,Vermis_7,Vermis_4_5,ACC_sub_R,Cingulate_Post_L,Thal_PuL_L,SN_pr_L,Thal_LP_L,Frontal_Inf_Tri_R,Thal_LP_R,Thal_IL_R
Parietal_Sup_L,1.0,-0.04619843295907223,-0.08914969453303394,-0.036645316613196754,0.13994300538107038,0.17066034417715217,0.0736512065550974,0.31162172668352084,0.056578793568401946,0.24313268288638754,0.3975645951698826,0.2729574408711841,0.27569238640952703,0.35532295483189613,0.5899506151196138,0.3363795375496847,0.6349755356139369,-0.10342796952516249,0.24218342782782884,0.23856085974575317,0.12636102319125095,0.09833882163420647,0.4372778767233572,0.03918684341766681,-0.062309650310474585,0.0,0.5301602554991365,0.03953349591209765,0.27830538220692697,-0.19012010259056275,-0.05541779368229485,0.35786030467878926,0.40350120619450136,0.19046546619417581,0.27987766865000496
OFCmed_R,-0.04619843295907223,1.0,0.8143698554342511,0.3941268547424098,0.5212739524338338,0.06656096570210912,0.7661211548481954,0.16935500321029523,-0.508138354688021,-0.21144133622917496,-0.10918371995479463,0.30700038836136245,0.27689306484969844,-0.12527647942506817,0.09351942120589501,0.1299167629995173,-0.05349811305769429,0.8225895922003165,0.5717205938125913,0.2284299885672485,0.6850269143880224,0.06502472628066891,-0.2654197737537939,0.6642854794791687,0.46222236359423124,0.0,-0.035581298654896884,0.31444896878466205,0.20555667281838497,0.28846788833368914,0.5584980250703064,0.07921136120955559,0.2253171140062179,0.044212650119527644,0.3794795025342174
Rectus_L,-0.08914969453303394,0.8143698554342511,1.0,0.47666272507984825,0.5426338893380998,0.0802034693326333,0.5423231558239734,0.1086917345568056,-0.48427377070364275,-0.3236101341601603,-0.17225220551641268,0.23802128143243673,0.26908639149497954,-0.219417774794542,-0.08854047540154425,0.04352311056908896,-0.2008739084799459,0.8279369123768818,0.5972716209524082,0.06313454579962961,0.710691999677128,-0.03020129412462833,-0.49958877597661056,0.7325082516770637,0.6709079596980594,0.0,-0.24796950497022782,0.4303564100967653,-0.004567425062978146,0.330892641765547,0.6662747212286347,-0.06544467766736776,0.10033291265145161,-0.11407232072876933,0.3122672162405463
Frontal_Sup_Medial_L,-0.036645316613196754,0.3941268547424098,0.47666272507984825,1.0,0.64087351318638,0.5885328189874955,0.30831910480745867,0.015521857003108402,0.20900693361290912,-0.2654541078500444,-0.07598398157084535,0.28046737985476305,0.3818014151389753,-0.009170438544381512,-0.07585211982628387,-0.0813789358985226,-0.12127840101173759,0.4385016982745694,0.5308498412511018,0.3051103941512664,0.5983493799576444,0.06245994686924944,-0.320317460545117,0.43303387517563047,0.8244784530570681,0.0,-0.17574846113154519,0.4427476248198019,0.08942052450750129,0.4715799138173287,0.660689455656815,0.05934973120257229,0.5269305097277693,0.04145402348438312,0.4324722680776728
Rolandic_Oper_R,0.13994300538107038,0.5212739524338338,0.5426338893380998,0.64087351318638,1.0,0.5668872191449066,0.4872416037315721,0.2736008708816772,-0.19608340661916204,-0.08257060444228426,0.07567169389264435,0.6869920861594747,0.6613035097873943,0.12605602461191542,0.26705760100907944,0.21477874006711697,0.11516193488775237,0.6324520295130043,0.8436986633959181,0.6214846747408126,0.8541712130485074,0.31433750796673043,-0.027676295621911096,0.6236519901986229,0.7562896029850966,0.0,0.1868344964458992,0.27532231469827956,0.3225707369055043,0.32782936201978147,0.7231253895503825,0.31234724902220046,0.5569611463992966,0.31299299320318397,0.6684092306923424
Frontal_Inf_Oper_L,0.17066034417715217,0.06656096570210912,0.0802034693326333,0.5885328189874955,0.5668872191449066,1.0,0.1054993875247836,0.20975507080119385,0.39574149869549313,-0.019365933047547645,0.20386887049654445,0.4946852472395925,0.45109456074954885,0.18416492536846485,0.2603134570900165,0.25166465239493785,0.26846131538341234,0.11806304309012816,0.4614113935626005,0.5107401611500357,0.4320043964972571,0.1471800168516932,0.1283907848605306,0.1920381970378373,0.5450548522884961,0.0,0.27398116240837195,0.31029083083807346,0.20699085805731654,0.11300347455830256,0.4308163419222787,0.5561275205468137,0.5632098764899941,0.39207199032510726,0.5123195732969836
Olfactory_L,0.0736512065550974,0.7661211548481954,0.5423231558239734,0.30831910480745867,0.4872416037315721,0.1054993875247836,1.0,0.1746042158401899,-0.4089955385204969,-0.15682906620396445,-0.0028501701556402836,0.3694570633954326,0.35077675050176893,-0.011327855355936663,0.24352042664467308,0.1814368274846534,0.12894649914746575,0.7632836554005061,0.5870730691764191,0.4245679130455588,0.5612291617173265,0.18726418368463285,-0.0057538333071013355,0.6671500062539869,0.28751137876812016,0.0,0.21401825833795582,0.11803948223135026,0.45019558477882543,0.19356138015689567,0.42735951872315114,0.18216909415477434,0.29076634116761624,0.27112797474408423,0.41647792066697914
Vermis_1_2,0.31162172668352084,0.16935500321029523,0.1086917345568056,0.015521857003108402,0.2736008708816772,0.20975507080119385,0.1746042158401899,1.0,0.01613010449579183,0.2742137460667097,0.1468874320735676,0.5340688801165507,0.41489397930646577,0.1691855231332809,0.6548341501555974,0.3493780088837206,0.5553445912118478,0.1219941496109399,0.29789659936238616,0.10538084688870322,0.33450466646842436,0.3095618482627881,0.2076112557965262,0.33552812081573935,0.0006340474301452276,0.0,0.5203549942886867,0.008118389671736552,0.20284758781191423,-0.49406592415757405,0.057586134250190886,0.39914966737801105,0.3898551004029058,-0.03540238325486262,0.20238579344468643
Frontal_Inf_Orb_2_L,0.056578793568401946,-0.508138354688021,-0.48427377070364275,0.20900693361290912,-0.19608340661916204,0.39574149869549313,-0.4089955385204969,0.01613010449579183,1.0,0.19966681362448663,0.02719920183655184,-0.07167124690879709,0.04191447480877498,0.17600924258751524,-0.010973667218940856,-0.23938474015782105,0.12324202403563884,-0.576973809040076,-0.35768906935892686,-0.04412232672634487,-0.2799692748196412,0.1040648136565665,0.11961998998136682,-0.4436492509241729,-0.017363665634700463,0.0,-0.0030566231686337915,-0.10657693784236998,-0.04385249153636018,-0.2492480290531304,-0.22351108945705214,0.07307692084005922,0.1075585166442379,0.03360198235847239,-0.18420443853399526
Cerebellum_Crus1_R,0.24313268288638754,-0.21144133622917496,-0.3236101341601603,-0.2654541078500444,-0.08257060444228426,-0.019365933047547645,-0.15682906620396445,0.2742137460667097,0.19966681362448663,1.0,0.25008173454177546,0.12980225098758263,0.13611401606565926,0.6363399780333536,0.41317234919990053,0.05612149508835005,0.3963188989771722,-0.3113211793324763,-0.18271944010623356,0.13228451008572853,-0.09356182825134703,0.12743315138522335,0.4648280761353344,-0.24770822920150737,-0.34561022593850554,0.0,0.3934403128639731,-0.1922628920947549,0.27146038038860076,-0.21931029666369362,-0.28437285608975027,0.1591314965615768,0.07803571089948354,0.26619762492590643,-0.04047538894021971
