,Cerebellum_3_L,Cingulate_Mid_L,Thal_VPL_L,Cerebellum_Crus1_L,Rolandic_Oper_L,Insula_L,SN_pr_L,Cerebellum_9_L,Thal_AV_L,Olfactory_R,Thal_VL_L,Pallidum_R,Thal_MDl_R,Calcarine_L,Cerebellum_8_L,Thal_PuA_R,Heschl_R,Frontal_Sup_2_L,Thal_VPL_R,Occipital_Inf_L,Temporal_Pole_Mid_R,Putamen_L,Supp_Motor_Area_L,Rectus_R,Precentral_R,Thal_PuA_L,Cerebellum_4_5_L,Paracentral_Lobule_R,Thal_LP_R,SupraMarginal_R
Cerebellum_3_L,1.0,0.24759990774535504,0.28917146583946174,0.08224572653279026,0.34224219631210534,-0.05586282280918834,0.09010165858494139,-0.08626626172151163,-0.09049498695560021,0.1145167712699402,0.4151911648052251,0.33672081922690217,0.14433265976558363,0.41811797951553,-0.16025845861678573,0.39112512890587364,-0.0842046574071141,-0.014372850831235028,0.37458012837274746,-0.037126685018696974,0.12138682970851832,0.16099391105640698,0.04235451630154444,-0.059930343447602334,0.2862110627084093,-0.48533681975962323,0.80466507400689,0.10479972407194274,0.04055540045024964,0.3675879726333461
Cingulate_Mid_L,0.24759990774535504,1.0,0.5311578326346598,0.09649336624863063,0.7580929845623355,0.5664571259132096,0.5658231412857505,0.2177715409095541,0.6558921327024935,0.4284911459782493,0.6942345274087348,0.7999031817653925,0.5636702056529693,0.2052015661472515,0.057287689978129046,0.4514165848719367,0.5296498632061603,0.6130975874130966,0.5119618310954417,-0.03492648689325279,-0.07083586430054069,0.6079549437475998,0.810122888160161,0.4383329439045117,0.7469076323091192,0.2318610584886344,0.2532868648600475,0.6663655766741449,0.5349702633135324,0.7661920471376007
Thal_VPL_L,0.28917146583946174,0.5311578326346598,1.0,0.11140062627316559,0.6970045168075509,0.3104018918580412,0.41145578464942256,0.11502718127339562,0.4129712772756696,0.3888820686618561,0.6634712638050858,0.48007179269523875,0.40317053925123475,0.17785903030768385,0.04508419289862206,0.7605766686026603,0.027343783372041543,0.4220845543963372,0.8352145407938221,0.0034905100878752657,-0.12984609536433084,0.5880605476546782,0.4495204662043348,0.19686907982280008,0.6515322558859576,0.23790667245690195,0.25819929226276,0.36318532683065313,0.6374926357864509,0.4511102224378919
Cerebellum_Crus1_L,0.08224572653279026,0.09649336624863063,0.11140062627316559,1.0,0.016706034503257677,-0.13170039808136033,-0.2085177194133762,0.09112704805110224,0.22332210617431722,-0.24221517997933445,0.15072990499000677,0.04844416900105494,-0.05103549503997879,0.29339247618388997,-0.029452741207222383,0.058118778522606475,0.1379823287188784,-0.17130304288601136,0.06038672207140339,0.1715581053221776,0.04839681501790568,-0.08168021719205544,0.04202380315467954,-0.1192100438863409,-0.04532793376059727,0.05946999319211149,0.18658194199622719,0.1699667731475811,0.21479218239184208,0.2846858135443682
Rolandic_Oper_L,0.34224219631210534,0.7580929845623355,0.6970045168075509,0.016706034503257677,1.0,0.6008148924334122,0.5992791147196381,0.09460628470595513,0.5116766550153287,0.3575374831710674,0.7776761271888387,0.7292324006364836,0.49143703406436096,0.06364963252881102,0.033771688239515936,0.6274032727819054,0.3263346399197675,0.654629554706299,0.7207336551190303,0.005929560906570724,-0.2521500763191776,0.7220916531583341,0.6689613645750168,0.24299792324354832,0.7836109783844937,0.04051548015536327,0.2943808614429431,0.5489492591820752,0.5514246129386304,0.5468049649151107
Insula_L,-0.05586282280918834,0.5664571259132096,0.3104018918580412,-0.13170039808136033,0.6008148924334122,1.0,0.7807899326081076,0.08160711555114804,0.44391315761407696,0.5809473902669555,0.16556056311550002,0.7298132668859422,0.5447548604378115,-0.40357770833519147,0.20139694489797944,0.17955611851845402,0.2832597077637349,0.8173030444749326,0.15463029880979362,0.047064373830697316,-0.2646763209756202,0.825363335991936,0.39395976438988833,0.47169640916377253,0.5721576522996029,0.09592878342015357,-0.17883461481792387,0.06258040074011499,0.048975016786005285,0.049804814282148835
SN_pr_L,0.09010165858494139,0.5658231412857505,0.41145578464942256,-0.2085177194133762,0.5992791147196381,0.7807899326081076,1.0,0.06676334648880988,0.453269108425316,0.6471464042750179,0.23966147273436553,0.7017626450889826,0.5036997375214323,-0.28318502011694163,0.17517442838718733,0.2014497256896716,0.11545009123562128,0.6924717641953557,0.21627389571380504,0.024063502666268673,-0.22288568301827755,0.8366394810447942,0.35974799436482596,0.5261888845774948,0.633559981674798,0.0017899202393429636,-0.04844681190988261,0.1945699473366363,0.1795062863198551,0.21780498373933882
Cerebellum_9_L,-0.08626626172151163,0.2177715409095541,0.11502718127339562,0.09112704805110224,0.09460628470595513,0.08160711555114804,0.06676334648880988,1.0,0.26522273930213464,0.01363940154358112,0.1041345718071828,0.12219009330330464,0.16715801865922122,0.4232174349237739,0.8038648808574897,-0.10561560615419048,0.1926547312545291,0.05910733371988867,0.0556746553240974,0.0489343333510649,0.24742238040991807,0.08862150081261938,0.20710851583739448,0.016522464286915294,0.18236506436306868,0.4795428131662428,0.05231341310594466,0.27208190164869234,0.2700869323541167,0.33125097037980916
Thal_AV_L,-0.09049498695560021,0.6558921327024935,0.4129712772756696,0.22332210617431722,0.5116766550153287,0.44391315761407696,0.453269108425316,0.26522273930213464,1.0,0.25305921302179346,0.5009856606874517,0.5857931938585391,0.5666139805430213,0.06333180454646038,0.191511377672696,0.18782744434785067,0.5288317323938393,0.4057943756402742,0.3140863098850873,0.09398793854417781,-0.12305833852130003,0.4211553919649401,0.6144734341480639,0.36598585725843236,0.5237460311362047,0.42508688585079824,-0.08293729962926416,0.52454565997582,0.5561156694490562,0.5171792072052543
Olfactory_R,0.1145167712699402,0.4284911459782493,0.3888820686618561,-0.24221517997933445,0.3575374831710674,0.5809473902669555,0.6471464042750179,0.01363940154358112,0.25305921302179346,1.0,0.08165478499263443,0.5622063622730387,0.4164505317815642,-0.24512912438108048,0.06564245169136655,0.1902684762751145,0.07875293456749656,0.5079228257084744,0.1203978068887734,-0.039861539935675705,-0.12625483480931357,0.7157476644143512,0.1922139004121288,0.7932652716903172,0.44281692524681865,-0.08421774201023896,-0.08172568381230587,0.10064938318498684,0.03182553412683485,0.1668006141542329
Thal_VL_L,0.4151911648052251,0.6942345274087348,0.6634712638050858,0.15072990499000677,0.7776761271888387,0.16556056311550002,0.23966147273436553,0.1041345718071828,0.5009856606874517,0.08165478499263443,1.0,0.564183972723814,0.3050419190640989,0.40741803418546013,-0.09585841279122038,0.7193527337650867,0.45918114062753795,0.30797010553138154,0.8287211814401314,-0.09264181335483815,-0.08046057806944662,0.357686713178193,0.6299441165603984,0.07065464196607206,0.5654174271865144,0.15703939003156028,0.45776432672762785,0.6436353022041291,0.69507164012338,0.7394964563814524
Pallidum_R,0.33672081922690217,0.7999031817653925,0.48007179269523875,0.04844416900105494,0.7292324006364836,0.7298132668859422,0.7017626450889826,0.12219009330330464,0.5857931938585391,0.5622063622730387,0.564183972723814,1.0,0.5498674991050047,0.03262277847258304,0.11578238985650784,0.42400190197584003,0.4288853935189215,0.6628386100546738,0.3980866742030813,-0.0469987347926212,-0.054652779891684794,0.7884057373702951,0.5271413343840963,0.47735405590149427,0.7092724145093522,0.017780172662662304,0.3186584752753192,0.30597479872972544,0.2798275554150252,0.543350597524932
Thal_MDl_R,0.14433265976558363,0.5636702056529693,0.40317053925123475,-0.05103549503997879,0.49143703406436096,0.5447548604378115,0.5036997375214323,0.16715801865922122,0.5666139805430213,0.4164505317815642,0.3050419190640989,0.5498674991050047,1.0,-0.06583923666151882,0.20753217937001242,0.21677297154913436,0.18350236286045524,0.6295130465870894,0.3341247795327736,0.08011480414054699,-0.13235002882967395,0.4848268419589659,0.49776022591283253,0.3629818009274006,0.6648573220855069,0.2038239092113366,0.03150241122110541,0.2573259477790396,0.30956391803374184,0.3090652880068522
Calcarine_L,0.41811797951553,0.2052015661472515,0.17785903030768385,0.29339247618388997,0.06364963252881102,-0.40357770833519147,-0.28318502011694163,0.4232174349237739,0.06333180454646038,-0.24512912438108048,0.40741803418546013,0.03262277847258304,-0.06583923666151882,1.0,0.13085028215223002,0.16941415570250482,0.08363682377307233,-0.37513868658296745,0.28904270077711547,-0.004670133426420803,0.32465252999003613,-0.21720070918824252,0.08840175762008158,-0.20137382042889734,0.026091076539898984,0.11654850760356819,0.6313285329579016,0.27014889303492917,0.38797794186348566,0.5597084272070424
Cerebellum_8_L,-0.16025845861678573,0.057287689978129046,0.04508419289862206,-0.029452741207222383,0.033771688239515936,0.20139694489797944,0.17517442838718733,0.8038648808574897,0.191511377672696,0.06564245169136655,-0.09585841279122038,0.11578238985650784,0.20753217937001242,0.13085028215223002,1.0,-0.18206785158760752,-0.016981632321924008,0.12362640111338696,-0.06640430754631657,0.05231395799112842,0.08647785193952758,0.1761752885210763,0.013082452413856256,-0.019655747369431452,0.17800975782961168,0.39693929416915896,-0.061381689427700045,-0.006270218490569884,0.16714990078768371,0.10576452264185428
Thal_PuA_R,0.39112512890587364,0.4514165848719367,0.7605766686026603,0.058118778522606475,0.6274032727819054,0.17955611851845402,0.2014497256896716,-0.10561560615419048,0.18782744434785067,0.1902684762751145,0.7193527337650867,0.42400190197584003,0.21677297154913436,0.16941415570250482,-0.18206785158760752,1.0,0.1846343454814048,0.2910876222467021,0.8884661549205212,-0.10981560193448967,-0.07473922331155496,0.3844533561406766,0.3576696488575299,0.04508765847503868,0.4730238704867992,0.09334841750471469,0.3742579734420426,0.3479689535749035,0.4910225144574277,0.36670684267243875
