,Thal_VPL_R,Cingulate_Mid_L,Thal_MDm_R,Pallidum_R,Cerebellum_Crus2_L,Cerebellum_Crus1_L,Hippocampus_R,Thal_VA_R,Cingulate_Mid_R,Parietal_Inf_L,Cerebellum_7b_R,Rectus_R,Raphe_M,Frontal_Inf_Tri_L,LC_L,Red_N_L,OFCmed_L,Cerebellum_Crus1_R,SN_pr_R,Thal_LP_R,Caudate_R,Thal_AV_L,Cerebellum_10_L,Temporal_Inf_R,Vermis_6,Frontal_Med_Orb_R,Fusiform_L,Thal_PuA_L,OFCpost_L,Temporal_Pole_Mid_R
Thal_VPL_R,1.0,-0.18079640227585042,0.6529623577452185,0.10131936179121771,0.028130956902659567,0.0057488344340642095,0.24783835222829634,0.5321773219377828,-0.10318431926293749,-0.1938681517667533,-0.03747084591364868,0.19474302081144437,-0.04107232184513184,-0.10537735372469108,-0.054936208189567175,0.48795658150458465,0.2030418866060972,-0.10256243857710066,0.2722846395665193,0.2140473066125909,0.49695411690619945,0.0958672120066965,0.24910588251587587,0.1201093776124742,-0.10989406036004372,0.29484566013590513,-0.07649542094050159,0.10978487401468448,0.22483631171915325,0.1517057545542748
Cingulate_Mid_L,-0.18079640227585042,1.0,-0.04159030861307969,0.2549715444136055,0.26420165020222913,0.02964786741680921,0.02152069955451453,-0.16082306615353323,0.8230481449595819,-0.046441756075528105,-0.22630527252780278,-0.2857283794086009,0.1610728561545213,0.0774743612759822,0.1529596686243381,0.05947266389253618,-0.16109736610774794,-0.06593878285256549,0.5332676372088665,0.2076311038828268,0.027654550980206943,0.2377229570174494,0.3412351118036517,0.23655183251922887,-0.14940232206559162,-0.33969482004132584,0.49932947987208737,0.02638067395489462,0.00836470431501709,-0.2498072848785527
Thal_MDm_R,0.6529623577452185,-0.04159030861307969,1.0,0.34082668662374327,0.2857157486148799,0.0847126530217094,0.19464566651879825,0.4418693586400735,0.030603513185822554,-0.0661621777253294,0.0909450727511583,0.09154666574498295,0.035822329264096585,-0.02487569608390877,-0.10202299993163423,0.269860849875211,0.1422444830830402,0.22168616635695687,0.22081849029089543,0.3905311051323928,0.46692455011977907,0.15165160265125635,0.1485377533999407,0.04996026914672945,0.0876289723206942,0.06926869113064979,0.08748924883168806,0.2980194405660504,0.4425262483826676,0.03250858186757437
Pallidum_R,0.10131936179121771,0.2549715444136055,0.34082668662374327,1.0,0.2228676469912258,0.2676955309211345,0.05568988087886237,0.2183127478035769,0.3185199689914455,0.05076933497321342,0.056859320759990166,0.15946484820469037,0.04166386610795519,-0.03475421765838105,0.0037857824110161635,0.0768397097129651,0.10081273080812891,0.22371259780633623,0.31071627882737196,0.260204355604391,0.3668642962127379,0.3414587623892144,0.2804234071377023,0.06661753239125058,0.13824285788117222,-0.08078539945902252,0.32383427626273753,0.15344579897791338,0.42339800080410145,-0.1640153823121876
Cerebellum_Crus2_L,0.028130956902659567,0.26420165020222913,0.2857157486148799,0.2228676469912258,1.0,0.09634194560597584,-0.14347392295573405,-0.016228883818812396,0.28825235947456856,0.17867447261813577,-0.09246634938194198,-0.27248487604636135,0.0341478646060008,-0.0996995601686055,-0.12855851681173527,-0.15658393897165948,-0.28003396542346615,0.2288168337428923,0.2187084894889559,0.22115888566219796,0.12843236287576595,0.3832738967889007,0.24047618678010935,-0.08101573808984766,0.11136782064714251,-0.3609947549782715,0.038990386090539286,0.19157121322696166,0.1346801877355145,-0.3327211590250914
Cerebellum_Crus1_L,0.0057488344340642095,0.02964786741680921,0.0847126530217094,0.2676955309211345,0.09634194560597584,1.0,-0.05917561488423697,0.25451749708622445,0.16397874022636547,-0.1501741515479301,0.07429907765078184,0.16500267075244984,-0.03799094428746373,-0.14772090977095537,0.10716419502017435,0.05069617287686723,0.31645916329760443,-0.07407486839246648,0.21637808373083836,-0.03542283131532474,0.15985347484507492,-0.09766347646332452,-0.03130053192923791,-0.025540445979225213,-0.01965781395884934,0.035681930728031434,0.08411274015550109,-0.03401604169646825,0.1743357118201858,0.08684144074059517
Hippocampus_R,0.24783835222829634,0.02152069955451453,0.19464566651879825,0.05568988087886237,-0.14347392295573405,-0.05917561488423697,1.0,0.008778355345049877,-0.08162630857252251,-0.058474810905941255,-0.11496247676794481,0.2617875767720648,0.5049440441751272,0.32465863884626894,0.06417705006289857,0.5067307183586622,0.1710767821423824,0.05040928322950312,-0.05918274648243481,0.18176307444777529,0.3529429827009297,-0.12685694215931795,-0.1757284030666489,0.38683574346399613,-0.031355081950359624,0.4667904645805698,0.38722425075655403,0.055352575387999356,0.43979270080967897,0.327640046815276
Thal_VA_R,0.5321773219377828,-0.16082306615353323,0.4418693586400735,0.2183127478035769,-0.016228883818812396,0.25451749708622445,0.008778355345049877,1.0,0.015014626298702849,-0.23448280895499143,0.2890963708329286,0.42516703812292145,-0.05004239951650905,-0.05185057016452071,-0.044820688167142846,0.33852817495814247,0.48905184542412783,-0.15767063314275243,0.06587039243748075,-0.09432214420513696,0.5473165726401329,-0.1839533112936187,0.0035237753580666486,0.14619070256050454,-0.16230029754927458,0.2077517760682825,-0.11595612443339413,0.007202977291444642,0.06654505755768354,0.4215557181889685
Cingulate_Mid_R,-0.10318431926293749,0.8230481449595819,0.030603513185822554,0.3185199689914455,0.28825235947456856,0.16397874022636547,-0.08162630857252251,0.015014626298702849,1.0,-0.10233703549535662,-0.09288076902518094,-0.1564315081966069,0.14508496219470943,0.06445168074045175,0.028047325849347254,0.11217871882336913,-0.07476777567999646,-0.11854004002822711,0.508246135038442,0.1245798011428555,0.06343201862850542,0.2759981960588945,0.4159451344010017,0.1946114193747138,-0.1943437087684185,-0.3589455177971811,0.26419115827330397,0.0810043843594544,0.04038696227448473,-0.11973058266763607
Parietal_Inf_L,-0.1938681517667533,-0.046441756075528105,-0.0661621777253294,0.05076933497321342,0.17867447261813577,-0.1501741515479301,-0.058474810905941255,-0.23448280895499143,-0.10233703549535662,1.0,0.07546296693803414,-0.1578326739991791,0.11401386645285007,-0.148866726255143,-0.2449554687829878,-0.4384479445748304,-0.4549304039110598,0.5465944236096583,-0.10343146939896325,0.26113487414782643,-0.03506425940141033,0.45818018900599206,0.1645179087435058,-0.08018496256964143,0.3078117387795485,-0.2446432871442347,-0.165222624700848,0.19124160302352275,0.2605169893864124,-0.3902330978001231
Cerebellum_7b_R,-0.03747084591364868,-0.22630527252780278,0.0909450727511583,0.056859320759990166,-0.09246634938194198,0.07429907765078184,-0.11496247676794481,0.2890963708329286,-0.09288076902518094,0.07546296693803414,1.0,0.23080973298189872,-0.0800872562799152,0.06131001811539842,-0.05258222135335151,0.003947010813914941,0.14139826948842651,0.21214063604945968,-0.33980939207474753,-0.15813643301636207,0.06597763628992201,-0.09650567183134762,-0.049947723911988894,0.17121595110578774,0.23612527795953636,0.07366866894138274,-0.197440130263033,0.06695015758513659,0.07495156132180956,0.21105490100819385
Rectus_R,0.19474302081144437,-0.2857283794086009,0.09154666574498295,0.15946484820469037,-0.27248487604636135,0.16500267075244984,0.2617875767720648,0.42516703812292145,-0.1564315081966069,-0.1578326739991791,0.23080973298189872,1.0,0.17378986639510874,0.015922639258647713,-0.22445982008390114,0.33326519898547846,0.6373363834939064,-0.31139060390026774,-0.21418242113141928,-0.27394742888173235,0.5033484073469624,-0.391484575752041,-0.2746489003445889,0.3132501487226664,-0.297146222054687,0.4893503482541621,-0.047607540781386105,-0.01826300915825965,0.2503327349106163,0.5909603962067771
Raphe_M,-0.04107232184513184,0.1610728561545213,0.035822329264096585,0.04166386610795519,0.0341478646060008,-0.03799094428746373,0.5049440441751272,-0.05004239951650905,0.14508496219470943,0.11401386645285007,-0.0800872562799152,0.17378986639510874,1.0,-0.07226682839509666,-0.01566621962771522,0.1887133510671769,-0.004409115499915404,0.062765945584895,0.026432215620970968,0.11783025823785236,0.29124151589316966,0.07604782736861891,-0.003207319964816183,0.3726079685669087,-0.03721935553813918,-0.003927499592281632,0.2293561101779471,0.029478675144038968,0.23862466567766788,-0.005660026910880504
Frontal_Inf_Tri_L,-0.10537735372469108,0.0774743612759822,-0.02487569608390877,-0.03475421765838105,-0.0996995601686055,-0.14772090977095537,0.32465863884626894,-0.05185057016452071,0.06445168074045175,-0.148866726255143,0.06131001811539842,0.015922639258647713,-0.07226682839509666,1.0,0.07696347526618283,0.3225084579688278,0.05125321349814864,-0.18379275078460672,-0.21980099092420216,-0.08017233778935244,0.016265117641047808,-0.23034669729574964,-0.21887406738502704,-0.09149153467220476,-0.2158752883120623,0.27708967552524594,0.11394631499169505,0.07128362289023704,-0.07587740821911539,0.3947327763151721
LC_L,-0.054936208189567175,0.1529596686243381,-0.10202299993163423,0.0037857824110161635,-0.12855851681173527,0.10716419502017435,0.06417705006289857,-0.044820688167142846,0.028047325849347254,-0.2449554687829878,-0.05258222135335151,-0.22445982008390114,-0.01566621962771522,0.07696347526618283,1.0,0.0795069628593814,0.14624953082496836,-0.05446131915350977,0.19068713358784878,-0.027720616641877957,-0.12919533341943834,0.006936690382363328,-0.020100495950185718,0.05698758981163169,0.09726263914491243,0.029519504318241716,0.39896631509596225,-0.0454783845932666,-0.062374049622906116,-0.03360547584510203
Red_N_L,0.48795658150458465,0.05947266389253618,0.269860849875211,0.0768397097129651,-0.15658393897165948,0.05069617287686723,0.5067307183586622,0.33852817495814247,0.11217871882336913,-0.4384479445748304,0.003947010813914941,0.33326519898547846,0.1887133510671769,0.3225084579688278,0.0795069628593814,1.0,0.3724532892578253,-0.39258244388743224,0.0663347492170738,-0.15749574822516987,0.39277602404234346,-0.3027464277047175,-0.001010817269696627,0.2601802103359484,-0.3319716867860134,0.44618825654810934,0.20985939781071122,-0.035822444899527434,-0.0034748878553650018,0.4807333674036616
OFCmed_L,0.2030418866060972,-0.16109736610774794,0.1422444830830402,0.10081273080812891,-0.28003396542346615,0.31645916329760443,0.1710767821423824,0.48905184542412783,-0.07476777567999646,-0.4549304039110598,0.14139826948842651,0.6373363834939064,-0.004409115499915404,0.05125321349814864,0.14624953082496836,0.3724532892578253,1.0,-0.3555855438089367,0.0026316688900966836,-0.20956692123832155,0.38388892836672367,-0.5694823166609952,-0.4110271882394201,0.23287525800796674,-0.3305913642636456,0.492341761749882,0.20403330524205723,-0.11904720477427033,0.13975380000918858,0.6284158814004911
Cerebellum_Crus1_R,-0.10256243857710066,-0.06593878285256549,0.22168616635695687,0.22371259780633623,0.2288168337428923,-0.07407486839246648,0.05040928322950312,-0.15767063314275243,-0.11854004002822711,0.5465944236096583,0.21214063604945968,-0.31139060390026774,0.062765945584895,-0.18379275078460672,-0.05446131915350977,-0.39258244388743224,-0.3555855438089367,1.0,0.02876764481089372,0.3698524484164838,-0.06460832487110588,0.4088370684812023,0.2506673918047201,0.08795869191258687,0.7003528525490825,-0.25767331209848915,0.10721660172554272,0.17692819543690944,0.39333064390290406,-0.47443014977715386
SN_pr_R,0.2722846395665193,0.5332676372088665,0.22081849029089543,0.31071627882737196,0.2187084894889559,0.21637808373083836,-0.05918274648243481,0.06587039243748075,0.508246135038442,-0.10343146939896325,-0.33980939207474753,-0.21418242113141928,0.026432215620970968,-0.21980099092420216,0.19068713358784878,0.0663347492170738,0.0026316688900966836,0.02876764481089372,1.0,0.4177018221708648,0.25261537725668537,0.3459051471151602,0.4769778171880284,0.12488349745064369,-0.046366582606721767,-0.33089588790564567,0.41070526109403643,0.06416497966381202,0.24315601142306284,-0.3830862052105132
Thal_LP_R,0.2140473066125909,0.2076311038828268,0.3905311051323928,0.260204355604391,0.22115888566219796,-0.03542283131532474,0.18176307444777529,-0.09432214420513696,0.1245798011428555,0.26113487414782643,-0.15813643301636207,-0.27394742888173235,0.11783025823785236,-0.08017233778935244,-0.027720616641877957,-0.15749574822516987,-0.20956692123832155,0.3698524484164838,0.4177018221708648,1.0,0.18467129009445007,0.4761440954181894,0.31982629850721145,0.04642437927209171,0.330219887336069,-0.16059261262542118,0.2814777981426657,0.25596204496171526,0.576035184286249,-0.45750294381949
