,SN_pr_R,Cerebellum_7b_R,OFCant_L,LC_R,Thal_MDl_R,Temporal_Inf_R,Precentral_R,Pallidum_L,Occipital_Mid_L,ACC_sub_L,Hippocampus_R,Frontal_Sup_2_L,Cerebellum_3_L,Cerebellum_9_L,Thal_MDm_L,Parietal_Inf_R,Vermis_6,Thal_VA_L,Thal_LP_R,Frontal_Inf_Tri_R,ACC_pre_L,SN_pc_L,Parietal_Sup_R,Paracentral_Lobule_L,Thal_LGN_L,Temporal_Mid_R,Cerebellum_Crus2_L,Thal_MGN_L,Thal_LGN_R,Precentral_L,Occipital_Sup_R,Thal_MGN_R,VTA_L,OFClat_R,Parietal_Sup_L,Occipital_Inf_L,Thal_PuM_L,Frontal_Sup_Medial_L,Vermis_4_5,Precuneus_L
SN_pr_R,1.0,-0.33980939207474753,-0.15371474824643103,0.31691515089090666,0.20332369567310887,0.12488349745064369,0.2592201897704367,0.034584358854805305,0.300602453952682,-0.14601448596144567,-0.05918274648243481,-0.0785794498379606,0.16708587106056907,-0.2490081402098541,0.24763695291891114,0.0014923519757656023,-0.046366582606721767,0.2532049049493836,0.4177018221708648,0.05825815442104378,0.2586812933224065,0.051090418826084213,0.11125097657800605,0.47652087343850896,0.0847468524962802,0.2939744262723068,0.2187084894889559,-0.243608685233014,0.2786973549071821,0.21723172588665696,-0.33870025738386944,0.31577102790491507,0.2788293046985949,-0.09622859981103873,0.10889025251131369,0.030775054379858054,-0.03637228907220352,0.11931971079931952,0.5861941645564762,0.6082034702583081
Cerebellum_7b_R,-0.33980939207474753,1.0,-0.04206928186491055,-0.16260339522789471,0.1435731744976683,0.17121595110578774,-0.20749768732754864,0.10187791215609716,-0.10030125310029295,0.2536199250384894,-0.11496247676794481,0.016957252933016115,0.22859258006986694,0.4589965921044412,0.0014471770369499394,0.0717028525672447,0.23612527795953636,-0.25500820326441026,-0.15813643301636207,-0.03554176287336114,0.054589719016227514,-0.306901797616465,-0.026848476694187457,-0.16200315727529863,-0.03740643754467946,0.0970064599523996,-0.09246634938194198,0.31398718425313554,-0.1141144871294828,-0.07326949332258528,0.28457444569012424,0.0157668349861022,-0.2660943973658793,0.10242800208343467,-0.04193599608608695,-0.05577596911123824,0.0033919947707017344,0.11419526009999245,-0.22552331177477034,-0.23281379395525634
OFCant_L,-0.15371474824643103,-0.04206928186491055,1.0,0.013900501890398364,-0.023446799908197043,0.10325660087716365,-0.27257005030828185,0.028300165851229193,-0.054124287204353166,-0.06587955217582399,0.5382028746670964,0.1496392888946896,-0.21844779853433002,0.013066174039889732,-0.16357762331852466,0.10778986280115017,0.13293825155601335,-0.23977636229045757,0.1260789810190903,0.06654491093684194,0.10072640318591854,0.1600905265798925,-0.11461955969785174,-0.3005056242636959,0.13518028662913428,0.16132297027227138,-0.18075966092444135,-0.1613328800283284,0.05662677697465869,-0.19410051526764988,0.09120812563615692,0.09098867713026618,0.37374542947940176,0.7419268004045053,-0.07943172380313199,0.02054731172726795,0.09958116373051093,0.0906963574764574,0.012327596476579583,-0.14631280961913595
LC_R,0.31691515089090666,-0.16260339522789471,0.013900501890398364,1.0,0.2812435479455317,0.2276288453862493,0.09358961958067472,0.19457030497779798,0.19153250906896963,0.07205771593388306,0.2710073059776782,0.16707564485099888,0.16376051453334337,-0.16990002856401124,0.21097926594549232,0.12117252137340496,-0.19118939958882597,0.21379157929158443,0.2417453863003424,0.18368684232478727,0.07476366880742237,0.243729581384116,-0.031145641510501296,0.18173050702795293,0.22672897076354903,0.28552419085199987,0.0031371502944911324,0.04138378998010154,0.22986887073807374,0.07601081548738622,0.05971788558925835,0.08279673252289516,0.180925682817647,0.10663159341433079,0.0178246883119011,0.014867592853983631,0.28539894322916587,0.11105281660843912,0.1620267325079502,0.1334874763885019
Thal_MDl_R,0.20332369567310887,0.1435731744976683,-0.023446799908197043,0.2812435479455317,1.0,0.158394870763773,-0.09021943620222213,0.3306610884823534,0.19999004690700345,0.19566384804972622,0.07128024921087253,0.1912721662863826,0.1712069158932015,0.18334310192507194,0.43521375096538994,-0.02524359803541198,-0.06594049355239595,0.07559393133945808,0.22205795629592215,-0.008283109746886789,0.296989981577288,0.026684588068130236,0.08566474883072159,-0.02272621420455949,0.16239246749684633,0.11214258168567634,0.11876655439866839,0.3058610771069179,0.15246018099637676,-0.09066118388378923,-0.022798497068007156,0.49508756991967867,-0.1069241061869679,0.06658651557107559,0.09088426687555688,-0.017299680821419066,0.12281975051437408,0.18337327916167626,0.01945060526597286,-0.022591192731608332
Temporal_Inf_R,0.12488349745064369,0.17121595110578774,0.10325660087716365,0.2276288453862493,0.158394870763773,1.0,0.097392707029069,0.21437300276046675,0.024091400705899445,0.2249037594000504,0.38683574346399613,0.2559869748982858,0.1686475011090717,0.2126687243192768,0.12472768738612365,0.07305968358579354,0.05264599997334544,-0.18739310820365768,0.04642437927209171,0.3601869105568462,0.06744098414911068,0.1959776998610168,0.034631651680798965,-0.046289960577741304,0.030446011307296152,0.7068809964229822,-0.08101573808984766,0.07030704522399737,0.2841134941833675,-0.03091003172837412,-0.07343858961035932,0.21008467562978209,0.08868269027696819,0.2757227472217429,-0.005207674379557362,0.10980406364631734,0.3072045054156826,0.12391154088772731,0.21093739560494726,0.08683510617824561
Precentral_R,0.2592201897704367,-0.20749768732754864,-0.27257005030828185,0.09358961958067472,-0.09021943620222213,0.097392707029069,1.0,0.03579806921148035,-0.02802867908900993,-0.015660631473453413,-0.17809036803558523,-0.0653479372456895,0.038276635846151603,-0.19886237573255638,-0.000715706330344482,-0.11535108193129699,-0.21677292523771746,0.008996751570395728,-0.0028147969327102463,0.08626903008944707,-0.3046670106317098,-0.06250979956581836,0.028836591553094162,0.30418808105096207,-0.1757512111210675,-0.0109642819352068,0.05447112936828477,-0.08670492343808579,-0.07781009519902941,0.08096232519001183,-0.32315064406324423,-0.0963341262684026,-0.24575389759572214,-0.19376568191262158,-0.05108505076438909,0.04812815396379502,-0.08743308839547242,-0.20316000979384077,0.0064545792005689185,0.11753569922309154
Pallidum_L,0.034584358854805305,0.10187791215609716,0.028300165851229193,0.19457030497779798,0.3306610884823534,0.21437300276046675,0.03579806921148035,1.0,0.07299780655101895,0.33462989434662094,0.2491976886078422,0.3459464763581892,0.22001753352908743,0.20276257101653522,0.5991980062203917,-0.10839928800203351,-0.2989173376360048,0.2924823270048443,-0.031046737550528652,0.23232530411311753,0.373996283513882,0.08527278003560705,0.16445371322587377,-0.007116885374485089,0.0533930360115198,0.10976279050503011,-0.06405193626066323,0.28001054391258756,0.1318739258426543,-0.02923776076386403,-0.13571938065558609,0.313537001762672,-0.1413783574293336,0.13140868052934887,-0.02678683483385405,-0.030197117712749227,0.29079765424276977,0.2564205771719408,-0.06256247356543364,-0.01945254494577294
Occipital_Mid_L,0.300602453952682,-0.10030125310029295,-0.054124287204353166,0.19153250906896963,0.19999004690700345,0.024091400705899445,-0.02802867908900993,0.07299780655101895,1.0,0.08337605689288521,-0.017118446356450642,0.07505955486641662,-0.005589883071941962,-0.10794589427894563,0.1292447152727425,0.004073559576146232,-0.2020802765685916,0.11298212524162861,-0.032236847763290034,0.04190583644271447,0.26034642209590914,0.10660477306072676,-0.03046600400989158,0.1582367936857876,0.08149605702461597,0.032993707015989235,0.11101524938571082,0.04176848275315393,0.17337567664188272,0.03534192109291605,-0.022471770827948746,0.18416928341455838,0.015044374231224825,-0.08909102543792662,0.052460934697601706,0.03350484852648898,-0.03710388561253987,0.13181029173790235,0.07840905752663838,0.04483228982111404
ACC_sub_L,-0.14601448596144567,0.2536199250384894,-0.06587955217582399,0.07205771593388306,0.19566384804972622,0.2249037594000504,-0.015660631473453413,0.33462989434662094,0.08337605689288521,1.0,0.03234744265546889,0.2229445708168409,0.08991721633744353,0.2146596174719324,0.28209410286656766,-0.030492743247228875,-0.33593731963604456,-0.2271078289258052,-0.23088722379309073,0.09677158077799096,0.2339683361640011,-0.06673660276293494,0.13758956909811654,-0.11625520432219762,0.1117486896835507,-0.014601822405646283,-0.16506738286641123,0.37873111620848765,-0.058020263669548086,-0.08243137833079246,0.027969903587154798,0.002301137479896732,-0.252467958268857,0.1040053706059417,-0.048181664469156,0.08250808822930339,0.3047697266723273,0.23135629102455252,-0.3191787468377765,-0.36433159719262964
