,Temporal_Mid_L,Cerebellum_Crus2_L,Angular_L,Precentral_L,Thal_MGN_R,Cerebellum_3_L,ParaHippocampal_L,Frontal_Mid_2_R,Temporal_Pole_Sup_L,Frontal_Inf_Orb_2_R,Temporal_Sup_L,Vermis_10,N_Acc_R,Parietal_Inf_L,Cerebellum_7b_R,Putamen_R,Supp_Motor_Area_L,Hippocampus_L,Cerebellum_3_R,Thal_PuL_R,N_Acc_L,LC_R,Thal_VPL_L,Heschl_L,OFClat_R,Thal_VPL_R,ACC_sup_L,Thal_LP_L,Occipital_Inf_R,Insula_L,OFCant_L,SupraMarginal_R,Vermis_8,Thal_PuM_R,ACC_pre_L,Olfactory_R,Amygdala_L,Frontal_Med_Orb_R,Thal_LGN_L,Calcarine_L,Thal_MDl_L,Frontal_Inf_Tri_L,SN_pc_L,Frontal_Inf_Oper_L,Rectus_R,OFCmed_R,Calcarine_R,Caudate_R,Precuneus_L,Thal_PuI_R,Rolandic_Oper_R,Thal_VA_R,Occipital_Mid_R,Rectus_L,Occipital_Inf_L,Frontal_Mid_2_L,Temporal_Pole_Mid_R,Cuneus_L,Paracentral_Lobule_R,Cerebellum_Crus1_L
Temporal_Mid_L,1.0,0.050821352234542136,-0.41932328171561545,-0.4028328316944763,0.0337476410517079,0.1782667595080246,-0.04908925433669817,-0.10650010164486998,0.7740391919290345,-0.07182688755982641,0.415162326125085,0.3980803376350277,0.00945968810499218,-0.30997869317172794,-0.04187334382284775,0.08021288708547536,-0.31856308933071403,-0.07135120817657999,-0.16651988420356567,-0.26640414640697113,0.05380756437217451,-0.14191925345337117,0.2725434880119294,-0.09387486071125703,-0.05725253516383037,-0.016416077632716873,0.20447030605930427,-0.23716343029655768,0.17893218987532591,-0.06110038404964617,0.06035804149060014,-0.06149805416550676,0.33188060890049526,0.004986866234331058,0.30196124914809247,-0.15381137494961789,0.1329587098002647,0.057137556763801396,-0.31149764387341145,0.15503477566564827,0.2226959962437343,-0.0533107299297561,-0.15277781947482952,-0.26347844726362746,-0.06306090962095899,0.07452981340581366,0.311405868301483,-0.05275092190819693,0.29646029658140516,-0.12830464575706788,-0.15757479610882483,-0.0554516492133263,0.15473089090286885,-0.1065673345495676,-0.11745728874678768,-0.05463951181858691,-0.12839343406345657,0.20967276400400459,-0.24787849726612968,0.22271918922099218
Cerebellum_Crus2_L,0.050821352234542136,1.0,-0.0820080792692109,0.31918153864976817,0.007440289292054281,0.25417571247525084,-0.018581985582221537,0.045832616335114484,-0.19373215585436518,-0.08043212778327653,-0.029699844899303673,-0.06680378327355772,0.06414848529202674,0.17867447261813577,-0.09246634938194198,0.060036088320162356,0.2651902358598123,-0.025063212521235542,-0.01351179073206763,0.2271876605602024,-0.02220024373106369,0.0031371502944911324,-0.11483199466530691,0.08506623191826072,-0.02582751856667817,0.028130956902659567,0.2553936869126317,-0.08312571346023195,-0.27687090649658763,0.009579713048852039,-0.18075966092444135,0.10969268400432794,-0.031135072912570422,0.0853806895958169,0.13272810598262128,-0.08620801351498315,-0.07061610205284027,-0.3609947549782715,0.13750739668055767,0.40242781935727034,0.3637051180384675,-0.0996995601686055,-0.06817751458536461,0.19178045398531227,-0.27248487604636135,-0.27582212575507026,0.3184141528587531,0.12843236287576595,0.24295865728453014,0.21066707064534868,0.03819301144940798,-0.016228883818812396,0.0009798630339537418,-0.23923010755351198,-0.05595701572274882,-0.009670832316092701,-0.3327211590250914,-0.10617501017558074,0.15465352487671483,0.09634194560597584
Angular_L,-0.41932328171561545,-0.0820080792692109,1.0,0.20031414121121868,-0.008433662276588849,0.01075828382115387,-0.00853555993974889,-0.058248475815116496,-0.37672751456284304,-0.11834256242858562,-0.4042651306755714,-0.36600143979213057,0.09383537468584868,0.5314839057225068,0.24909386141876005,0.03999459756569962,0.011335048225878535,-0.013224957255872319,0.010814726683703191,0.1352649464935149,-0.046636051618947426,0.10549313885090977,-0.1895827134228018,0.0583289673599403,0.09855461618256595,-0.020435422499507336,-0.25233003149396116,0.00044327975419955696,-0.09623752369525979,-0.12056899452747878,0.023098173652011098,-0.1414942250703332,-0.22701530066707493,0.18367945813811334,-0.04525808262919192,0.05839177886061894,-0.2523842475936091,-0.03878302487236822,0.377048251043351,0.051550909426298995,-0.01795086167054161,-0.14156394843703565,-0.07573146549807376,0.18094237250296527,0.10353395875350094,-0.053178677437659236,-0.2228105744271194,0.04165399453017029,-0.22531982544862322,0.051977224280019704,-0.1316165158367018,0.09621359135086172,-0.28706280514166826,0.08800034842506328,0.016874804400244792,-0.20447723753393027,-0.040080164668150356,-0.24449849696023251,-0.024813043497007962,-0.06472683886257968
Precentral_L,-0.4028328316944763,0.31918153864976817,0.20031414121121868,1.0,-0.2018838528638987,0.2388570107612872,0.17973204681942623,0.22528020740352767,-0.5829530417864385,-0.045164917727683926,0.006132591577124766,-0.4163629479652218,0.02220265767516216,0.32304495067457534,-0.07326949332258528,-0.05625313950185828,0.7668973858930529,0.21551423816603035,0.16256431699256757,0.14275315606519903,0.10089918110407826,0.07601081548738622,-0.4545064882103275,-0.020855930884721544,-0.05985466271697637,-0.2248131388718425,0.23453293790909632,0.24363495900702453,-0.07872795216301921,0.055889218545082,-0.19410051526764988,0.08014348318673203,-0.16945284282904308,-0.10855839495855843,0.04122413344773191,-0.006686832985804876,0.08699649837715644,-0.314455257338999,0.2687245099888874,0.4242882291051859,0.07178587644019822,0.33218962066637586,0.07040345092863728,0.7357994763031164,-0.19616726170818108,-0.1894916705541755,0.21771109738308245,0.028806997417631403,0.27321598980600487,0.11649094401019805,0.21604483300087088,-0.12788528691488185,0.05502634842529859,-0.12505192907654275,0.053951657504179074,0.4117654483627174,-0.17023474883207193,-0.1173826751536691,0.44237955422872016,-0.04904383658009634
Thal_MGN_R,0.0337476410517079,0.007440289292054281,-0.008433662276588849,-0.2018838528638987,1.0,0.05191693987058448,0.22815068338433955,0.192186525771413,0.13645424916312904,0.3006641662033319,0.20157659372781633,0.2764430538438454,0.2948286289796287,-0.24749285487430203,0.0157668349861022,0.26430802062112807,-0.16677968180691036,0.19557696198166682,0.20353914070403328,0.4893027087521839,0.20885642164393511,0.08279673252289516,0.3157433817681997,0.3130797489717812,0.09385002996721707,0.775191145451719,0.05627202850611565,0.04117182585802709,0.09901599411701288,0.35539075827326455,0.09098867713026618,-0.01685646063794771,0.17521493837379262,0.6581957554045901,0.24877638923777592,0.3128370180196241,0.263670533770054,0.2637258194247682,0.021831048901517085,-0.00879208673521451,-0.003676071851654646,-0.03095270737344548,0.28413652684388846,-0.12728308213969344,0.20995369908742925,0.2480209684107508,0.09867969530919216,0.5484628718467698,0.14484383333060277,0.5865452311146073,0.13137338518584957,0.5083716533829797,0.036797344002917,0.1177452800609926,-0.2083104313017391,-0.1649118824119321,0.073310813197446,0.029728470354797292,0.0018694002581635108,0.030575835600232727
Cerebellum_3_L,0.1782667595080246,0.25417571247525084,0.01075828382115387,0.2388570107612872,0.05191693987058448,1.0,0.23572629926294136,0.20467153088611761,-0.1337400340434985,0.11257116528431764,0.26127068929155106,0.05417825441292702,0.28331118097184516,0.1349687456464209,0.22859258006986694,0.08469746818248217,0.19254730302370895,0.15823370760755076,0.14462523712562544,0.02884216760963604,0.04385150337520969,0.16376051453334337,0.1680870111739115,0.049726837927585824,0.13342776003637616,0.09569956218203572,0.09537925634672342,0.12452786341306075,-0.007674697761529556,0.1532604846283418,-0.21844779853433002,0.2719962107958702,0.13561371506668643,0.09471072041295721,0.17457984979038288,0.013414099293576039,0.07163807784055393,-0.1887765475053658,0.022209632312614167,0.49710065190749403,0.37431009925884057,-0.041697181012258284,-0.12771216773741312,0.04845612202254784,0.05629225009582154,0.08644351022551905,0.4506410299954339,0.1845785979593834,0.4501574440828264,0.35493053999134866,0.08642247964922854,0.16490864284054782,0.18707030137698996,0.12566394435931205,-0.0823439260863499,-0.12808362187796365,-0.10543156664377228,-0.11459730009835205,0.15354779919070685,0.0889543229516741
ParaHippocampal_L,-0.04908925433669817,-0.018581985582221537,-0.00853555993974889,0.17973204681942623,0.22815068338433955,0.23572629926294136,1.0,0.6643755229141052,0.05942653156499145,0.3776449369957563,0.041014003328453494,0.40542357439130683,0.37092731163043974,-0.18837760332340384,-0.05421117277064821,0.16098632525633283,0.14565967924776427,0.8534145409549074,0.6668531523462945,-0.001944435452903881,0.34826758395345486,0.2493432913657122,0.08739981684184257,0.06657379552236359,0.23391328757080798,0.094684631931572,0.4155002515266112,0.7250157426671009,-0.07905195809733816,0.5502573241379974,0.07778544895233581,0.12499665995881902,-0.07380840458290996,0.010124783442419929,0.415761807245088,0.4699052622218877,0.7653982280625146,0.26036879887516623,0.22071294918017847,0.03448420499389053,-0.04665491855443107,0.16947579099757612,0.38023533496891276,0.16126966296747386,0.3716666091973594,0.2744287256347404,-0.08572912486937906,0.5011952230385631,0.19367925854172463,0.1938150479668145,0.5678368914466753,0.12563575677280986,-0.036006797505819255,0.33648313163625293,0.07181014483760566,0.42007594636352885,0.3418930994434216,0.21908580560965552,0.06923765126528292,0.07456910907108039
Frontal_Mid_2_R,-0.10650010164486998,0.045832616335114484,-0.058248475815116496,0.22528020740352767,0.192186525771413,0.20467153088611761,0.6643755229141052,1.0,-0.1683695323155346,0.41388516468846287,0.13499480381018233,0.08207895165987043,0.3087299003791534,-0.16605079141930756,-0.07188644249186067,0.11086201110257762,0.30263868439654323,0.6370723804020707,0.6174326505442267,0.17708600138656622,0.13198412877295457,0.16837763655901433,-0.008123272067804077,0.15709347697793813,0.05186357494895821,-0.013752825957682869,0.22036511030984746,0.6069829292084185,0.07893382131331811,0.6224942725334695,-0.11865847044204449,0.5271289158294961,0.010206162738428328,-0.1470241767720636,0.17198948210850282,0.2847987444532066,0.5257006868678348,0.08095291726961348,0.09045574924605024,0.10451847622013645,-0.15118036035791552,0.3202986165565222,0.36226574235809306,0.23044392979099376,0.07183796732810398,-0.014791181645234684,0.026832110516037486,0.39260065532896127,0.27983639679395345,0.3280838258931225,0.7425428297297764,0.03426642205381319,0.031354139391160316,0.0554701388340925,-0.02580696534799371,0.382005987969832,0.22494324789139394,0.13460706500978895,0.22298801062170678,-0.03774416258629015
Temporal_Pole_Sup_L,0.7740391919290345,-0.19373215585436518,-0.37672751456284304,-0.5829530417864385,0.13645424916312904,-0.1337400340434985,0.05942653156499145,-0.1683695323155346,1.0,0.052860541244469976,0.3889317509743743,0.5505547995351638,-0.03912627842261232,-0.3485783078674759,-0.09245423306078096,0.1782216935748116,-0.5837388977957008,0.05161391642607653,-0.11229232338729421,-0.2420871783128024,0.1484588633964464,-0.08295217499166373,0.3838647620474865,-0.04360436906077166,0.074185544839573,0.08464231519202228,0.23363026372523735,-0.21868126168646118,0.1798395248802321,0.04927395471566654,0.3118818437107728,-0.28620519185258997,0.29584878034119894,0.13208132606531311,0.3309851168198452,0.03772569103943056,0.25593730845569057,0.37921531822985477,-0.19232308000713916,-0.14514274252308232,0.04935856077437101,-0.0025081199581230527,-0.004101878552688501,-0.2958081032906196,0.13758653065538276,0.2212668830635993,0.032517007500407605,0.038272961773803245,0.08031283594893564,-0.2852626243836728,-0.16246085559497786,0.007710938088553303,0.039171306329308056,0.024883081168774388,-0.03780781261815388,-0.055065466179624094,0.08274639775377578,0.3509254688807222,-0.31458887456182677,0.2573246462051059
Frontal_Inf_Orb_2_R,-0.07182688755982641,-0.08043212778327653,-0.11834256242858562,-0.045164917727683926,0.3006641662033319,0.11257116528431764,0.3776449369957563,0.41388516468846287,0.052860541244469976,1.0,0.403863684810625,0.2752232821412327,0.10020110056079137,-0.0947629988763436,-0.11180662916751007,0.337226444693744,-0.03067417473346672,0.45866168562034404,0.42187463238036665,0.22632503982230492,0.43533192098272094,0.22264744365326422,0.28884279032027327,0.08547555525392636,0.28815764619817413,0.3505328756103798,0.17810447707886903,0.2856471491131732,-0.056498524617291955,0.709872053328564,0.22019430425389178,0.1303522379017379,0.09467558702440643,0.1498031608894483,0.1202171949442797,0.41477043526699187,0.3923552755792402,0.4299412733517702,0.21120537724846775,0.04117245171339505,0.007410481858366088,0.37749592484341105,0.5359944497412745,0.0768077991675381,0.15224522842826582,0.31967994079528045,0.05461991555423135,0.2953725791486663,0.21159468821491267,0.23114887451221497,0.30552875892083914,-0.05281905201654363,0.04744772127238861,0.14522095923505984,0.049523475811694806,0.24494003739179487,0.2348895167437914,0.10715933613867161,0.33216436909388747,-0.16461961835808708
