,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R
SN_pr_L,1.0,0.021675538246309908,0.1556774083712561,0.36120857156987213,-0.07530278973413296,0.5528864364379825,-0.005386412174601853,-0.07636860449153385,0.0770665520258754,0.3329722893369309,-0.19071107975631577,0.2104843838511334,0.014486034835343152,0.3722852988370964,-0.19922800320069045,0.5069011716722923,0.2003556006989078,0.28874445048828384,0.22573702344504182,0.43399229970752784,0.27604081316720747,0.406328542498699,0.495512287079646,0.2912117330600743,0.19021848527849794,0.5257690370374332,-0.12821069687195635,0.000792939837714798,0.34411137486427945,0.2737517828139555,-0.20440267789932062,-0.07646144273740645,0.013735008352512701,0.45449600297635123,0.3665676978203423,0.37429713967809414,0.229076807632723,0.5007307888927214,0.3844274616379328,0.15681622424915537,0.32276814193168396,0.34272689158503156,0.3344085547486116,0.3475427163236331,0.06370984591780496,0.018790994963834625,0.2693608074578933,0.2520102112111232,0.04495347395909834,-0.04053769608657356
Thal_MDl_R,0.021675538246309908,1.0,0.23596552952130162,0.19428995694180917,0.11602200975714064,-0.05957630986011692,-0.05176010364858542,-0.09133804001348704,0.158394870763773,0.3091276156228524,0.09632201808471247,0.03169676472474978,0.3058610771069179,0.008934702284904929,-0.0889825672806567,0.24959731871920968,0.007840865784589689,0.06865882394917207,0.43521375096538994,-0.09066118388378923,0.14164953623962073,0.08803231069157927,0.15928738797052372,-0.02491233989591858,0.032450235999270625,0.07128024921087253,0.07151319377342655,0.09088426687555688,-0.022591192731608332,-0.2558773386147364,-0.06594049355239595,0.19566384804972622,-0.022798497068007156,0.1437290985085312,-0.16939476254855185,-0.04940299318682068,0.11214258168567634,-0.16336724425283375,0.1912721662863826,0.6736714548592375,0.01698026690473483,-0.010935451895035087,0.22205795629592215,-0.11939952375708443,0.01734354859011179,0.7742042565690169,0.27921405492780127,-0.02524359803541198,0.060331761731100185,0.52595892395862
OFCpost_R,0.1556774083712561,0.23596552952130162,1.0,0.15428709397445253,-0.054012605885416815,0.15259321016244864,0.029162811405334152,-0.0031741714375409847,0.11722360699170158,-0.14030929832225267,0.15914341446592858,0.16860859447500498,0.054674820552725795,-0.15501480016917754,-0.12064401092121929,0.2847479502195496,0.030474361752899342,0.08074233185294981,0.2994819701843363,0.1347444409681048,0.31129908548975294,-0.11211991584158194,0.1281859677849922,-0.019552800801057774,0.11456825860504166,-0.1420328546877475,0.2609015380070389,-0.02728358781907025,0.18823513684473908,0.10040924916241224,0.04230128835067455,0.22932091503566387,-0.09492478505193337,0.2799813067661105,0.13398065946123155,0.0424684256114395,0.11833967989947156,0.2514580610255374,-0.13650767581419146,0.12013198631208027,0.01769321875784251,-0.013699051473338908,0.3452416054152317,-0.0002500520821941927,0.11580797628997594,0.17314785988752646,0.3447212574116281,0.07180549240979633,-0.018821713988501174,0.25560347111036724
Temporal_Sup_R,0.36120857156987213,0.19428995694180917,0.15428709397445253,1.0,-0.008533183273162246,0.4012693264604832,-0.09235921007050833,-0.04456916305057631,0.23046390685187848,-0.07775610813937874,-0.002577825398877029,0.4332584946255905,-0.052179245032037795,0.33353656917365326,0.08317547486620164,0.11246532066106779,0.11329957345413265,-0.04415219810214754,0.28394486488877935,-0.040798216994574976,0.24331652990193875,0.32013693256175474,0.4223497687656664,0.01574143182808797,0.1432081429889766,0.16514677378868262,-0.03521450618864119,-0.040911977303332576,0.36426455460497076,0.6200149283191727,-0.03595327000401561,-0.17060402439589728,-0.12279944163487928,0.06670472521079042,0.07035544477177753,0.24763864204584876,0.5299176768645338,0.37726840044615545,-0.05618579606448794,0.4667817056906368,-0.07557284312636586,-0.012790461032477687,0.3257285384644125,0.3659049359810829,0.01890850724131009,0.28799527223271726,0.024195214672722225,-0.05150251032188773,0.12613530958032965,0.17899670158660203
OFClat_L,-0.07530278973413296,0.11602200975714064,-0.054012605885416815,-0.008533183273162246,1.0,-0.19428687458750418,0.21739339236500702,0.184584145005402,-0.10714306678650529,0.03167847872830306,0.26307190956556475,-0.17546664408600832,0.2277396667590067,-0.22950874595221257,0.24985259166012677,-0.11588830484665305,0.4685055393880692,0.2707102320333497,0.1670935244936898,-0.5469707056322637,-0.301053349224986,0.24247996787447818,0.20960849857429426,-0.28660689032018566,-0.4010618678470919,0.281856396503994,-0.1458138002930803,-0.21114231850985538,-0.011499710071696116,-0.09542754156701394,0.06376554755318457,0.10677302656272522,-0.20531748991117135,0.008830158914030026,-0.44480404021388514,-0.039691219507416074,0.02442799676609272,-0.05702332071747578,-0.013205039864656367,0.23894964265987043,0.025404482060694133,0.1674878033980284,0.01874284820331791,-0.16371082537259418,-0.24952237359528498,0.2376645429029618,0.08806207624589682,-0.2754824165093685,-0.1281036427348037,0.11930231747554933
Heschl_R,0.5528864364379825,-0.05957630986011692,0.15259321016244864,0.4012693264604832,-0.19428687458750418,1.0,0.1012480233076678,-0.1322655060715567,0.418076140168672,0.07067725996345368,-0.15028959804594344,-0.06494584977268442,0.08399371366527086,0.24985240173902024,-0.3450795831026517,0.6167916515676116,0.022700304211550223,0.09140019817309367,0.3679717677561796,0.3263693578469037,0.15478573516719338,0.2934121953778758,0.5225889694942651,0.08971653681288728,0.03740037356819137,0.3775901528170077,-0.07759353765731099,-0.016999026116014844,0.27640634564840105,0.39698224876922433,-0.26690430699725637,0.07680803212231253,-0.04553748335754784,0.7006071106146199,0.2609577811661814,0.3783205438123749,0.4075502848016851,0.7879289009926532,0.38418130048383337,0.06636988722861015,0.4134986425082385,0.45509828469248487,0.12810430108726326,0.7651291754457492,0.008221307892809424,-0.071203919366067,0.4134841311047479,0.04894203412475112,-0.03604965735831205,0.07189055313833478
Cuneus_L,-0.005386412174601853,-0.05176010364858542,0.029162811405334152,-0.09235921007050833,0.21739339236500702,0.1012480233076678,1.0,0.19485874006373285,0.023438038747306374,-0.13825822321351391,0.09833172658691364,-0.2997672650371403,0.15176307488336493,-0.03842466862879477,-0.12659493846643577,0.03313789483963861,0.24234195637551217,0.1317752454931601,0.2723417480927879,-0.1173826751536691,-0.09309702620000065,0.10715933613867161,0.13776186264627657,-0.361027619509845,-0.4045525567085381,0.06633880970826499,-0.06046366260733768,0.06469886477896607,0.13830067391391684,0.05249715689354052,-0.2340454446909468,0.15522569146039078,-0.39970561687699074,0.21908580560965552,-0.007994227400390987,-0.0841331370745783,0.07860740407254192,0.13460706500978895,0.12574760298736204,0.003667941468302977,0.28345263255987196,0.23673823153145288,-0.1603130198203139,0.15788492141290744,-0.14249654530372483,-0.05436150226200612,0.11744686196062012,-0.24251742099744972,-0.36347466708740594,0.05285399531996032
Occipital_Inf_R,-0.07636860449153385,-0.09133804001348704,-0.0031741714375409847,-0.04456916305057631,0.184584145005402,-0.1322655060715567,0.19485874006373285,1.0,-0.07946014278470531,-0.21888762098401307,0.2980857022673697,0.043759844468119855,-0.1700998581696717,-0.06915139620405089,0.12749702521560533,-0.1433229916237685,0.15826132171700363,0.14617699535234874,-0.06225906330434343,-0.07872795216301921,0.09652669422507378,-0.056498524617291955,-0.058742107188903374,-0.1192081998142156,-0.19662304820602602,0.0017179212591676167,-0.021072716371904825,-0.2508222425985685,0.1416532641361469,0.16329312740706847,-0.05382620600557587,-0.06517837403098872,-0.21557642426965407,-0.07905195809733816,0.05162070627949374,-0.19398843636381127,0.07440408278937517,0.07893382131331811,-0.0398692477853413,0.032796107829490315,0.038522931172522805,0.012117416551629645,0.02140419952628072,-0.04044107560992331,-0.08010072232340984,-0.023971799353427987,-0.11293746602596398,0.12545461499267122,-0.13002548877777956,0.11340411570282523
Temporal_Inf_R,0.0770665520258754,0.158394870763773,0.11722360699170158,0.23046390685187848,-0.10714306678650529,0.418076140168672,0.023438038747306374,-0.07946014278470531,1.0,0.12054194012365076,0.06431347536359658,-0.08234441686451932,0.07030704522399737,-0.026498233716503092,-0.2184992002777364,0.5499892101406073,-0.20646091436233727,0.16696581356793483,0.12472768738612365,-0.03091003172837412,0.20083468634197477,0.2045776784953618,0.34979223268702575,-0.10180003999228845,-0.004053364611055895,0.38683574346399613,-0.19423176754286756,-0.005207674379557362,0.08683510617824561,0.21436078897315933,0.05264599997334544,0.2249037594000504,-0.07343858961035932,0.5924423432568416,0.02871996819992879,0.3726079685669087,0.7068809964229822,0.4055751393148239,0.2559869748982858,0.1201093776124742,0.291697833362528,0.3164212130453327,0.04642437927209171,0.4225105208457035,0.019229964391870562,0.04010190937021888,0.21107601469212867,0.07305968358579354,0.08795869191258687,0.14619070256050454
Red_N_R,0.3329722893369309,0.3091276156228524,-0.14030929832225267,-0.07775610813937874,0.03167847872830306,0.07067725996345368,-0.13825822321351391,-0.21888762098401307,0.12054194012365076,1.0,-0.06972978794067339,-0.006792455162252025,0.2190431584495268,0.1501895763803759,-0.09100815445168976,0.3774759159081058,0.04980313830204078,0.2870073818404059,0.19104952544740036,0.1497338567993645,0.11279365832686568,0.4061232389888536,0.269473398340022,0.2942103131172039,0.2083960798926915,0.48104166845037843,-0.13500790135473206,0.21308518944721494,-0.022229769435457333,-0.3624997429898103,0.017741908301804648,0.04510800661348858,0.2509182217983518,0.22632241618571655,-0.09399078866437402,0.22067771785687057,0.18761106093215038,0.015320219130888962,0.4598152779753961,0.2392447422565692,0.21214282469302548,0.2086836202722048,0.08394517115438195,-0.058146536633762444,0.1160587396185974,0.24507157558765036,0.17849703186094956,0.13741719889390425,0.17330806132552545,0.007222880232694372
