,Frontal_Mid_2_L,Red_N_L,Thal_MDm_R,Caudate_R,Heschl_L,Cerebellum_4_5_R,Thal_VPL_R,Caudate_L,Temporal_Sup_L,Vermis_4_5,Postcentral_L,Occipital_Sup_R,Rolandic_Oper_L,Thal_IL_L,Cerebellum_Crus1_L,Olfactory_L,Vermis_7,Calcarine_R,Raphe_D,Frontal_Inf_Orb_2_L,Thal_LGN_L,Thal_PuA_R,N_Acc_L,OFClat_R,Hippocampus_R,Hippocampus_L,Thal_MGN_R,Insula_R,Precentral_R,SN_pr_L,Raphe_M,Cingulate_Post_L,Cerebellum_10_R,Precentral_L,Putamen_L,Thal_MGN_L,Insula_L,Thal_MDm_L,Rolandic_Oper_R,Temporal_Pole_Sup_R,Parietal_Sup_R,Thal_VPL_L,Vermis_10,Cerebellum_10_L,Thal_VL_R
Frontal_Mid_2_L,1.0,0.2722707077960994,-0.16652092388054232,0.07055217589810003,-0.08066909894267163,0.2592541001115773,-0.29948331506703746,0.2377482634229881,0.1607495569926698,0.03941498580486873,-0.19031496463031683,-0.13632477790908654,0.4162630099328404,-0.11419841581810994,-0.019760246766108956,0.2928254187252519,-0.255282351968473,-0.14464890273368722,0.008053941308292598,0.11356345267187513,-0.025708317224713655,-0.2491894006337705,0.2750818296369582,-0.06979421964516659,0.2645869560268801,0.4169658735307997,-0.1649118824119321,0.2607050329569546,0.14091452297484858,0.22457802588673453,0.19010051540717884,0.34565050979518974,-0.29733933597500545,0.4117654483627174,-0.03844971323690429,0.008801018594784738,0.29596329570854724,0.1173292389760672,0.2903026708887843,0.032953103357923244,0.14264547921194934,-0.24665870923013564,0.008662562319766188,-0.2044614265922203,-0.2790428975549354
Red_N_L,0.2722707077960994,1.0,0.269860849875211,0.39277602404234346,-0.005090661764601379,0.42044903022109886,0.48795658150458465,0.30172082989611754,0.3372503936478946,0.18358720007997403,-0.33379059255244514,-0.33273390560990485,0.06982760816725518,-0.05184776139730401,0.05069617287686723,0.24743750793582261,-0.1899242082961962,-0.07624204665046552,0.057125270688643356,0.4741906784312931,-0.0750023226997905,0.2653211948680323,0.30246484187036776,0.05446411202571959,0.5067307183586622,0.4727838681968117,0.4912374991758995,0.4208292169521869,-0.031241188394663773,0.28923768836588826,0.1887133510671769,0.15433908997637807,-0.2821920801860222,-0.06991883149161078,0.15991491789256104,0.3300968658440717,0.4030736028191943,0.6070126776898555,0.2604844713173769,0.4376974495649205,0.25535499167695896,0.22574712685365142,0.4405236229390935,-0.001010817269696627,0.37346236887147033
Thal_MDm_R,-0.16652092388054232,0.269860849875211,1.0,0.46692455011977907,0.18210191925597488,0.18671737877002886,0.6529623577452185,0.3265272581706676,0.17216158913501706,0.19976372554109137,0.1784641919497724,0.0872876329483277,-0.09743364896111235,0.31030607017545064,0.0847126530217094,0.07388583465105163,0.1317993609336436,0.09296085589182944,0.07434807375015097,0.246548140709534,0.2742852768565327,0.4738497879147042,0.040191276659607984,0.13268761035088752,0.19464566651879825,0.12739669646510973,0.5553180775946316,0.45870241607424783,-0.2788676139641442,0.21599501493235562,0.035822329264096585,-0.039425500223919524,0.11352902394890214,0.03512023114904423,0.3948359922226529,0.22000611894447758,0.27715455755665713,0.4865249078424933,0.01496001036218418,0.2590360706839926,0.0693514509584426,0.3385027574336702,0.14561629777737228,0.1485377533999407,0.7035849750529666
Caudate_R,0.07055217589810003,0.39277602404234346,0.46692455011977907,1.0,0.19865510584189333,0.5168520456022044,0.49695411690619945,0.6615927812193755,0.04604762722112813,0.2042022224006265,0.02875485240781869,0.03159456754802351,-0.06726484094873074,0.31300747247913885,0.15985347484507492,0.4135852028566893,0.00622875150381344,-0.12833687883762912,0.1180830690679628,0.16476563557037274,0.19972821656826734,0.25027795359553734,0.33664131448257634,0.3677567643178134,0.3529429827009297,0.39574540884170456,0.5484628718467698,0.5042884376761084,-0.08874276696983863,0.27771258578119823,0.29124151589316966,-0.08051026153486128,-0.1258097096932354,0.028806997417631403,0.36594481464220574,0.15908445007139824,0.4845428060142582,0.47359583204799693,0.26423731013969326,0.38026393187221863,-0.025803291782143665,0.2273037256336979,0.23368416245084614,-0.0019263376270232486,0.4656685080903341
Heschl_L,-0.08066909894267163,-0.005090661764601379,0.18210191925597488,0.19865510584189333,1.0,-0.0016366434459261679,0.35687660171723906,0.13916568880460606,0.18361453780733997,0.25279548030786103,-0.02940338278663621,-0.05685743949658368,0.24031485562489893,0.013910795780828506,-0.0730139200278215,-0.16775251399091182,0.11323804121665938,0.18311420644931725,0.0373769370140823,0.085760320316292,0.062333431411988965,0.11480893088531696,-0.12524287652100935,-0.20078582677865106,-0.048894759580682595,0.14424833566970957,0.3130797489717812,0.1267378662492078,-0.05293968853218473,0.12504288914492567,0.008696952374195642,0.1203215396521159,0.03395384362089727,-0.020855930884721544,0.1583366463003409,-0.04593861408633423,0.2481575583042189,0.11500437468993499,0.15872036121799513,0.07853256959757461,0.026884763638474106,0.17193399316729904,-0.065248141766241,0.17521628217681062,0.157328921253453
Cerebellum_4_5_R,0.2592541001115773,0.42044903022109886,0.18671737877002886,0.5168520456022044,-0.0016366434459261679,1.0,0.20753946299843998,0.2867629708251443,0.15919406272135575,0.6269400540159342,-0.03884226769015198,-0.11328726534304764,0.14539497632308054,0.10387181922854519,0.16370929948005386,0.5813102551922551,-0.1756042918637239,0.2056836277201437,0.11130698770326447,0.12470722777062479,0.08846592306139286,0.09418743428861426,0.575556299910339,0.47096390668508814,0.6899561220353072,0.6272227647539123,0.2587440376305845,0.4415528151774276,-0.10185497460765892,0.48030402109387943,0.5338492300960835,0.2733168663435971,-0.22479648559539542,0.08964384975716508,0.26404134856433326,0.019366609488879857,0.42671220782140484,0.2362486406187787,0.25998141373652,0.46025052160090474,0.09244496947601505,0.10478550594226213,0.5816944460920392,0.10721162063765227,0.08766885055710064
Thal_VPL_R,-0.29948331506703746,0.48795658150458465,0.6529623577452185,0.49695411690619945,0.35687660171723906,0.20753946299843998,1.0,0.15530788298811418,0.24271256282038556,0.2430095381254505,-0.11011449168885575,-0.2192711524694038,-0.18787538827379116,0.030934618195040547,0.0057488344340642095,0.17559932323368885,-0.029686982988092688,0.11359568596449633,0.04148718519196275,0.34336774135560055,0.06511156527221902,0.6506517117290306,0.18859923205164958,0.13178675499466574,0.24783835222829634,0.08095924791786055,0.775191145451719,0.3497767288895077,-0.14271743226361977,0.15681622424915537,-0.04107232184513184,-0.05787932824428089,-0.11458335227046049,-0.2248131388718425,0.36274404926143444,0.09466883503421572,0.26625835731786246,0.4812820025542502,-0.029182436472745696,0.3057825418716667,0.10991081138886517,0.38655939358637675,0.25980075615987064,0.24910588251587587,0.8180431409819723
Caudate_L,0.2377482634229881,0.30172082989611754,0.3265272581706676,0.6615927812193755,0.13916568880460606,0.2867629708251443,0.15530788298811418,1.0,0.06028309217775062,-0.03080537158901853,0.049832900697606264,0.09480195054245592,0.0530510278606596,0.30145757956702035,0.14520660400763927,0.18824444454360054,0.029360849822925396,-0.26715554570907035,0.09705389289126566,0.22988157447033375,0.33465436858087416,0.05239755789066451,0.2151112959169456,0.17660252944033542,0.2013565746732671,0.4874293442506597,0.22740990809939768,0.5480154187208786,-0.10095567387939515,0.2693608074578933,0.14453267251231558,-0.0827383299070342,-0.04301666010047712,0.12868963844008594,0.3491603381118611,0.3548910547355095,0.5287811939596931,0.4858902898269275,0.2820861509492324,0.3162490740810125,-0.015810658269235993,0.22080146651440957,0.08279047893393296,-0.23351720551061103,0.21593037308024848
Temporal_Sup_L,0.1607495569926698,0.3372503936478946,0.17216158913501706,0.04604762722112813,0.18361453780733997,0.15919406272135575,0.24271256282038556,0.06028309217775062,1.0,0.39351357586003,-0.1441489543342527,-0.2814152488040613,0.2976179459158441,-0.332750692422873,0.06803070137949609,0.10100894363862953,-0.08739456522513753,0.4278940034221562,0.06316148672908085,0.5418485704304039,-0.12565179266977372,0.023796805137362327,0.1856750011087636,-0.02143125466270139,0.23427370978291034,0.10510758617285819,0.20157659372781633,0.36211231857229637,-0.13603940825606078,0.2003556006989078,-0.13847335457425358,0.22186904637305163,-0.13865954449227674,0.006132591577124766,0.23456867325499065,0.09692540755013991,0.3227675175414173,0.3564723769083034,0.07266819479644666,0.041958243115955925,0.18426567416557366,0.30541874385552237,0.25015618357345,0.11411477563346029,0.13879720868474923
Vermis_4_5,0.03941498580486873,0.18358720007997403,0.19976372554109137,0.2042022224006265,0.25279548030786103,0.6269400540159342,0.2430095381254505,-0.03080537158901853,0.39351357586003,1.0,0.014837276476302183,-0.2520751151935364,0.44457392080168284,-0.09290317012664229,0.07105578465609919,0.08880066013498451,0.031415551549428274,0.6982814218656904,0.26941046190164836,0.06536021961259421,-0.013665748746929473,-0.027225081831669388,0.19427019348631136,0.07007425585820506,0.32579297225596365,0.26460809204425567,0.2755474038857004,0.22783121591167474,0.0064545792005689185,0.4657224703088946,0.2583614181255893,0.5771826904613189,0.09146868181983288,0.2083143686281537,0.22266728114182469,-0.1811112632499037,0.23917736069111656,0.14163695562973472,0.24971287928439964,0.13634433043142308,0.07219723346132878,0.05670022854994495,0.3700349079087757,0.4505626559302427,0.0424896467033087
Postcentral_L,-0.19031496463031683,-0.33379059255244514,0.1784641919497724,0.02875485240781869,-0.02940338278663621,-0.03884226769015198,-0.11011449168885575,0.049832900697606264,-0.1441489543342527,0.014837276476302183,1.0,0.6160984436818856,0.16790300047846252,0.6079354155560848,-0.1996692846791139,-0.00386940990209628,0.5522805993735161,0.025618559333285437,0.09488331594200922,0.0327038365043706,0.4074503240365738,0.12603028141778028,0.012269667877736267,0.20321412637060085,0.005357718388931633,0.001633128573702857,-0.11808991228615255,0.066343273744877,-0.24859346351995185,0.2912117330600743,0.07602027799085023,-0.07095955879370247,0.17783044336619422,0.44946099570949344,0.20802119098201063,-0.11637389993999027,0.01829532852760718,-0.24018479631694026,-0.09810332473154536,-0.06234555864553313,-0.48937490865133304,-0.10680873592575597,-0.4520814449152167,0.10702305072349098,-0.05973508175523926
