,Cerebellum_Crus2_L,Red_N_R,Cerebellum_4_5_R,Paracentral_Lobule_L,Cerebellum_9_L,N_Acc_L,Angular_L,Cerebellum_10_L,Cerebellum_6_R,Pallidum_L,Caudate_R,Hippocampus_R,Thal_PuM_L,Frontal_Sup_Medial_L,LC_L,Temporal_Inf_L,Frontal_Med_Orb_R,Rolandic_Oper_R,Vermis_6,Cerebellum_3_L,Insula_L,Thal_VA_R,Temporal_Pole_Sup_R,Cuneus_R,Frontal_Mid_2_L,Temporal_Pole_Mid_L,Amygdala_L,Cerebellum_Crus2_R,Cerebellum_9_R,Temporal_Pole_Mid_R,Cuneus_L,Thal_MDm_R,Cingulate_Post_L,Thal_PuI_L,OFCmed_R,Thal_VA_L,Olfactory_R,Vermis_10,Hippocampus_L,Vermis_8,VTA_R,Frontal_Inf_Tri_R,ParaHippocampal_R,Thal_VPL_R,Occipital_Sup_L,Thal_MGN_R,Cerebellum_6_L,Cerebellum_7b_R,Pallidum_R,Thal_PuM_R
Cerebellum_Crus2_L,1.0,-0.051710227651016794,0.07956134232524989,0.3525467925188181,-0.14628707391573703,-0.02220024373106369,-0.0820080792692109,0.24047618678010935,0.17167184354366427,-0.06405193626066323,0.12843236287576595,-0.14347392295573405,-0.0880456587284177,-0.00969414459479671,-0.12855851681173527,-0.02635918750607831,-0.3609947549782715,0.03819301144940798,0.11136782064714251,0.25417571247525084,0.009579713048852039,-0.016228883818812396,-0.14980595469542754,-0.0061994338396835725,-0.009670832316092701,-0.3154656492048307,-0.07061610205284027,0.051079258073579104,-0.06731211916146201,-0.3327211590250914,-0.10617501017558074,0.2857157486148799,0.23345704360805616,0.0870522642474173,-0.27582212575507026,0.21829712592246797,-0.08620801351498315,-0.06680378327355772,-0.025063212521235542,-0.031135072912570422,0.0353204123476017,-0.030845898186327454,0.07600811732821436,0.028130956902659567,0.15043381609494236,0.007440289292054281,0.1378050170568107,-0.09246634938194198,0.2228676469912258,0.0853806895958169
Red_N_R,-0.051710227651016794,1.0,0.28003143870143105,-0.11359022866772492,0.14701747356421715,0.2870073818404059,0.16875116004955834,0.03161259050259227,-0.04470803492983325,0.15422306278046635,0.1138225100938059,0.48104166845037843,0.2787149033385868,0.13088092565242235,-0.14464971098029283,0.21214282469302548,0.3892629159361794,-0.058146536633762444,0.017741908301804648,0.11081352333766462,0.269473398340022,0.007222880232694372,0.3879603599374649,0.10138631687812885,0.12839757495850188,0.05053809666720869,0.12186493134420398,-0.018553363191950736,-0.016468139967111294,0.2333350729375139,-0.13825822321351391,0.3192979254059308,-0.04506163356581834,0.06867522758680075,0.3353069078968544,0.11684235053629988,0.32633106089704217,0.11310060468931737,0.3214309433466085,-0.06972978794067339,0.4191631019478005,0.25331865168644196,0.3170566991934702,0.2392447422565692,0.1160587396185974,0.11914672043279942,-0.16886122745626964,0.16585860843519465,0.08361177160891493,0.3614001093041902
Cerebellum_4_5_R,0.07956134232524989,0.28003143870143105,1.0,0.0768610931858261,0.11308187529327887,0.575556299910339,-0.1019719410407852,0.10721162063765227,0.5232610090809785,0.22258810488725514,0.5168520456022044,0.6899561220353072,0.3049886973661447,0.28440777744457124,-0.013948138761262427,0.5042252982804344,0.1720105309698921,0.25998141373652,0.0026358689710093345,0.18092294851945,0.42671220782140484,0.14963637872576882,0.46025052160090474,-0.03617401217635863,0.2592541001115773,0.02862146192241719,0.5607123361125569,-0.06762097922421571,0.23236236042378355,0.12920716378317929,0.1877839157054547,0.18671737877002886,0.2733168663435971,0.2263807179866231,0.27736665331675076,0.05943905534897521,0.4519323135012346,0.5816944460920392,0.6272227647539123,0.09353138903955145,0.36436902990187686,0.33347518272840704,0.74755374684124,0.20753946299843998,-0.08037603098086885,0.2587440376305845,0.17407167819263414,-0.11418496290220395,0.3053983455782817,0.1185202010725531
Paracentral_Lobule_L,0.3525467925188181,-0.11359022866772492,0.0768610931858261,1.0,-0.44969239549334816,0.0932626800701702,0.03045294502375277,0.49103451745598375,0.08961142313265971,-0.007116885374485089,0.025765943536682448,-0.2203597451397684,-0.13252293177471314,-0.19633607846693968,-0.13056221614960986,0.0312546667334408,-0.47871405951537266,0.08434671989947377,-0.2438507348415054,0.5036793940591331,-0.06569839314142507,-0.01037780358626869,-0.33239543123186427,-0.17500845229392248,0.10704391902068314,-0.22253584151322134,0.08898747386434379,-0.14375870463445178,0.071957332912517,-0.3039576463074539,-0.054510755089407385,0.031680912563836386,0.5551365017201746,-0.07790404212841902,-0.17615047047805774,0.4853635734510511,-0.1299478588587518,-0.24461317731736856,0.056712439268992415,0.002594904165779716,-0.10005557642718886,-0.02270649865059327,0.14395380248625866,-0.013573063335082607,0.11979147781302414,-0.11805206157348525,0.10829158176075972,-0.16200315727529863,0.32190048127577114,-0.11166966841374577
Cerebellum_9_L,-0.14628707391573703,0.14701747356421715,0.11308187529327887,-0.44969239549334816,1.0,-0.024349192536358134,-0.09028295516688715,-0.026650739912837177,0.2140983808271086,0.20276257101653522,0.045567592291845586,0.07067901498228008,0.010220912862988592,0.21576122407699636,0.16638751976319435,-0.060091490067609804,0.1523882832693815,-0.17835876297393619,0.44423643301495475,0.13699720153941425,-0.04515650994621926,0.27158031490833445,0.28089465371303823,0.11585526995630137,-0.217760160344592,0.23370520320031624,-0.09760198884203221,0.2908995535912829,0.13325255878479977,0.18882529573233292,0.07694363363227238,0.10232230020212439,-0.2616439441277642,0.04534558545905289,0.3007684022608711,-0.3970732391767652,0.07785711801666716,0.4627778511183788,-0.04645902769037403,0.3796490511492876,-0.1485282009520478,-0.20336645071454218,-0.08342316004933467,0.042308301187952736,-0.11068369762805033,0.0957495973814532,0.33279377320247283,0.4589965921044412,0.18289326110212958,0.16249056483518043
N_Acc_L,-0.02220024373106369,0.2870073818404059,0.575556299910339,0.0932626800701702,-0.024349192536358134,1.0,-0.046636051618947426,0.04603368223298387,0.17115585484374848,0.27144025071340205,0.33664131448257634,0.5364655332705385,0.1270044607739624,0.1767460354524862,-0.11182851203272856,0.38211285959043495,0.3516881592009958,-0.13461578998737248,-0.07693191514642403,0.04385150337520969,0.2638440974328376,-0.0007207088299384004,0.22370570590641847,0.024414188225255946,0.2750818296369582,0.07083298950777885,0.5091772118067901,-0.24310676123260136,0.18235016325758072,0.09166665216578361,0.1317752454931601,0.040191276659607984,0.08753774131852322,0.30421807643487764,0.542595750756606,0.023469837869174334,0.5700327353056245,0.2622581126977854,0.4349233425941054,0.042796178277963566,0.29964894321096314,0.13534570351083755,0.4216270895162294,0.18859923205164958,0.015387903652910333,0.20885642164393511,0.03654286389377213,-0.07535998052855389,0.2939228552419286,0.09639005377558647
Angular_L,-0.0820080792692109,0.16875116004955834,-0.1019719410407852,0.03045294502375277,-0.09028295516688715,-0.046636051618947426,1.0,0.007907291837478693,-0.06209140035545537,-0.10957112111697909,0.04165399453017029,-0.07209700277086209,-0.01453700060031947,-0.03293176902883458,-0.20603052681571526,-0.19190358727707185,-0.03878302487236822,-0.1316165158367018,0.047248743762604475,0.01075828382115387,-0.12056899452747878,0.09621359135086172,0.05150824823551793,0.34071478739134875,-0.20447723753393027,-0.0886831120415719,-0.2523842475936091,0.33699302410030063,-0.36655174161926934,-0.040080164668150356,-0.24449849696023251,0.03585616098892841,-0.1858323969487607,0.0578638640810566,-0.053178677437659236,-0.19520703566727382,0.05839177886061894,-0.36600143979213057,-0.013224957255872319,-0.22701530066707493,-0.07324518582095066,-0.00883675770618491,0.0010178301228147683,-0.020435422499507336,0.38105616562154615,-0.008433662276588849,-0.26061865123195777,0.24909386141876005,-0.10827871471574564,0.18367945813811334
Cerebellum_10_L,0.24047618678010935,0.03161259050259227,0.10721162063765227,0.49103451745598375,-0.026650739912837177,0.04603368223298387,0.007907291837478693,1.0,0.36056661261584494,0.007485297421113456,-0.0019263376270232486,-0.1757284030666489,-0.3531158654655558,-0.10048189635109613,-0.020100495950185718,-0.1046407610590765,-0.32882512370025957,-0.19394073101663312,0.24163880122031273,0.3689918592169964,-0.17867442029890232,0.0035237753580666486,-0.10607465025800189,-0.07179722707999103,-0.2044614265922203,-0.41521785657733135,-0.15314127942422665,-0.11647126110098394,-0.037393519695911745,-0.5280367466602531,-0.1610463248884095,0.1485377533999407,0.4420611808382905,-0.07319640583838964,-0.027092408763531545,0.1715303377897986,-0.3076270615251473,0.036013483087652745,-0.10248332151097639,0.3549317900932649,-0.06956317553025385,-0.14882102863807659,-0.0015446706234540373,0.24910588251587587,0.13082837297096342,0.1658785829020622,0.42007007205064567,-0.049947723911988894,0.2804234071377023,0.2812816889004954
Cerebellum_6_R,0.17167184354366427,-0.04470803492983325,0.5232610090809785,0.08961142313265971,0.2140983808271086,0.17115585484374848,-0.06209140035545537,0.36056661261584494,1.0,-0.06381836631065475,0.22874621108220436,0.22283068625572783,-0.06563464514952165,0.12724596954840428,0.1789895986816744,0.09083258696840348,-0.13268513588532105,0.06912930303053366,0.483574532210856,0.22854851629435505,0.12262457475425247,0.07580931707548273,0.28098467777361974,0.05940238330213005,-0.19239796232867074,-0.3559138965992353,0.09323204920068073,0.2073971406294617,0.004455346745219101,-0.32017731732138993,0.09776430890231769,0.21853718753395165,0.292765888179043,0.09459502303184841,-0.10102975131595233,-0.06782119042921031,-0.14628685303702885,0.5084202757101626,0.18350817839479827,0.3303438841652805,0.006622168020476174,0.05033606512801631,0.339862488862549,0.21413684744997805,0.16729723693413293,0.31383136506682713,0.6374848404403743,-0.012054073607782568,0.3181604983999307,0.2593164480822229
Pallidum_L,-0.06405193626066323,0.15422306278046635,0.22258810488725514,-0.007116885374485089,0.20276257101653522,0.27144025071340205,-0.10957112111697909,0.007485297421113456,-0.06381836631065475,1.0,0.4163215655777954,0.2491976886078422,0.29079765424276977,0.2564205771719408,0.0593531730636291,0.12993343310029828,0.3146991978250929,0.1426755036832624,-0.2989173376360048,0.22001753352908743,0.3752644451288995,0.3631218812316364,0.3672630973479763,-0.0020321493775961944,0.11136277212708476,0.3515976098585621,0.41982466613700903,-0.23816296335440554,0.22739661769434738,0.38284015991010517,0.13044840479069877,0.25123882526021996,-0.12515023836414604,0.24623707948823256,0.4079788461696052,0.2924823270048443,0.4746878108648474,0.18046423311802676,0.2993203886502026,0.2246164424607366,-0.054314088269268125,0.23232530411311753,0.41032267718998366,0.2697730619262637,-0.05668683284182456,0.313537001762672,-0.06586522574729518,0.10187791215609716,0.3895030557851038,0.172215746359236
