,Insula_R,Thal_MDm_L,Thal_PuM_L,Cerebellum_4_5_R,SN_pc_R,Thal_AV_R,Cerebellum_7b_R,Thal_LP_L,Thal_LGN_L,VTA_L,Cerebellum_4_5_L,Heschl_R,Precuneus_L,Fusiform_L,SupraMarginal_L,Putamen_R,VTA_R,Cingulate_Mid_R,Angular_L,Temporal_Mid_R,Postcentral_R,Calcarine_R,Thal_PuA_L,ACC_sup_R,SupraMarginal_R,Thal_MGN_R,Precentral_L,Parietal_Inf_L,Vermis_6,Occipital_Mid_R,Occipital_Sup_R,Frontal_Mid_2_R,Frontal_Mid_2_L,Hippocampus_L,Temporal_Mid_L,Temporal_Sup_R,LC_R,N_Acc_R,Temporal_Inf_L,Thal_IL_R,Supp_Motor_Area_R,Frontal_Med_Orb_R,Vermis_9,Cerebellum_10_L,Vermis_4_5,SN_pr_R,Frontal_Inf_Tri_L,Pallidum_L,Cerebellum_7b_L,Frontal_Inf_Orb_2_L,ParaHippocampal_R,Amygdala_R,Cerebellum_8_L,Thal_PuI_R,Temporal_Pole_Sup_L
Insula_R,1.0,0.5135712801660529,0.5760725346283396,0.4415528151774276,0.1369353324468892,0.29828703579706717,-0.08081079533775626,0.33890513149133045,0.36611940269597804,0.3580054094681321,0.4622756980892571,0.4582507755274985,0.17579821575852492,0.4610288504050441,0.11622834837379308,0.5408590791664121,0.4251519012331103,0.0574055945365342,-0.047368583804187625,0.2797417213846715,-0.17847362703265324,-0.05155247236837144,0.293303774270458,0.21117943965458544,-0.11660622476986478,0.409575157826944,0.15909220616370096,-0.0860455047172304,-0.18641209553678384,-0.10428266075281205,0.065093064847503,0.45283562032114294,0.2607050329569546,0.6158854884323093,0.05598982732680585,0.2606215934697915,0.3348475762463802,0.1922320008471423,0.4159693484549114,0.13809127045647776,-0.056681303546325064,0.4434948991701007,-0.07998112474173899,-0.09709620632906184,0.22783121591167474,0.19122696283253976,0.4591422578990563,0.45344937645201855,-0.2250366347108709,0.46410339213078833,0.705593020962659,0.5282889814580327,0.053857425100597905,0.22664706019951628,0.2036194701713387
Thal_MDm_L,0.5135712801660529,1.0,0.4166629721271065,0.2362486406187787,0.28469988672759655,0.5650038529584849,0.0014471770369499394,0.3055455512313916,0.05530485712258644,-0.0667880788569619,0.31695495318325273,0.3679717677561796,0.22979180468552088,0.18443369465721213,0.21736567191471642,0.20064686706793772,-0.05916875679495665,0.2465575030586528,-0.20292656478675233,0.13262708243110824,0.08897867510670689,0.036596231591914954,0.2775610821541219,0.3465809562582847,0.10298686804174921,0.4287400687319936,0.0687117923675901,-0.4284242181984079,-0.43450675527760213,0.11635948524962154,-0.2780939907903541,0.3469708508632341,0.1173292389760672,0.40953340136894456,0.13306077378769304,0.28394486488877935,0.21097926594549232,0.3366699061170721,0.3012361169522029,0.2827087841850864,0.225109861599279,0.21144777388112457,-0.4021639058890368,0.04486843291205612,0.14163695562973472,0.24763695291891114,0.25024696485005327,0.5991980062203917,-0.020808563563157814,0.4706563455900423,0.45624292653856713,0.351990521667964,-0.05903128291390655,0.4345260841349608,0.05804788181817053
Thal_PuM_L,0.5760725346283396,0.4166629721271065,1.0,0.3049886973661447,0.19069875399521652,0.2868649635279665,0.0033919947707017344,0.6143456236289087,0.27185618270861894,0.14790660948361833,0.24746688948106638,0.5643238798440412,-0.06537518722626282,0.43521759224411655,0.03552159587822829,0.2749734169189746,0.1653281770655956,0.022143556550217696,-0.01453700060031947,0.17540434449343428,-0.08738775089044261,-0.3231199414643161,0.3511229809112003,0.27940245204238323,-0.02979715929280379,0.14034434529038609,0.05928828476691761,-0.18383384801169467,-0.2438876043996421,-0.20050354315560684,0.03987336307271045,0.4927297686581578,0.26574105044997554,0.6546616346271915,-0.03808397666192156,0.029951308336848014,0.28539894322916587,0.2403525920700185,0.3655367480423609,-0.07071454977078799,-0.08973300430965711,0.3023034749215006,-0.30237399604891696,-0.3531158654655558,-0.05853055547135203,-0.03637228907220352,0.3308901430984896,0.29079765424276977,-0.17012152777447903,0.21793226570342109,0.5459551954866708,0.5037916071708047,-0.251645459104627,0.06411459521825491,0.11612256345377853
Cerebellum_4_5_R,0.4415528151774276,0.2362486406187787,0.3049886973661447,1.0,0.31919395530650435,0.10584094432205476,-0.11418496290220395,0.31718272688082894,0.08846592306139286,0.4652772335718686,0.6683894312880011,0.4751268834482436,0.3187934246581044,0.5030004802373396,-0.005881334981766996,0.2918107121484368,0.36436902990187686,0.19968856646850738,-0.1019719410407852,0.5502984941045937,-0.04182211618397515,0.2056836277201437,0.01739468846368361,0.1621023637484888,0.09494583254091597,0.2587440376305845,0.08964384975716508,-0.06074179683643273,0.0026358689710093345,0.05511426345218443,-0.11328726534304764,0.41512525857032895,0.2592541001115773,0.6272227647539123,0.080347850536182,0.2127481891823165,0.293951888642337,0.33928003222172826,0.5042252982804344,0.017797891750527373,0.11588756924732334,0.1720105309698921,-0.117841645350076,0.10721162063765227,0.6269400540159342,0.3095017500417493,-0.013969822339633928,0.22258810488725514,-0.051169131131537766,0.12470722777062479,0.74755374684124,0.5987795997944643,0.13888103930782217,0.19677014061948928,0.16890363078661338
SN_pc_R,0.1369353324468892,0.28469988672759655,0.19069875399521652,0.31919395530650435,1.0,0.2228771550503624,0.09934730241123552,0.32036646574204003,-0.12815205341627262,-0.12600122387643103,0.011752628156351886,0.1676924809844691,-0.186038369508385,-0.02095062937781732,-0.059998566224641475,0.0905794143320517,0.24268367372905325,0.1657259323222504,-0.06669759605225258,0.2825005117234973,-0.006475677460449019,-0.20904534674755806,-0.03959596514488459,0.19535009228622285,0.02957881459178729,0.21024516189821624,-0.12454787224000345,-0.24355753598977228,-0.21073820763443787,0.034444824194758875,-0.1293739653297503,0.29547402291955877,0.18042983623978925,0.30330610714619477,-0.17600191762600328,0.04703514999697386,0.2036017335841805,0.1712308862912503,0.22551513147274405,0.24025029095297445,0.2103774832857608,0.31447444714080053,-0.3515197293885696,-0.008392679346567693,-0.02722423348006643,-0.17118036422657126,0.16160909960961467,0.334851675984545,-0.013688526331958412,0.21709789779381433,0.3305964363567898,0.41541338993180343,-0.3748135193576326,0.15369818996531603,-0.06610139164885898
Thal_AV_R,0.29828703579706717,0.5650038529584849,0.2868649635279665,0.10584094432205476,0.2228771550503624,1.0,0.11984177818584642,0.130783052046077,-0.02306439725526462,-0.14526360555823617,0.13601745987618916,0.13367742519098605,-0.1414793877444364,0.059020724108579996,0.07015398239570733,0.04052690090166838,-0.04947238092808572,-0.05008087505122132,-0.22425621002812396,-0.003947789985299336,-0.19784134572077797,-0.19281049613741205,0.05208115148123421,0.147795558946591,-0.10634675716474234,0.4771760862401363,-0.2576734282392626,-0.49788102951239405,-0.2460607767656641,-0.03378779091882169,-0.22072796917649645,0.020078341179179005,0.035040651447776426,0.1169834181089072,0.1251579018002584,0.16035554096968543,0.03271612890711138,0.2779670347154366,0.18894117660351148,0.3457033974525468,-0.07933525416362501,0.23550238994485234,-0.22214215718878258,-0.1811201653986385,-0.04808657222120986,0.05836169665424621,0.03391369545866653,0.276387603557253,-0.17367109839027392,0.19381744752189886,0.2071675746805904,0.2038427488693112,-0.21527562204492778,0.34868685717855835,0.21326829333686434
Cerebellum_7b_R,-0.08081079533775626,0.0014471770369499394,0.0033919947707017344,-0.11418496290220395,0.09934730241123552,0.11984177818584642,1.0,0.04039796789368236,-0.03740643754467946,-0.2660943973658793,-0.15401074483918759,-0.08404624196553308,-0.23281379395525634,-0.197440130263033,-0.10572302529758218,0.022824253394446322,-0.19875041122281034,-0.09288076902518094,0.24909386141876005,0.0970064599523996,-0.22466603513206582,-0.17225373847150094,0.06695015758513659,0.24745290937981815,-0.1581989494890319,0.0157668349861022,-0.07326949332258528,0.07546296693803414,0.23612527795953636,-0.13702126350879762,0.28457444569012424,-0.07188644249186067,-0.20388575560781344,-0.07052030660249177,-0.04187334382284775,-0.0930932700129736,-0.16260339522789471,0.17677039905932074,-0.16544681643764128,0.13297390836189124,-0.27808813969555835,0.07366866894138274,0.11419967228471042,-0.049947723911988894,-0.22552331177477034,-0.33980939207474753,0.06131001811539842,0.10187791215609716,0.1250438038358103,0.06906520922521774,-0.10987623173956977,0.05693187636262775,-0.2121442613101491,-0.026361151402981467,-0.09245423306078096
Thal_LP_L,0.33890513149133045,0.3055455512313916,0.6143456236289087,0.31718272688082894,0.32036646574204003,0.130783052046077,0.04039796789368236,1.0,0.16273896424027787,-0.0064456634985620735,0.24123319380141364,0.6652129862826918,0.070999445558573,0.39951457281950997,0.16181694150890405,-0.02819111342522765,0.08613380229106776,0.19061078278088545,0.00044327975419955696,0.20638357229074675,0.10396670227944868,-0.21725727073367238,0.09808265361150562,0.3141508993817225,0.19163940991420927,0.04117182585802709,0.24363495900702453,-0.18408399297871458,-0.34187134457117374,-0.09295077964174076,-0.044201991254391136,0.6069829292084185,0.49552475372609167,0.6575415534152725,-0.23716343029655768,-0.017242732140374962,0.1341005977824882,0.22199860282066444,0.5371717936029118,-0.2054059717114474,0.26108585249288346,0.16213294125103947,-0.5676428696591259,-0.23850669273822278,0.030133279420035672,-0.012698993547692616,0.2572061730355128,0.12899818670512453,-0.2889216511561912,0.11042458265066832,0.4325751653749089,0.6193717898898571,-0.36772717317284365,0.09455805761711172,-0.21868126168646118
Thal_LGN_L,0.36611940269597804,0.05530485712258644,0.27185618270861894,0.08846592306139286,-0.12815205341627262,-0.02306439725526462,-0.03740643754467946,0.16273896424027787,1.0,0.2409809809735264,-0.08114287007947078,0.23451607704939298,-0.11156313527602368,0.015104944612950368,0.18608278333128342,0.2742366922101524,0.20262862579825008,-0.05706304426490637,0.377048251043351,0.05668580097682926,-0.06304006043700879,-0.23638555215701398,0.39326768953701735,0.32023157461346446,-0.1019473247726382,0.021831048901517085,0.2687245099888874,0.294555397240153,-0.026092212542548805,-0.2521455900879674,0.3783558570419848,0.09045574924605024,-0.025708317224713655,0.23860515948417335,-0.31149764387341145,0.12742333831129285,0.22672897076354903,0.22221317767574095,-0.06953057037764596,0.06995544749109384,-0.18733618444450306,0.08192280633570045,-0.0005865642835517872,-0.1545930036398914,-0.013665748746929473,0.0847468524962802,0.04340134672036415,0.0533930360115198,-0.09327115513966147,0.06142106842808959,0.28784955292581216,0.2764033058669853,-0.042467838008595424,0.10847041662841647,-0.19232308000713916
VTA_L,0.3580054094681321,-0.0667880788569619,0.14790660948361833,0.4652772335718686,-0.12600122387643103,-0.14526360555823617,-0.2660943973658793,-0.0064456634985620735,0.2409809809735264,1.0,0.3607163940053192,0.3101071786252262,0.2777771492435635,0.393390429932355,0.010921959991274032,0.3219242564863854,0.557401453846173,-0.0021462242839850824,0.0901057339358164,0.28038276760469566,-0.013487782769701747,0.22496607378888211,0.11290875836608624,-0.10419859145361896,0.01772519922712662,0.17231338215651995,0.2250114247774985,0.3168593444207345,0.24500443838026595,-0.14629826992576658,0.15964751074413366,0.18847629325411355,0.04225406598850162,0.35637825583023786,-0.03203137885600499,0.24765686002608953,0.180925682817647,-0.007988972436353742,0.1421634118189489,-0.17137652518455293,-0.05821819006826645,-0.07562751227200333,0.2190950331619669,0.09956364479555407,0.4562704631506007,0.2788293046985949,-0.00230855137701977,-0.1413783574293336,-0.15213261739409745,0.024172738772148213,0.4052612046995929,0.23785321941301152,0.2684766802504417,0.13604684260182554,0.0705340330091784
Cerebellum_4_5_L,0.4622756980892571,0.31695495318325273,0.24746688948106638,0.6683894312880011,0.011752628156351886,0.13601745987618916,-0.15401074483918759,0.24123319380141364,-0.08114287007947078,0.3607163940053192,1.0,0.3904229333070906,0.681022177645285,0.7070668999484769,0.04988582798767812,0.12463748796227246,0.15693486045394744,0.2764137047314932,-0.3027096240572241,0.4820446095034013,0.1578292550263958,0.5323511028150899,0.0050202087796471185,0.01563951375490291,0.27673079378264825,0.2968763841177466,0.02745432616625424,-0.2011126008737745,0.10087279386841522,0.20496510816756053,-0.33732476342692536,0.4035969842895462,0.15409856772390942,0.4869650639588696,0.4049718782061695,0.24625904773465723,0.16656799277098056,0.21711925372819701,0.44079720894183677,0.03709649689510087,0.1409137465753909,0.03705315198181289,-0.021116021164556038,0.25010958917437215,0.7072253256141559,0.5049155382215713,0.03267781824932606,0.15331023822085885,-0.12224784429408606,0.1819691158741301,0.6061734099002571,0.400146805747017,0.3977448715054321,0.26495295926356893,0.38738430663244966
Heschl_R,0.4582507755274985,0.3679717677561796,0.5643238798440412,0.4751268834482436,0.1676924809844691,0.13367742519098605,-0.08404624196553308,0.6652129862826918,0.23451607704939298,0.3101071786252262,0.3904229333070906,1.0,0.27640634564840105,0.4803147773841633,0.17556670379233155,0.13211919122814178,0.1897247717247846,0.23513996065453288,0.019799157192543528,0.4075502848016851,0.22161678269798776,-0.01595258521590263,0.2101493542853745,0.2821007172708298,0.39698224876922433,0.2344397156731226,0.3263693578469037,-0.03733983051502627,-0.26690430699725637,-0.034825568087379466,-0.04553748335754784,0.7879289009926532,0.2880050630889907,0.6933294763479128,-0.23754544106843128,0.4012693264604832,0.24207840096297,0.30481715245275204,0.4134986425082385,-0.2436052833149361,0.2329634203946646,0.006679798315268328,-0.3450795831026517,-0.11866827241778927,0.3928040937201873,0.29018083814794216,0.19006262530554532,0.12758974196545464,-0.17942264325787757,0.11564352243499432,0.6387128040889789,0.6167916515676116,0.025907065059577516,0.3791159070792046,-0.22007246211683462
