,Thal_PuA_L,SN_pr_R,SN_pc_R,Fusiform_L,Frontal_Sup_Medial_L,Supp_Motor_Area_R,Cerebellum_6_R,Frontal_Sup_2_R,ACC_sup_R,Parietal_Inf_R,ParaHippocampal_L,Raphe_D,Putamen_L,Thal_LGN_R,Cerebellum_8_R,Cerebellum_Crus1_R,Thal_PuM_R,OFCmed_L,Raphe_M,Angular_L,Occipital_Mid_L,Frontal_Sup_Medial_R,ACC_pre_L,ACC_sub_R,Frontal_Inf_Oper_R
Thal_PuA_L,1.0,0.06416497966381202,-0.03959596514488459,0.016415343042131936,0.02265919984309601,-0.001810741913375846,0.001909561594541135,0.16663236306708912,0.32665110459693153,0.26875408219641994,0.18420745627214757,0.2146756185085074,0.2895836044504858,0.05375831450495731,-0.11263834565896505,0.17692819543690944,0.21032791323618544,-0.11904720477427033,0.029478675144038968,0.19304559066847826,-0.12577703388063052,-0.011574251170196302,0.07765183564007849,-0.10126832310148694,0.2517708303648411
SN_pr_R,0.06416497966381202,1.0,-0.17118036422657126,0.41070526109403643,0.11931971079931952,0.43098281607468536,0.48301357993879374,0.3307511750477728,-0.09720055969887231,0.0014923519757656023,0.25248680694848896,0.17626861434710273,0.1783392382972484,0.2786973549071821,0.16031204004066016,0.02876764481089372,0.20530399976252076,0.0026316688900966836,0.026432215620970968,-0.08369177607266061,0.300602453952682,-0.24124579449536876,0.2586812933224065,0.33228306722133294,0.02662589529398913
SN_pc_R,-0.03959596514488459,-0.17118036422657126,1.0,-0.02095062937781732,0.05935394340263466,0.2103774832857608,-0.14459019675517276,0.18631296693185634,0.19535009228622285,-0.10846296961002098,0.3324283375250472,0.1603771442947796,0.13418618033452454,0.20309264459325066,0.03261743509873453,-0.32068947043917356,0.05322180561166043,0.3419736154889119,0.2750644521938874,-0.06669759605225258,0.04651958235303984,0.39674332054643435,0.014405403412287103,-0.27992989269630675,0.22035744501263252
Fusiform_L,0.016415343042131936,0.41070526109403643,-0.02095062937781732,1.0,0.4547342356189084,0.03092059949810955,0.405242573740446,0.30532969382520586,-0.04158764137572804,0.018947559194379314,0.6526791112277746,0.0027331931075509903,0.21303457714957166,0.1909630023003331,0.12230222236410579,0.10721660172554272,-0.024257786534051917,0.20403330524205723,0.2293561101779471,-0.2356279477298802,-0.028103330407441198,-0.03463788787236333,0.28504332949945416,0.30375181493961484,0.353729973686266
Frontal_Sup_Medial_L,0.02265919984309601,0.11931971079931952,0.05935394340263466,0.4547342356189084,1.0,-0.2340061821197642,0.12724596954840428,0.2966284936164492,0.1409785810221211,0.0057794502973917946,0.38265786561620163,-0.0998180815579019,0.2589294354669027,0.08078493664678449,0.16209595572408106,0.030806512184814873,0.1695703478833105,0.38105616320876273,0.10115464381794897,-0.03293176902883458,0.13181029173790235,0.40231661922145157,0.6095172002542945,0.14582858528517376,0.3690277540838968
Supp_Motor_Area_R,-0.001810741913375846,0.43098281607468536,0.2103774832857608,0.03092059949810955,-0.2340061821197642,1.0,-0.10796456194588026,0.5438115017967853,0.11444738387119797,-0.1055114936835846,0.17051250749772542,0.4323436306595943,-0.04610981912147375,0.12031906332450075,-0.09309316786524578,-0.4179106294732438,-0.22287688113166554,-0.19427222827736607,0.11647536096174643,-0.1401457703149418,0.1515963974721831,0.00911364148585658,-0.14544549620948932,0.02375913386764426,-0.011547282839757872
Cerebellum_6_R,0.001909561594541135,0.48301357993879374,-0.14459019675517276,0.405242573740446,0.12724596954840428,-0.10796456194588026,1.0,0.08168699095394831,-0.05863842001583089,0.11021696904970153,0.25163896419571113,0.08218578427952614,0.15037518469364222,0.10421883145603542,0.3341326005435138,0.5083391990198229,0.2593164480822229,-0.005136624622267194,0.10171453278832589,-0.06209140035545537,0.10054196746336581,-0.21143105177812715,0.19608647190752754,0.3501704646401195,-0.0749281098218674
Frontal_Sup_2_R,0.16663236306708912,0.3307511750477728,0.18631296693185634,0.30532969382520586,0.2966284936164492,0.5438115017967853,0.08168699095394831,1.0,0.3537502498914545,0.13171846473644244,0.5525431635665478,0.2821307561570899,0.335317461876585,0.2853267581480429,-0.10993723525059065,-0.17025321129527032,0.005486805838051072,0.10997792392522497,0.15085771700962122,0.05148139540740698,0.1305867930221703,0.4879015145255797,0.2676789513214263,-0.017712606785690074,0.4422744088556411
ACC_sup_R,0.32665110459693153,-0.09720055969887231,0.19535009228622285,-0.04158764137572804,0.1409785810221211,0.11444738387119797,-0.05863842001583089,0.3537502498914545,1.0,0.18639462653840186,0.32228978712623135,0.37154102939593603,0.1473595428412461,0.03959457367807393,-0.11273850099160192,0.005061947658375287,-0.036979340712137036,0.07237466926034036,0.15007708633715613,0.12136421791685541,-0.057498855701153866,0.26448983665434045,0.21983097072058458,-0.23390278665424827,0.1331958279665679
Parietal_Inf_R,0.26875408219641994,0.0014923519757656023,-0.10846296961002098,0.018947559194379314,0.0057794502973917946,-0.1055114936835846,0.11021696904970153,0.13171846473644244,0.18639462653840186,1.0,-0.03299546967010355,0.2714051133990176,0.13155663446872223,0.03660313919887728,-0.09219359779090082,0.40658099698237726,0.15556501990912094,-0.2251466700114092,0.09132293311455923,0.44206504922784773,0.004073559576146232,0.012977817528059883,-0.08675987176816975,0.1218375260144198,0.1770661350868897
