,OFCant_L,Amygdala_R,Vermis_9,Raphe_M,Vermis_3,Pallidum_L,Thal_IL_L,Thal_LGN_L,OFCpost_R,Heschl_R,Occipital_Mid_L,Hippocampus_R,Frontal_Inf_Oper_L,Thal_AV_L,Insula_R,Thal_MDl_R,Cerebellum_4_5_R,Olfactory_R,Temporal_Inf_L,Thal_PuA_R,Frontal_Med_Orb_R,Lingual_L,Olfactory_L,Cerebellum_8_R,ACC_pre_L,OFClat_L,Parietal_Sup_L,Thal_LP_L,Cerebellum_Crus2_L,Fusiform_L,Rectus_L,Supp_Motor_Area_R,Thal_IL_R,Calcarine_L,Precentral_L,Postcentral_R,LC_L,Occipital_Inf_R,OFCmed_R,Postcentral_L,Frontal_Inf_Orb_2_R,Vermis_1_2,Cerebellum_6_L,SupraMarginal_L,Thal_PuI_R,OFCant_R,Cerebellum_7b_L,SN_pr_R,Caudate_L,SN_pc_L,Frontal_Inf_Tri_L,Cerebellum_9_R,ParaHippocampal_R,ACC_sub_L,Cerebellum_10_R,Vermis_10,Cuneus_L,Hippocampus_L,Cerebellum_9_L,Temporal_Pole_Sup_R,Pallidum_R,Cingulate_Post_L,Thal_PuA_L,Precuneus_L,ACC_sub_R
OFCant_L,1.0,0.03404387634390634,0.271211447784065,0.23092115821222112,0.13060587118541708,0.028300165851229193,0.04098776034553094,0.13518028662913428,-0.2327902794263724,-0.10765953968297375,-0.054124287204353166,0.5382028746670964,-0.10206730410062294,-0.019472845914393067,0.2364498907742923,-0.023446799908197043,0.38035960487590165,0.38952610193878656,0.1721327855109967,0.14906244498589258,0.4019169242318131,0.06310326036412156,0.8342732426743082,-0.03332789124883203,0.10072640318591854,0.30137364458496335,-0.07943172380313199,-0.11313125617964458,-0.18075966092444135,0.0966450626068132,0.4247649727979177,-0.3059630315575933,-0.018986027707566577,-0.14734665736630062,-0.19410051526764988,-0.3082157458741199,-0.07755223667366024,0.11183675999561017,0.36680498765180425,0.10776670363380794,0.22019430425389178,0.13060399742091156,0.04700385432024487,-0.2639594915188013,-0.15393443296030704,0.8884558241808951,-0.07726515329427142,-0.15371474824643103,0.008546942030011764,0.1600905265798925,-0.08497886182081645,0.001219505928808999,0.21573161291150528,-0.06587955217582399,-0.2729504353991994,0.20573159163142987,-0.007474067785891113,0.18639797375783473,0.013066174039889732,0.18778219385532127,0.06257230638043818,-0.2524909321146163,-0.04550754259315394,-0.14631280961913595,0.2103848046228014
Amygdala_R,0.03404387634390634,1.0,-0.41432666704549576,0.4331061979687312,0.5876765527556161,0.26446277959056363,0.3506886661441454,0.2764033058669853,0.2847479502195496,0.6167916515676116,0.11855296323109378,0.5608010806457014,0.27888785511382913,-0.20820139410198987,0.5282889814580327,0.24959731871920968,0.5987795997944643,0.5100343332758156,0.47988613477631026,0.16481038387998811,0.1846934027872977,0.2354112832685104,0.31390438032525186,-0.1493825317929592,0.3137712720900771,-0.11588830484665305,0.07547404928618859,0.6193717898898571,0.0009012622223907996,0.4119123902608656,0.28389843458084835,0.16917545361113262,0.07355384458633746,0.021388064140498163,0.28885664582343107,-0.030549766857192236,-0.08546357535122111,-0.1433229916237685,0.2119383447491715,-0.008486566240992638,0.28332052860091106,0.534915496512905,-0.1411855713205346,0.08691146433108039,0.24459432674015805,0.130276301247227,-0.1326616916161837,0.15451630058036198,0.44061948041901444,0.4150469713510757,0.1872890627085362,0.12985360866030005,0.7118566362840699,0.35502217301812045,-0.1436738843871105,0.23194519234358646,0.03313789483963861,0.7280365029224707,0.021791096585714983,0.5050869453819085,0.1339451370729701,0.19344394946896007,0.22067405137502155,0.08414990058894832,-0.15331469022299127
Vermis_9,0.271211447784065,-0.41432666704549576,1.0,-0.07118647095131017,-0.22745952370036154,-0.1532284739939073,0.0014007220222779153,-0.0005865642835517872,-0.12064401092121929,-0.3450795831026517,-0.09350890057999306,-0.026841842941006975,0.007914834495680739,0.3245323493203257,-0.07998112474173899,-0.0889825672806567,-0.117841645350076,-0.373001290000079,-0.5233508015839661,0.028848318277926673,-0.18376022960687907,0.01864763731594049,-0.02514448754018418,0.1217218129696485,-0.050433186528635085,0.24985259166012677,-0.06959722357823209,-0.5676428696591259,-0.00430467929876118,-0.043852671175281716,-0.29365031925377727,-0.4749757894916774,-0.06122143531889348,0.21447759407895672,-0.1887879644305165,-0.1919663119361245,0.06393568012617813,0.12749702521560533,-0.2686714707473281,0.2661149659317284,-0.17138501994487962,-0.30128502141660557,0.42886754732117915,-0.15883934382300838,-0.20228020669836624,0.07702902299044012,0.16661627423468392,0.0035153216032092626,-0.3211863184081202,-0.1610813824819122,-0.07002689397783626,-0.12669447042472487,-0.24435142248351452,-0.34288521647311193,0.3229732860699695,-0.013206018728984172,-0.12659493846643577,-0.36426312110378245,0.2593507920124742,-0.12007117213616773,0.1301137233099253,-0.21861530054180023,-0.04023160344133447,0.05785012300933603,0.28822712592023014
Raphe_M,0.23092115821222112,0.4331061979687312,-0.07118647095131017,1.0,0.35913440913065303,0.07426425987871729,0.24445720346775088,0.11718008860160949,0.0424684256114395,0.3783205438123749,0.03760626511573963,0.5049440441751272,-0.010177051686158518,0.07604782736861891,0.12674263762150742,-0.04940299318682068,0.5338492300960835,0.30270950184375417,0.19709799121751026,-0.10275689308125545,-0.003927499592281632,0.1510750689424438,0.3623945784108475,-0.1174913018394143,-0.03348071423257152,-0.039691219507416074,0.11335319778827481,0.2974566742490576,0.0341478646060008,0.2293561101779471,0.16333919624818607,0.11647536096174643,-0.14436117399911658,0.11838779336674168,0.04569171311364052,0.13269301324730906,-0.01566621962771522,-0.19398843636381127,-0.0089270506576364,0.07602027799085023,0.189058044069825,0.48013607436023886,-0.06984871081849943,0.026531233524575714,0.1616351118875125,0.24900482864092172,-0.1043937824254974,0.026432215620970968,0.14453267251231558,0.2543516476567795,-0.07226682839509666,0.09403023872600813,0.4764837985650448,0.14047845080186808,-0.3171519510159961,0.16800244385468008,-0.0841331370745783,0.42829731821207534,0.043364980817419976,0.21476835273791733,0.04166386610795519,0.09357941355121281,0.029478675144038968,0.06459810410836261,-0.012444255949333436
Vermis_3,0.13060587118541708,0.5876765527556161,-0.22745952370036154,0.35913440913065303,1.0,0.19046920280339458,0.01196731599595411,0.06706673621784134,0.1905446664124564,0.5585126375668462,0.034427861532982586,0.6055127505513659,0.1511011067497496,-0.18994288151075472,0.5287297813406161,0.04595445723760443,0.7148485393559112,0.26150700555055356,0.5472927416715395,0.045284774388246365,0.19104911009741607,0.3797537169945534,0.2882101688060577,0.017018196675376754,0.3185284455458709,0.1303809537169978,0.07261687040911315,0.32871621663102446,-0.024060755215266523,0.5139464545969216,0.038074816669565345,0.15824615743986556,-0.06869585331010128,0.06674580546477703,0.11866076873302904,-0.021207014487054966,0.11719740408463161,-0.013338683951549466,0.09969245458433071,-0.1664455953828396,0.3827191780319995,0.7862457459001432,0.07945534043074105,0.02727244748114246,0.2636951868632645,0.17607310150298133,-0.11241143618188533,0.3363647407415126,0.2656478562847441,0.5286705942305517,0.2505218668336899,0.2128444698813576,0.7177708793264862,0.09580953073862111,-0.12196677276688087,0.4421444244535534,0.21362861729661384,0.5540432739199646,-0.09734950573825935,0.3402331898428774,0.09193625621927487,0.3115686034150136,0.0026722157582669045,0.26434771281168695,0.14024286244833867
Pallidum_L,0.028300165851229193,0.26446277959056363,-0.1532284739939073,0.07426425987871729,0.19046920280339458,1.0,0.046769150313820694,0.0533930360115198,0.25967623596953815,0.12758974196545464,0.07299780655101895,0.2491976886078422,0.01688546625091601,-0.04640116803949951,0.45344937645201855,0.3306610884823534,0.22258810488725514,0.4746878108648474,0.12993343310029828,0.09753592610809242,0.3146991978250929,-0.06662416012185211,0.22113619522444813,0.10318264054590887,0.373996283513882,0.27986525179769045,-0.02678683483385405,0.12899818670512453,-0.06405193626066323,0.06698015353332118,0.3891989755969348,0.09651538389641709,0.2532456985240647,-0.11900699392078781,-0.02923776076386403,-0.04093881828085544,0.0593531730636291,0.0812503160015846,0.4079788461696052,-0.19440960369661567,0.3094940628282756,0.20581562412757348,-0.06586522574729518,0.0410273627460758,0.14528906970303238,0.17070071324156796,0.19174448418945236,0.034584358854805305,0.4640844973381183,0.08527278003560705,0.2920854620154006,0.22739661769434738,0.41032267718998366,0.33462989434662094,-0.25043811308499736,0.18046423311802676,0.13044840479069877,0.2993203886502026,0.20276257101653522,0.3672630973479763,0.3895030557851038,-0.12515023836414604,0.11756721867205357,-0.01945254494577294,-0.03693524010685343
Thal_IL_L,0.04098776034553094,0.3506886661441454,0.0014007220222779153,0.24445720346775088,0.01196731599595411,0.046769150313820694,1.0,0.453064560143653,0.18839789938810872,0.2411531870935373,0.018110426509957388,0.12319204496887297,0.35087368856932005,0.15394336784888327,0.18125837961804,0.18816566611983956,0.10387181922854519,0.19696052169986653,-0.11284053748564252,0.23396788190081433,-0.04688050607577531,-0.125983104437435,0.09040644717327796,-0.18909371967529523,0.14700953478581427,-0.29667090293045073,-0.004336620071816627,0.13492903995341268,0.14899825874946776,-0.031091534432675403,0.1256979095565668,-0.2631389446373372,0.18593812561453255,0.1303839135855051,0.2608343854537357,-0.1854430614331972,-0.23179614525421452,-0.32068585854063797,-0.058906336219334575,0.6079354155560848,-0.009831873458949234,-0.06985164538172171,-0.1435551267328981,0.048982962443884136,0.13551002732284695,0.015073437850200709,-0.02203675322121339,-0.096323794954621,0.30145757956702035,0.1084759719926583,-0.03350571032169999,-0.306778289166503,0.25077670078751296,0.11417189118373963,0.1447748888033993,-0.21504924663860708,-0.34684541533858454,0.17233141832210758,0.0817983739105161,0.1563443782608495,0.1696307931148822,-0.2449960316583949,0.38461026402045684,-0.24545229663790044,-0.20241645199237673
Thal_LGN_L,0.13518028662913428,0.2764033058669853,-0.0005865642835517872,0.11718008860160949,0.06706673621784134,0.0533930360115198,0.453064560143653,1.0,0.1301694208360455,0.23451607704939298,0.08149605702461597,0.12971286496529813,0.3235709478962205,0.0811037543188066,0.36611940269597804,0.16239246749684633,0.08846592306139286,0.22670294717393008,-0.06953057037764596,0.19057218238270454,0.08192280633570045,-0.03460442181328157,0.15200126565970268,-0.22308019870887794,0.1655968732496619,-0.15350185240468928,0.10249540682217294,0.16273896424027787,0.13750739668055767,0.015104944612950368,0.05279447303418171,-0.18733618444450306,0.06995544749109384,0.10916538815484746,0.2687245099888874,-0.06304006043700879,-0.23113244054314086,-0.3122094379532541,-0.09541824762261998,0.4074503240365738,0.21120537724846775,-0.13174697193170132,-0.17420259438791316,0.18608278333128342,0.10847041662841647,0.08298410197724948,-0.09327115513966147,0.0847468524962802,0.33465436858087416,0.16741903824263699,0.04340134672036415,-0.2389410760924809,0.28784955292581216,0.1117486896835507,0.17869749093746778,-0.18881665344073523,-0.11444282178196029,0.23860515948417335,-0.1954528147855994,0.1569575355924798,0.0752527453230729,-0.15556267398351506,0.39326768953701735,-0.11156313527602368,-0.17936638812964434
OFCpost_R,-0.2327902794263724,0.2847479502195496,-0.12064401092121929,0.0424684256114395,0.1905446664124564,0.25967623596953815,0.18839789938810872,0.1301694208360455,1.0,0.15259321016244864,0.09174261133079367,-0.1420328546877475,0.00722414913265638,0.16860859447500498,0.13738566914790354,0.23596552952130162,0.19303073401316964,0.15620251286036743,0.01769321875784251,0.07633027342724652,-0.2561547953573064,0.16892790398404972,-0.16467607337271464,0.12440683755380788,0.350299113236331,-0.054012605885416815,-0.02728358781907025,-0.03876180487610321,0.21941529955794795,0.25087389790457404,0.10424112963673401,0.1733706598102831,0.2539126918130115,0.21259333055572727,0.1347444409681048,0.26632365089703663,0.0739958796448713,-0.0031741714375409847,0.012161829082284848,-0.019552800801057774,-0.11211991584158194,-0.013699051473338908,0.18955764524323535,0.06802636259392765,0.36887860035363607,-0.20172985497737378,0.342820027509726,0.5271994327944988,0.3447212574116281,-0.12418734571377195,-0.1493526645381782,0.03430959117219617,0.2814605082988255,0.22932091503566387,0.2609015380070389,0.10092433900594086,0.029162811405334152,0.16124837661313837,0.04446655256650135,0.01011701559121933,0.4085375502161004,0.17452269161458311,0.14434751641065066,0.18823513684473908,0.12604667046052853
Heschl_R,-0.10765953968297375,0.6167916515676116,-0.3450795831026517,0.3783205438123749,0.5585126375668462,0.12758974196545464,0.2411531870935373,0.23451607704939298,0.15259321016244864,1.0,0.07406175607685339,0.3775901528170077,0.27637838852379903,-0.06494584977268442,0.4582507755274985,-0.05957630986011692,0.4751268834482436,0.25961745254780355,0.4134986425082385,-0.21167497332970753,0.006679798315268328,0.359372765149887,0.12733287594625547,0.04139527558942038,0.20970719925732942,-0.19428687458750418,-0.016999026116014844,0.6652129862826918,0.12304121674113463,0.4803147773841633,0.01867302672622113,0.2329634203946646,-0.2436052833149361,0.1765042019003881,0.3263693578469037,0.22161678269798776,0.08537505579419893,-0.1322655060715567,-0.11260066501816628,0.08971653681288728,0.2934121953778758,0.45509828469248487,-0.07830586781669839,0.17556670379233155,0.3791159070792046,-0.06876872440004907,-0.17942264325787757,0.29018083814794216,0.4134841311047479,0.38044415815788296,0.19006262530554532,0.0015732652968912155,0.6387128040889789,0.07680803212231253,-0.07759353765731099,0.12140272517885552,0.1012480233076678,0.6933294763479128,-0.1827603615035224,0.3563777695563776,0.08955243830659598,0.3355295542662742,0.2101493542853745,0.27640634564840105,-0.14105696563875472
