,Thal_PuL_R,Thal_LGN_R,Rolandic_Oper_L,Angular_L,Frontal_Inf_Oper_R,N_Acc_R,Amygdala_L,Amygdala_R,ACC_pre_R,Calcarine_R,Frontal_Med_Orb_L,Vermis_7,Cerebellum_6_L,Thal_VPL_L,Precentral_L,Frontal_Inf_Oper_L,Thal_VL_L,Frontal_Inf_Tri_R,Angular_R,OFCant_L,Vermis_10,Parietal_Sup_L,Olfactory_L,Cerebellum_Crus1_R,Cerebellum_9_R,Cingulate_Post_R,Cerebellum_9_L,Pallidum_R,Temporal_Pole_Mid_L,Frontal_Mid_2_R,OFCant_R,ParaHippocampal_L,Temporal_Sup_L,SN_pc_R,Frontal_Sup_2_R
Thal_PuL_R,1.0,0.4347769215373055,0.1672173976844231,0.1352649464935149,0.08622862712533257,0.12847489647398133,-0.09084801427675414,0.07651060245724063,-0.034957938323170595,0.16930749658047684,0.05566790840664652,0.30720876708648587,0.055886510345995156,0.13488881842549216,0.14275315606519903,0.12027123099443719,0.2165475064849737,0.17470919950418662,0.05806720416466338,-0.10384590414022833,-0.1570503409680034,-0.03450136892820619,-0.08036643845700112,0.16983507947378185,-0.1935912999645131,0.3508418697493929,-0.2923033952008497,-0.048547193873214205,-0.31496673522417257,0.17708600138656622,-0.1647363057876675,-0.001944435452903881,0.06553902019213405,0.03447665837052337,0.24635508872701897
Thal_LGN_R,0.4347769215373055,1.0,0.16077532336365555,0.12134906128535944,0.0339065727505214,0.13301061887096502,0.3343578282569664,0.4609476731109979,0.08147204095422851,-0.06877933525490457,0.14416072113067618,0.04485187213577235,-0.0654968604201453,0.022770368430477934,0.09597867832614478,0.03399174076256583,0.025619036786559895,0.2502401237204219,-0.03751964351816258,0.05662677697465869,0.12831339012979326,0.0512097599721233,0.23961152190962978,-0.11514392401040734,-0.04554784478462123,0.533823511513208,-0.14496054358473326,-0.00021120926942495445,0.017455979100660535,0.35392756681312976,0.08873342750606049,0.4210130408893958,0.011466754281423786,0.20309264459325066,0.2853267581480429
Rolandic_Oper_L,0.1672173976844231,0.16077532336365555,1.0,-0.04523384673928784,0.2592285834243827,-0.07051678118765772,0.260297492008327,0.22211540075927158,0.03547295963903734,0.4147227885117675,-0.18542053533353686,0.15649005273094585,0.11318769376279057,-0.2555959247757882,0.7508822388798413,0.5484659074820809,0.18960364756933867,0.4038936954024115,0.18650723524397556,-0.36408611548520003,-0.17233245151967752,0.11167257928360227,-0.20050882626216476,-0.054379083699142246,-0.07649381514751259,0.26961666463852596,-0.43079906638247173,0.1142212009488317,-0.16282476988360245,0.46782548218017156,-0.36103441105322925,0.2947317275358854,0.2976179459158441,-0.1667096048168095,0.4558700494242263
Angular_L,0.1352649464935149,0.12134906128535944,-0.04523384673928784,1.0,0.07544254545067129,0.09383537468584868,-0.2523842475936091,0.13537799553179006,0.23728159611953667,-0.2228105744271194,0.16987685615337658,0.42703832277089515,-0.26061865123195777,-0.1895827134228018,0.20031414121121868,0.18094237250296527,-0.005117982105188058,-0.00883675770618491,-0.07043063154243538,0.023098173652011098,-0.36600143979213057,-0.028701080938168033,-0.07354368167085572,0.23883435695829316,-0.36655174161926934,-0.15952179466965896,-0.09028295516688715,-0.10827871471574564,-0.0886831120415719,-0.058248475815116496,-0.017852508997260524,-0.00853555993974889,-0.4042651306755714,-0.06669759605225258,0.05148139540740698
Frontal_Inf_Oper_R,0.08622862712533257,0.0339065727505214,0.2592285834243827,0.07544254545067129,1.0,0.19131922658114298,0.23852949910356935,0.44241981746955333,0.11495077905431579,-0.19060301555051667,0.18721157787453999,0.10781704193997164,-0.09132944006725732,0.12258231585070768,0.328974229553651,0.6087308288646462,0.3595724573660765,0.7819425604465055,-0.06794560416506071,-0.023806054415749876,-0.10480161937644507,-0.0176407215921571,0.056982793029638525,0.07586478828181924,-0.03832006075931896,-0.04078568590774538,-0.05280727057321317,0.12212067030708569,0.04344546058164753,0.519376273175875,-0.007496907434118382,0.4074321666602553,-0.017048258614824577,0.22035744501263252,0.4422744088556411
N_Acc_R,0.12847489647398133,0.13301061887096502,-0.07051678118765772,0.09383537468584868,0.19131922658114298,1.0,0.2363067544908816,0.2801023192301312,0.30839007711889255,0.01974578345288346,0.048518052021003,0.0021465462016737606,0.028351260449105724,0.08601724931639004,0.02220265767516216,-0.10784989838392924,0.2821114938493084,0.08707234898898769,-0.05709060413381854,0.08577521385328239,0.15291933411971506,-0.09038788966421488,0.1941683632351938,-0.07757581926093081,0.20351166609167598,0.27466698916534477,0.12915901325981594,0.3443933339133678,0.037669275428384656,0.3087299003791534,0.10457245691852753,0.37092731163043974,-0.09998100353422786,0.1712308862912503,0.35098728645446275
Amygdala_L,-0.09084801427675414,0.3343578282569664,0.260297492008327,-0.2523842475936091,0.23852949910356935,0.2363067544908816,1.0,0.5622949534036504,0.0841617700921976,-0.012702176714752583,0.1363722535307361,-0.29114704189784096,-0.02776137482642536,0.10137519463367232,0.08699649837715644,0.01534262230570036,0.17804741269994911,0.4506021429272729,0.0674476497142947,0.21715917175092314,0.42519611540628055,0.04734515708802244,0.4844916518332661,-0.4294513040776122,0.29827713263415545,0.35084395453317113,-0.09760198884203221,0.19706223611555465,0.4253511061663589,0.5257006868678348,0.38432315152249397,0.7653982280625146,0.25169271540515537,0.3079189437263667,0.44896606017979335
Amygdala_R,0.07651060245724063,0.4609476731109979,0.22211540075927158,0.13537799553179006,0.44241981746955333,0.2801023192301312,0.5622949534036504,1.0,0.2311047963928992,-0.14948922051693903,0.1494121409972367,0.072472486419729,-0.1411855713205346,-0.012974973899206599,0.28885664582343107,0.27888785511382913,0.20966109095950639,0.5176565498617556,-0.005895495320272603,0.03404387634390634,0.23194519234358646,0.07547404928618859,0.31390438032525186,-0.017276185200813254,0.12985360866030005,0.25969641140493066,0.021791096585714983,0.1339451370729701,0.18424888224961006,0.5451003469631087,0.130276301247227,0.8111690027127008,-0.1139944450555902,0.41541338993180343,0.5014763295386135
ACC_pre_R,-0.034957938323170595,0.08147204095422851,0.03547295963903734,0.23728159611953667,0.11495077905431579,0.30839007711889255,0.0841617700921976,0.2311047963928992,1.0,-0.14062590608659498,0.33446233238957274,0.2539568286708995,-0.13515369801647067,0.028863147199028712,0.18012883624203607,0.1769829040339066,0.21282836432389823,0.11065583021001225,0.0005705074377865179,-0.05175415996453555,-0.043053011060041425,-0.060571459415321445,0.12636941529968737,-0.0117400578874515,-0.01090739840172458,-0.053804994113766186,0.23852039426405028,0.15001008134577312,0.22235967722127314,0.18788926513613502,0.07133362553270077,0.23306443100718047,0.03287231902301112,0.2243054176233269,0.29701588837859055
Calcarine_R,0.16930749658047684,-0.06877933525490457,0.4147227885117675,-0.2228105744271194,-0.19060301555051667,0.01974578345288346,-0.012702176714752583,-0.14948922051693903,-0.14062590608659498,1.0,-0.41048063669731316,0.10200862583864782,0.6763415919846696,0.02969180633931252,0.21771109738308245,-0.09647300272935508,0.20463967352894136,-0.11229361246059383,0.25442586851442944,-0.1335931686550259,0.15900396066677533,0.036301172705609494,-0.14476926362567896,0.25033935006664654,0.03914276584363512,0.09083700387955071,-0.035498023798569034,0.37895375273359944,-0.3625168416200704,0.026832110516037486,-0.23931333785016815,-0.08572912486937906,0.4278940034221562,-0.20904534674755806,0.09876708581512471
