,Thal_PuA_R,ACC_sub_L,Parietal_Sup_R,Cuneus_L,Temporal_Mid_R,Red_N_R,Fusiform_R,VTA_L,Postcentral_R,Putamen_R,Temporal_Pole_Mid_L,Occipital_Inf_R,Cerebellum_9_R,Rectus_R,Fusiform_L,Frontal_Sup_2_L,Parietal_Inf_L,Hippocampus_L,Temporal_Pole_Sup_R,SN_pr_R,Pallidum_L,Occipital_Inf_L,Cerebellum_9_L,Occipital_Sup_L,Cerebellum_10_L,Cerebellum_4_5_R,ParaHippocampal_R,Thal_PuL_L,Precentral_L,Precuneus_R,Cerebellum_Crus1_L,Lingual_R,Thal_MDl_R,Vermis_4_5,Vermis_6,N_Acc_R,ACC_pre_L,Thal_MDl_L,N_Acc_L,Occipital_Mid_L,Cuneus_R,Thal_AV_L,OFCpost_L,Vermis_10,Thal_VPL_L,Temporal_Pole_Sup_L,Heschl_L,Pallidum_R,SN_pc_R,Temporal_Sup_L,Thal_VA_R,Thal_PuM_L,Thal_VL_L,Frontal_Inf_Orb_2_L,Supp_Motor_Area_L,Cerebellum_8_L,Cerebellum_7b_L,Thal_PuI_R,Frontal_Inf_Tri_R,Cerebellum_Crus1_R,Calcarine_L,VTA_R,Thal_MGN_R,Thal_MDm_L,Frontal_Inf_Oper_L,Putamen_L,Thal_LGN_L,Cingulate_Mid_R,Frontal_Sup_Medial_L,SN_pr_L
Thal_PuA_R,1.0,0.0036501530394704653,-0.11599766870586313,-0.04589388700352834,0.12213193440934803,0.40388011429726095,0.08370887823923452,0.029121869112451255,-0.3953032694874287,0.3030681718854959,-0.07428259417568558,-0.029229931359363404,-0.14207522555163338,0.20756781089754575,-0.09559131679080862,0.12416124611289307,0.016276287049263174,-0.016191846187838383,0.28234235310540184,0.056493450098750175,0.09753592610809242,-0.06400316007472409,0.21989138366128758,0.0962807382803806,0.18707994941390313,0.09418743428861426,0.09190975087001907,0.23705998913431273,-0.18710509901528752,-0.16018122913549362,0.011766669826849848,-0.008265995542753536,0.6221222074774216,-0.027225081831669388,0.13202878581433639,0.0009148097807331917,0.1644407767134901,0.04723117487160823,0.13342201402678913,0.2092150290870509,0.21594359774291294,-0.049811966122760516,0.24907185938298637,0.12646421162819232,0.2810712591578495,0.18697027166363758,0.11480893088531696,0.003919185685194126,0.182453138757797,0.023796805137362327,0.32251598250826274,0.013090507840753635,0.011811155645098976,0.14751875988578184,-0.3106657685075348,-0.107037362720627,-0.0007048071540082949,0.1532063740252972,0.0027673516823125805,0.11360225203582562,-0.1131137346786056,0.1516330578377178,0.4741346486299789,0.10894953949732947,-0.018741658426469618,0.26349007171878197,0.19057218238270454,-0.23099391862476196,0.07784923012686451,0.016587572475227425
ACC_sub_L,0.0036501530394704653,1.0,0.13758956909811654,0.15522569146039078,-0.014601822405646283,0.04510800661348858,0.25786963033932836,-0.252467958268857,-0.11595015291703746,-0.02838375519262174,0.49253757682111016,-0.06517837403098872,0.2262193260346034,0.5628939960095096,0.0141275438969226,0.2229445708168409,-0.2344942476366809,0.23571763188218098,0.2907642083397235,-0.14601448596144567,0.33462989434662094,0.08250808822930339,0.2146596174719324,-0.08332786463743665,-0.31133975842919775,0.13048778763369306,0.2824809435500025,0.03372485307228721,-0.08243137833079246,-0.32739063677472546,0.23917163794206447,-0.35198923542733246,0.19566384804972622,-0.3191787468377765,-0.33593731963604456,0.2609498224342084,0.2339683361640011,-0.14458216238699753,0.08993592311218183,0.08337605689288521,-0.04231778813746273,-0.39257036066045903,0.029659300498416082,0.16096210950537626,0.10426031684343859,0.007567534729861426,-0.10858777225147498,0.027657880345622325,0.31641317335919217,-0.1544160754327326,0.3784615529192317,0.3047697266723273,0.037114380773488234,0.09805103881061686,-0.07732735302071071,-0.4036920096006059,0.12193987316606505,-0.07538248974513763,0.09677158077799096,-0.31980546274838706,-0.39680662559345126,-0.21446597978395648,0.002301137479896732,0.28209410286656766,-0.03775180299671266,-0.05593779979549885,0.1117486896835507,0.07094007322553636,0.23135629102455252,-0.07646144273740645
Parietal_Sup_R,-0.11599766870586313,0.13758956909811654,1.0,0.3056570480298037,0.08989230352444513,-0.09090570625191255,0.06816387234515253,-0.18073706938434578,0.06580117218600272,-0.1264146243032717,0.2175830234602433,-0.07366191698492669,0.44075947196783044,0.053308244681774725,0.17305329949271234,0.045014808784055935,-0.4668082797057477,0.08403201631055257,0.08786404140949328,0.11125097657800605,0.16445371322587377,-0.1512826780926169,0.1623893439593334,-0.345669639634373,0.062361441233938934,0.09244496947601505,0.012765972471221744,0.017709977489762205,-0.24924865010218034,0.3672469268001005,0.26030904043159464,0.2223054222987058,0.08566474883072159,0.07219723346132878,-0.1754072254144829,0.027550327390501245,0.057137655206965225,0.07945230546218315,0.054956654817608995,-0.03046600400989158,-0.36134151191093616,-0.11135847568016922,-0.177446800857756,0.41412320976265865,0.04128717564951055,0.2974535431822635,0.026884763638474106,0.16990468324681482,-0.010083603735619312,0.18426567416557366,-0.015307312130497071,-0.010405086474027091,-0.01910235468046485,0.060458524269345365,-0.06668426482506978,-0.045727645068260506,-0.08596981469644165,0.03656023546459411,-0.12028125245642968,-0.22563941310097663,0.007992256568917335,-0.07715453405703661,0.06753361747656822,0.3202992449082394,-0.2609733146253056,-0.1217564752816196,-0.285372447746023,0.1608262082927421,0.11220836774471361,-0.19357238684469777
Cuneus_L,-0.04589388700352834,0.15522569146039078,0.3056570480298037,1.0,0.07860740407254192,-0.13825822321351391,0.06922551643939542,-0.06542175628315569,-0.08170174272376957,-0.10645985031773564,0.2121968174439232,0.19485874006373285,0.2103463777046514,0.11156754796420165,0.25741132464233224,0.12574760298736204,-0.4409074664852078,0.2597074781583834,0.14232318973233626,0.2199201419303236,0.13044840479069877,-0.055154777654028916,0.07694363363227238,-0.14249654530372483,-0.1610463248884095,0.1877839157054547,0.11337065542561017,0.18072751704483989,-0.1173826751536691,0.17118807463546062,0.3018299677832786,0.12715473794977136,-0.05176010364858542,0.10752521057960066,-0.2340454446909468,0.1450539961625837,0.2091519698291539,-0.11284354599658442,0.1317752454931601,0.1995932907410496,-0.26889701349147954,-0.2997672650371403,-0.08009166654402872,0.41092730500659014,0.05909534857929719,0.3509254688807222,0.07430244948469387,0.044461135383170314,0.05549462765807811,0.24234195637551217,0.05285399531996032,0.18715103950698211,-0.030365473416350992,0.030918333834745872,-0.007994227400390987,0.12006214187712126,-0.027897651524339158,-0.16605739303367079,0.07045276613613065,-0.36347466708740594,-0.15238273483163287,-0.04867748396543705,0.029728470354797292,0.2723417480927879,-0.14353661816856053,-0.09714461799853388,-0.11444282178196029,0.096360706242037,0.25957693325337616,-0.005386412174601853
Temporal_Mid_R,0.12213193440934803,-0.014601822405646283,0.08989230352444513,0.07860740407254192,1.0,0.18761106093215038,0.5444866362238998,0.28038276760469566,0.16251246306379333,0.14447442342551134,-0.08820997430141933,0.07440408278937517,-0.07598691295334915,0.0356830451489728,0.4385091242132116,0.09988721310818831,-0.022917274100054015,0.521380614819347,0.6544328418022357,0.2939744262723068,0.10976279050503011,-0.024256433068505553,0.1679540226317656,0.07612669381867133,0.2480443392204834,0.5502984941045937,0.4837740533660412,0.214229913886047,-0.07632152640908796,0.316156901284483,0.06196089619417018,0.46479997737495893,0.11214258168567634,0.504102280551277,0.19077365098971524,0.12596415985658568,-0.016352405734340297,0.015604949874415132,0.16415716938347008,0.032993707015989235,-0.0024509677910286376,0.14341908146870325,0.3738632850269378,0.4462057797383057,0.16046854029346003,0.053280486489362365,0.1401554967454017,0.08321876264477496,0.2825005117234973,0.06336236890046915,0.09431494927438955,0.17540434449343428,0.20884296044547515,0.09572280100406376,-0.1241459242042567,0.21319599780965262,-0.07297820280776014,0.28393891561043294,0.37226843482675775,0.25434449778704854,0.2422951243926405,0.2507907132314429,0.29870961131396506,0.13262708243110824,-0.11958441439010901,0.28345334722605825,0.05668580097682926,0.14028916873408648,0.1284503388037704,0.229076807632723
Red_N_R,0.40388011429726095,0.04510800661348858,-0.09090570625191255,-0.13825822321351391,0.18761106093215038,1.0,0.2330462300660938,0.13592590255212672,-0.3699340676127014,0.3240294375907167,0.05053809666720869,-0.21888762098401307,-0.016468139967111294,0.1487775099517321,-0.029788177023407053,0.4598152779753961,0.10860221462715208,0.3214309433466085,0.3879603599374649,-0.22540102273303828,0.15422306278046635,0.00985210073083102,0.14701747356421715,0.1160587396185974,0.03161259050259227,0.28003143870143105,0.3170566991934702,-0.08743827824078297,0.1497338567993645,-0.184780079481635,-0.11613799337659272,0.017286214511627377,0.3091276156228524,0.029632190918624256,0.017741908301804648,-0.06142140540461595,0.10935482965653937,0.11665884906932322,0.2870073818404059,0.032330964861570215,0.10138631687812885,-0.006792455162252025,0.255392611286486,0.11310060468931737,0.10504703188656844,-0.010603839695870665,-0.22648927762549187,0.08361177160891493,0.3532415516891199,0.04980313830204078,0.007222880232694372,0.2787149033385868,0.16766059058204874,0.4238037354838296,-0.09399078866437402,-0.3225068371503042,-0.18047231637628486,-0.015528006124471909,0.25331865168644196,0.17330806132552545,0.05534703274274632,0.4191631019478005,0.11914672043279942,0.19104952544740036,0.30601157889942804,0.307178796008529,0.3057268786725404,-0.08947712542481734,0.13088092565242235,0.3329722893369309
Fusiform_R,0.08370887823923452,0.25786963033932836,0.06816387234515253,0.06922551643939542,0.5444866362238998,0.2330462300660938,1.0,0.22380252188075572,0.10807978672333965,0.27315057935594844,0.0762191444356359,-0.0987355882592723,0.18648619024686636,0.3387788405026991,0.4746211388095752,0.3541457746062476,0.002975617085336217,0.6538288432104794,0.5189339340705634,0.30301050749769043,0.33085380761276145,0.06951561384886942,0.14254290187803964,0.07859109033912229,0.10890816674227606,0.7049822399365292,0.8099800005125953,0.19482663959048166,0.12380356352802856,0.23780683945100922,0.12460975526203111,0.40047233199842813,0.2976721110698225,0.48682051167839463,-0.03293003951301772,0.46083944664904714,0.41535123295678855,0.23301587648900715,0.322963473295977,0.11940373968272659,-0.0007860838067074185,0.10644251334871768,0.5797183397602446,0.45034570309655936,0.2517761849456622,0.05025880349341355,0.12492950650163245,0.41680324280915904,0.2416349251852011,0.1468150452175489,0.2357022939367468,0.4267360702551801,0.4558851725678653,0.2703530815785637,0.037861441280759196,0.08802147770247741,-0.1185972737637976,0.3642891524393118,0.38000740905591934,0.1996823366881966,0.28897540998282173,0.12024221562137213,0.2853305221155018,0.4213507921836856,0.04036474871578202,0.3739859083951064,0.23982248595188577,0.23375997793066344,0.30418551541826605,0.436446647043876
VTA_L,0.029121869112451255,-0.252467958268857,-0.18073706938434578,-0.06542175628315569,0.28038276760469566,0.13592590255212672,0.22380252188075572,1.0,-0.013487782769701747,0.3219242564863854,-0.3718422485937629,-0.013598232215580985,-0.04499474743789544,-0.18664279129492645,0.393390429932355,0.12181912084082036,0.3168593444207345,0.35637825583023786,0.07699830608427365,0.2788293046985949,-0.1413783574293336,-0.07767127282095293,-0.23527971431819827,0.2657812945326755,0.09956364479555407,0.4652772335718686,0.4052612046995929,0.05725481147221635,0.2250114247774985,0.20838926012439746,-0.10974500564720811,0.4493694587901694,-0.1069241061869679,0.4562704631506007,0.24500443838026595,-0.007988972436353742,0.13732694387256056,0.25852603404373764,0.3136513695213083,0.015044374231224825,0.08729994604069743,0.28323738771898044,0.46219621610803624,0.1578608665428925,-0.09416598221845665,0.0705340330091784,0.12539500392312358,0.10891685845475443,-0.12600122387643103,0.1383544507853873,-0.2497937204018615,0.14790660948361833,0.2075046714014519,0.024172738772148213,0.11062288867735763,0.2684766802504417,-0.15213261739409745,0.13604684260182554,0.25555915572355536,0.2993436002667193,0.3645151138685808,0.557401453846173,0.17231338215651995,-0.0667880788569619,0.21045602297402152,0.350382795996801,0.2409809809735264,-0.0021462242839850824,0.18991983072830143,0.4714984109620434
Postcentral_R,-0.3953032694874287,-0.11595015291703746,0.06580117218600272,-0.08170174272376957,0.16251246306379333,-0.3699340676127014,0.10807978672333965,-0.013487782769701747,1.0,-0.22970752690646812,-0.10465906689948705,0.13190720532860703,0.0285551503155739,-0.2780432484073459,0.08635312107939165,-0.16663849244766954,0.01972528273931599,0.043789057559118064,-0.28086746635226084,0.493278504861199,-0.04093881828085544,0.053872177108143474,-0.3677314869187304,-0.06668481558943026,0.3732580572098141,-0.04182211618397515,0.08497894771566236,-0.019289478448189158,0.14900525838004447,0.5091968408181338,-0.08392156834997809,0.2893522677257268,-0.14899570027411085,0.2564569687068634,-0.2080139564976214,0.177985954156805,-0.2620991009714947,0.12153547093857982,-0.10261233163387405,0.07609841316740032,-0.20446719073412917,0.45318528714922196,-0.15176713772205586,-0.1686300966975254,-0.11694992142343263,-0.37636142207622963,0.20322456485894003,0.045106096778019716,-0.006475677460449019,-0.015982068951137574,-0.09921911570463145,-0.08738775089044261,0.15726667428902424,-0.08498133464782355,0.4835641571404644,0.22258839196654662,-0.022966919560580234,0.4174754353882329,0.02485446053144863,-0.15435832750399356,0.39794792429724607,-0.12587175609253393,-0.05032998644433892,0.08897867510670689,-0.22984080447801575,0.041337713031925266,-0.06304006043700879,0.5744338847968217,-0.27567630643148333,0.20362329304723012
Putamen_R,0.3030681718854959,-0.02838375519262174,-0.1264146243032717,-0.10645985031773564,0.14447442342551134,0.3240294375907167,0.27315057935594844,0.3219242564863854,-0.22970752690646812,1.0,-0.06488299883075986,-0.016765629733810725,-0.0987670630746633,0.27074403422665577,0.10991544332762852,0.21125068437935268,0.24878305535477574,0.27760042579207284,0.2904449713108938,-0.1071629755581025,0.3091013023577823,-0.09041356518334925,-0.039352575139468486,0.25489377517061,-0.06406548747781902,0.2918107121484368,0.38559723198509765,0.15413281742207807,-0.05625313950185828,-0.1611503946977002,-0.06894897864267412,0.08198486826498103,0.18629752561947505,0.018621228733990768,0.04145757291771439,0.1902498144814844,0.31288470398871365,0.3681094570138756,0.40914534633236554,0.03923425220369301,0.2547542860798864,0.2078351290157841,0.47469343281460863,0.027423542957736913,0.25157954056294124,0.1782216935748116,0.08774955022686803,0.3400661874718188,0.0905794143320517,0.10574714788736528,0.08382712028096734,0.2749734169189746,0.4639210870505725,0.33095839431474383,-0.18914556015055659,0.07276768610793306,-0.02949002100656101,0.1318981996455669,0.24000352538284134,0.19151092690558863,0.06908970674917092,0.3686889692066343,0.26430802062112807,0.20064686706793772,0.13866064752645205,0.5522462842621441,0.2742366922101524,-0.21861384308154325,0.30514290581955605,0.24388738753851824
