,Precentral_L,Vermis_10,Frontal_Med_Orb_R,Vermis_6,Frontal_Inf_Tri_R,Paracentral_Lobule_L,Postcentral_R,Angular_L,Frontal_Inf_Orb_2_R,Cerebellum_8_R,Insula_R,Cerebellum_6_L,Calcarine_L,Parietal_Inf_L,VTA_L,Thal_VL_R,Vermis_8,Amygdala_R,Thal_AV_R,Frontal_Sup_Medial_R,Cerebellum_3_L,Temporal_Mid_L,Occipital_Mid_L,Frontal_Inf_Orb_2_L,Heschl_R,VTA_R,Cerebellum_Crus2_L,Thal_MGN_L,Thal_LP_L,Thal_PuM_L,Rolandic_Oper_R,OFClat_R,Occipital_Sup_R,ACC_pre_R,Frontal_Med_Orb_L,Thal_IL_L,Temporal_Mid_R,Frontal_Inf_Oper_L,Thal_PuI_R,SN_pc_R
Insula_R,0.6655959745974216,0.05981626360198357,0.18996268413194697,-0.1357454117987363,0.6789194591515795,0.5420226877913362,0.2341486893834447,0.28053412183254156,0.7450491652802772,0.4473140979152268,1.0,-0.4553668700215073,0.005862670619595797,0.5247119572022781,0.5919348248518697,0.5578646933675203,0.09613648959233653,0.14346066673041283,0.24031966022119186,0.6609434855708346,0.2311850658523918,-0.3173140203859208,-0.33000026066861377,-0.14216096207884973,0.5733350760279414,0.1692836302227545,-0.08654727788209286,-0.19691431062694809,0.16626960277094952,0.40813836885906596,0.7960009958334944,0.4859857496597716,0.46765122016205374,-0.010246085966525232,-0.35372413590755375,0.27936090385191237,0.6742550522300097,0.3643877761677082,0.2731100313486741,0.3538350173893522
Cerebellum_6_L,-0.2602734885406701,0.7294319670637113,-0.4915674971427811,0.7559863817402501,-0.5108704681777629,-0.322570133188081,-0.20820589309566276,0.006118068021816293,-0.6646280341247763,0.0916113466129053,-0.4553668700215073,1.0,0.6663937719860977,-0.30956939511843745,-0.26980327160228995,-0.1725148097899508,0.4913859924799396,-0.5324557426802401,-0.46596636857354995,-0.16427678395292145,0.5347969581778268,0.9101936348473632,0.4616762413116484,0.6217526148588797,-0.042752119944973,0.5424807111707114,0.471839015208202,0.4159425457198268,-0.016005321652733877,-0.1612574491152856,-0.46512380222223026,-0.13444431999667178,-0.5490079087823442,0.6121308168590638,0.0933676348194976,-0.1454021279146717,-0.6137995713513638,0.34302122983630046,-0.07256007429871174,0.3674773500104912
Calcarine_L,0.282981828453091,0.5875875694390796,-0.3241571519647625,0.5780697987591707,0.054184046720889854,0.2193438712216825,0.23497593058788757,0.12403196899931448,-0.19579072428607622,0.26993509578114117,0.005862670619595797,0.6663937719860977,1.0,0.08349634483817021,-0.020918884867920463,0.25767948793277223,0.35260908701854704,-0.2025383278999535,-0.2485687874377537,0.09844091524755118,0.7467453736940298,0.6339195418055056,0.31598309632983473,0.521178689364646,0.47896093549430896,0.5293895943654879,0.34558972778389707,0.5671221427793712,0.22579145734697023,0.2698349167831395,0.09470740512792997,-0.058214274385526746,-0.05059273069948704,0.4180194251343318,-0.010548820860595106,0.14819826451896118,-0.134460941807796,0.6134891821458671,0.2820018221707241,0.518915373472431
Parietal_Inf_L,0.8369199723709224,-0.15270252521616887,0.06502257164580909,-0.22779306338531294,0.4900694853911895,0.7682565311780273,0.371212454692346,0.6531769480183336,0.49522431459660005,0.1455860488741881,0.5247119572022781,-0.30956939511843745,0.08349634483817021,1.0,0.219374013072805,0.33696243727243663,-0.13435093938825968,0.38582540221374556,0.1723254672534161,0.4912017578725036,0.21436037464383076,-0.18799702859383816,0.06422692735772283,-0.22361936748408728,0.3837684499386338,-0.038457505750522106,0.006388209370964844,0.005826963399114134,0.023869560818104842,0.4684530419713464,0.5985653195529066,0.12052894869296432,0.4340132552610199,-0.14025572336922282,0.06258283645070108,0.49377076906470885,0.3414944118050496,0.4793140500470225,0.4826184347566446,0.27759196754450177
VTA_L,0.3502564882194554,0.07015987775653448,0.06071596115438847,-0.0230389223305949,0.4196951825197967,0.3260064928644859,0.1601058157385609,0.11807129102014358,0.45031109150484233,0.1967072032679518,0.5919348248518697,-0.26980327160228995,-0.020918884867920463,0.219374013072805,1.0,0.39066584441076035,0.15924768311268148,0.10529137061281581,0.1845855592083677,0.3987109772493144,0.13281873785966836,-0.19615893255103428,-0.2696042915959052,-0.024831064899842957,0.3792254460733266,0.01220274314880629,0.05098662480576699,-0.08610799209721774,0.03760632176836634,0.2745896838392664,0.5102296594692586,0.3376056686944566,0.310899610500547,0.05389518057416639,-0.29455503711930486,0.23477089764363213,0.452382205820997,0.2405270420571927,0.07153128396408297,0.2845583756673847
Thal_VL_R,0.6239043942169388,0.1529392408679627,0.028662979725343367,-0.03296704661148913,0.6708920488912071,0.6794457648793113,0.48862743090404864,0.08883343892297181,0.5267713161376689,0.10108911532176551,0.5578646933675203,-0.1725148097899508,0.25767948793277223,0.33696243727243663,0.39066584441076035,1.0,-0.1219661833454658,0.22952232506718098,0.1573114775867745,0.43483222834598295,0.24551928696738498,-0.126301950657208,-0.009566459297199044,0.012425138177927451,0.6079156107317136,0.22704082716032914,-0.08991280558252324,0.15231509121195327,0.44107167329541397,0.5779891059482987,0.619578592131276,0.08807002736635738,0.44803148909652313,0.08952271821170603,-0.10318602820194389,0.5589737532674147,0.632919067199765,0.4601509010747038,0.42632684126479564,0.3922112492123607
Vermis_8,-0.13527727327939135,0.6932493281711896,-0.5409158529535263,0.5474988642941141,-0.20905277867198613,-0.24583265551209554,-0.19207614262136125,0.07430784843569462,-0.30204837682784696,0.5496788608913225,0.09613648959233653,0.4913859924799396,0.35260908701854704,-0.13435093938825968,0.15924768311268148,-0.1219661833454658,1.0,-0.6618257236603264,-0.211656354486614,0.2392148782213805,0.5403333946453917,0.5330221834681595,-0.07460497185974413,0.4568505269404252,0.006570932427486684,0.42340318944017863,0.5761243175018047,0.15607478132719002,-0.2148443020561864,-0.017551098421786655,-0.1871991392553871,0.38202703807414684,-0.26022691397021197,0.6188529501700865,-0.2887835034333383,-0.12918718859339895,-0.2744935768303754,0.2808467141367515,-0.02487431142044799,0.2866901788173468
Amygdala_R,0.44879505156455446,-0.5894062576121892,0.5690776315766783,-0.47241025425432404,0.47213223418266353,0.5024600722124543,0.38378951990067994,0.07986566439756988,0.5800471829103694,-0.30547194807149675,0.14346066673041283,-0.5324557426802401,-0.2025383278999535,0.38582540221374556,0.10529137061281581,0.22952232506718098,-0.6618257236603264,1.0,0.32037580368464164,0.02836013896614892,-0.36831007842134783,-0.5363513819550988,-0.10416768087365197,-0.2799095152397585,0.22232398675723222,-0.46097695398186644,-0.33842753962026384,-0.18782208266081946,-0.02027402885587107,0.31597870916153425,0.5017434440997836,-0.3432108945185621,0.4269376812740155,-0.49829909227954017,0.14970642329362388,0.41248991621588293,0.41263849814505804,0.10604209738033966,0.16490808049804698,-0.05256771139579308
Thal_AV_R,0.20929858185158184,-0.2857563516793319,0.2541024510255365,-0.3388579514617382,0.40684707029733985,0.2311431317861984,0.28230343457149937,-0.08934017100280918,0.3387006803042403,-0.04815555488520051,0.24031966022119186,-0.46596636857354995,-0.2485687874377537,0.1723254672534161,0.1845855592083677,0.1573114775867745,-0.211656354486614,0.32037580368464164,1.0,0.09764448282199659,-0.27664348992073723,-0.4906832970609421,-0.28828714185058285,-0.22978401134278598,0.12765705987286743,-0.39924105251065134,-0.179062423246672,-0.23076237257378507,-0.08316078575380073,0.32473662405385595,0.3640143305265433,0.023382466006034355,0.38455130179148594,-0.2817460668660299,0.05256666354495545,0.2601289554128237,0.4777030650908559,-0.14027620132695545,0.02148989182597549,-0.06809659679891819
Frontal_Sup_Medial_R,0.5578601590056756,0.21305814213302335,-0.026471728361447202,0.08024098984154529,0.43176668253049166,0.40189256843845733,0.23058469066813844,0.3415059252184155,0.5415214749807044,0.332839418406201,0.6609434855708346,-0.16427678395292145,0.09844091524755118,0.4912017578725036,0.3987109772493144,0.43483222834598295,0.2392148782213805,0.02836013896614892,0.09764448282199659,1.0,0.33619275260095244,0.03773575902744618,-0.05781855897186659,0.20793058346842963,0.46024965284406116,0.28262408780701614,0.10670551389727848,-0.10168452081351967,-0.029054749601900243,0.35995938801758515,0.5164893622091011,0.40703689090112716,0.2761611509343699,0.3860523717400024,-0.4617894231038973,0.2583380562419449,0.3683308121651093,0.442681911533713,0.35586694192857876,0.4906268533091245
Cerebellum_3_L,0.3529018566441176,0.665888977306658,-0.4395254593122788,0.48929927318121275,0.07639845322072913,0.21706749994075494,0.22827568088241504,0.38617480434954743,-0.10852887883247336,0.4626697638008289,0.2311850658523918,0.5347969581778268,0.7467453736940298,0.21436037464383076,0.13281873785966836,0.24551928696738498,0.5403333946453917,-0.36831007842134783,-0.27664348992073723,0.33619275260095244,1.0,0.6614759862665008,0.20091097156210652,0.5774218666356591,0.46072030758147076,0.6288122151770239,0.5429611809334092,0.4287886825874119,0.22606341515169884,0.27308170460804043,0.10112726788726656,0.20304552874367884,0.03578534003888634,0.5581720075312571,-0.10181240322954246,0.16445844149845495,-0.14948331298800552,0.6577341501740738,0.35644009564731505,0.5793552711158259
Temporal_Mid_L,-0.17811755998679593,0.7333968590185745,-0.515943578086423,0.7091497695235467,-0.53232036864726,-0.2754880665949633,-0.2215152875645308,0.2468123913035165,-0.5776602734816277,0.16507188212256188,-0.3173140203859208,0.9101936348473632,0.6339195418055056,-0.18799702859383816,-0.19615893255103428,-0.126301950657208,0.5330221834681595,-0.5363513819550988,-0.4906832970609421,0.03773575902744618,0.6614759862665008,1.0,0.5214353478034385,0.7166382449268666,0.05290887854348778,0.5683897598701565,0.561057101088961,0.34198079207902393,-0.023624352650543207,-0.07274959481530908,-0.4438755407015399,-0.014987263458083093,-0.49091693665538727,0.7489012122623583,-0.051840936905419084,-0.11728860918332074,-0.6193701701083053,0.3871233089092219,0.010980625637778057,0.4785213736973962
Occipital_Mid_L,-0.02417374524757494,0.2685663096177435,-0.19574628969052235,0.32389878786933807,-0.3162378606885102,0.025646799550618396,-0.000425971844739275,0.25972438901298006,-0.34279531386654793,-0.27120140325413505,-0.33000026066861377,0.4616762413116484,0.31598309632983473,0.06422692735772283,-0.2696042915959052,-0.009566459297199044,-0.07460497185974413,-0.10416768087365197,-0.28828714185058285,-0.05781855897186659,0.20091097156210652,0.5214353478034385,1.0,0.29647704017370413,0.0011897210966608867,0.14921958581901604,0.046546962530372965,0.15849312889877148,0.011742847195453144,0.07290151293842487,-0.24667539879220926,-0.13103240409377545,-0.08100293888559307,0.287761803143427,0.09286368852978846,-0.017176832919925167,-0.2320047464849977,0.22239893560479282,0.0782528556760845,0.21777120119664792
Frontal_Inf_Orb_2_L,-0.07184965201529203,0.55789467327474,-0.281894259052934,0.5078039328199105,-0.1489375998227856,-0.12830700097130654,0.18556605401269727,0.06420351531083439,-0.18796999110560336,0.048382114498017575,-0.14216096207884973,0.6217526148588797,0.521178689364646,-0.22361936748408728,-0.024831064899842957,0.012425138177927451,0.4568505269404252,-0.2799095152397585,-0.22978401134278598,0.20793058346842963,0.5774218666356591,0.7166382449268666,0.29647704017370413,1.0,0.18319797546786587,0.37641452951415016,0.530130794536573,0.22157340097996947,0.05128594838067369,0.10935133806179075,-0.1522264031756884,0.09344251788459039,-0.06632475003103182,0.6887376329411139,-0.26351902154023416,-0.057605948690639924,-0.27232756277002934,0.48017607077838165,0.07075767614772092,0.46867094437695667
Heschl_R,0.6679442743058438,0.119224979333982,0.04985946127265837,0.14585249327965707,0.5959041886916204,0.5907983833512399,0.5090035625187659,0.19133040978462393,0.5084043871819596,0.27334821155451117,0.5733350760279414,-0.042752119944973,0.47896093549430896,0.3837684499386338,0.3792254460733266,0.6079156107317136,0.006570932427486684,0.22232398675723222,0.12765705987286743,0.46024965284406116,0.46072030758147076,0.05290887854348778,0.0011897210966608867,0.18319797546786587,1.0,0.2736580157611413,0.08562151887105349,0.13964699929043514,0.1414968543600129,0.5389844471621277,0.701053516853313,0.11615534482713313,0.35043979573172007,0.14621240018979492,-0.2537021033107052,0.3887442522139649,0.4397697689080909,0.5789677405960664,0.5592079318318417,0.4416474206274641
VTA_R,0.12819068930534658,0.6971658549875268,-0.4165215196743937,0.5921448941786379,-0.026826367421203864,0.0033920166674593828,-0.054291821849620905,0.08945032652846686,-0.16796039768777646,0.42504798129458465,0.1692836302227545,0.5424807111707114,0.5293895943654879,-0.038457505750522106,0.01220274314880629,0.22704082716032914,0.42340318944017863,-0.46097695398186644,-0.39924105251065134,0.28262408780701614,0.6288122151770239,0.5683897598701565,0.14921958581901604,0.37641452951415016,0.2736580157611413,1.0,0.2468166046797082,0.27966488916131815,0.19946368172568787,0.014631214910329628,-0.017238273749585042,0.17993017522846838,-0.20805812657282838,0.4885799878275755,-0.15057463957206274,-0.06449769935233925,-0.13703164731662662,0.42971997075864493,0.17502677594047952,0.4308806239369823
Cerebellum_Crus2_L,0.018116248935583272,0.4681623457147227,-0.4529091634330552,0.416306362748345,-0.16200352514088792,-0.02170647002809828,0.06073228078444345,0.30254901923368643,-0.28169430830448833,0.27835230523712956,-0.08654727788209286,0.471839015208202,0.34558972778389707,0.006388209370964844,0.05098662480576699,-0.08991280558252324,0.5761243175018047,-0.33842753962026384,-0.179062423246672,0.10670551389727848,0.5429611809334092,0.561057101088961,0.046546962530372965,0.530130794536573,0.08562151887105349,0.2468166046797082,1.0,0.29260458958215624,-0.15708742685167038,0.09962565798211939,-0.17209741978472115,-0.04845652745894837,-0.14920774094252237,0.4963424948792075,-0.005724590350879673,-0.02918515763633197,-0.3476152968181095,0.34343190110690935,0.24409187737606394,0.29858005310691715
Thal_MGN_L,0.11233372062399942,0.30485754197955356,-0.3948238315515047,0.38097603203291447,0.01977287552098037,0.19816159710253808,0.23350020338458694,0.05383363871522072,-0.268533269591865,0.029532973388364234,-0.19691431062694809,0.4159425457198268,0.5671221427793712,0.005826963399114134,-0.08610799209721774,0.15231509121195327,0.15607478132719002,-0.18782208266081946,-0.23076237257378507,-0.10168452081351967,0.4287886825874119,0.34198079207902393,0.15849312889877148,0.22157340097996947,0.13964699929043514,0.27966488916131815,0.29260458958215624,1.0,0.06294377374949049,0.1677573469140235,-0.09218084758768899,-0.22448747169318464,0.024474938105525406,0.1339749351070023,0.2553241405471257,0.14809101823039686,-0.1547527713551761,0.2962947303010847,0.28078386456052645,0.12260629207385063
Thal_LP_L,0.15247041291821964,0.023014959645332622,0.050513020333585734,-0.16552290938239972,0.22392803931293187,0.19190701117450654,0.2445584875293912,0.020447004391083372,0.11527543801439595,-0.03460841725531528,0.16626960277094952,-0.016005321652733877,0.22579145734697023,0.023869560818104842,0.03760632176836634,0.44107167329541397,-0.2148443020561864,-0.02027402885587107,-0.08316078575380073,-0.029054749601900243,0.22606341515169884,-0.023624352650543207,0.011742847195453144,0.05128594838067369,0.1414968543600129,0.19946368172568787,-0.15708742685167038,0.06294377374949049,1.0,0.03282061837619035,0.12110700175587044,-0.024414823448711438,0.17182136687062727,-0.0717901944739791,0.04694407634568322,0.039602446502974634,0.19034731643771985,0.11373933113793062,0.12422436700775343,0.11232200821904502
Thal_PuM_L,0.6294129293250864,0.09868974986395689,-0.09597458023929695,0.003472536874140668,0.5965612541696855,0.6543378703264953,0.571979253393647,0.2929661997698242,0.41159203389079385,0.08684148848507069,0.40813836885906596,-0.1612574491152856,0.2698349167831395,0.4684530419713464,0.2745896838392664,0.5779891059482987,-0.017551098421786655,0.31597870916153425,0.32473662405385595,0.35995938801758515,0.27308170460804043,-0.07274959481530908,0.07290151293842487,0.10935133806179075,0.5389844471621277,0.014631214910329628,0.09962565798211939,0.1677573469140235,0.03282061837619035,1.0,0.5547435518657886,0.11858895912828929,0.580856243779023,0.08917998855607204,-0.04733761510919753,0.6753174814522691,0.5586678078549734,0.5084233854951525,0.4002785021504993,0.37142172997170747
Rolandic_Oper_R,0.8277703041414981,-0.1472224419553581,0.3270430828118962,-0.1858122759957107,0.8879663008756264,0.7744812904519084,0.5946405288971712,0.14918711379622554,0.8282938011630389,0.20506263493262764,0.7960009958334944,-0.46512380222223026,0.09470740512792997,0.5985653195529066,0.5102296594692586,0.619578592131276,-0.1871991392553871,0.5017434440997836,0.3640143305265433,0.5164893622091011,0.10112726788726656,-0.4438755407015399,-0.24667539879220926,-0.1522264031756884,0.701053516853313,-0.017238273749585042,-0.17209741978472115,-0.09218084758768899,0.12110700175587044,0.5547435518657886,1.0,0.20279127009892,0.6437362589229124,-0.20931725164237344,-0.1645816485635116,0.46195646614560176,0.7988113371319022,0.4999029168665266,0.44622349280645346,0.30833226702338046
OFClat_R,0.08155045099472143,0.1845477484578435,-0.18329143840293805,0.07262042037725457,0.12518826137315753,-0.012858757081232523,-0.07404261327384105,0.10679103198744276,0.19456855707104814,0.23901508592737847,0.4859857496597716,-0.13444431999667178,-0.058214274385526746,0.12052894869296432,0.3376056686944566,0.08807002736635738,0.38202703807414684,-0.3432108945185621,0.023382466006034355,0.40703689090112716,0.20304552874367884,-0.014987263458083093,-0.13103240409377545,0.09344251788459039,0.11615534482713313,0.17993017522846838,-0.04845652745894837,-0.22448747169318464,-0.024414823448711438,0.11858895912828929,0.20279127009892,1.0,0.15009696330802663,0.1970722436055478,-0.46245204396285877,-0.08237765277867672,0.2166679801329489,0.0782110756071479,-0.07321322795149657,0.2310935137001674
