,Occipital_Mid_L,Thal_MDm_L,Thal_MGN_R,Cerebellum_6_L,SupraMarginal_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,ACC_pre_L,Thal_PuM_R,Frontal_Sup_2_L,Temporal_Pole_Sup_L,Cerebellum_9_R,Thal_MDl_R,Cingulate_Post_R,Putamen_R,Heschl_L,Thal_PuM_L,Thal_MDl_L,Rolandic_Oper_L,ACC_pre_R,Vermis_9,Cuneus_R,Caudate_R,Cerebellum_8_L,Cerebellum_10_R,ACC_sup_R,Hippocampus_L,Vermis_10,Pallidum_L,Parietal_Inf_L,Postcentral_L,Pallidum_R,Fusiform_R,Frontal_Inf_Orb_2_R,Cerebellum_9_L,N_Acc_R,SN_pc_R,Angular_R,ParaHippocampal_R,Thal_VL_L,Thal_VPL_R,ACC_sub_L,Postcentral_R,Precentral_L,Thal_LP_R,Frontal_Sup_Medial_R,Raphe_M,N_Acc_L,Caudate_L,Cerebellum_6_R,Cerebellum_4_5_L,SN_pr_L,Parietal_Inf_R,Frontal_Med_Orb_L,Vermis_3
Occipital_Mid_L,1.0,0.10267250841860164,-0.41251455043250246,0.4616762413116484,0.4317673987122812,-0.0230221961358846,0.025646799550618396,0.05745996009562514,0.096291779152345,0.19257261593465047,0.38367393219245405,0.0746316297625396,-0.11492235752002315,0.13518901937547867,-0.29840322238349837,0.4060384455562099,0.07290151293842487,-0.2269639963114446,0.31381910446404615,0.287761803143427,0.29560663223564976,-0.023260387655654368,0.33140023642816135,0.4309629626639891,-0.18536024067335116,0.2692326500145367,0.23195820937295164,0.2685663096177435,0.19158124567505824,0.06422692735772283,-0.05399795989241304,-0.12177373033906383,-0.22760034800298634,-0.34279531386654793,0.36996408020006016,0.29507132262075547,0.21777120119664792,-0.19809187734634878,0.08919979971979042,-0.018526233374556753,0.19940968531623582,-0.013724151397740943,-0.000425971844739275,-0.02417374524757494,-0.19882961043346978,-0.05781855897186659,0.2507529565037974,0.05855486902534532,0.2355338153674457,0.0988971487603234,0.30585467601661537,0.3369512483207145,0.01721491608482579,0.09286368852978846,0.13171498464643608
Thal_MDm_L,0.10267250841860164,1.0,-0.04515779403622093,0.127084060895492,0.0564417449775711,-0.058718995352867974,0.35618688346485966,0.1491856065033495,0.09795892544689998,0.1427406230826531,-0.001542539029477312,0.009557812378586604,-0.041515003452121585,0.10994138987093402,0.040459295923965695,-0.0901880291260585,0.19139893863471893,0.25480843589867075,0.3677679349244849,0.0850649794911878,0.38817163757419115,0.07574943457146485,0.4073803488756594,0.15720993639457148,0.17401427783672865,0.10122252407336836,0.34465534060378594,0.11903538258782488,0.22902751504379681,0.16719903001785621,0.15981677181025353,0.40771297880408996,0.15257532294057194,0.04715236911710041,0.18805249581288994,-0.15775500135599563,0.2216016402052703,-0.018054839870267392,0.29901087193013365,0.6133960640067743,0.20020463983353934,0.016917120384703024,0.2406608517699263,0.24351079862329084,0.32331255759579397,0.02646863250717481,0.33927712303450475,0.6830121615758136,-0.0051984262853716065,0.16427251412289934,0.340767802694226,-0.19584517470714574,0.163674812974327,0.25767544801398024,0.14181932448862677
Thal_MGN_R,-0.41251455043250246,-0.04515779403622093,1.0,-0.4466778379996744,-0.08861763740304056,0.11532915708782279,0.3762656072776182,-0.07996756186779469,0.11084002255797537,0.18564581408268666,-0.35928417832500564,-0.06764040417610394,0.2811841523779511,0.17766704174578193,0.5177278819800859,-0.2825846355640255,0.09721760689277788,0.40540828283937674,0.06118874518127816,-0.2874084998500352,-0.2537361453458252,0.355143635671147,-0.08384916997709059,-0.4526386812488753,0.2304754421224584,-0.063325662773071,0.15309820083540063,-0.20949970637260215,-0.13968184784400078,0.2643539328663367,0.3931724496949445,0.3247212363374307,0.514782379145332,0.4766756236660067,-0.39665234191532456,-0.2807426281770411,0.002956408549638626,0.4275825628664293,0.385443416946363,0.12291059205434614,0.010316945040205992,0.0543695902259389,0.25542838956637115,0.4197254562841253,0.3970647892983311,0.27036862752350244,-0.19037250166963857,0.0368546013759237,-0.18082948162682191,0.06450037255354073,-0.002828235271980423,-0.16364862705603048,0.2369069904484916,-0.13826580347746503,0.25637322043620697
Cerebellum_6_L,0.4616762413116484,0.127084060895492,-0.4466778379996744,1.0,0.4821478581660272,-0.16461010612910568,-0.322570133188081,0.18953650409307818,0.15971344746212537,0.23919251925757998,0.7789200172368563,0.5540101408329218,-0.22389256700673885,-0.06975322417042013,-0.4986897104902883,0.7918685249986036,-0.1612574491152856,-0.5232905829540424,0.36811611449226767,0.6121308168590638,0.5737818517582733,-0.2955533407069169,0.29755513301331526,0.8609895141594788,-0.11252972779848117,0.41735924715712014,0.3343635855158618,0.7294319670637113,0.050855556995174515,-0.30956939511843745,-0.35794388900544405,-0.2520553848814527,-0.2972605955370677,-0.6646280341247763,0.7571595156824398,0.31768384156612495,0.3674773500104912,-0.613276322773372,-0.15175933929468516,-0.012148885802231123,0.43935368059363794,-0.057932176695177584,-0.20820589309566276,-0.2602734885406701,-0.4317214630992284,-0.16427678395292145,0.36993409128278604,0.09958157857038478,0.39535597456063554,0.3991854433829916,0.5515347454686096,0.48039639493459163,-0.2462661141114096,0.0933676348194976,0.23095677187372113
SupraMarginal_L,0.4317673987122812,0.0564417449775711,-0.08861763740304056,0.4821478581660272,1.0,-0.14078857042671244,0.15569572310993107,0.21071761085939675,0.5239679711829546,0.5857913081232398,0.3207077045647591,0.46473448940548023,0.03851377452941715,0.1644839244621886,-0.1443476850672169,0.49354096085548094,0.09476882420095893,-0.4023455637857582,0.5329375628559224,0.3884141511747496,0.1256522221041678,0.1671888023007275,0.4738668801356935,0.42847061311777374,-0.047514560147902014,0.4259216809322792,0.5964543474744728,0.3442608229898825,0.19693263293392987,0.4707919881211407,0.4014985297033541,-0.0016202928298768547,-0.09355389398517061,-0.15925474389539335,0.29274195039040957,0.42743804324692747,0.4601005325929549,-0.26746731286287734,0.3233884744627084,0.08465936983494197,0.4324466286750631,0.130471138358296,-0.0995967293041379,0.32470969048287535,-0.2779183467788557,0.26088110334344095,0.4802535003117881,0.06091478675412749,0.5160270814661497,0.14528937508547268,0.4548202973457599,0.4710982282188679,-0.2017405619071854,-0.04819168854415598,0.31045045530626697
Temporal_Pole_Sup_R,-0.0230221961358846,-0.058718995352867974,0.11532915708782279,-0.16461010612910568,-0.14078857042671244,1.0,0.2398487435488656,-0.08648130785002661,0.1510029740737895,0.08745604057512012,-0.12584584427194948,-0.04776451481953944,0.20337080019961065,0.29715709304350446,0.4048755991821083,-0.035892691158673044,0.35550791631100215,0.2923102108808331,0.07169455752654524,-0.10630219065810553,-0.20884354716722775,0.2410254636860906,-0.02244383347876673,-0.10380041546734468,0.17252057253903708,0.1338639814258097,0.07572492141115233,0.041503732706295114,0.09516291503122423,0.1720604153507579,0.1740137300734791,0.18151334653134504,0.38658396375008514,0.23641594116842884,-0.03680651631790583,0.02906142634986796,0.14164785060065332,0.30397808081482125,0.1545076407358614,0.2050306511929591,0.1170265983439799,-0.2560588128674367,0.24004658301615994,0.23523345379528388,0.21037138751591994,0.2092026105918276,-0.1110396662247456,-0.02670603564283724,0.10311691934644125,0.2989084337963385,0.053202891525197624,0.03783861052917482,0.29043874804991004,-0.08261203380877352,0.07810828557854385
Paracentral_Lobule_L,0.025646799550618396,0.35618688346485966,0.3762656072776182,-0.322570133188081,0.15569572310993107,0.2398487435488656,1.0,-0.048666574080794923,0.3523565436403921,0.4933432760141026,-0.3092121877630063,-0.10314359505385712,0.4328489460568125,0.5040408383733298,0.5962037329757213,-0.07963630666114417,0.6543378703264953,0.4336309534421494,0.5889497371499816,-0.18406165820892875,-0.1568279897972907,0.6829446986676923,0.4280079413356836,-0.27971817301955565,0.22658511214215427,0.22601813715973693,0.5223599767422781,-0.08919080249716804,0.3370640706653575,0.7682565311780273,0.8405787054748819,0.6787656421910727,0.5356432852363529,0.620773661247479,-0.13751655014138142,0.053930921688751375,0.3196438892574645,0.5846839126558075,0.7479802838356006,0.5630488388583058,0.3184108012515717,0.024017133151815126,0.6871856093750486,0.904443612830522,0.5300591052116129,0.40189256843845733,0.23945457123586672,0.44155641233618864,0.2317638875443155,0.20339020166645239,0.4048218541585095,0.08416695263690166,0.592486464072923,0.06487705369611332,0.5340649233129067
ACC_pre_L,0.05745996009562514,0.1491856065033495,-0.07996756186779469,0.18953650409307818,0.21071761085939675,-0.08648130785002661,-0.048666574080794923,1.0,0.2881326302879663,0.4891842996755979,0.34568631994342375,0.2588766657495776,0.3600340908358599,0.26207447540032,0.2619137220208858,0.29267772276067944,0.07794810963917506,-0.3990748374617286,0.24943414021836732,0.5974657705588202,0.22785090416183637,0.05992468466557994,0.5041482998754631,0.25435423077678715,0.337339601603959,0.4972511926139617,0.34504126501717985,0.3577516865306925,0.3511555753063183,-0.03920434125961866,0.0015666111284764043,0.2747993569317879,0.022746312696906437,0.11405754559184686,0.13195593444034492,0.5322891491949174,0.41723263054496285,-0.11276143199476697,0.11526603661380862,0.22773986063517956,0.38280600912900464,0.07387668340010585,-0.06036109245241374,0.03191933562690822,0.02594446125145385,0.45997229037306103,0.17872375251977016,0.15761755241122163,0.5033571301726898,0.05179032669170839,0.3186177338193375,0.3299229501507874,-0.05801772792031767,-0.4766610296638911,0.24628119493298192
Thal_PuM_R,0.096291779152345,0.09795892544689998,0.11084002255797537,0.15971344746212537,0.5239679711829546,0.1510029740737895,0.3523565436403921,0.2881326302879663,1.0,0.692730029099613,0.121560977726506,0.3777245082154545,0.22079911823649975,0.48888119831682775,0.30954202058092434,0.3199773018653279,0.5411197236066196,-0.025380766056287488,0.4217853497252368,0.285482082062916,-0.16725881332814876,0.41365894105411966,0.4830935947266542,0.06858872704158414,0.27567935094680185,0.4783785903132654,0.6466699063950512,0.3013698272271109,0.4158755802723312,0.4393923053898503,0.4948428464289038,0.36350952866248004,0.17790116125046043,0.25521785424248256,0.14368291054690038,0.5007426593442865,0.6159554567506696,0.1324719563265591,0.5233863113532974,0.5095189210609139,0.5412434714925343,-0.1517482176089408,0.2442365043072938,0.5501283113806219,0.06029606826492756,0.42815560500987376,0.27542723413719955,-0.01371566147047073,0.7576329376773762,0.23493622970040048,0.45419303174508147,0.5623001510907515,0.1824165298475188,-0.18797280590776153,0.36570484702319417
Frontal_Sup_2_L,0.19257261593465047,0.1427406230826531,0.18564581408268666,0.23919251925757998,0.5857913081232398,0.08745604057512012,0.4933432760141026,0.4891842996755979,0.692730029099613,1.0,0.2784577389572389,0.40414122910505107,0.4700050247243697,0.6394224904415208,0.45436257522174883,0.5146693187139567,0.43885874930271473,-0.1581815521002397,0.7129265555685717,0.48591028747531495,0.09366863092092152,0.42966812632538226,0.7090942487203931,0.23071747057166217,0.3206767774080767,0.6477811460065498,0.8629313875802084,0.39383529378578164,0.4463971142338749,0.4561516345169268,0.5623407720663607,0.5494528209659821,0.38098219865414296,0.3855344853664275,0.212850629760643,0.5856374580306126,0.7173495016724222,0.1723668055584311,0.7027481456674725,0.45590411098306133,0.7334940351063878,0.025286016512048162,0.3725365517156735,0.6711049212117274,0.16797032583647784,0.6689824850322457,0.31213705865052616,0.3301098497421078,0.7525273740465511,0.3268689552869004,0.6895091276445093,0.5679905227478261,0.2943970694143402,-0.33246051572510227,0.6700800330934159
