,ACC_pre_R,Thal_PuA_L,Thal_AV_L,Putamen_L,Precentral_L,Thal_MDm_L,Cuneus_R,Cerebellum_3_L,Vermis_6,Frontal_Sup_2_L,Amygdala_R,Frontal_Med_Orb_L,Occipital_Inf_L,Angular_R,Temporal_Sup_L,Cerebellum_8_R,Fusiform_R,Paracentral_Lobule_R,SN_pc_R,Cerebellum_7b_R,Vermis_1_2,Occipital_Sup_R,ACC_sub_L,Olfactory_R,ACC_pre_L,Frontal_Inf_Orb_2_R,ACC_sub_R,VTA_L,Cerebellum_3_R,Cerebellum_4_5_L,Vermis_8,Vermis_10,ACC_sup_L,Precentral_R,Thal_IL_L,Calcarine_L,Thal_MGN_R,Thal_VL_L,Cerebellum_7b_L,Temporal_Inf_R,Supp_Motor_Area_R,Temporal_Pole_Sup_R,Thal_Re_L,Vermis_4_5,Occipital_Mid_L,Cerebellum_10_R,Calcarine_R,SupraMarginal_R,Frontal_Sup_2_R,Fusiform_L,Precuneus_R,Thal_PuM_R,Amygdala_L,Vermis_3,Cerebellum_8_L,Cerebellum_6_R,Insula_R,SN_pr_R,Frontal_Med_Orb_R,Red_N_R,Cingulate_Post_R,Heschl_R,Postcentral_L,Rolandic_Oper_L,ParaHippocampal_R,Raphe_M,OFClat_L,Parietal_Inf_R,Postcentral_R,Angular_L,Cerebellum_Crus2_L,Heschl_L,Thal_AV_R,Thal_PuL_R,Thal_VA_R,Vermis_7,Rolandic_Oper_R,Parietal_Sup_R,Temporal_Pole_Sup_L,Thal_VPL_L,Frontal_Inf_Tri_L,Frontal_Inf_Oper_R,Thal_LGN_R,Frontal_Mid_2_R,Lingual_R,Parietal_Inf_L,Supp_Motor_Area_L,Cingulate_Post_L,ParaHippocampal_L,Thal_PuA_R,OFCmed_L,OFCmed_R,Frontal_Inf_Orb_2_L,Thal_LGN_L,Olfactory_L,Frontal_Mid_2_L,Temporal_Pole_Mid_R,Occipital_Sup_L,Occipital_Inf_R,Cingulate_Mid_R,SN_pc_L,Red_N_L,Putamen_R,Temporal_Mid_R,Thal_PuI_R,Pallidum_R,Frontal_Inf_Oper_L,Rectus_R,Thal_MDl_L,Rectus_L,Thal_MDl_R,Cingulate_Mid_L,Vermis_9,Hippocampus_L,SupraMarginal_L,Cerebellum_9_R,N_Acc_R,Precuneus_L,Lingual_L,Hippocampus_R,Frontal_Inf_Tri_R,Cerebellum_9_L,Cerebellum_10_L,OFCant_R,Thal_PuI_L,Thal_LP_R,Thal_VL_R,OFClat_R,Frontal_Sup_Medial_L,Thal_IL_R,Thal_PuL_L,Thal_LP_L,Temporal_Mid_L,SN_pr_L,VTA_R,Temporal_Sup_R,Thal_VA_L,Paracentral_Lobule_L,Frontal_Sup_Medial_R,Cerebellum_Crus1_L
ACC_pre_R,1.0,-0.09051519531164633,0.3811102417730561,0.1060632522790136,-0.0852519856418515,0.0850649794911878,-0.25803515848826036,0.5581720075312571,0.6429346969107039,0.48591028747531495,-0.49829909227954017,-0.3057973293887398,0.47627231382497875,-0.4492018305595271,0.6977033722042814,0.2734880916222778,-0.10486199322506744,-0.022070860051021577,0.49335407878142395,0.14703610536553047,0.4462604061093595,-0.3290679704753813,0.008565854946991042,0.1215679191815239,0.5974657705588202,-0.26545623138001767,-0.3597362972470856,0.05389518057416639,0.3812740043548607,0.5363429421266119,0.6188529501700865,0.662350824673155,0.2265796682831417,-0.10145144547275446,-0.03548445206953321,0.4180194251343318,-0.2874084998500352,0.036941981493215634,0.09801344520210176,-0.38268348581533895,0.6145988183642034,-0.10630219065810553,0.19323250665175812,0.5214638966771192,0.287761803143427,0.27333369910007116,-0.021145682488976726,-0.3167732519828916,0.37574667764821573,0.7208032261253238,-0.06378344313037017,0.285482082062916,0.12607329979757656,0.3997448430843472,0.6524187360017895,0.2602902066041027,-0.010246085966525232,0.1005048717607336,-0.46932377297164635,0.2152790676090985,0.26004196145866076,0.14621240018979492,-0.1165896768442698,0.4169475463529458,0.013097674311215841,0.31891643748991216,0.09581486795573227,-0.18466473461279312,-0.11202760231940412,0.09839163449908703,0.4963424948792075,0.668373829097749,-0.2817460668660299,0.15390662195352128,0.14683098086044438,0.2925195505230326,-0.20931725164237344,-0.3855340889646826,0.7469680832805471,0.3304455302949169,0.4407983003049972,-0.16912932373319187,0.44394502210288167,-0.07977156242759549,0.3177225621144065,-0.14025572336922282,0.21331446349043923,0.24131531622552527,0.7258533630239983,0.2706686795351114,-0.2715122642755717,0.10027740107502542,0.6887376329411139,-0.2897240187070806,0.2064038165360185,0.35017083727872156,0.158287596889998,0.24731469561387195,0.14558312803799328,-0.15701593851715784,0.5608498257002286,0.5270246828502735,-0.12695479983230876,-0.30000702856201444,0.09809009273348701,0.07616804457048357,0.40101740977517286,0.0017998839538900817,-0.6016947767435294,-0.22225647087813177,0.18552479403228656,0.12465379181744259,0.3647191555160494,0.4402320607733839,0.3884141511747496,0.4320699471658026,0.5604105679422958,-0.09252106861865916,0.41795528317805275,0.047383509141594,-0.27271055884359857,0.5947235868092018,0.04250206436515818,0.31753161661762,-0.26386457388515094,-0.2664181967508797,0.08952271821170603,0.1970722436055478,0.06075829262731895,0.1728002637520693,0.21925163785174626,-0.0717901944739791,0.7489012122623583,0.5387559129202552,0.4885799878275755,-0.27761882439279195,0.5213046150495698,-0.18406165820892875,0.3860523717400024,0.5227730060567656
Thal_PuA_L,-0.09051519531164633,1.0,0.2740388733723665,0.2630772746150983,0.46321865065316914,0.3101802535092107,0.39190122070286515,0.34697811477824453,-0.09266539039181702,0.13356507868380726,0.07262458084694567,0.3361627448324856,-0.08450622035583927,0.27070888261792325,0.044378933417070596,0.22006624680756268,0.11594782124657232,0.46704708418634855,0.004520100844036292,0.0102580602431272,0.2215866744909046,0.31194847979286927,0.14138430155998916,0.006404134605737692,-0.09972000168823777,0.1358836399233302,0.18565079263210252,0.027454505323454354,0.32047108736086805,0.24178382193489348,-0.0016837357094253915,-0.034150663608441705,0.19984454748951766,0.3573746053732598,0.3149109091507423,0.1420325265548628,0.2009587663702838,0.2942045194893147,0.31882064077518474,-0.09273452649488609,0.11292651140367324,-0.04730104911674609,-0.13663216428112238,0.23314625193444677,-0.09685836521787648,0.035737076079558464,-0.02941054794808317,0.20882137106045248,0.19785747290034963,-0.0026729898014758438,0.4152305596359232,0.11590212747221745,0.25584544813587806,0.3292674405526267,-0.10216131680224812,-0.05098725488900381,0.24812460791350546,0.27974209148337836,-0.2840258940643683,0.2981745708640593,0.045962328839121686,0.21851125746132358,0.5569653093269862,0.34571264507115895,0.25472191024771434,0.48461811399799604,0.08514241789615148,0.23266133547397477,0.35893261637423723,0.48108497323132204,0.2512796297628315,-0.1018408001994869,0.009383612864688742,0.3277613101155848,0.25580811844695994,-0.03393056533331816,0.2485691311914503,0.33260693120001106,-0.056080973068903375,0.05038402588467737,0.19750910071669817,0.2586504575297114,0.08536702499318867,0.2854078053790835,0.2967775349197052,0.5106485200900688,0.27956605889532793,0.1743534309472148,0.11391805509318824,-0.018871686915878916,0.05687531475554327,0.10544263449660728,-0.1865010889216419,0.2237013302061565,0.18026456301342125,0.011645789462955268,0.12485288724073193,0.06948134072709267,0.0719539050520061,0.33461589505383527,0.21334117552072274,0.1710239051862959,0.20570295561994156,0.13276169576321512,0.4880493469768952,0.1657888790543241,0.2724288374365267,0.28030684485713087,0.22421074119703618,0.14004983587276215,0.13906780182093406,0.42274254788670934,0.014335717730742875,0.3591241100009745,0.23438538512812737,-0.16133010182769814,-0.07400539282851311,0.4184367644723007,0.47334633314110974,0.21152785159898307,0.3289691729161307,-0.1319699498447917,-0.28286245956953887,-0.20503317920290987,0.3176625165299546,0.12852150781387478,0.2697416365557178,-0.06522894053532495,0.16866926739517432,0.33546684336071886,0.13958462070850763,0.23409670966238605,-0.061253035310681526,-0.08276975968594885,0.08070699793926935,0.15720830328294358,0.12051976272772398,0.49409982673017244,0.13483302344858997,0.0946123364661718
Thal_AV_L,0.3811102417730561,0.2740388733723665,1.0,0.3692878875100196,0.40270843625186836,0.13148696448617292,0.2505385246590917,0.6150589564785445,0.3108037314862338,0.5575679687838125,-0.2524974846540415,-0.16881405477654407,0.1556917034651311,0.12230350954336625,0.5384907485972518,0.38092009116839814,0.22027120303415984,0.43175008346538996,0.4355903112765637,0.15453828923412477,0.5658426192744072,0.18519480236621394,-0.13292673595952134,0.1605669747548545,0.3266412471140756,0.07621030777413448,-0.18130731702805838,0.1597073146518472,0.5891837929743488,0.5745219502773741,0.33341402637216544,0.3892375849839369,0.5252335120966672,0.2975654013070818,0.23854997635880731,0.4331429807345344,0.10265538256715379,0.3628047462370567,0.2245976934105521,-0.07182049053705444,0.6223009787843278,0.0525957683121127,0.12959764397323587,0.5335516078934559,0.12425457211073679,0.23714258719804987,0.3005700126171481,0.20598766032668875,0.5021224829203046,0.5035878270609538,0.3944737333914408,0.4703175358029946,0.14467195314467335,0.5234447538269925,0.2843779623574624,0.32990702347586054,0.34593404340024725,0.4543642243411375,-0.32344078743888033,0.4205942501429514,0.33085043210517084,0.4433587714263744,0.3329940765372025,0.5371943517390166,0.33242813905383556,0.30577259152274827,0.12238469096581822,0.21244352479672393,0.2990263564758147,0.285268820864439,0.3035004634546803,0.3539955350002455,-0.16119201900526348,0.4776182790656025,0.2266302772336056,0.12780549784658612,0.28329563609062186,0.08479605681640033,0.3860203588346404,0.499630901613628,0.4993169483487928,0.27272598171844176,0.40277576536755916,0.3948084631747279,0.5923063870700321,0.24983708825690307,0.49975902745796513,0.3335272536831196,0.534010627872726,0.3599771484476184,-0.10197066610133432,0.1754937292892964,0.34904780641305105,0.10713572585032548,0.08994033018296954,0.39222205923295267,0.034803202011996055,0.2772834590800848,0.125641791611862,0.347184161306439,0.5388127565795098,0.5672444069733242,0.3010826003380292,0.16009627805351964,0.30245318096036483,0.22035707511413896,0.5620627609228054,0.11857335397523133,-0.038291794184163036,-0.08663741144788573,0.2895141361004305,0.49910247440950856,0.15579411432570606,0.6245220416704371,0.41965444724689194,0.2776503959522437,0.295207334582293,0.31223772666702604,0.6292307760013586,0.3081240516278657,0.2178069538456747,0.242957617947686,-0.12054824567285825,0.0720076668459672,0.24746278140128075,0.06764001185925395,0.3492559032117209,0.2859185656362037,0.3938369848192565,0.4389233370558562,0.5285514157289268,0.25377387917118654,0.3572856371710943,0.3953490739954868,0.4119665803500549,0.183280869571931,0.3686973332071862,0.21508931139920134,0.37455427752689435,0.3659488983954238
Putamen_L,0.1060632522790136,0.2630772746150983,0.3692878875100196,1.0,0.6794485204402867,0.07535004834764991,0.48144316906792567,0.3217139031432907,-0.06100529427970323,0.6442031060292965,0.22915662952986113,-0.19575389551902841,-0.3127543582321957,0.4933866787862181,0.27707970741298626,0.25916673158154047,0.5609452215414511,0.684419509971501,0.37444066844284885,0.1518295509328551,0.5439975105590037,0.483453627063309,-0.19234724468244835,0.30038725650562736,0.2691256501533035,0.5653476366636618,0.05818885757575421,0.37686685827106486,0.6052646513617942,0.3479686253270946,-0.05547151984324404,0.02564352397682125,0.692926700629786,0.4580839198880468,0.5355107046722687,0.17837998518707382,0.3486631528811045,0.5297365562958851,0.28805030239036683,0.27117727560244875,0.5461611572588279,0.2213919949942793,0.03642020314513935,0.38787020254792925,-0.12456879443837239,0.28890778315972027,0.31226329561474125,0.45048641028472214,0.6077144044742872,0.14005669899075837,0.647123245239823,0.5081164724906391,0.5004860038286387,0.41806059417526964,-0.2001174473701572,0.10478461836480855,0.5862995884341243,0.6527885448110018,0.01952355273749718,0.3893987207111691,0.6231388912261319,0.691341348396046,0.6270082253740075,0.3273221765125777,0.6993629950038456,0.0961136539466112,0.2768907819637645,0.4413841350980994,0.5303095833606808,0.2121170293130927,0.030114195228515085,0.0617143984494682,0.31619048945696526,0.3384571605504175,0.5164216076273871,0.000604380810525654,0.6433432348013993,0.42336474935814844,-0.05697523242256493,0.5105741444193692,0.46399869565916924,0.6236063314204773,0.5127584379679122,0.7276895771230572,0.44274836649838817,0.47844726195907794,0.6624684857509494,0.6188576003972919,0.24767783701994414,0.3296735164005951,0.3829136655377903,0.04290072605861356,0.12394407849075255,0.4608949812058386,0.09342342576150142,0.6006035107599937,0.025376433068396608,-0.1940678816001393,-0.11719359350741439,0.6610973762878786,0.30361539879018634,0.255641730713271,0.6016289374873166,0.5089242616444084,0.48665708548695574,0.638496067531924,0.39034194891269897,0.3266894780339142,0.20021809084440317,0.003029255457546152,0.586957694424608,0.7476378902892615,-0.26123478457821286,0.601731432331849,0.1311679181667331,0.0765719372965877,0.3093339187124125,0.6095191185761035,0.30092040038330403,0.6575431487378576,0.6506851108031817,-0.15903604866077273,0.007047662511278044,-0.1341914349506525,0.5410766014444032,0.395187928070482,0.6298862081495606,0.22250818901595842,0.7280693020258733,0.3598434841752721,0.5760986810114722,0.09277494291845699,-0.11090034434753257,0.3790816113378847,0.19498886735179155,0.5900668582775946,0.44909829900447745,0.5758153875788986,0.6175585006654823,0.05590914819875269
Precentral_L,-0.0852519856418515,0.46321865065316914,0.40270843625186836,0.6794485204402867,1.0,0.24351079862329084,0.6788631992507489,0.3529018566441176,-0.0921688873275739,0.6711049212117274,0.44879505156455446,-0.018771935473567678,-0.37802847234140413,0.501146915581235,0.257115938626341,0.24476054137662975,0.6099097939519358,0.8521195175851005,0.46791413944651167,0.2920985011492133,0.4569102283393043,0.5837162385916148,0.004270309726363066,0.5136664097693345,0.03191933562690822,0.6601354216680524,0.21831379018939848,0.3502564882194554,0.655646695977729,0.44933973862631094,-0.13527727327939135,0.0019314534122328764,0.678192194984693,0.6389924241778018,0.5862835630144851,0.282981828453091,0.4197254562841253,0.5897661279139623,0.18411635506597698,0.4008381467006677,0.5579704910894036,0.23523345379528388,-0.043137013290835136,0.42113879808903076,-0.02417374524757494,0.35721304664997533,0.5280301913246571,0.4881515704003879,0.7350098669897039,0.13647678902292487,0.8490395264946292,0.5501283113806219,0.48601676859402493,0.5708265166279396,-0.20302621913678878,0.31148591638954753,0.6655959745974216,0.7204273952465391,0.12175194727507031,0.3603121735812585,0.5284457902895189,0.6679442743058438,0.9215288517354109,0.6490615125421069,0.8188368558705484,0.22577109286565278,0.20648337676641956,0.4990239142101912,0.6134218676627167,0.45984298947982377,0.018116248935583272,-0.00034466008620530916,0.20929858185158184,0.46941786609118474,0.5833020713400694,-0.04458466056310412,0.8277703041414981,0.49921655319655656,-0.2594689936246576,0.486670940248811,0.6405888925808438,0.7708812013932677,0.38901816375119963,0.804693742551398,0.502636737133964,0.8369199723709224,0.8368344045279599,0.6067735951877451,0.21964441083228484,0.1798796878521411,0.5476375503762554,-0.06329478963668647,-0.07184965201529203,0.7030637368135952,0.30391406556758777,0.6295407358273943,-0.03630896016078897,0.0500723219242127,-0.1062769046045285,0.7790090660429922,0.37858864285318855,0.2630132761829878,0.6536714155859112,0.5741179796978002,0.6027074447331988,0.6755330863213758,0.6622419153283475,0.24486183421733537,0.3471839491574064,0.4132734886699418,0.4882080371944778,0.8266426161248351,-0.1772003371164409,0.6711081903718363,0.32470969048287535,0.07307019932220649,0.19342653974992777,0.8653205612558706,0.3922423375166417,0.7971561293478583,0.7638653899310821,-0.10053456756334102,0.022595976318165956,-0.12484468013365208,0.631592746031134,0.4588019429244469,0.6239043942169388,0.08155045099472143,0.6031377340164286,0.5195253652090607,0.5377640159633713,0.15247041291821964,-0.17811755998679593,0.2333490492798421,0.12819068930534658,0.6261481042968893,0.4542444665318666,0.904443612830522,0.5578601590056756,0.008313134519191492
Thal_MDm_L,0.0850649794911878,0.3101802535092107,0.13148696448617292,0.07535004834764991,0.24351079862329084,1.0,0.07574943457146485,0.18170246390647418,-0.1595588285940825,0.1427406230826531,0.12235085957175662,0.25767544801398024,0.04074416371845523,-0.018054839870267392,0.08648001151135792,-0.16324216938972896,0.15257532294057194,0.2346280190970133,0.2216016402052703,0.1647403746681787,-0.15112084245339014,0.058429945222311486,0.016917120384703024,0.13708625387149165,0.1491856065033495,0.04715236911710041,-0.03720255838674432,0.045933977733636513,0.3378787431107937,0.340767802694226,-0.1714075655452874,0.11903538258782488,0.21451675383462782,0.3307831164461197,0.4202909625120076,0.2823638476197418,-0.04515779403622093,0.6133960640067743,-0.040591945799473284,0.156290168452467,0.12681584646048671,-0.058718995352867974,-0.10163349972815652,0.2452100835818864,0.10267250841860164,0.17401427783672865,0.04229123312358707,0.12416719399220263,0.2990362068685547,0.24539618140745684,0.21536760241622332,0.09795892544689998,0.009809712102940273,0.14181932448862677,0.15720993639457148,0.16427251412289934,0.003492456928586796,0.09189102422091015,-0.027489504150649963,0.44192681593724026,0.10994138987093402,0.11807412328195915,0.15981677181025353,0.3677679349244849,0.29901087193013365,0.33927712303450475,-0.05412726070804845,0.163674812974327,0.2406608517699263,0.16900511120844275,0.009056803287489716,-0.0901880291260585,-0.058066604038742725,0.7351893667939903,0.3053812923661529,0.07721021579849345,0.10192550156348319,0.12271741708577047,-0.001542539029477312,0.37195880270334486,0.2784643897122196,0.16640215955643917,-0.09882892699232086,0.19012243256029485,0.09754998031735083,0.16719903001785621,0.22818998767273813,0.0765884245414878,0.1875934025459696,-0.05782051020710937,0.020814649133605253,0.30488126989169184,0.027394151709649008,0.25390359623720715,0.5894908382220702,0.18602572066255457,0.07021316933085815,0.2057181619547944,-0.061471949360478624,0.2397020116135991,0.32482319662140113,0.335436082120748,0.040459295923965695,0.023826410084457995,0.2751345568092164,0.40771297880408996,0.27215257925498926,0.354170368841454,0.25480843589867075,0.31183888813209226,-0.041515003452121585,0.15086659041148112,0.38817163757419115,0.34465534060378594,0.0564417449775711,0.009557812378586604,-0.15775500135599563,0.24407015375071123,0.11822574193517421,0.3000912889798437,0.1706643075699881,0.18805249581288994,0.0984120077709969,0.06659705930892246,0.09280348898154323,0.32331255759579397,0.5051192235503992,-0.2422412831613966,0.0008938329548740645,0.4206603346144657,0.15280399802247757,0.5931654653351701,0.09070949027515707,-0.19584517470714574,0.07315881863488595,0.05133734515246829,0.21396942588522563,0.35618688346485966,0.02646863250717481,0.06140371190003683
Cuneus_R,-0.25803515848826036,0.39190122070286515,0.2505385246590917,0.48144316906792567,0.6788631992507489,0.07574943457146485,1.0,0.3160037416571293,-0.2567878614970459,0.42966812632538226,0.31200485863178845,-0.023754863987122014,-0.3464177993047074,0.649081207118308,0.09768241721072028,0.11029355100955336,0.32289770448091576,0.661108122805512,0.19974663995207162,0.18182604864075563,0.31842598108961667,0.7487969573241212,-0.05094414365724982,0.33433926247722423,0.05992468466557994,0.46988827542522327,0.17722387410416726,0.23161354420261465,0.5134778150167637,0.36144702135292994,-0.09748974023344874,-0.07383466860731619,0.5236713353181828,0.4948677026179633,0.32572546455461604,0.22996440446900251,0.355143635671147,0.39776275072399164,0.39029352010045715,0.18594926556473748,0.2971132636591002,0.2410254636860906,-0.007037788815446724,0.34636405252390523,-0.023260387655654368,0.1470471432553434,0.43666969963260654,0.5320144691448677,0.4226961576453518,0.037305868432341835,0.8210481028593769,0.41365894105411966,0.18483986714258213,0.4192653588540975,-0.35232524701044926,-0.007398161579475105,0.4479876824003457,0.4794835573723823,0.15001245479413744,0.14547498355257943,0.2854504062804469,0.3474641064810201,0.6234977783358683,0.3501024838065656,0.45966211163374177,0.149991033672237,0.46371576081951654,0.6524155107310989,0.579645243946722,0.44223028647372503,0.019681303082333335,-0.09835780847571828,0.1786396918695878,0.24248228864006838,0.28688677788978395,-0.17733696893374368,0.5374370257272619,0.6767221218955196,-0.2541760171379569,0.21263075530127468,0.3482687891468946,0.49120171959004566,0.22294194242766296,0.6414353781908801,0.5176831509745277,0.6383958276590554,0.5966163854599076,0.30938914633598225,0.05221296189481667,0.24053981810427244,0.27072517173573407,-0.048231351558608415,0.07656803851964755,0.4690759958792721,0.0891985645874158,0.43549056586372303,0.023887717805528768,0.200871938459224,0.003982958763474452,0.6355217735277782,0.15521054254881875,0.07994045624342,0.6548594043877579,0.4159313889662268,0.38884225472648243,0.3471047914625904,0.421517233633642,0.08216325576319568,0.3216987354477562,0.3054363674036129,0.23927019333406682,0.494349203473637,-0.1739880410147602,0.3855924648142122,0.1671888023007275,-0.22123586628472264,0.10650166094698771,0.7622339605312525,0.46780812828189894,0.41934527583894593,0.5816724592228524,-0.2704790924853485,-0.0574395236077823,-0.16024946160405476,0.4602131155856656,0.35469808647329404,0.34105119839063053,0.12443179087393999,0.5532828221046032,0.3722002629597376,0.2926925214360722,0.22643220019840057,-0.21849429036258122,0.07535173437986036,-0.011249139387961567,0.424560029183605,0.17081917714890577,0.6829446986676923,0.33066901731771886,0.15441333128560758
Cerebellum_3_L,0.5581720075312571,0.34697811477824453,0.6150589564785445,0.3217139031432907,0.3529018566441176,0.18170246390647418,0.3160037416571293,1.0,0.48929927318121275,0.6625654770123348,-0.36831007842134783,-0.10181240322954246,0.3179713964680105,-0.08094167196885828,0.7770413400599033,0.4626697638008289,0.1180245141878992,0.4689177952107066,0.5793552711158259,0.21559142469785053,0.717600725259053,0.03578534003888634,-0.04553447539721927,0.14695438996322677,0.40573422919160457,-0.10852887883247336,-0.27733871176970676,0.13281873785966836,0.6792378148860558,0.8156491138764561,0.5403333946453917,0.665888977306658,0.5174925242838305,0.23998195026725122,0.16445844149845495,0.7467453736940298,0.015365139364266893,0.3287634494184778,0.267144440092496,-0.38391819920219933,0.7451702865580758,-0.005424482033396905,0.14562974430718867,0.7843960631999537,0.20091097156210652,0.2183430653569127,0.36040767878654684,0.06289359547879715,0.5675607905731996,0.7779389109611083,0.4603288428226841,0.5480516399338112,0.17967573160726136,0.6595411782481811,0.45398034305216034,0.3471180061840917,0.2311850658523918,0.4267678786476831,-0.4395254593122788,0.44012929999483014,0.37188633571987484,0.46072030758147076,0.25284876246641524,0.647003957992109,0.28799932550607393,0.5991830337515739,0.29830343122246455,0.16199506992135074,0.22827568088241504,0.38617480434954743,0.5429611809334092,0.5846431998903897,-0.27664348992073723,0.39659340332089876,0.2051227569977513,0.0774005874576876,0.10112726788726656,-0.012683216135999003,0.5725300834832447,0.4847817056775344,0.5793689104170784,0.09818982731286761,0.4242831839480847,0.28300665486442717,0.69105032231946,0.21436037464383076,0.6019239363209711,0.38176407745516155,0.8191444086131152,0.4888346095088775,-0.19515724700772882,0.035146141330199325,0.5774218666356591,-0.021412726049129575,0.2311542231704859,0.4275433061215797,0.1662651780956854,0.46172223764008313,0.21897754352408041,0.2757941045716786,0.7246156586441227,0.7347850177280828,0.1801257274869759,-0.14948331298800552,0.35644009564731505,0.09779711954060777,0.6577341501740738,0.055738322120347475,-0.29527907377904994,0.006630219660349206,0.21886083706619758,0.514664571301574,0.30725056619706337,0.7890170714751624,0.5993335759002423,0.47270830042133766,0.48880564287687206,0.35292838249232317,0.8150847725113408,0.23988728775894316,0.07639845322072913,0.3800842902870868,-0.15190544827557426,0.22251599219574839,-0.009545405082751715,-0.07920059576920052,0.24551928696738498,0.20304552874367884,0.3296550226033832,0.4423864090032264,0.4072628885321419,0.22606341515169884,0.6614759862665008,0.4762699163703364,0.6288122151770239,-0.070349513519219,0.540265557431664,0.21706749994075494,0.33619275260095244,0.5531227288259055
Vermis_6,0.6429346969107039,-0.09266539039181702,0.3108037314862338,-0.06100529427970323,-0.0921688873275739,-0.1595588285940825,-0.2567878614970459,0.48929927318121275,1.0,0.3055279742192297,-0.47241025425432404,-0.11628149375732001,0.5977638035982681,-0.4187098132536105,0.6260810129919414,0.2967687038253992,-0.007954029763477324,-0.04356074041360387,0.3729996857836982,0.11727608925599506,0.5575456555627579,-0.351830002311555,-0.02639329291553667,-0.030337597264577385,0.15876276553214916,-0.4140474005819789,-0.30969065688796993,-0.0230389223305949,0.31722695870730816,0.5578282191662897,0.5474988642941141,0.69431377137565,0.04925770761206505,0.03242066844771274,-0.2062662391746774,0.5780697987591707,-0.21425410356072574,-0.15352195804034496,0.07971701630637286,-0.24302553945878844,0.5144468635244174,-0.05579407806379591,-0.00993284860330319,0.553382899154071,0.32389878786933807,0.12210438648478318,0.241391758789593,-0.17202436165783277,0.35612358193986376,0.705893970185342,-0.07422786367354663,0.06240156886514819,0.06023176615489949,0.5393427353858747,0.723324489976874,0.5349412912669301,-0.1357454117987363,0.16081601390015793,-0.5435107049245159,0.2551166633795582,0.13087418801033138,0.14585249327965707,-0.2049407931161845,0.4454239721976523,-0.020600875073444692,0.264515263702974,-0.07343863250035661,-0.11690613299490459,-0.05746048377917706,-0.08870479258292924,0.416306362748345,0.7824431951110894,-0.3388579514617382,-0.07530066413553502,0.058793479293151825,0.2503757847995158,-0.1858122759957107,-0.3868739506403844,0.7433070496122406,0.302703915585822,0.2810484693886563,-0.13806993571673234,0.31775860635707076,-0.09696562474480226,0.43671248754802017,-0.22779306338531294,0.2608018596668549,0.09590510807348702,0.6214970656438065,0.12791363784574156,-0.23691483402117725,-0.06004763217131132,0.5078039328199105,-0.36821527578063024,0.1939283959708352,0.19113233749095446,0.17072930197969458,0.3438288133126856,0.26923562225443476,-0.12681471158802482,0.4808834934565887,0.4412334624139362,-0.239057216885996,-0.2405764461838887,0.050011382707212663,-0.07426160501922363,0.3942313927953625,-0.1278393515138811,-0.5648580909934912,-0.20405387838042785,0.1484275614923987,0.13840002557631984,0.4019145628517155,0.3500679874920341,0.33327390738951973,0.4895142190204971,0.3992244037787997,-0.1468553920864188,0.43111466291912187,0.005973455985356283,-0.23312636722980712,0.6910209120738766,0.16869114973693108,0.31238251049905513,-0.2799128328826687,-0.3111431675251005,-0.03296704661148913,0.07262042037725457,-0.1294011629384567,-0.06720344505395427,0.20683797991389424,-0.16552290938239972,0.7091497695235467,0.5034489512676805,0.5921448941786379,-0.22528872318986629,0.2649843412993119,-0.1587228765161206,0.08024098984154529,0.24509893025122131
