,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R
SN_pc_R,1.0,-0.25509282467369565,0.14980790170813696,0.11772514507431592,0.2062760371595399,0.4416474206274641,0.1471528615802546,0.029971393110161657,0.0006431974488480255,0.5403651373774127,0.2866901788173468,0.4355903112765637,0.412728353256406,0.4011793822996238,0.1923705883585967,-0.05256771139579308,0.6304170002151764,0.5468626957027725,0.24871997641126292,0.46791413944651167,0.520856351551641,0.14128741036064105,0.6075391497063888,0.3429410895742764,0.11417931519781302,0.48596176742579383,0.4038622019880976,-0.04062316419519857,0.3965648591689906,-0.027217644787145008,0.3729996857836982,0.35301761935284887,0.047240749156348634,0.6593246895004112,0.5958989737381633,0.654346312696415,0.2075273156168285,-0.06809659679891819,0.17623959233073677,0.3471067753530813,0.7173495016724222,0.41487464777165195,0.3898100342808987,0.538245677433037,0.30833226702338046
Thal_MDl_L,-0.25509282467369565,1.0,0.05791938185757269,0.5254566654197795,-0.05530168066327326,0.10452238196319673,0.1035178160945476,-0.10716389209938042,0.5490873298074428,0.24386950464357934,-0.48818004789138586,-0.038291794184163036,-0.1686103024304992,0.3607438655823493,-0.2472421559712387,0.373747674251506,-0.4930932954779366,0.15777645754531358,-0.21910405579142678,0.3471839491574064,-0.10169492048177954,0.41603780895058534,-0.4303410791421099,0.3135329029273229,-0.14718987397155392,0.21942914637863667,-0.019847706459328644,0.5079527748201329,0.3175966676868814,0.6130191213322435,-0.5648580909934912,0.34609069679304716,0.5714890768608178,-0.5285216662739075,0.14986118227295095,-0.30501517611636547,0.3032676379922366,0.36808699215771506,-0.06174426624319733,0.4824917782261909,-0.1581815521002397,0.444103127259537,-0.6169729884188108,-0.17968761741722408,0.4313462322117068
OFCpost_R,0.14980790170813696,0.05791938185757269,1.0,0.5870661869994142,0.25495208980810563,0.268630456209952,0.016557726166755354,-0.44606523355058525,0.3882363754049075,0.36588472542564987,0.15559188679656216,0.15174986163409418,0.3461802406362812,0.10943114905062198,-0.16797991868278697,-0.04576546519808966,-0.06712029750367189,0.5012082309648604,-0.2870017142274892,0.3195153666213568,0.14885319248417914,0.609936676348323,0.01890121959325581,0.28753877952854867,-0.016047954240701878,0.09165900726776913,0.5923055505306399,0.31220370851599805,0.29429298861160896,0.10591498737325727,-0.16368952116354707,0.23160040027197426,0.31249928503101887,-0.07060980857140822,0.2910689498687952,-0.06084313104282562,0.11247246146425713,0.15801279142681005,0.33101005996423216,0.42093135059750947,0.23453620253642996,0.05142396115739293,-0.47007849842959515,0.1779978911672518,0.5001909189812308
Temporal_Sup_R,0.11772514507431592,0.5254566654197795,0.5870661869994142,1.0,0.08228184652199856,0.6068767771325407,0.17307110440606935,-0.27620345452518996,0.7636083697184126,0.6311821790952074,-0.2513133076669626,0.183280869571931,0.30652113939438597,0.4984140915107333,-0.36615487683741377,0.42150879834148025,-0.1297995531794821,0.6156926078910578,-0.24254072984006467,0.6261481042968893,0.20916742535050084,0.7991741888981657,-0.04927364809481877,0.507788908616027,-0.04449450411488911,0.5704520167047629,0.37894212425141716,0.5429633774828406,0.624394554367919,0.7145012152933701,-0.22528872318986629,0.6166376302012587,0.7113447503376943,-0.22335605873846442,0.5711757700179037,-0.05439632808540433,0.48295827720750545,0.43666364185399537,0.28117630043853004,0.8314992166278241,0.26394555267373776,0.40911961671584696,-0.6533422391251941,0.2291818941970771,0.8767411849490845
OFClat_L,0.2062760371595399,-0.05530168066327326,0.25495208980810563,0.08228184652199856,1.0,0.24112690852405108,0.1319037445076014,0.020256280797858198,-0.21458096957867917,0.13696709132759755,0.12284325352671634,0.12238469096581822,0.16106865657625138,0.37215356668377797,0.12285715303465596,0.11123783219295919,0.35063622980957615,0.48566557006318956,-0.07847480250519114,0.20648337676641956,0.09152010686236062,0.3560819120186641,0.3847007469528277,0.1808277296332971,-0.2277856499396925,0.1610083323068309,0.09209359183897393,0.198354444850716,0.3650924163038682,0.24560219652690596,-0.07343863250035661,0.05742364268438968,0.28714075872481687,0.2710815940435629,0.30580477247534094,0.1578171764390077,0.07693207203488107,-0.06396846062237967,0.24680596900280755,0.3042854644514249,0.4361611364009359,0.10311254426647205,0.044228826698106224,0.20287555138214722,0.2313340734867603
Heschl_R,0.4416474206274641,0.10452238196319673,0.268630456209952,0.6068767771325407,0.24112690852405108,1.0,0.4013821293835033,-0.049865350355597436,0.1966191795411574,0.6265715111777009,0.006570932427486684,0.4433587714263744,0.5007250307312365,0.7017804766017246,-0.16051347406798327,0.22232398675723222,0.5207307565541481,0.6743469406095005,0.011849300511076674,0.6679442743058438,0.4702188811897279,0.5084043871819596,0.4156973587643695,0.5613189986945342,-0.0316661399951356,0.7289509107175992,0.20975889274780643,0.3126294767444766,0.684130847092226,0.5173498189077798,0.14585249327965707,0.6487513622681592,0.35043979573172007,0.41537671027032375,0.7697685212920701,0.44083000708481473,0.32737170006002175,0.12765705987286743,0.4613456400841236,0.6866467992394639,0.7075810633701568,0.4404160788728247,-0.06002144455872606,0.5503015259084929,0.701053516853313
Cuneus_L,0.1471528615802546,0.1035178160945476,0.016557726166755354,0.17307110440606935,0.1319037445076014,0.4013821293835033,1.0,0.0677452785912702,-0.004473912910230684,0.2841125878819232,-0.03281584164695558,0.1611886873953179,0.10223552271302684,0.3658683303144929,-0.008349345698262768,-0.0030468307187528332,0.2620037894576195,0.27844703694751033,0.0540822742395692,0.3227794303987431,0.2648323473600749,0.05361762616275467,0.1906922215729899,0.2340596510687508,-0.17330927096053003,0.21510292181224197,-0.033767782950728215,0.2521300798211389,0.448000077877047,0.2666175444855257,-0.00877621902574705,0.19879793906773927,0.29234842674416556,0.2142677188280583,0.3916767893617954,0.18341671182897695,0.17396101883730725,-0.04074654417100006,0.06459837828650164,0.2708180187813371,0.3187436005193312,0.2885384642489134,0.0602362769604294,0.39452800984062436,0.18725608782940167
Occipital_Inf_R,0.029971393110161657,-0.10716389209938042,-0.44606523355058525,-0.27620345452518996,0.020256280797858198,-0.049865350355597436,0.0677452785912702,1.0,-0.2936181460236326,-0.04858242786467479,0.15530279966323016,0.125641791611862,0.038604277768432796,0.10178521287576019,0.09041056308638523,-0.09949752192088705,0.27474347667200016,-0.09918140079608848,0.23210120427533387,-0.1062769046045285,0.010656120777365288,-0.33727157804511826,0.2586744001484802,-0.098880142429497,0.10114222874812302,-0.05385523605356525,-0.253312840517497,-0.16690855883089945,-0.0805359287458204,0.07623001947819295,0.26923562225443476,0.07113353405183416,-0.10058020478867967,0.21423412006839748,0.04184257839945337,0.160131576867328,-0.03172819046083348,-0.14099274289731026,-0.13021279678452624,-0.09346418134165874,0.07681275634152684,-0.021985051476262167,0.3734642910617905,0.1420941462597839,-0.1781155105525746
Temporal_Inf_R,0.0006431974488480255,0.5490873298074428,0.3882363754049075,0.7636083697184126,-0.21458096957867917,0.1966191795411574,-0.004473912910230684,-0.2936181460236326,1.0,0.39453115964806085,-0.36366947108942305,-0.07182049053705444,0.055434520013275645,0.16988142200708073,-0.25314418123714993,0.4192517165175881,-0.40082147064769114,0.2864295524537968,-0.26929301025799984,0.4008381467006677,0.045547952323073446,0.597855052064522,-0.26413471974935937,0.26482386128890445,0.002656486771010624,0.3761321049301721,0.31942324294458435,0.3601859097849627,0.2994776831078985,0.4771830685201261,-0.24302553945878844,0.3916193727903555,0.46286049297261056,-0.4366574610371834,0.31268952871713357,-0.23025692255704217,0.4508270934442921,0.44738932091934525,0.06329704467739064,0.5460321140001455,-0.01657066129574345,0.33705854888480874,-0.5823434414061252,-0.07660505707377256,0.6396619765953528
SN_pr_R,0.5403651373774127,0.24386950464357934,0.36588472542564987,0.6311821790952074,0.13696709132759755,0.6265715111777009,0.2841125878819232,-0.04858242786467479,0.39453115964806085,1.0,0.10064862925224788,0.4543642243411375,0.46669531584771773,0.6295777956971084,-0.08535938789740542,0.10312031267757461,0.3281289659074449,0.6621069377690519,-0.025041397049365827,0.7204273952465391,0.4449960755447322,0.48733840438724474,0.3585746196942705,0.5693660529698655,0.010495068741777957,0.6185555230148093,0.44406504984606404,0.3281561789804746,0.6239677129860874,0.45495185860248544,0.16081601390015793,0.6410882058003535,0.5037734395307115,0.30118198769749305,0.7747254183735701,0.4879272331899183,0.36389925793750866,0.22735159506105077,0.33467465988755907,0.7362968792847184,0.6048131287382529,0.5069553276176342,-0.11678106540230926,0.6366480213240662,0.6893078496674405
