,Temporal_Sup_R,Frontal_Inf_Orb_2_L,Thal_VL_L,ACC_sup_L,Frontal_Med_Orb_R,Cerebellum_10_R,Precuneus_L,Thal_IL_R,Temporal_Pole_Sup_L,Rectus_L
Temporal_Sup_R,1.0,-0.25639462580575995,0.40911961671584696,0.6156926078910578,0.30482518795448166,0.37894212425141716,0.624394554367919,0.197723503979797,-0.4099921839344635,0.12222609981203321
Frontal_Inf_Orb_2_L,-0.25639462580575995,1.0,0.14414590419366044,0.3784566744011288,-0.281894259052934,0.06262011266784764,0.06527354468359665,0.2809353747235575,0.6712173527876304,-0.006902513069039552
Thal_VL_L,0.40911961671584696,0.14414590419366044,1.0,0.6239313845635421,0.04104601941076192,0.308816371177611,0.5175403601276946,0.6921043015125803,-0.07088801178109175,0.2854194980361187
ACC_sup_L,0.6156926078910578,0.3784566744011288,0.6239313845635421,1.0,0.061898407646816936,0.5008506766135292,0.6658526902914269,0.4635082024337029,0.0510006307391055,0.14661453035828353
Frontal_Med_Orb_R,0.30482518795448166,-0.281894259052934,0.04104601941076192,0.061898407646816936,1.0,0.028468010477360264,0.15832496493632528,-0.06737716986783338,-0.6401762337250907,0.32714322730134365
Cerebellum_10_R,0.37894212425141716,0.06262011266784764,0.308816371177611,0.5008506766135292,0.028468010477360264,1.0,0.2546033870303126,0.20841388772456854,0.009990882286648017,0.013846274469967746
Precuneus_L,0.624394554367919,0.06527354468359665,0.5175403601276946,0.6658526902914269,0.15832496493632528,0.2546033870303126,1.0,0.4759138820843203,-0.24731931771804636,0.4249925451339965
Thal_IL_R,0.197723503979797,0.2809353747235575,0.6921043015125803,0.4635082024337029,-0.06737716986783338,0.20841388772456854,0.4759138820843203,1.0,0.0006565461414648809,0.44459365433351666
Temporal_Pole_Sup_L,-0.4099921839344635,0.6712173527876304,-0.07088801178109175,0.0510006307391055,-0.6401762337250907,0.009990882286648017,-0.24731931771804636,0.0006565461414648809,1.0,-0.4432112704974912
Rectus_L,0.12222609981203321,-0.006902513069039552,0.2854194980361187,0.14661453035828353,0.32714322730134365,0.013846274469967746,0.4249925451339965,0.44459365433351666,-0.4432112704974912,1.0
