,Putamen_L,Vermis_3,Rectus_R,Pallidum_R,Heschl_R,Occipital_Inf_L,ACC_sup_L,ACC_sup_R,Heschl_L,Cerebellum_Crus1_L,Paracentral_Lobule_L,Raphe_D,Temporal_Mid_L,Putamen_R,Temporal_Pole_Mid_R,Frontal_Inf_Orb_2_L,Thal_PuM_R,Thal_VA_R,Lingual_L,Thal_IL_R,Cerebellum_7b_R,Temporal_Pole_Mid_L,Thal_MGN_R,Occipital_Sup_R,Vermis_10,Amygdala_L,N_Acc_L,ParaHippocampal_R,Frontal_Mid_2_L,Occipital_Sup_L,Thal_PuM_L,VTA_L,Cerebellum_6_L,Paracentral_Lobule_R,Cerebellum_6_R,Rolandic_Oper_R,Frontal_Inf_Tri_R,SN_pr_R,Thal_MGN_L,Precuneus_L,Temporal_Sup_R,Frontal_Sup_Medial_R,Precentral_L,ACC_pre_R,OFCant_R,OFCpost_L,Thal_VPL_R,Angular_R,Thal_AV_R,Thal_LGN_R
Putamen_L,1.0,0.41806059417526964,0.3266894780339142,0.638496067531924,0.691341348396046,-0.3127543582321957,0.692926700629786,0.3302800999896082,0.0617143984494682,0.05590914819875269,0.5758153875788986,0.30669013447861093,-0.11090034434753257,0.6016289374873166,0.025376433068396608,0.12394407849075255,0.5081164724906391,0.5164216076273871,0.30092040038330403,0.3598434841752721,0.1518295509328551,-0.08051378411159593,0.3486631528811045,0.483453627063309,0.02564352397682125,0.5004860038286387,0.16905934590359384,0.6993629950038456,0.6006035107599937,-0.1940678816001393,0.5761493737245981,0.37686685827106486,-0.2520208412870921,0.684419509971501,0.10478461836480855,0.6433432348013993,0.6506851108031817,0.6527885448110018,0.07019539205073816,0.6095191185761035,0.5900668582775946,0.6175585006654823,0.6794485204402867,0.1060632522790136,-0.1341914349506525,0.09896334294912176,0.4917199282732716,0.4933866787862181,0.31619048945696526,0.5127584379679122
Vermis_3,0.41806059417526964,1.0,0.12725809234280583,0.42606624685228206,0.5942904454744504,0.05091818657619095,0.6422627691595187,0.6176322157928984,0.4822743992376664,0.362494717588682,0.5340649233129067,0.5308747871545767,0.2951421078989477,0.4396320086523646,0.24661784458008695,0.4477369837945084,0.36570484702319417,0.3534365349081691,0.7164695240666652,0.288536356819535,0.38109617597653056,0.18086708075278446,0.25637322043620697,0.36643394718321276,0.40296463116583386,0.3303156354562941,0.349955708591003,0.5210285285319473,0.6313705510493075,0.1675832097250268,0.44609130859884355,0.27444083164702054,0.23095677187372113,0.6568243359099638,0.37839105572655984,0.46703284803259665,0.47497576447826173,0.5918791325095771,0.4023655266693676,0.5951002142224432,0.3569956037127374,0.46223348710069345,0.5708265166279396,0.3997448430843472,0.08087742408187508,0.4694401567360828,0.6163074316386956,0.3057443146635335,-0.03611556075849133,0.5516519728883732
Rectus_R,0.3266894780339142,0.12725809234280583,1.0,0.3096739208430128,0.2626695978529975,-0.18361812265652624,0.21770256308649902,-0.003401380940788709,-0.21756136862456865,-0.06550252846698419,0.2977163083786299,0.28766843728154423,-0.2134035625813446,0.26070523294212644,0.4131274823314046,-0.3015668184824702,-0.21749853794689822,0.12612095551677027,0.05293964123804831,-0.08022816520430906,0.21421434146755933,-0.0014830851980238131,0.3293187907521128,0.11598744282401542,0.007180250429917155,0.44039219237215604,0.36309582138358876,0.2530820986579028,0.0439849199620599,-0.25179298918587634,0.012264048165854824,0.1694021420341911,-0.23915743542196433,0.1373271271311031,0.06158945516617325,0.2606456015129663,0.32513310099559883,0.21350071311364247,0.09551328170116333,0.19549227344437478,0.34956185385071703,0.2943626011727605,0.24486183421733537,0.0017998839538900817,-0.36074209364458965,-0.15433438037704433,0.1776268846217928,0.11159560796164258,-0.03660441030079812,0.2048041201912271
Pallidum_R,0.638496067531924,0.42606624685228206,0.3096739208430128,1.0,0.569363982452509,-0.3889237919547344,0.6243188514512208,0.28754774711172987,-0.0014102026905798285,-0.020272172554382177,0.6787656421910727,0.37924362153146035,-0.18768189579877503,0.5524323406462132,-0.11678930448435008,0.05101964634259906,0.36350952866248004,0.6172802425889853,0.06320769121606473,0.4158660145613088,0.3558486452309435,0.14164071010225804,0.3247212363374307,0.42322205108935707,-0.013664465113781565,0.44931450106853654,0.4162671068027281,0.7537757297657383,0.6609778560513934,-0.16302833282320375,0.5036106988652106,0.4738340781543942,-0.2520553848814527,0.5661044044057162,0.26900305167966115,0.7255787985022191,0.6473561599855463,0.5765802328961173,0.015691270201703328,0.6302234355957846,0.6227855515130855,0.5304509585805581,0.6755330863213758,0.07616804457048357,-0.026213687452830533,0.3643951916476158,0.4347476300976947,0.37222077679162174,0.2635444041098552,0.27140508321915247
Heschl_R,0.691341348396046,0.5942904454744504,0.2626695978529975,0.569363982452509,1.0,-0.22313075767255908,0.6743469406095005,0.40895842933931575,0.24519562777495899,0.12510738253124615,0.5907983833512399,0.4702188811897279,0.05290887854348778,0.47752421288011415,-0.0504607639512703,0.18319797546786587,0.5089549749444529,0.42594729282917126,0.3646538901347759,0.3717868072278293,0.22564209362421592,0.013526080630827017,0.37656180715106974,0.35043979573172007,0.119224979333982,0.4613456400841236,0.22281659918135935,0.7953131554190014,0.6149786198465483,-0.032835633166927974,0.5389844471621277,0.3792254460733266,-0.042752119944973,0.7017804766017246,0.2592786730836295,0.701053516853313,0.5959041886916204,0.6265715111777009,0.13964699929043514,0.684130847092226,0.6068767771325407,0.46024965284406116,0.6679442743058438,0.14621240018979492,0.0027841410703276057,0.2157437888246711,0.5938123198920484,0.42853400509322265,0.12765705987286743,0.5007250307312365
Occipital_Inf_L,-0.3127543582321957,0.05091818657619095,-0.18361812265652624,-0.3889237919547344,-0.22313075767255908,1.0,-0.24295756461495016,0.2855159401593126,0.5908034467765234,0.29842616275073947,-0.3979969862899935,0.20988414988345927,0.7505098532533242,-0.551432337680748,-0.026679401764863254,0.45440438657992216,-0.022552316281044166,-0.05753646219879465,0.2850103651566592,0.05085076483542626,-0.13615841398295414,0.05237849348338057,-0.5302698554434814,-0.49561382547247906,0.5431954373263022,-0.1984954692664401,0.0003388057463853744,-0.3036736082166886,-0.16432205379868095,0.526351671333924,-0.20035568734756443,-0.3653888342591669,0.7971037898177354,-0.2752693417348167,0.22630693153482598,-0.5743297924257038,-0.5775199573082543,-0.20697781758809614,0.3197440996305592,-0.4287318707889833,-0.58888320244714,-0.24384679918633578,-0.37802847234140413,0.47627231382497875,0.3424624642222888,0.17478978096242445,0.21528972183836156,-0.5420506068473551,-0.4526220668512574,-0.12100037467597274
ACC_sup_L,0.692926700629786,0.6422627691595187,0.21770256308649902,0.6243188514512208,0.6743469406095005,-0.24295756461495016,1.0,0.5052121229032678,0.17025721490470994,0.2996407938848762,0.5515315749139937,0.5227524159637137,-0.0018164739942204747,0.7859653161524287,0.006009200120496698,0.3784566744011288,0.5367519427303511,0.39027784768442647,0.46826298489571017,0.4635082024337029,0.46061722646604986,0.15382572270719722,0.3343236348680472,0.5169272093503856,0.21029547868662943,0.24232728719398625,0.4097062527778845,0.6026224400739664,0.7881658862572498,-0.04986751473353498,0.4941274111863568,0.43788838578215505,-0.12446412543307583,0.6782341439185255,0.32320742138566616,0.6961026439210585,0.6938927982601267,0.6621069377690519,0.036181228609377704,0.6658526902914269,0.6156926078910578,0.6100080363448077,0.678192194984693,0.2265796682831417,-0.0595483936459742,0.41266493300701923,0.5675732698280397,0.4766658289227483,0.16171188583403281,0.4936811979833046
ACC_sup_R,0.3302800999896082,0.6176322157928984,-0.003401380940788709,0.28754774711172987,0.40895842933931575,0.2855159401593126,0.5052121229032678,1.0,0.6262869310915365,0.47246976927955636,0.22601813715973693,0.5170492553730945,0.5081670187884446,0.2685370158325608,0.06678807075972502,0.6134421599507833,0.4783785903132654,0.31737314938128125,0.5858286433728407,0.3553603843442966,0.1681137386630654,0.05241730921711264,-0.063325662773071,0.13406053725777844,0.5278025129299116,0.0980441777847951,0.1975141784202406,0.28343858878596134,0.5137175139674874,0.37904194445448797,0.3339607714392989,0.1969470390498844,0.41735924715712014,0.32755337912309057,0.34617667858925244,0.21860968020520066,0.10636098843668916,0.45245186993204745,0.30231321482219076,0.32411310562843443,0.07925079599477439,0.4256434984238243,0.297875292848704,0.6204101707739181,0.19177638298175256,0.4188021087243557,0.5800901663866345,-0.005099461683279743,-0.2147104983337768,0.4563689458603151
Heschl_L,0.0617143984494682,0.4822743992376664,-0.21756136862456865,-0.0014102026905798285,0.24519562777495899,0.5908034467765234,0.17025721490470994,0.6262869310915365,1.0,0.41745043826241035,-0.07963630666114417,0.37527766908039367,0.7902917550650705,-0.17150767756568178,-0.016752962664986,0.7233324084230769,0.3199773018653279,0.133443879111457,0.4720232380882148,0.14475279533528948,0.00899859057129178,-0.057150322572983484,-0.2825846355640255,-0.2728264967116477,0.6606691642606438,0.052800990096526695,0.023585452684476187,0.10328118871723509,0.3548874986509367,0.461159931369114,0.1087772779158448,-0.08257696155319819,0.7918685249986036,0.09879056394688177,0.3799077896816252,-0.10947116328457199,-0.21117689464039455,0.18502809229381226,0.3426688746876786,-0.0005959838658681171,-0.2617183508523511,0.16520360883400997,-0.00034466008620530916,0.668373829097749,0.33800005569226377,0.35952036809749627,0.6086425614483573,-0.3165713434627332,-0.3923721903207769,0.29436483181908474
Cerebellum_Crus1_L,0.05590914819875269,0.362494717588682,-0.06550252846698419,-0.020272172554382177,0.12510738253124615,0.29842616275073947,0.2996407938848762,0.47246976927955636,0.41745043826241035,1.0,-0.08421038106661964,0.22481452602311333,0.5395872005375162,0.0981513642319184,0.06220695130574317,0.666120557561488,0.2993782318445602,-0.015263188862565709,0.5772930960327424,0.2609866497680157,0.15641507294801896,-0.029741851555090213,-0.1317088063746782,-0.05336667803136832,0.3407580621451251,-0.03462242698977979,0.19394894416094666,0.02116296255670515,0.30743919766515576,0.3130361130096554,0.03885820759313186,-0.04775410961313745,0.37341279290791346,0.16252798461442267,-0.06700837151617071,-0.15131989151251862,-0.16253617067282056,0.07115027539262839,0.16398773241501777,0.1379755845659157,-0.2589862097561802,0.26063572227742465,0.008313134519191492,0.5227730060567656,0.19558713611534811,0.4690645580778694,0.21858375329952215,-0.07586417063354996,-0.2204207009235226,0.20891814430510344
