,Temporal_Inf_R,Postcentral_R,OFCpost_L,Frontal_Inf_Orb_2_L,Temporal_Sup_R,Fusiform_L,Cerebellum_9_L,Angular_R,Lingual_L,Hippocampus_L,Cerebellum_6_R,Cerebellum_Crus1_R,SN_pr_R,Caudate_R,Cingulate_Mid_R,Vermis_1_2,Frontal_Sup_2_L,Thal_VL_L,SN_pc_R,Cerebellum_Crus2_L,Precuneus_L,Thal_PuA_R,Precentral_L,SN_pr_L,Thal_IL_L,Thal_VA_R,Thal_PuI_R,Rolandic_Oper_L,Cerebellum_4_5_L,Thal_PuL_R,Cerebellum_Crus2_R,Thal_LGN_R,Thal_MGN_L,Thal_VPL_L,Amygdala_R,N_Acc_L,ParaHippocampal_R,Parietal_Inf_L,Cerebellum_Crus1_L,Thal_Re_L,Frontal_Inf_Orb_2_R,VTA_L,Thal_LGN_L,OFClat_L,Thal_PuA_L,Precentral_R,Cerebellum_10_L,Occipital_Sup_L,Lingual_R,Cerebellum_8_L,Olfactory_R,Thal_MDm_L,Cingulate_Post_R,OFCpost_R,Thal_AV_R,SupraMarginal_L,Cerebellum_7b_L,Temporal_Sup_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_L,Cuneus_R,Angular_L,Temporal_Pole_Sup_L,Thal_LP_L,Frontal_Mid_2_R,Thal_IL_R,ACC_pre_R,Rectus_R,Red_N_L,Thal_VL_R
Temporal_Inf_R,1.0,0.31726942282715537,-0.14489139725435707,-0.4212436662349258,0.7636083697184126,-0.35378303176458137,-0.1506745887439962,0.41591783675849897,-0.3329485844332136,-0.04225398757591585,0.39955362857519044,0.4508270934442921,0.39453115964806085,-0.02555883817206854,0.4949250494517993,-0.07660505707377256,-0.01657066129574345,0.33705854888480874,0.0006431974488480255,-0.5740267379651254,0.2994776831078985,-0.18928114353584657,0.4008381467006677,-0.21692885892587963,0.3332833263145915,0.3177932014059525,-0.007167764869566444,0.04602173977551171,-0.10120216126006913,0.22483331497446377,0.2155226791454372,0.055434520013275645,-0.1743378433649333,0.28164671798372953,0.4192517165175881,0.11643410526762141,0.38129038706330226,0.2343102645649132,-0.4824423957340256,-0.26929301025799984,0.597855052064522,0.32331514620662655,0.5892218760041845,-0.21458096957867917,-0.09273452649488609,0.3491205532201553,0.14531366916485774,-0.383226652696554,-0.03281171810853604,-0.3279944830250976,0.28849854305263517,0.156290168452467,0.24308060416858226,0.3882363754049075,0.44738932091934525,-0.4565395059060074,-0.178637257057038,-0.40082147064769114,0.3091123177306682,-0.048460954527662234,0.18594926556473748,-0.2691094954600301,-0.4587875589011458,0.17106556881581245,0.5460321140001455,0.042665637195809306,-0.38268348581533895,0.27009887123908854,-0.16212570129133788,0.5024790434308959
Postcentral_R,0.31726942282715537,1.0,0.29969556657136875,0.18556605401269727,0.5656050229980816,0.11115879446203497,-0.02336617282334095,0.7886657519202671,0.41044752962592346,0.40231482554870684,0.013795802920535455,0.4843245966167828,0.4904638801003804,0.20760045523115392,0.8341191777818112,0.3037496381406175,0.3725365517156735,0.494384681180132,0.1219982211996665,0.06073228078444345,0.6892920841623009,-0.14353449318415867,0.6134218676627167,0.06916447738042765,0.4486025228258698,0.4331112258975429,0.6018757283880168,0.45349657529245135,0.42741840009460885,0.5519750367146146,0.19592680422689887,0.3496330748563874,0.23350020338458694,0.5656303099448331,0.38378951990067994,0.3728576419583003,0.49801520516374215,0.371212454692346,0.06345940843251623,-0.16966899325849535,0.4316940547393016,0.1601058157385609,0.5954412613919514,0.2884566158520667,0.35893261637423723,0.9500716090539799,0.12007440367543301,-0.04485637386069195,0.4535930774171299,-0.22865440264499276,0.3922163068696282,0.2406608517699263,0.4911764289135421,0.004159372221022128,0.28230343457149937,-0.0995967293041379,0.3208707756659985,0.13865479191394176,0.569562920728379,0.09963382484363786,0.579645243946722,0.04491150771698224,-0.0724962884110909,0.2445584875293912,0.8079838718263018,0.37084397267851893,-0.11202760231940412,0.1072851718795044,0.10009563389349034,0.48862743090404864
OFCpost_L,-0.14489139725435707,0.29969556657136875,1.0,0.6387515170211346,-0.09013198455067377,0.5934214141742407,0.34892048297510003,0.012107313944633564,0.4227366740416465,0.4590213412174524,0.19293214047305424,0.05094069855806862,0.1340363593161638,0.6533616699527313,0.24901371148742746,0.18016720270351003,0.4730940811493279,0.3588808442681866,0.5137558886436462,0.4567018194707514,0.3404686719905811,0.15639722699552977,0.245306138337719,0.20736189725959145,0.18459799653985462,0.268387455574341,0.1866649998951183,0.5290942293705347,0.5410364161670168,0.2997772791489861,0.06829360972785498,0.14673510347365076,0.2770417089481047,0.35701261439214116,0.1275148823629694,0.5733139631067786,0.27415994550844064,0.07869251354718641,0.4690645580778694,0.1316512984853859,0.04776720738071009,0.09033575775456433,0.14784435577691393,0.4911407381205229,0.05149248372397956,0.33178774016243373,0.35050418421205226,0.4110253846190547,0.4226616776002716,0.2733430558803308,0.5303074912861169,0.40658383223392774,0.2776508612501587,-0.1275038412085367,-0.12490544385627607,0.26573776719752545,0.34303839644199935,0.5266113725739113,0.160545646196937,-0.032068816679583584,0.26038348358393965,0.22963553673648077,0.18298586321634058,0.24716292100617535,0.2330362888121764,0.4768624318007217,0.38750246403146843,-0.15433438037704433,0.3549648127181781,0.2272844337203696
Frontal_Inf_Orb_2_L,-0.4212436662349258,0.18556605401269727,0.6387515170211346,1.0,-0.25639462580575995,0.753828004939313,0.47777085075652254,-0.09695257135085335,0.5098987230326961,0.4266525794912777,0.10903880184690201,-0.0037048104372676377,0.08608199048523063,0.4749759935393124,0.05865116121425069,0.4512397676018297,0.5371415959242273,0.14414590419366044,0.46867094437695667,0.530130794536573,0.06527354468359665,0.33046934949749585,-0.07184965201529203,0.5089547065418446,-0.057605948690639924,0.10384188191572388,0.07075767614772092,0.4061720429930607,0.5917281460348637,0.14287041842077206,-0.08415453654673348,0.3001764254702931,0.22157340097996947,0.4446924245567316,-0.2799095152397585,0.17527423025516142,0.027731370497873862,-0.22361936748408728,0.666120557561488,0.27762539776739176,-0.18796999110560336,-0.024831064899842957,-0.19642167890387507,0.4955971990263265,-0.1865010889216419,0.14215153774957165,0.24607748322386042,0.38608049877556117,0.46508736111637666,0.5169674928686248,0.24507610189876722,0.027394151709649008,0.2873202255985835,-0.14833152189761198,-0.22978401134278598,0.30369617446026853,0.3574346135095987,0.7497717934034641,0.23233247813417046,-0.26351902154023416,0.07656803851964755,0.06420351531083439,0.6712173527876304,0.05128594838067369,0.07422331711264193,0.2809353747235575,0.6887376329411139,-0.3015668184824702,0.4618235096194881,0.012425138177927451
Temporal_Sup_R,0.7636083697184126,0.5656050229980816,-0.09013198455067377,-0.25639462580575995,1.0,-0.2485005739765362,-0.2743726047967157,0.7168271322563601,-0.028023140776748053,0.24847773369057183,0.26680503537956685,0.48295827720750545,0.6311821790952074,0.11204268644643606,0.7954224410423857,0.2291818941970771,0.26394555267373776,0.40911961671584696,0.11772514507431592,-0.3420739533074293,0.624394554367919,-0.07867542016121401,0.6261481042968893,-0.04445116054986202,0.41106743615010255,0.4262613470319464,0.30502044329373706,0.21362112227737373,0.09477634952088604,0.31171438990414907,0.4702059921289608,0.30652113939438597,-0.12314782081703056,0.42000877482739796,0.42150879834148025,0.11966629789825219,0.6066438419586989,0.3700744399987079,-0.2589862097561802,-0.24254072984006467,0.7991741888981657,0.5239203166127439,0.6926269890600159,0.08228184652199856,0.15720830328294358,0.5229000367047195,-0.064474581240624,-0.4292586207695951,0.18116889488010157,-0.48764536971305616,0.4399470213908265,0.05133734515246829,0.5569695938836449,0.5870661869994142,0.43666364185399537,-0.28554933822243245,-0.004362125048982255,-0.1297995531794821,0.7098254322886184,-0.20692013780736004,0.424560029183605,-0.04648697219762378,-0.4099921839344635,0.19407243109361438,0.8314992166278241,0.197723503979797,-0.27761882439279195,0.34956185385071703,0.01036864762632861,0.6687515635157856
Fusiform_L,-0.35378303176458137,0.11115879446203497,0.5934214141742407,0.753828004939313,-0.2485005739765362,1.0,0.6935992022579192,-0.3127720507357394,0.6720118586654861,0.6832486189762703,0.4419244753472246,-0.08781524235066497,0.255158490252736,0.5985735539366246,0.08149030886675565,0.5673434168928392,0.6304412315719992,0.2368003935375298,0.6211553059649261,0.510129624023667,0.1377807453518968,0.3662917566658521,0.13647678902292487,0.584728835233444,0.06778211557870732,0.21450109208242404,0.22072471346526523,0.6603555422869158,0.8532048377917395,0.33544393476375944,-0.2675803759230961,0.3430749585921762,0.4436179946759921,0.5539466570099003,-0.39859171315500463,0.2949382344808118,0.2529100392241467,-0.013832011760889884,0.523942819668314,0.21740499663274762,-0.2971409147176474,0.010759686359784294,-0.17422126444994068,0.17676103169690885,-0.0026729898014758438,0.18684675245439833,0.21037009300261467,0.5661739757297756,0.6652231497906772,0.7216558311720138,0.09858362778197288,0.24539618140745684,0.30772362202006964,-0.22136136132587317,-0.35652864993482863,0.5819027189294854,0.21730896375357095,0.8697167506642308,0.092748543349625,-0.12476617000110181,0.037305868432341835,0.16689283412854813,0.7241066501111229,0.1315641208066867,0.0823798678696389,0.344426648051106,0.7208032261253238,-0.060492576538103256,0.6804269386838616,0.17240228748259762
Cerebellum_9_L,-0.1506745887439962,-0.02336617282334095,0.34892048297510003,0.47777085075652254,-0.2743726047967157,0.6935992022579192,1.0,-0.43517913718937457,0.3057878211045687,0.3182244478741066,0.47629122191588597,-0.13139134061978072,0.0843765705788051,0.3289117232584154,-0.11622577073847931,0.29482746035407614,0.212850629760643,0.045337945327225425,0.37742277925160694,0.3516206577288599,-0.161699927463351,0.10110780531714263,-0.10053456756334102,0.4256623146921473,0.029675917161124513,0.11085783595217194,-0.04275658172939624,0.42435151530202925,0.5157712364790968,0.19505278827451356,-0.3630834105145146,0.14606791147269885,0.2728628667587674,0.3899966478214467,-0.38484395257605275,0.06733547172344476,-0.03994594252989208,-0.14420782535019708,0.24519290829860202,0.1517349735235325,-0.4043704651474933,-0.05903510827299676,-0.2554727385756313,-0.18533172846704876,-0.1319699498447917,0.09237674349475973,0.27467429676770333,0.4517271016341738,0.31031894147544453,0.797049607352103,-0.034861471689354065,0.18805249581288994,0.07140894663480249,-0.310053799880527,-0.24359155697302864,0.29274195039040957,-0.04452546322762355,0.49855498987815444,-0.26295971347748864,0.028507937776965617,-0.2704790924853485,0.006573562632234885,0.6644498084599074,-0.05673299829787206,-0.10028667096007936,0.14773933729593722,0.5947235868092018,-0.18146074517249966,0.4734043371667648,-0.016687480118864742
Angular_R,0.41591783675849897,0.7886657519202671,0.012107313944633564,-0.09695257135085335,0.7168271322563601,-0.3127720507357394,-0.43517913718937457,1.0,0.1315259414816493,0.12052931673709068,-0.21243354998914646,0.51843159386013,0.3972533918700372,-0.05833828103923253,0.7749822199754937,0.10266211383665699,0.1723668055584311,0.30071432173478874,-0.10534039546367881,-0.19621016750589979,0.6484917513542797,-0.1304121868456302,0.501146915581235,-0.13478559651530744,0.2907017797905253,0.24064419875986778,0.4041841201563066,0.07340645962539671,0.0283044328414294,0.24429712429241346,0.41227584874128537,0.21351691839314205,-0.012908438938347394,0.2539682902607829,0.513725414787829,0.12619693990724984,0.4144922961409263,0.3367585868804917,-0.07586417063354996,-0.16546836196963455,0.6228289114132177,0.23042996890942774,0.6158210885779892,0.3529451645157596,0.27070888261792325,0.6523088564676103,-0.004722116493157228,-0.27251121376559334,0.1927494754155242,-0.6236739391211187,0.34091647689847004,-0.018054839870267392,0.42041095222219294,0.24457639132336456,0.39719619843120435,-0.26746731286287734,0.27515517791142763,-0.1607606890447881,0.6559820520491838,-0.005274719350545423,0.649081207118308,0.04615364702850147,-0.4377480506740023,0.17235079085339255,0.7313866507860965,0.1881377512817682,-0.4492018305595271,0.11159560796164258,-0.19487146098088412,0.36851810701335347
Lingual_L,-0.3329485844332136,0.41044752962592346,0.4227366740416465,0.5098987230326961,-0.028023140776748053,0.6720118586654861,0.3057878211045687,0.1315259414816493,1.0,0.634115070434281,0.2311540530490125,0.1063902097256127,0.37489300194181374,0.40233564367230135,0.3190590652695865,0.6445998628833018,0.5643040842325775,0.2895458084539444,0.4263693979827965,0.539643328926176,0.44141967656471454,0.3389949220755892,0.3922423375166417,0.3703006999389635,0.10826504821344941,0.16664581699067016,0.44968756072928007,0.6431138099740046,0.7886569916834251,0.3454827047011441,0.07147580884369374,0.3972573751845882,0.47819405560917505,0.36420041981118184,-0.3148461814410398,0.30765034368694527,0.2513893926182121,0.31620865970828516,0.5772930960327424,0.053631430520107395,-0.1021662197937981,-0.01956146805065339,0.004381650757861692,0.33924914386860894,0.47334633314110974,0.4071254067160159,-0.09485397462368539,0.4293640250313203,0.8470733457455826,0.35219889322267445,0.0899218572049052,0.11822574193517421,0.26531683598945277,0.0018459941752693066,-0.1977679640671348,0.503923483293513,0.5111816734631707,0.6292717469841355,0.3375023613931022,-0.016701909048385654,0.46780812828189894,0.3952170973601782,0.47998063649654565,0.24573409088093168,0.32783159169634213,0.3950668282055327,0.41795528317805275,0.05293964123804831,0.5249325846836735,0.19320455905608275
Hippocampus_L,-0.04225398757591585,0.40231482554870684,0.4590213412174524,0.4266525794912777,0.24847773369057183,0.6832486189762703,0.3182244478741066,0.12052931673709068,0.634115070434281,1.0,0.4218159178191575,0.19280167557463124,0.6668095953299711,0.7050437963999401,0.5582761352574483,0.6945834470857468,0.8629313875802084,0.5468502541128795,0.6911608866827731,0.3021763263108368,0.5933274657833756,0.40306661420636725,0.6711081903718363,0.5219548628938621,0.42731723178188663,0.5019095390565014,0.5520973410842529,0.7927351315107811,0.7866329602612722,0.5656495575965681,0.054485642195048894,0.49138825586047596,0.3335490979264547,0.7139518448854668,-0.005654111824879369,0.41204708760915065,0.6887860448941513,0.44351813485024444,0.385024585714081,0.0865009482943484,0.2551180525075537,0.2647761333238759,0.32992145896828273,0.2747856454432573,0.3591241100009745,0.42500617240648,0.052498602381445075,0.356364141253655,0.6357421584329124,0.31479764050719433,0.3531629261347716,0.34465534060378594,0.5961556313627988,0.116445038481535,-0.1456045248056416,0.5964543474744728,0.15718767631976482,0.7515938905669384,0.5100822093392431,-0.11120180704750447,0.3855924648142122,0.4166948605401627,0.3439248566271221,0.25928700715280617,0.5331409160809101,0.5715867138167708,0.4402320607733839,0.22502630628597056,0.7230894061323014,0.5557161833467218
