,Putamen_R,Vermis_3,Thal_VA_R,Cerebellum_Crus1_L,Thal_VPL_R,Temporal_Pole_Sup_R,Parietal_Inf_L,N_Acc_R,Thal_LP_R,Rolandic_Oper_L,Temporal_Pole_Sup_L,Temporal_Sup_R,Parietal_Sup_L,Rectus_L,Rolandic_Oper_R,Thal_PuM_L,Cuneus_L,Frontal_Inf_Orb_2_R,OFClat_L,OFCpost_R,Frontal_Inf_Tri_L,Vermis_1_2,Thal_VPL_L,Frontal_Med_Orb_R,Raphe_M,Cuneus_R,Cerebellum_6_L,SN_pr_R,SupraMarginal_R,Thal_IL_L,Calcarine_R,ACC_sup_R,Caudate_R,ACC_sub_L,Thal_AV_L,Frontal_Med_Orb_L,Cerebellum_8_R,ACC_sup_L,Temporal_Inf_L,Temporal_Mid_R,Cerebellum_8_L,SN_pc_L,ACC_pre_L,Red_N_R,Occipital_Inf_L,Thal_PuA_L,Insula_R,OFCant_L,Frontal_Sup_2_R,Paracentral_Lobule_L,Thal_MDl_R,SN_pr_L,Occipital_Sup_R,SN_pc_R,Insula_L,Hippocampus_R,Vermis_7,Cerebellum_10_L,Cerebellum_3_R,Thal_PuL_L,Thal_VL_R,Vermis_8,Olfactory_L,Occipital_Inf_R,Cerebellum_9_R
Putamen_R,1.0,0.4396320086523646,0.30835861560521166,0.0981513642319184,0.2538371542387749,0.4048755991821083,0.45838817597350673,0.13589547296709753,0.5302619675903247,0.3092234382715963,-0.29285222946398815,0.7870922844694507,0.5801238172546738,0.14147129229794933,0.7912365348190885,0.4595144650700332,0.23333133705792442,0.7741103967635286,0.4628177797633218,0.6761543324852951,0.37579832714109696,0.35690788813127056,0.39530308525038665,0.2709663334721346,-0.09584040894345548,0.6548594043877579,-0.4986897104902883,0.6345434623222819,0.6142342092114949,0.28178106555722726,0.3670945178516259,0.2685370158325608,0.22429508278790214,-0.03566089542762154,0.3010826003380292,-0.2753571672930959,0.2496389658735816,0.7859653161524287,-0.4952652098242346,0.7625393284896617,-0.3938080902761018,0.05387846762781191,0.2619137220208858,0.23668464408352333,-0.551432337680748,0.20570295561994156,0.7914868086066372,0.06294952662996504,0.45444995512426123,0.5962037329757213,0.553995254380721,0.023883114145205473,0.7374120399846881,0.2688171405562233,0.16359195476375515,0.45903292409475716,-0.08879087172196996,-0.11913861137781723,0.48849114284256195,0.5030988438436375,0.5257357863568698,-0.060016399533075915,0.14257963120670114,-0.18168896903571446,-0.15025527833380595
Vermis_3,0.4396320086523646,1.0,0.3534365349081691,0.362494717588682,0.6163074316386956,0.07810828557854385,0.32807042104835826,0.33950482326877496,0.20315558783224116,0.7681645422575059,0.35001043374553675,0.3569956037127374,0.14299109817093816,0.1626973469259966,0.46703284803259665,0.44609130859884355,0.20038577953915465,0.24788928343744127,0.3023630734496985,0.17270904565357528,0.6570317182876163,0.6550551520670033,0.5934535278128559,-0.27673059518077353,0.3047722661348986,0.4192653588540975,0.23095677187372113,0.5918791325095771,0.47188553380066106,0.1948911610307334,0.4346647455711965,0.6176322157928984,0.531654080460727,0.019128719467667137,0.5234447538269925,-0.13179160277660432,0.2738400053737527,0.6422627691595187,0.21930025951280016,0.2996484005644547,0.23026005073864236,0.5656362767966538,0.24628119493298192,0.44993199119111366,0.05091818657619095,0.3292674405526267,0.38793249296193616,0.08655552847894356,0.7858444747966388,0.5340649233129067,0.3772053647097275,0.3374319795630949,0.36643394718321276,0.4765013430651087,0.6307781229362075,0.5409047149886331,0.132187098695839,0.018338816875504555,0.8187791813974007,0.6190914609361956,0.4243243245938391,0.29271937000377823,0.4631415081564755,0.13383868656983733,0.17701380044473158
Thal_VA_R,0.30835861560521166,0.3534365349081691,1.0,-0.015263188862565709,0.5033475909509634,0.22896922965413744,0.38920444513738295,0.3244142571860034,0.2569149279645475,0.4959888985038944,-0.013834775385853336,0.4262613470319464,0.24533867596004033,0.29927520623041587,0.4772757327967445,0.6310482410287992,0.03953654054568158,0.3675731339907822,0.023024407364331766,0.07121130098098231,0.5774629814170412,0.379120788273135,0.448548017322627,-0.014928432747763443,0.27763811104160574,0.28688677788978395,-0.008550653174523738,0.5484380355159303,0.27140032572953954,0.7005096560380911,0.24357942829527873,0.31737314938128125,0.5245794233207429,-0.138661708267454,0.2266302772336056,0.03606971128620029,0.008462476839291291,0.39027784768442647,-0.05556769784593874,0.42171380690632004,0.010191322862676069,0.336552932495832,0.13387646820726623,0.357069144455189,-0.05753646219879465,0.25580811844695994,0.31603326075605587,-0.18153007285426903,0.5986288743454569,0.5973703440467798,0.3937517091218447,0.3369653196331946,0.3852715778463195,0.36064980259032253,0.20259677550899863,0.6410561753029608,-0.010952838836293709,0.2702152515399916,0.5194647503947272,0.45692455225775597,0.67194679615726,-0.09590058752262559,0.29429282308385346,-0.07605791570245726,0.11321706424062265
Cerebellum_Crus1_L,0.0981513642319184,0.362494717588682,-0.015263188862565709,1.0,0.21858375329952215,-0.13126111095977283,0.01369843530984723,0.37423231420680303,-0.10631001015864436,0.34794334580045816,0.4476273021365781,-0.2589862097561802,-0.12013863297388597,-0.04861898214731127,-0.15131989151251862,0.03885820759313186,0.06999792851890968,-0.10896911306379616,0.48021292343161104,0.013018935117638852,0.3552041104012427,0.32599916564400877,0.1981645988914452,-0.23932676303140146,0.31703647207985475,0.15441333128560758,0.37341279290791346,0.07115027539262839,-0.060782320382830934,-0.07496564212156619,0.009619606674624276,0.47246976927955636,0.37925016694383934,0.15195455091755464,0.3659488983954238,-0.2833961420861177,0.17249210152234443,0.2996407938848762,0.4501399330717591,-0.27259193515264396,0.315634641441785,0.3907254240664821,0.5616560833541493,0.0630469403905592,0.29842616275073947,0.0946123364661718,0.01642216882500305,0.16705974181035957,0.25275451162723556,-0.08421038106661964,-0.058245661273118504,0.27018528743476294,-0.05336667803136832,0.3696160746305694,0.585512200196228,0.0016944613317820569,0.07430947782360575,-0.002046081909225024,0.3646414910738525,0.08250409119487098,-0.06358886263639323,0.40282266526829785,0.10581220658929422,0.24227493933265246,0.1336811278607002
Thal_VPL_R,0.2538371542387749,0.6163074316386956,0.5033475909509634,0.21858375329952215,1.0,0.1170265983439799,0.24348356438707236,0.5688415144772226,0.06724820671821405,0.679088613257255,0.4714008468046983,0.2341036155926261,-0.1535756144833815,0.0036089408394579994,0.3530371711396155,0.4683990649140473,0.1866866203381389,0.16821379630676803,0.04311989289407763,0.19133460481741962,0.7013636848641391,0.7427370578527182,0.7086807076433984,-0.289208872008167,0.36922307298817225,0.08351122235339767,0.43935368059363794,0.6017765277264353,0.058786670281989827,0.34918748917000414,0.421104724069173,0.5800901663866345,0.611294956751463,-0.10820099424933609,0.5003903336399498,-0.17633766310050836,0.40957214228902344,0.5675732698280397,0.41693172473875295,0.14380642345315742,0.49382871419645097,0.694596487696546,0.38280600912900464,0.4894132981328334,0.21528972183836156,0.09298063819094826,0.403813806645657,-0.102113998190063,0.7272655062018181,0.3184108012515717,0.4882125311418084,0.6389988273401841,0.0027808838073689114,0.6957721522650013,0.6806552558995673,0.5175939197355777,0.12468061020535177,0.10651137956108221,0.6380922941022398,0.592596718410011,0.5221862105375891,0.41342921757424445,0.3186362166591485,0.07925745500134072,0.6141794281235284
Temporal_Pole_Sup_R,0.4048755991821083,0.07810828557854385,0.22896922965413744,-0.13126111095977283,0.1170265983439799,1.0,0.1720604153507579,0.02906142634986796,0.21037138751591994,0.07169455752654524,-0.12584584427194948,0.4332468467524791,0.21200907158125434,-0.019433463910336575,0.37787960461509096,0.35550791631100215,0.16154172614732495,0.23641594116842884,-0.08673206079278009,0.22458625783606037,0.08472396301776006,0.1902856968363964,0.2519515020314751,0.07998743989234972,-0.1110396662247456,0.2410254636860906,-0.16461010612910568,0.35220713375430907,0.30869267609829154,0.2277661750037899,0.2478493836506352,0.1338639814258097,-0.02244383347876673,-0.2560588128674367,0.0525957683121127,-0.08261203380877352,0.02668543041103775,0.19370662861909266,-0.24157593683515524,0.481703024368153,-0.10380041546734468,-0.1308604052564685,-0.08648130785002661,0.1231800504858977,-0.23692053561916987,-0.04730104911674609,0.32445498508580767,-0.00942573538342305,0.22909592576165133,0.2398487435488656,0.20337080019961065,0.03783861052917482,0.41936721129097987,0.14164785060065332,-0.00814428362600891,0.16710932767568323,-0.006565919719605411,0.12874632421862456,0.16628568946765473,0.35394142037073023,0.19915568738788425,-0.042112440365706626,-0.08643304923093521,0.01552224943685488,-0.04776451481953944
Parietal_Inf_L,0.45838817597350673,0.32807042104835826,0.38920444513738295,0.01369843530984723,0.24348356438707236,0.1720604153507579,1.0,0.10974230030316398,0.27969124514204513,0.4958375252238925,-0.31939265767939,0.3700744399987079,0.8079249507077407,0.35493286273556784,0.5985653195529066,0.4684530419713464,0.25615734573726606,0.49522431459660005,0.08658249110487397,0.2376715176367913,0.438654252303629,0.2333425960093265,0.15499408256667324,0.06502257164580909,0.21762051844058392,0.6383958276590554,-0.30956939511843745,0.47269370854340226,0.20930527182987682,0.49377076906470885,0.30663680101536506,0.18610428403248758,0.35296182636894247,0.09286524260445937,0.24983708825690307,0.06258283645070108,0.1455860488741881,0.37218482069698017,-0.31189827593259484,0.3414944118050496,-0.18617025618237304,0.2330197142313855,-0.03920434125961866,0.11965257562415353,-0.35096560255606507,0.5106485200900688,0.5247119572022781,0.017078568297654664,0.4637291387534866,0.7682565311780273,0.27990649003348184,0.14731941699312304,0.4340132552610199,0.27759196754450177,-0.08506205573108058,0.5714215793878946,-0.011694894535660352,-0.059072820282986944,0.4001396390290453,0.2177237897959586,0.33696243727243663,-0.13435093938825968,0.150556162695177,-0.07680068050363671,-0.057270535662381786
N_Acc_R,0.13589547296709753,0.33950482326877496,0.3244142571860034,0.37423231420680303,0.5688415144772226,0.02906142634986796,0.10974230030316398,1.0,-0.20721492443351647,0.37758929517645695,0.2950579973246044,-0.036003686414987426,-0.11928084805293027,0.2164267865541661,0.054740556427071464,0.3734039606062555,0.11436843982900027,0.06081165408345222,0.2764302171757672,0.11599502895918037,0.5448698387041675,0.5875916317331763,0.24904766481790672,-0.1581140827587475,0.35341601171567094,0.10650166094698771,0.31768384156612495,0.24772992892330145,-0.16124644581943368,0.18724800073246836,0.26123693101704953,0.5357491696510515,0.6101031188788861,0.008022233346516755,0.295207334582293,-0.25074250424473543,0.18925333115206633,0.37465244250864976,0.37464486068454894,-0.06995175538753685,0.2830548604414391,0.46224801905363117,0.5322891491949174,-0.005828030257250437,0.2439100199817287,-0.07400539282851311,0.19171028333480988,-0.1360797601807241,0.39480267251288864,0.053930921688751375,0.38587069726565665,0.6405373903859589,-0.016010002457920846,0.5384724451702236,0.5745239939613371,0.3020312441970032,0.027211544767952504,0.1563498259069755,0.35413934614170667,0.13231616960653617,0.17054917438931086,0.27877012517586447,-0.010877820939720728,0.14505512397198828,0.3722035995577784
Thal_LP_R,0.5302619675903247,0.20315558783224116,0.2569149279645475,-0.10631001015864436,0.06724820671821405,0.21037138751591994,0.27969124514204513,-0.20721492443351647,1.0,0.17060143277348616,-0.3537884402230254,0.6187298225265044,0.42197181875528217,0.15018641023883508,0.5657823021276137,0.3341317270039628,0.17630951685864057,0.5211516072532489,0.10426347810549454,0.3351111800368386,0.13120077730155694,-0.009134453893155332,0.3057002921354094,0.29735109537101484,-0.11266650610877213,0.35469808647329404,-0.4317214630992284,0.4066176431849329,0.5347241848235127,0.25564128084988036,0.28642094106214094,-0.003329209508418299,0.14337306760775248,-0.11185396537878427,0.06764001185925395,-0.16639979585120304,-0.0025610299831999093,0.47516118993719514,-0.4548344625143742,0.6222257444731526,-0.3576716021028071,-0.06532605160847932,0.02594446125145385,0.24044819787571073,-0.4341811487811705,0.12852150781387478,0.44911169632096437,-0.07936161420755788,0.33575631074621737,0.5300591052116129,0.321235861200836,-0.20296945187972368,0.472777348330387,0.09152434700210134,-0.0682172680534018,0.4415293420238949,-0.03958218315865776,-0.029657082199009897,0.32228578867307445,0.35145974051116663,0.6044075482227348,-0.28221152317255654,0.2480831267251747,-0.33800368090375416,-0.2053560555611391
Rolandic_Oper_L,0.3092234382715963,0.7681645422575059,0.4959888985038944,0.34794334580045816,0.679088613257255,0.07169455752654524,0.4958375252238925,0.37758929517645695,0.17060143277348616,1.0,0.3086953287195323,0.21362112227737373,0.1345572500902313,0.35563442040636206,0.4487101898147198,0.4436056022387252,0.1937299234639562,0.18788720151304875,0.20868826671374768,0.04413025948673232,0.7957870746692,0.5536980100010473,0.6052804190004805,-0.24103015759614047,0.46742174269849607,0.3501024838065656,0.36811611449226767,0.5319788453402958,0.24791043798587273,0.3565240011422486,0.4729638140516613,0.5895467434804174,0.7633693598093761,0.08013648660982371,0.5371943517390166,-0.03777951619556025,0.2440585367992655,0.5389543010813157,0.34816563649310217,0.16037454863580844,0.4010536711720842,0.6190042881030324,0.24943414021836732,0.4776794367714225,0.179925013624578,0.34571264507115895,0.3347926447826929,-0.0006275651083140013,0.81083939755184,0.5889497371499816,0.3184300479900417,0.37342598540308314,0.1957056239756405,0.6235286999739944,0.5824582017317292,0.6348541229916075,0.10687299404989967,0.15495398259023904,0.7860852383077369,0.4848220426040347,0.4701636183736311,0.2296721674194337,0.5628645095612319,0.15180845955027253,0.2960547318005125
