,Thal_PuM_L,Angular_L,Cingulate_Post_R,Lingual_L,Cerebellum_4_5_L,Paracentral_Lobule_R,Precuneus_L,Cerebellum_10_L,Temporal_Pole_Sup_L,Precentral_L,Frontal_Inf_Orb_2_R,Temporal_Sup_R,Supp_Motor_Area_L,Temporal_Inf_R,Lingual_R,Amygdala_L,Occipital_Inf_L,ACC_sup_L,Cingulate_Mid_R,Cerebellum_9_R,Temporal_Pole_Mid_R,Vermis_3,Vermis_4_5,Red_N_L,SN_pc_R,Fusiform_L,Parietal_Inf_R,ParaHippocampal_R,Frontal_Med_Orb_L,Thal_PuM_R,Vermis_6,ParaHippocampal_L,N_Acc_R,Cingulate_Mid_L,Temporal_Inf_L,Frontal_Inf_Tri_L,Thal_VA_L,Raphe_M,Frontal_Inf_Tri_R,OFCant_R,Rectus_R,Cerebellum_3_R,SN_pr_L,Temporal_Mid_R,Thal_PuL_L
Thal_PuM_L,1.0,0.2929661997698242,0.6483583931419479,0.2786766108530092,0.3973843958751691,0.6141246602258649,0.6446657987878961,0.08352364346255337,-0.07800614101890627,0.6294129293250864,0.41159203389079385,0.5458685641734302,0.5923956463391508,0.31042697704095357,0.337163199274109,0.17568936056119444,-0.20035568734756443,0.4941274111863568,0.6545353041109448,-0.007176258705613057,-0.16456278455126988,0.44609130859884355,0.4005866272304217,0.26215310533195746,0.37142172997170747,0.12389793798232984,0.4868509007497795,0.5457082301238547,-0.04733761510919753,0.5411197236066196,0.003472536874140668,0.19535471110214847,0.3734039606062555,0.6484462313357119,-0.19447789000299262,0.4875432857646207,0.3479942004453774,0.2432348238142311,0.5965612541696855,-0.010393706732567528,0.012264048165854824,0.5823022458959366,0.4021538239796122,0.5586678078549734,0.5771450989198286
Angular_L,0.2929661997698242,1.0,0.11824734161705865,0.3952170973601782,0.22032165019220362,0.4014033615197456,0.44515730636282674,-0.054742028296032925,-0.02319237040090415,0.45984298947982377,0.1414261143969989,-0.04648697219762378,0.24425071802073,-0.2691094954600301,0.22397202418705398,0.24475278741134526,-0.01603240790005954,0.1919726104019279,0.12475455572480829,0.13379941477403806,-0.18452392028958167,0.22631207918570362,0.16826769757926613,0.21728009136995463,0.3465955386244793,0.16689283412854813,-0.02633899810487562,0.28240916393919285,0.09300054017601433,0.44756913356993955,-0.08870479258292924,0.3467272320809542,0.3483038689266836,0.3682622365989464,0.057960116695405794,0.3821010200911852,0.38715504556805386,0.5143781992024374,0.030584818393387548,-0.008246839341729584,-0.04518254964808816,0.225970200128209,0.24969651306881166,-0.08431180154521299,-0.05860949447853489
Cingulate_Post_R,0.6483583931419479,0.11824734161705865,1.0,0.26531683598945277,0.47878579213197625,0.5853951245434016,0.6545674309757467,0.13122430798221846,0.04605774286765625,0.5284457902895189,0.4428958459252866,0.5569695938836449,0.6475603624707922,0.24308060416858226,0.3563364466154948,0.36320689874794987,-0.1857143733558897,0.6143120450424631,0.6380021167867931,0.18526559684019558,-0.05629053179817398,0.531200521105442,0.47207954654725065,0.313134076031358,0.4973123058338473,0.30772362202006964,0.4440946161800675,0.6658446182391755,-0.3079752186661324,0.48888119831682775,0.13087418801033138,0.3671443153709085,0.42590693966168375,0.6808410410283701,-0.048214943297991135,0.590118164261486,0.4681451052207784,0.1517289136143561,0.5059159730928853,0.1142088687071742,0.12156079866703298,0.6396060075693802,0.3873000580613244,0.4963091916959924,0.5713368236512006
Lingual_L,0.2786766108530092,0.3952170973601782,0.26531683598945277,1.0,0.7886569916834251,0.49943425033373945,0.44141967656471454,-0.09485397462368539,0.47998063649654565,0.3922423375166417,-0.1021662197937981,-0.028023140776748053,0.535826020241413,-0.3329485844332136,0.8470733457455826,0.12312029350683174,0.2850103651566592,0.46826298489571017,0.3190590652695865,0.10676065787152195,0.2120350824925193,0.7164695240666652,0.7452974430472814,0.5249325846836735,0.4263693979827965,0.6720118586654861,0.33511031117308054,0.2513893926182121,-0.016701909048385654,0.3809754045037659,0.43111466291912187,0.6240823026025485,0.30699558451261416,0.4917903617259126,0.3941563765745855,0.4633037255474078,0.30096579594212225,0.4605340597113479,0.14895626196244485,0.1560129459451279,0.05293964123804831,0.6941762849596049,0.3703006999389635,-0.0454096965688768,0.3582138380673824
Cerebellum_4_5_L,0.3973843958751691,0.22032165019220362,0.47878579213197625,0.7886569916834251,1.0,0.501284902656477,0.47335979971030306,0.07425217759436431,0.5281919424725077,0.44933973862631094,-0.02155420554011289,0.09477634952088604,0.7289474624179316,-0.10120216126006913,0.8027498746483687,0.15883169384899581,0.312283628491033,0.5323241199049887,0.43510185805821405,0.36555126298765334,0.14862375547653386,0.7777678380801621,0.9204495155718604,0.6925874121500445,0.6222781046565043,0.8532048377917395,0.3712725655211271,0.47060626667743305,-0.08851754943221898,0.45419303174508147,0.5578282191662897,0.7531034420488428,0.3911107677326038,0.5553897733897475,0.5455123280466831,0.6531592840692892,0.48604162174087884,0.49146770655302136,0.2325008014018276,0.2623596065831928,0.09841895324156229,0.8579578072182565,0.487118264460114,0.0463706622249762,0.5214942121646916
Paracentral_Lobule_R,0.6141246602258649,0.4014033615197456,0.5853951245434016,0.49943425033373945,0.501284902656477,1.0,0.8313756145638821,0.11852889688534007,-0.13431930004516185,0.8521195175851005,0.5357549186806939,0.4984140915107333,0.8068090932804648,0.16988142200708073,0.5353686433882681,0.44041797992593895,-0.2752693417348167,0.6782341439185255,0.8165016877442334,0.03963562502948496,-0.021286936806503683,0.6568243359099638,0.47625872208436715,0.2705176457031406,0.4011793822996238,0.25225977083830436,0.6612870993503839,0.7501296197495176,0.035044370101415555,0.6043527180901076,-0.04356074041360387,0.3290464773522706,0.238010981748451,0.8728529443120726,-0.14501251842480312,0.671155217653371,0.37665082949715173,0.25566890167883327,0.6964269997857611,0.06320870647415718,0.1373271271311031,0.7236218482888077,0.25833404110729263,0.426532565287527,0.6188196630057267
Precuneus_L,0.6446657987878961,0.44515730636282674,0.6545674309757467,0.44141967656471454,0.47335979971030306,0.8313756145638821,1.0,0.06413650982097095,-0.24731931771804636,0.8653205612558706,0.6319227997578993,0.624394554367919,0.7677152828246654,0.2994776831078985,0.5007127621790195,0.40269164925311773,-0.4287318707889833,0.6658526902914269,0.791232820920909,-0.07082296860081114,0.01234706969538305,0.5951002142224432,0.42622411894652384,0.17317871727623388,0.3965648591689906,0.1377807453518968,0.6287185881453432,0.7515080961455111,-0.11582144819542035,0.47295319488937476,-0.1468553920864188,0.18663445410867197,0.19665474208194084,0.7571470391596494,-0.28458371132431154,0.6064085742381182,0.3756434090035183,0.2347301845313225,0.7286900006804026,-0.07401126993745194,0.19549227344437478,0.6640165824351796,0.13917117212455352,0.5673462439374792,0.4806732571543544
Cerebellum_10_L,0.08352364346255337,-0.054742028296032925,0.13122430798221846,-0.09485397462368539,0.07425217759436431,0.11852889688534007,0.06413650982097095,1.0,0.008398419531340606,0.022595976318165956,-0.030149306451275316,-0.064474581240624,0.05430779503565974,0.14531366916485774,0.10284093720648158,0.013580832528563987,0.19358210013665264,-0.07813372486039558,0.03317242928263501,0.055878426174086164,-0.30412349509632286,0.018338816875504555,-0.004818562448243661,-0.08053195350260826,0.16154680496461848,0.21037009300261467,0.09418903546513856,0.2302303517151136,0.1549821482598639,0.10456161545371284,0.16869114973693108,0.10554096942775702,0.1563498259069755,0.05681320305436606,0.2260717674871001,0.18397869616972617,0.004827799893394524,-0.12027275588503823,-0.04273352659776678,0.43337960736250775,-0.2532600413662741,0.13040497599333453,0.19872641339361644,-0.03155262152728693,0.01570800272823139
Temporal_Pole_Sup_L,-0.07800614101890627,-0.02319237040090415,0.04605774286765625,0.47998063649654565,0.5281919424725077,-0.13431930004516185,-0.24731931771804636,0.008398419531340606,1.0,-0.2594689936246576,-0.5228114334018459,-0.4099921839344635,0.1193183375779681,-0.4587875589011458,0.35295198801436284,-0.07888618850219736,0.6786146971920107,0.0510006307391055,-0.24683783972760145,0.3902828308697271,0.2967417819464595,0.35001043374553675,0.46984740120601914,0.5427553072631522,0.31163486130046386,0.7241066501111229,-0.11216500238497759,-0.20981376973519306,-0.13418101199822638,0.121560977726506,0.7433070496122406,0.6384730810863003,0.2950579973246044,-0.0021324174811749607,0.7991109132688693,0.17827850893466912,0.20080601972664117,0.32609702441025684,-0.37354014362128696,0.2728235926571735,-0.0328765495599581,0.3070492800088899,0.46775155711550215,-0.41636494731547924,0.23277970205951778
Precentral_L,0.6294129293250864,0.45984298947982377,0.5284457902895189,0.3922423375166417,0.44933973862631094,0.8521195175851005,0.8653205612558706,0.022595976318165956,-0.2594689936246576,1.0,0.6601354216680524,0.6261481042968893,0.8368344045279599,0.4008381467006677,0.502636737133964,0.48601676859402493,-0.37802847234140413,0.678192194984693,0.7790090660429922,0.07307019932220649,-0.03630896016078897,0.5708265166279396,0.42113879808903076,0.2630132761829878,0.46791413944651167,0.13647678902292487,0.4990239142101912,0.8188368558705484,-0.018771935473567678,0.5501283113806219,-0.0921688873275739,0.21964441083228484,0.19342653974992777,0.8266426161248351,-0.2879741435846756,0.6405888925808438,0.4542444665318666,0.22577109286565278,0.7638653899310821,-0.12484468013365208,0.24486183421733537,0.655646695977729,0.2333490492798421,0.5741179796978002,0.5377640159633713
