,SupraMarginal_L,Vermis_4_5,Cerebellum_Crus1_L,OFCant_R,Caudate_R,Precentral_L,OFClat_R,Thal_PuI_R,Temporal_Inf_L,ACC_sup_R,ACC_pre_L,Frontal_Inf_Orb_2_R,Paracentral_Lobule_R,Insula_L,Cerebellum_9_L,Fusiform_R,Frontal_Sup_Medial_R,Thal_VL_R,SN_pc_L,Thal_PuL_R
SupraMarginal_L,1.0,0.23560216163152253,0.00032153209753812837,-0.05832517059703613,0.19835105261723587,0.6973491337703762,0.015369947729903176,-0.01289809028629773,0.04352121077408837,0.24332572652801845,0.013800376875279165,0.0696981852191519,0.4213335713353421,0.43602125773648825,0.16833909227843621,0.2371870846540783,0.41226796348098027,0.44430465136704844,-0.24871103401784062,0.14230165558578023
Vermis_4_5,0.23560216163152253,1.0,0.2618327008761658,0.49999821357585694,0.6486746498131468,0.04180436962796007,0.436235474738726,0.3133544516724059,0.7139616666888065,0.6920772333667986,0.6463188755666205,0.6565304914177154,-0.03518154522356067,0.5943680130150556,0.7548491975334267,0.8205646435542191,0.4155810477504216,0.41419815061058296,0.48348018083398503,0.2780927318799479
Cerebellum_Crus1_L,0.00032153209753812837,0.2618327008761658,1.0,-0.1846424327850496,-0.10397869232767853,-0.07127111154183458,-0.36674084222800607,0.15534314149608738,0.5154978848121319,0.09040302220944896,0.07389294540895175,-0.1414118299364103,-0.21285096730917352,-0.0032585655229352387,0.5616359111492515,0.11804944242893864,0.2565665388746142,0.023376898396642202,0.478106966066677,0.1107293120942594
OFCant_R,-0.05832517059703613,0.49999821357585694,-0.1846424327850496,1.0,0.6287420978116832,-0.3526253288814017,0.7926080043289137,0.0583884271092443,0.4041447890349917,0.6246434338332044,0.6994096372898218,0.737376589368589,-0.13730950822327911,0.24737796427220451,0.416002895397393,0.5172457063072842,-0.031132583186302673,-0.04428580283065505,0.4419465388610105,-0.04526631928917555
Caudate_R,0.19835105261723587,0.6486746498131468,-0.10397869232767853,0.6287420978116832,1.0,0.14410809948878106,0.549862132084279,0.0992341844751292,0.3909730381248472,0.762100663141357,0.7500864195391896,0.7482405894904509,0.09665856837199399,0.6047197474825485,0.46244523888548456,0.730280929377978,0.5477351851126273,0.5209678223514261,0.19893710786266136,0.1495525156655047
Precentral_L,0.6973491337703762,0.04180436962796007,-0.07127111154183458,-0.3526253288814017,0.14410809948878106,1.0,-0.32654124642485377,-0.16635194157798902,-0.32368567364441697,0.028173102895101856,-0.09572705769875701,-0.08411731185353628,0.6192882634796798,0.3854245239482379,-0.19921474439677914,0.12011830115305039,0.6338541975903421,0.5828634985043338,-0.5731743875058107,0.09624483649507325
OFClat_R,0.015369947729903176,0.436235474738726,-0.36674084222800607,0.7926080043289137,0.549862132084279,-0.32654124642485377,1.0,0.13638881316600185,0.27062244453986567,0.6007184399722232,0.5424188699942372,0.7711182474171202,-0.11298134571288279,0.31216386748888075,0.4000287329507364,0.4414524317247244,0.0364084451251832,-0.06554789557549237,0.36506785911743495,-0.05153754420423416
Thal_PuI_R,-0.01289809028629773,0.3133544516724059,0.15534314149608738,0.0583884271092443,0.0992341844751292,-0.16635194157798902,0.13638881316600185,1.0,0.427773985400237,0.302823868013166,0.19163286520866424,0.0486473651659504,-0.04744219736778008,-0.09265914669433213,0.2926130993378642,0.1560779721769024,0.02846644310718945,0.0878383019152884,0.14203975571323685,-0.08353925006269974
Temporal_Inf_L,0.04352121077408837,0.7139616666888065,0.5154978848121319,0.4041447890349917,0.3909730381248472,-0.32368567364441697,0.27062244453986567,0.427773985400237,1.0,0.560958721721502,0.5139686105714995,0.3212397443909894,-0.37173731259045695,0.29651695917740345,0.7677486561503226,0.46778525322693726,0.14805153219801429,0.11430520851655308,0.6066386567232015,0.19685524713689304
ACC_sup_R,0.24332572652801845,0.6920772333667986,0.09040302220944896,0.6246434338332044,0.762100663141357,0.028173102895101856,0.6007184399722232,0.302823868013166,0.560958721721502,1.0,0.7890272830931809,0.6993849709417289,0.12062246645720483,0.579627734461606,0.6025811264198511,0.6029080413341652,0.5168785643345709,0.3676583460372207,0.350287204171908,0.061932354687289186
