,Angular_R,Calcarine_R,Cerebellum_9_R,Precuneus_R,Thal_MDl_L,Temporal_Inf_L,Thal_VPL_L,Vermis_7,OFCmed_R,ACC_sub_L,Thal_LP_L,Insula_R,SN_pr_R,Thal_PuL_R,Cerebellum_6_L,Red_N_R,Vermis_10,Cerebellum_Crus2_R,Fusiform_R,Precuneus_L,Olfactory_R,Occipital_Mid_R,Insula_L,Thal_IL_R,Putamen_R,ParaHippocampal_R,Thal_IL_L,Supp_Motor_Area_L,Occipital_Mid_L,Red_N_L,VTA_L,Temporal_Pole_Sup_R,Frontal_Inf_Tri_L,Temporal_Sup_R,Vermis_4_5,Temporal_Inf_R,Frontal_Mid_2_R,Supp_Motor_Area_R,Rolandic_Oper_R,Frontal_Sup_2_L
Angular_R,1.0,0.4008667200339144,0.08496898207982015,0.4226632981631842,-0.010572107914347796,-0.0641893744595458,0.14362008777994192,0.19313951967314774,0.10883764655157172,0.08698203132534099,0.12448533970036783,0.14286100231980495,-0.0472848983868713,-0.04144809690554257,0.12289332213724549,0.02095907406922545,0.24611802886776465,0.02432630620502095,0.2999560253368047,0.44623965757199285,0.15993868631369737,0.24693925830985855,-0.03489178266271112,0.1381793404151904,0.1318150040343304,0.11862006162135945,0.2710652595111165,0.3275027975357117,0.3326878393314622,0.32217915470820074,0.11463384205782022,0.17259686838927227,0.06406539698222082,0.3264558621925513,0.1753608028287849,0.1628064263347699,0.2273197730841516,0.3975916007400132,0.2863649585822149,0.13008506930513122
Calcarine_R,0.4008667200339144,1.0,0.5921986928345073,0.7427158122611545,0.15898579139941202,0.3328514527799985,0.32713921156063375,0.5497501618530365,0.20671183838825866,0.25219639143613953,0.22933503920138298,0.5912483744015566,0.3063221847957722,0.3559510878967502,0.4754731820981999,0.4671097792192527,0.5423981166439704,0.39654024414907385,0.821290310463871,0.7294992223854984,0.3792047913340649,0.46052228497778075,0.46069884185029303,0.43639556591455675,0.40762167849783704,0.5773263109842267,0.3233184843873326,0.31545553667542686,0.4622620085095429,0.46043376456895696,0.41147388563155896,0.5004204587436895,0.30381398096532763,0.7355318822857195,0.6331665110067561,0.7262165464245465,0.21535344471707926,0.37643311845804994,0.5693314882595651,0.17271583978022598
Cerebellum_9_R,0.08496898207982015,0.5921986928345073,1.0,0.22122665831721242,0.4001417487885428,0.6704531146640693,0.11342370862065906,0.6331464580838481,0.41353509311534437,0.3924577740888259,0.1560941329748378,0.40448488296790663,0.4270036273420444,0.23651902012459222,0.597618594026472,0.5989138129690025,0.3271523469029715,0.5128843011327261,0.5708094769042986,0.2073535418690002,0.46088675637987403,0.004655828985698226,0.2994413999522566,0.3344631666762411,0.2710516578873443,0.37909442616635564,0.025358055277405457,-0.01660466010417333,0.04819528270576917,0.2440797961117181,0.45389803148843383,0.3817636578312691,0.4503068065231441,0.4542134236599523,0.6153776723538013,0.5798498846778614,0.17055997007332407,0.08399255722870905,0.3101191502226731,0.19227920919253202
Precuneus_R,0.4226632981631842,0.7427158122611545,0.22122665831721242,1.0,0.07261792875032855,0.1540697935676658,0.5371251601566005,0.2866317414669355,0.19020566961574747,0.3375785822980052,0.3941473066036821,0.6101907093076805,0.18642567585342262,0.28378845865148195,0.41517255735779485,0.3396136745231387,0.6310427378309214,-0.09144325151617684,0.7487027462878099,0.9558876059224003,0.378959867739963,0.2655392413653089,0.5701382086376567,0.627677051386433,0.6261599874893291,0.7186398486074288,0.5127930232934168,0.5590679342007792,0.2654759325520676,0.47573532490202936,0.24564880094577443,0.5999167887218245,0.3522064121007977,0.8145779301391114,0.5565424718812828,0.420032760452556,0.24964043552924373,0.5774366146510976,0.7952813540324531,0.20583834184671498
Thal_MDl_L,-0.010572107914347796,0.15898579139941202,0.4001417487885428,0.07261792875032855,1.0,0.5507883237484155,-0.13438362395250406,0.21255805386363671,0.4851795885659777,0.545100015978047,0.187419454514427,0.42864754541830347,0.522396436336824,0.20415010849842893,0.45638293831745935,0.6010963255179298,0.11929537454118681,0.09021441831748117,0.3701175851376461,0.06743628405977217,0.5135201402367803,-0.22725870111086796,0.2957045098977494,0.3891082252072907,0.3729880820299014,0.34991503442829575,-0.13144456010039385,-0.11890199546978987,-0.1446063644992641,-0.10612053916524113,0.16289379326615566,0.27135624441461903,0.5230088231660392,0.25531703613083445,0.5268999074603656,0.29149079515769455,-0.048344677503436045,-0.006297118465001718,0.1884007718179015,0.1490661906357432
Temporal_Inf_L,-0.0641893744595458,0.3328514527799985,0.6704531146640693,0.1540697935676658,0.5507883237484155,1.0,0.15452914224757722,0.4879325517003163,0.5243386533253112,0.5141620787085611,0.2535718643994685,0.43805283358612257,0.4936495452341563,0.19685524713689304,0.6971448491452487,0.6994010123370952,0.1990071515771419,0.17420156050474483,0.46778525322693726,0.14080605661128004,0.43807861283147836,-0.4175362037283297,0.29651695917740345,0.3270746944651492,0.40217596919147724,0.49130454385270284,-0.1409034293425191,-0.17314786468283347,-0.32238649272750003,0.03825085816783541,0.3994490798867089,0.3690907925109396,0.5153928081473773,0.3560377528943596,0.7139616666888065,0.2913076686794721,-0.022882324703978607,-0.11624015189770436,0.2421917384657165,0.007938950891967781
Thal_VPL_L,0.14362008777994192,0.32713921156063375,0.11342370862065906,0.5371251601566005,-0.13438362395250406,0.15452914224757722,1.0,0.4012730723310106,-0.17913185405107218,-0.006272039371568722,0.3902552978931653,0.2788599177086274,-0.21299293366607666,0.197651531809707,0.48637998746400474,0.05871562793390115,0.5886169985021916,0.041371500557236936,0.3554165338727636,0.5100681355191843,-0.17024224547561492,-0.22014118314410125,0.4196249956896656,0.3977818448855524,0.35511943664619455,0.47680159074005257,0.6872361196861388,0.5468000404922355,-0.1604230880521343,0.6392666496499994,0.07777234782117806,0.24772676906338756,0.3529407995603759,0.4826195376596984,0.34248614726309223,0.029023591124396234,0.44909698300753753,0.46466171222380936,0.47872826034561056,0.35192164965292316
Vermis_7,0.19313951967314774,0.5497501618530365,0.6331464580838481,0.2866317414669355,0.21255805386363671,0.4879325517003163,0.4012730723310106,1.0,0.10109492324102394,0.19466220873515505,0.20967282702024106,0.25725678245766576,0.03142194978483447,0.16042579558565026,0.7178938907461773,0.41603099749997696,0.5117608276335226,0.6093156632711003,0.5286286128670841,0.25207455104972815,0.18231758545432367,-0.08932915362932088,0.1896235144477861,0.2823980626685981,0.142302350396147,0.29235315871606965,0.3377277199967756,0.20005344014225968,0.05236649956983897,0.5606796058477357,0.2410190208018608,0.22240320356487867,0.3633749378403174,0.39180931537440394,0.510228852655891,0.40725032531264266,0.33155913969692924,0.2395787614859229,0.3112980122817077,0.35890889536142034
OFCmed_R,0.10883764655157172,0.20671183838825866,0.41353509311534437,0.19020566961574747,0.4851795885659777,0.5243386533253112,-0.17913185405107218,0.10109492324102394,1.0,0.7564499996073941,0.20467321831099827,0.49761426350474175,0.6445265281587768,0.002637861586778794,0.3724201810033995,0.5920100144130463,0.1509070255782799,-0.17360587218421214,0.4340740999700484,0.19619633143020748,0.7994498833704968,-0.025478756979430396,0.2063088651288839,0.3118504425979092,0.40909050620142123,0.40078506164310645,-0.2720956211770253,-0.4181946338112845,0.009711444628245499,-0.1515968703639986,0.31792668739064883,0.5894837005491733,0.3041866870254566,0.42223873977124177,0.5129244495430871,0.447542122306103,-0.4349115478728893,-0.360660990597481,0.26649923045173396,-0.28570478237784264
ACC_sub_L,0.08698203132534099,0.25219639143613953,0.3924577740888259,0.3375785822980052,0.545100015978047,0.5141620787085611,-0.006272039371568722,0.19466220873515505,0.7564499996073941,1.0,0.3519661188818789,0.6797626092367771,0.6693547519926637,-0.03039652827483134,0.49992463788797636,0.7697576638720743,0.39301850450010484,-0.17004309709703247,0.5707041436260043,0.2897691252500629,0.8623820052808149,-0.015625773390098307,0.35207048653218204,0.6182370950199396,0.6659679408184987,0.6045023574746533,-0.13240080671532825,-0.19575852378255917,0.02073376796790377,-0.0069133326396734335,0.23602904517343828,0.6849749829910743,0.611869204432961,0.5405626129668997,0.5971200023189543,0.40279569900238904,-0.08189689242824964,-0.11223829499644919,0.5601612273521798,0.06393760848434922
