,Temporal_Pole_Sup_R,Vermis_10,Temporal_Inf_L,OFCpost_R,Cerebellum_9_L,Frontal_Mid_2_R,Thal_PuI_R,Temporal_Sup_R,Fusiform_L,Paracentral_Lobule_L,Rectus_L,Cerebellum_4_5_R,Thal_LP_R,Cerebellum_Crus1_L,Cingulate_Mid_R,Cuneus_L,N_Acc_R,ACC_pre_R,Temporal_Pole_Sup_L,Thal_MDm_L,Vermis_3,Cingulate_Mid_L,Parietal_Sup_L,Heschl_L,Thal_VA_L,Insula_R,Heschl_R,Thal_MDl_L,Vermis_8,ACC_sub_R,Thal_VA_R,OFClat_R,Olfactory_R,Temporal_Mid_L,Angular_L,SN_pr_L,Cerebellum_9_R,Parietal_Sup_R,Thal_PuL_L,Calcarine_R,Thal_MDm_R,Precentral_R,Vermis_1_2,Postcentral_L,OFCant_L
Rectus_L,0.47131979423498527,0.09020791287513988,0.4093151092734883,0.05098017078806343,0.28194202216489417,-0.5541852881227632,0.17235860699708705,0.2740952991574599,0.31934242327760326,-0.12677916345797058,1.0,0.2917854674746654,0.477308992938711,-0.27837819410372044,0.4462356099093995,-0.08868011539764346,0.6362653958162562,0.25872465092132396,0.5593424163163955,0.15012840449051884,0.45299171994907284,0.3373806068076131,-0.004234431470020808,0.36114405357535245,-0.3914270292950571,0.3776667593531361,0.21966791844171749,0.4378033868280144,0.02202331764815807,0.4969454696100136,-0.042449766784804804,0.743134047353023,0.7392572696362396,0.32741885911761887,-0.018832078214056754,0.4647113463519526,0.19447679916020352,-0.03205595190877973,0.062375417292543006,0.08661443895965687,-0.08787289823345246,-0.4231400712137458,0.5072458662926208,-0.4032181046600255,0.5931162609655627
Cerebellum_4_5_R,0.6566319805245855,0.6298712365261285,0.6432016767132454,0.6292311158227595,0.6887586083925459,0.18004609736154678,0.1952117623868789,0.7093366275444215,0.7608796719358549,-0.0576085267257356,0.2917854674746654,1.0,0.40039513685962885,0.3836951384402809,0.7595572332788498,0.2061416069456093,0.48341788537450087,0.48919616568690594,0.6637262194040069,0.5083678088155278,0.6155386774275186,0.7109401300666217,0.11836316044692334,0.6553879278762252,0.2205543362672278,0.7837254447086683,0.7348185901708021,0.4211727944426775,0.8013504009478882,0.6226470829239531,0.5461888110162506,0.3103034438976785,0.5870564440458587,0.6620045741369387,-0.14098830849967317,0.5204116232215901,0.6055380924375099,-0.08780002050223305,0.32604905145445257,0.6163393657129971,0.41099108262875217,-0.06697630760932649,0.43091501338307536,0.07014451638738674,0.5291080752259834
Thal_LP_R,0.53518876671337,0.08182753659358229,0.35929080180763623,0.19856566159062478,0.4783267096181768,-0.1354038113667951,-0.12160594702125996,0.3785034409620856,0.3796759652217995,0.06735471885179649,0.477308992938711,0.40039513685962885,1.0,0.028296850231852435,0.46802865153664613,0.09233109843742542,0.5822900739363334,0.3547672827462835,0.5149554450319765,0.12629328343253962,0.48947975646030883,0.44600770231312786,-0.048351351407892304,0.4233703897139207,-0.2404685311010716,0.35842503780248347,0.24659254578736076,0.4304756504646286,0.3631541789005457,0.3807159322302332,0.028072890105234293,0.5640516072127727,0.6406054831445165,0.28644994413505037,-0.13496913702204788,0.452812199054846,0.5255378424494731,-0.09164904667376994,0.05632348208905171,0.35012218913990556,0.006238693444814276,-0.1844121294599022,0.4698564144410448,-0.2132957550965725,0.5089777715244425
Cerebellum_Crus1_L,-0.08856244394751969,0.12408877231286383,0.5154978848121319,0.134449853433135,0.5616359111492515,0.3801913537844891,0.15534314149608738,0.009477825568802513,0.35833759944145394,-0.31234904660172874,-0.27837819410372044,0.3836951384402809,0.028296850231852435,1.0,-0.013556964824978718,-0.3221434107133477,0.07491081557914248,-0.006168804021070141,0.11918318499280964,0.03842331292737429,0.025785476195151386,0.03194362065123288,-0.35328506104041485,0.05964702624526495,-0.06851900788999044,-0.05547923175845998,0.034270184756524165,0.1780300870265516,0.6534973264154199,-0.01637572471737535,-0.040344665136741405,-0.36674084222800607,-0.08790135332684558,0.46107470108914794,-0.454494364484085,0.2583534398144785,0.5104305381307361,-0.24307703157759128,-0.10532607595329198,0.12265347155176336,-0.020398265342551042,-0.00010491261762117057,-0.03186888582641368,-0.19334500019244247,-0.023722970381469772
Cingulate_Mid_R,0.8388760244419727,0.5938151768485648,0.5612056128397397,0.7250316287332231,0.6276960226596914,0.11745220182222675,0.27856855989252954,0.8833118762580707,0.8095825079217969,0.2558241038172566,0.4462356099093995,0.7595572332788498,0.46802865153664613,-0.013556964824978718,1.0,0.28793920728462297,0.4754791591746392,0.6981187857093466,0.7763981072237399,0.6708810499855367,0.7039313336781619,0.9645852719053305,0.09541230052947457,0.7388862263015528,0.3795538735256792,0.8253176741139594,0.7521014127820318,0.41885241059825246,0.49219384089906454,0.6843536551587402,0.6736837734737309,0.6093620311764122,0.6633438679350233,0.6821262254596487,0.19342289688628297,0.5148193058504204,0.461734448676349,-0.11196128382829852,0.4355123789703541,0.6444041341113913,0.5868619259869448,0.16860029584969818,0.5738121212164563,0.2399708480875712,0.6745508925243764
Cuneus_L,0.34446864605904537,0.3464500842315513,-0.2973763053832466,0.33328961460689954,-0.01464781884505094,0.1370292222196213,-0.2011931219572938,0.4674446553710086,-0.04249753987219138,0.5450781212773205,-0.08868011539764346,0.2061416069456093,0.09233109843742542,-0.3221434107133477,0.28793920728462297,1.0,0.07014384008971837,0.033082525360409294,-0.019043379207489095,0.24680748445996603,-0.00463762179899888,0.3591684736113836,0.6450224936738608,-0.08689915573833257,0.30848796487955327,0.42084255234848855,0.305603657601836,-0.2040129700225796,0.09534259521270425,0.01870688216263065,0.2505209873699883,0.1915010842332832,0.15670943044490437,-0.14510873819866166,0.4531368562401888,-0.11515287957057933,0.053791362303656755,0.16590714286790473,0.2734908544851835,0.6657701604734586,0.47475890797583264,0.3249595942620285,0.1348541175309878,0.4813132207744035,-0.05429383369510764
N_Acc_R,0.5199012665273683,0.09688184392234062,0.5249683669854945,0.22492774364944243,0.6050678563135672,-0.32441362622800163,0.1396070799732839,0.4474665843238173,0.4698424787687332,-0.06699422861214673,0.6362653958162562,0.48341788537450087,0.5822900739363334,0.07491081557914248,0.4754791591746392,0.07014384008971837,1.0,0.3465835784534908,0.5085502433268406,0.19600276628993565,0.5676139111842304,0.4528567539733585,0.030863521883510516,0.3278164251965779,-0.3736885783794187,0.49183817220463755,0.36406345552424696,0.436748062807218,0.38924248730537714,0.3727833148063503,-0.08610932413051647,0.6690828492809481,0.744206367048523,0.45855206863493164,-0.1364627093406469,0.7935112974280584,0.5622592595375063,-0.0747084492026187,0.10052402276451826,0.3524482707467378,0.010608282075614912,-0.428508517309823,0.6090367058198598,-0.3817744031205857,0.4839013530870065
ACC_pre_R,0.607255959482762,0.44636525175198855,0.40721643182865713,0.6973452203247001,0.44691188172771057,0.3331326090800337,0.15716773880689813,0.6166391765191814,0.5986602034609846,0.26917141957641183,0.25872465092132396,0.48919616568690594,0.3547672827462835,-0.006168804021070141,0.6981187857093466,0.033082525360409294,0.3465835784534908,1.0,0.523863348921323,0.6406746620728775,0.6725443464807456,0.6713712051909297,0.08612609580617911,0.6450981484849387,0.4769518649333743,0.6628815290031354,0.5673775779742302,0.3894084772893229,0.3917196606737335,0.7048403150255872,0.7061044732228067,0.4183988965422934,0.5350082971897654,0.5117510712216181,0.2083784436176553,0.41946435373341057,0.34603268182409996,0.024633263427161534,0.35471649226238705,0.30118937505071675,0.5339077915171083,0.17467698998196138,0.42130975936707643,0.21984125815765035,0.694083741298699
Temporal_Pole_Sup_L,0.7611426253409216,0.410047686495337,0.6550207234030457,0.6489394163402337,0.5743313845308013,-0.03576578921829217,0.23563121380268498,0.6234587040734865,0.7551331996507185,0.05352081151734203,0.5593424163163955,0.6637262194040069,0.5149554450319765,0.11918318499280964,0.7763981072237399,-0.019043379207489095,0.5085502433268406,0.523863348921323,1.0,0.5459420736355095,0.5865404382608086,0.7239256573638988,-0.18771675458726653,0.6435201085852269,0.07440153430133833,0.648044472227665,0.4469159851944873,0.5669006936681154,0.4852483425165628,0.692606253939709,0.4135051945669882,0.5538129341360437,0.7014360709248947,0.7516849090117966,-0.0022183601461015453,0.4343182904891451,0.46412024917934197,-0.12205735467253191,0.279796419137093,0.3205784404852374,0.371876089810575,-0.05397528319630792,0.4618758438015447,-0.026876271780019546,0.7468666301873131
Thal_MDm_L,0.48839345424875225,0.5836747733729837,0.4230886134468803,0.7382919239236307,0.4144660577897772,0.2899734330734836,0.2490755136100248,0.618084757090068,0.6100779817086823,0.3789073804851536,0.15012840449051884,0.5083678088155278,0.12629328343253962,0.03842331292737429,0.6708810499855367,0.24680748445996603,0.19600276628993565,0.6406746620728775,0.5459420736355095,1.0,0.5449225113400574,0.6887272078112828,0.10283512747624526,0.53122816018163,0.5112435402071186,0.6604451197083332,0.5475614608501116,0.47615297431870324,0.36260507216041454,0.5239716043666249,0.6631003214695621,0.21904432541089153,0.39388442889482617,0.5908753940624428,0.33954318834309427,0.24143028387207122,0.30422771641792196,0.05193408032298202,0.4389568628479052,0.49764961064226726,0.7878881047597249,0.31670145149827766,0.29703689514410103,0.3973544377410141,0.4530116023650881
