,Rectus_R,Frontal_Mid_2_R,Amygdala_R,Frontal_Sup_Medial_R,ACC_sup_R,Calcarine_R,Temporal_Inf_L,Thal_VPL_L,OFClat_L,OFClat_R,Caudate_R,Frontal_Inf_Tri_L,Frontal_Inf_Orb_2_R,Cingulate_Post_R,Thal_LGN_R,Hippocampus_L,Postcentral_L,SupraMarginal_L,Parietal_Sup_R,Cerebellum_6_R,ACC_pre_L,ParaHippocampal_L,LC_R,Insula_R,Cerebellum_Crus1_L,Precuneus_R,ACC_sub_L,Occipital_Mid_R,Frontal_Mid_2_L,Temporal_Inf_R,Temporal_Sup_L,Frontal_Sup_2_R,Vermis_3,Lingual_L,Thal_VA_R
Rectus_R,1.0,-0.6232580694825167,0.34631467191464116,-0.31376072874581235,0.4198542665351503,0.0923643505527684,0.4026260112892225,-0.42047478885250095,0.3418934812327819,0.7574759456652288,0.3897828576607611,0.10426759662525141,0.5541679915830913,0.23344168106043,-0.22315598646328597,-0.011722412761442529,-0.45844749342620167,-0.2184731215880324,-0.07700517151074603,0.2028096403081011,0.44650925626874644,0.39820735107992017,0.008424507518897801,0.3340610107039792,-0.21833393657917988,0.033843822896552495,0.6862915770960295,0.05128614758909775,-0.6049177799550296,0.40236672289866315,0.12783619649551742,-0.43642406960681757,0.4100745883309776,0.09823703100079202,-0.1523235416639585
Frontal_Mid_2_R,-0.6232580694825167,1.0,0.03891680861332764,0.8140605405808883,0.16334194708714134,0.21535344471707926,-0.022882324703978607,0.44909698300753753,0.13960344762159874,-0.29746029670775603,0.2278391353122721,0.4032982177671962,0.031106955742132313,0.17891975691727988,0.41207228518065253,0.3639423273727686,0.4140291093663455,0.29180754620119503,0.03868333413804598,0.27657610361320134,0.09608736209127199,0.10541269212428231,0.11000620100798966,0.13755706912727464,0.3801913537844891,0.24964043552924373,-0.08189689242824964,-0.013989051585067294,0.8150478442247288,-0.0065301658108119455,0.2424020184983467,0.9194988046083846,-0.014893529355280943,0.2097777370828057,0.4857760346424314
Amygdala_R,0.34631467191464116,0.03891680861332764,1.0,0.28998749895512765,0.6054836257508144,0.19935010603919776,0.34552523689358217,0.1041770140028461,0.5989912925276875,0.6281977363508042,0.5809322892461496,0.3215326025914032,0.47632296303064187,0.5188033643519977,0.10643340604713589,0.5076708233819393,-0.030051926540188307,0.258026158104209,-0.10359775329550444,0.2580274969668714,0.5713598790764854,0.5515555990019103,-0.10493241568921828,0.49580095363677107,-0.239719243727299,0.39020002781390517,0.5367688048609348,0.08577534262347059,-0.12970109929089044,0.15530542438356476,0.3975961881492013,0.09878498187109482,0.45274508746473197,0.1697363302012174,0.4687215423413556
Frontal_Sup_Medial_R,-0.31376072874581235,0.8140605405808883,0.28998749895512765,1.0,0.5168785643345709,0.34293413298310654,0.14805153219801429,0.4338491201626397,0.41041817869474817,0.0364084451251832,0.5477351851126273,0.574459225863383,0.3634621311794573,0.517398496201514,0.40701733593942113,0.5327293782907105,0.47209674811641733,0.41226796348098027,-0.06085272983080171,0.43095840545920433,0.32959224117705826,0.3936196800618534,0.12072064890479423,0.426872387202447,0.2565665388746142,0.4711935141316241,0.2197365556983116,-0.01112016417186983,0.7279386436286067,0.26975416556020854,0.5239606996926109,0.8504250073520329,0.331110287048704,0.32519661310783454,0.6462184476670298
ACC_sup_R,0.4198542665351503,0.16334194708714134,0.6054836257508144,0.5168785643345709,1.0,0.29996502991723606,0.560958721721502,0.29440763185505114,0.7488478793345097,0.6007184399722232,0.762100663141357,0.6130476071078059,0.6993849709417289,0.7725430552682576,0.22970240417616528,0.6731703503217561,0.013565041265291258,0.24332572652801845,-0.09273842495152812,0.5612090282582124,0.7890272830931809,0.7499779417327329,0.23587182544578375,0.6682915472382348,0.09040302220944896,0.5029735216452541,0.7540037751803678,-0.27075517861019716,0.04214322159203098,0.37406261424326825,0.7000418036843236,0.3615984217375238,0.6475818044376858,0.5212883695745723,0.5483822029791326
Calcarine_R,0.0923643505527684,0.21535344471707926,0.19935010603919776,0.34293413298310654,0.29996502991723606,1.0,0.3328514527799985,0.32713921156063375,0.3304460211687758,0.3017782865980086,0.4923667325560021,0.30381398096532763,0.577684257574572,0.5153062266242481,0.2578336090669143,0.3463565277424593,0.32901854470227104,0.3046889593906221,-0.023895948552459374,0.7875433880488648,0.23184950505469967,0.2996009461048502,0.2952299832449844,0.5912483744015566,0.12265347155176336,0.7427158122611545,0.25219639143613953,0.46052228497778075,0.18863127306545954,0.7262165464245465,0.5244163565029002,0.27790465332400427,0.35667387717600363,0.6309069997276984,0.40275315354265073
Temporal_Inf_L,0.4026260112892225,-0.022882324703978607,0.34552523689358217,0.14805153219801429,0.560958721721502,0.3328514527799985,1.0,0.15452914224757722,0.4829300456859356,0.27062244453986567,0.3909730381248472,0.5153928081473773,0.3212397443909894,0.6014904303489786,-0.23669680881534322,0.4117652796407873,-0.2633273609422222,0.04352121077408837,-0.278727927368565,0.4750396633648132,0.5139686105714995,0.7492161026677403,0.12673920511612163,0.43805283358612257,0.5154978848121319,0.1540697935676658,0.5141620787085611,-0.4175362037283297,-0.09484060909837513,0.2913076686794721,0.5168555388326713,0.1434273910348222,0.6053266791113306,0.35933064706116014,0.23691376835078587
Thal_VPL_L,-0.42047478885250095,0.44909698300753753,0.1041770140028461,0.4338491201626397,0.29440763185505114,0.32713921156063375,0.15452914224757722,1.0,0.21012713021348012,-0.19559122231667533,0.22504392248391977,0.3529407995603759,0.11583452936563753,0.5102325821132443,0.4797028282253674,0.6298912079935458,0.5266635812261419,0.48686145810937287,-0.044184606910759455,0.4170427627595663,0.16104008387708535,0.23923203632442247,0.4133759575035609,0.2788599177086274,0.24140724076137385,0.5371251601566005,-0.006272039371568722,-0.22014118314410125,0.40538520254723776,0.029023591124396234,0.5755828064298276,0.4459184144986618,0.09262738512263417,0.552194193749906,0.6804238691464276
OFClat_L,0.3418934812327819,0.13960344762159874,0.5989912925276875,0.41041817869474817,0.7488478793345097,0.3304460211687758,0.4829300456859356,0.21012713021348012,1.0,0.5919865670194935,0.6835902862804849,0.650049141302567,0.7031728165945881,0.5849334379464093,0.0917425891655591,0.6476263591916851,0.04953634949205206,0.0836331304925042,0.012558630156361524,0.5375047818429949,0.754806140968389,0.6386197666401777,0.10345365973468569,0.7870778260171164,-0.05434532775436871,0.43084804499504775,0.6259842357261762,-0.05499241661898634,0.10450959428861319,0.37741119021355113,0.6450346826407588,0.3224693755678116,0.6661566332732765,0.4156812688037074,0.5564406357826224
OFClat_R,0.7574759456652288,-0.29746029670775603,0.6281977363508042,0.0364084451251832,0.6007184399722232,0.3017782865980086,0.27062244453986567,-0.19559122231667533,0.5919865670194935,1.0,0.549862132084279,0.16701068972758157,0.7711182474171202,0.4117288458300342,-0.024616354301735043,0.2508606992986458,-0.22307903848436325,0.015369947729903176,-0.10515145685952494,0.33559051484714153,0.5424188699942372,0.4187186813515557,0.06385969091768737,0.5279602449056394,-0.36674084222800607,0.3286513561502109,0.666181915305352,0.22614007203546116,-0.3955807008052737,0.5088238728766342,0.29352303689189285,-0.1656729151707018,0.5001455767550319,0.2493228732473188,0.11121715850066212
Caudate_R,0.3897828576607611,0.2278391353122721,0.5809322892461496,0.5477351851126273,0.762100663141357,0.4923667325560021,0.3909730381248472,0.22504392248391977,0.6835902862804849,0.549862132084279,1.0,0.679054765540508,0.7482405894904509,0.6596768107277674,0.3576638685429238,0.6231692348136431,0.19856801953991432,0.19835105261723587,-0.024787741477133845,0.6484601749902523,0.7500864195391896,0.5727163757033191,0.16161730068861144,0.8114635037035053,-0.10397869232767853,0.6098928492138397,0.7922399187642952,0.19546015615117643,0.18035682444512022,0.4973664533791363,0.6312491128311765,0.40943862532517644,0.6085615101154607,0.4712135199160876,0.7129657932210154
Frontal_Inf_Tri_L,0.10426759662525141,0.4032982177671962,0.3215326025914032,0.574459225863383,0.6130476071078059,0.30381398096532763,0.5153928081473773,0.3529407995603759,0.650049141302567,0.16701068972758157,0.679054765540508,1.0,0.47145641302195684,0.5567653345775154,0.20105804934145374,0.6523993086433147,0.2795853211254148,0.20805644336408247,0.008786618503466147,0.6385364341869664,0.7048348180383132,0.5611487756574061,0.22379793435359052,0.7024567994284995,0.25417966556789157,0.3522064121007977,0.611869204432961,-0.14085503703960942,0.5668721555915976,0.35458341447538516,0.732911693378093,0.6395711873070407,0.588556054828028,0.48258080440183204,0.6601082002758026
Frontal_Inf_Orb_2_R,0.5541679915830913,0.031106955742132313,0.47632296303064187,0.3634621311794573,0.6993849709417289,0.577684257574572,0.3212397443909894,0.11583452936563753,0.7031728165945881,0.7711182474171202,0.7482405894904509,0.47145641302195684,1.0,0.5496260867921109,0.20068108176257593,0.44657385663453636,0.053582932291786636,0.0696981852191519,-0.008223544290022278,0.6814429968192242,0.6313767230741306,0.5014058686925492,0.25609805180251927,0.8011961498171862,-0.1414118299364103,0.5766294876730639,0.7152989540792454,0.28570297155563623,-0.012474914008676183,0.7022892749762425,0.5691267838845736,0.20302988843571385,0.5592768570487976,0.5439591083929092,0.4091160914814195
Cingulate_Post_R,0.23344168106043,0.17891975691727988,0.5188033643519977,0.517398496201514,0.7725430552682576,0.5153062266242481,0.6014904303489786,0.5102325821132443,0.5849334379464093,0.4117288458300342,0.6596768107277674,0.5567653345775154,0.5496260867921109,1.0,0.2927004321068948,0.7533737834428668,0.2123972682398351,0.38561549488016783,-0.24567453103511752,0.6402844406742185,0.5397990442416848,0.7922389904363522,0.22853476410481147,0.6566249811988737,0.138656744349903,0.6767575296284533,0.5313868892850765,-0.22541063084117147,0.12377761756387398,0.4318302377229134,0.8008098494096917,0.32038497832323704,0.6555480192749898,0.5678157867882838,0.6655041788924314
