,SN_pr_R,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_R,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_LP_L,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_R,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_R,Caudate_L,Parietal_Inf_R
SN_pr_R,1.0,-0.4443890985705161,0.35342472281181003,0.475173475926129,0.5742889012620259,0.49889042676237816,0.08915987344049815,0.1318661494338933,0.49912772923520704,-0.31698705251302534,0.27787344904607414,-0.21230661222763458,-0.07198482054363647,-0.26147759749155175,0.6554033111651038,0.5654912632564466,0.33065831650863486,0.5897530495207889,0.3526213203730334,-0.38060340075324933,-0.04445451998550368,0.6596633799437662,0.36111983428780814,-0.3046699737856868,0.03142194978483447,0.6552139578003036,0.5044273678902889,0.17174189033664636,0.22495890308525718,-0.3649350549964068,0.22797875018366456,0.11521877958293396,0.13061929715672613,0.618117892625266,-0.19127097893070316,0.5045701534231208,0.6148169847219777,-0.02167589802024787,0.08813002151873643,0.3807429649099301,-0.195732120567944,-0.14306165120149172,0.1911025455349226,0.4936495452341563,0.645461259536819,0.34716973353055186,0.13877884771630994,0.5419009670500057,0.39318010525881386,0.2621606685642735
Thal_MDl_R,-0.4443890985705161,1.0,0.29802714461404023,0.11871466534771913,-0.1282233662150991,0.06315900648790415,0.4277481912923197,0.20029303442092214,-0.10194326312593485,0.5301261953078474,0.06323947769980512,0.60329723829822,0.6634891267743549,0.6534693588765227,-0.15078701672999112,-0.2296419926674887,0.21256600957723454,-0.021119034791185015,0.33380004905603583,0.7108393162479022,0.12244151433202105,-0.06782473206839316,0.14654218963710955,0.7122146414187942,0.15226051044843206,0.03721616918354871,-0.11664381497330531,0.2599754873993448,0.3643595066397462,0.7077700566333552,0.20973107450283704,0.29932618590822535,0.30949851369211495,-0.26515382971753954,0.618881578364235,-0.038320876633984265,-0.3540459389378094,0.06620598257556609,0.2619046055061043,0.013750099042872804,0.5443740219333729,0.5611260009168334,0.41897368384694367,-0.3735210693748039,-0.3671234262637301,0.33434431235219886,0.3175546448019322,-0.32654110012618764,0.19714107162320668,-0.11084942942343438
OFCpost_R,0.35342472281181003,0.29802714461404023,1.0,0.7216558785690198,0.7172175018073543,0.6518055836802019,0.33328961460689954,0.04142954049876119,0.34197706389781307,0.33071397513211637,0.5295331814292502,0.4236576064397324,0.4531660124894796,0.29847822130915697,0.6011386781023594,0.48870188194945496,0.7663595389123009,0.7229429941311034,0.7382919239236307,0.3495497010912816,0.1259164937754685,0.6229138847221595,0.6680111633538276,0.37896360836925247,0.31173270122413455,0.7386847667542069,0.4566012814271178,0.15821413787840202,0.5848720511705544,0.2539107879001437,0.5189837292632032,0.40402970528587784,0.1313016246115595,0.5983779388529242,0.44517507233860093,0.5673289296684032,0.3373866394973652,0.0695719355966215,0.4111027360657638,0.5577830431792083,0.4723157707770711,0.48091881805110676,0.7638309033980579,0.41170755509793583,0.3447009371398638,0.7472031700856094,0.14654242142868756,0.19856566159062478,0.7489433253079929,0.0262031966173341
Temporal_Sup_R,0.475173475926129,0.11871466534771913,0.7216558785690198,1.0,0.6458939894236764,0.7552630881847098,0.4674446553710086,0.16831174830809037,0.6611096579425587,0.37932703458215855,0.5218517563833492,0.31514750173814815,0.47892790669785523,0.23313643167575634,0.720606361998514,0.5084836864001372,0.7485846365121742,0.7062370135093496,0.618084757090068,0.16833130824511605,0.3431856319543051,0.7934183719096293,0.6405922015684964,0.27053959109328574,0.39180931537440394,0.8410818946964722,0.6268135071808943,0.20811203061140168,0.7969239079083101,0.25018488784750037,0.6135365774267953,0.41366973918989614,0.28306530809140673,0.5905923426560309,0.39139936606187503,0.6037099752131484,0.4824997724154918,0.08649940508069584,0.334575860025727,0.5424962434986642,0.25559776685297353,0.19473427311894445,0.6599318261551418,0.3560377528943596,0.4094509733402291,0.8381369675317867,0.277616282664896,0.3785034409620856,0.6377282538544049,0.10347432270295248
OFClat_L,0.5742889012620259,-0.1282233662150991,0.7172175018073543,0.6458939894236764,1.0,0.6421832145449906,0.12519978412199606,-0.08250136206646974,0.37741119021355113,-0.055902585191129735,0.41820911979949454,0.11659302402774961,0.1741787403457194,0.03855308650920193,0.6868620764786241,0.5989912925276875,0.6450346826407588,0.776507202898916,0.566033884714852,0.0028117076742380045,0.10345365973468569,0.7031728165945881,0.5755528369938728,0.04953634949205206,0.10160153728672582,0.7693991876176179,0.46385511866207796,0.11038109996526829,0.43597133458553516,-0.04354374774488548,0.32541498865887997,0.2545256048818806,0.016174856974223255,0.6386197666401777,0.10453613534666747,0.5987342545324721,0.5880771961090374,-0.10373229854106344,0.3258415090586248,0.5435833190293602,0.13960344762159874,0.20610245062320412,0.5564406357826224,0.4829300456859356,0.5970422990526111,0.5762206651804421,0.052375525721343595,0.3596644229443832,0.6931366328531223,0.16055786244782352
Heschl_R,0.49889042676237816,0.06315900648790415,0.6518055836802019,0.7552630881847098,0.6421832145449906,1.0,0.305603657601836,0.17495312865028473,0.48046671111832545,0.2272357633939165,0.48972233291665745,0.30833194155835136,0.2144910541307812,-0.02943932478268813,0.67573783226974,0.4549266615958099,0.6300398139654453,0.7652356469244903,0.5475614608501116,0.06567919286826618,0.3063296116768147,0.5669018669459492,0.4529314598483462,0.17819133829113865,0.38478661745199855,0.7979570948523671,0.57031698343193,0.3014220154676789,0.5158163996323472,0.13429487148444585,0.4909211354814083,0.3458225895648175,0.29612329240926477,0.5176314441241628,0.1376953455086014,0.6508738674609845,0.4062990745666884,0.07101277477064992,0.4945099563686676,0.48945178320777194,0.21253478386845967,0.24141101795952222,0.6980194427019747,0.44508383481859076,0.470640009090941,0.726522148428166,0.3201540876242489,0.24659254578736076,0.683282897958843,0.1688640423644655
Cuneus_L,0.08915987344049815,0.4277481912923197,0.33328961460689954,0.4674446553710086,0.12519978412199606,0.305603657601836,1.0,0.7431562469088516,0.48602495798939327,0.2744844056746215,0.09534259521270425,0.41303934529436,0.41756786729919904,0.3565043477246983,0.18798335731054946,0.09764206885824528,0.18046707535340267,0.08344052836682188,0.24680748445996603,0.2947072268183552,0.07831082574705499,0.4455891364689176,0.2793490480437416,0.4813132207744035,0.08217978135755769,0.3897857129905302,0.37117800263014117,0.6450224936738608,0.6055141402705354,0.4778826699517486,0.2706772180550452,0.2734908544851835,0.8788820827712934,-0.1573884843757452,0.3528625040518851,0.2564863445169162,0.0808014820499773,0.1962234463223179,0.07188371318787543,0.1179249843617049,0.1370292222196213,0.11596049055193408,0.2505209873699883,-0.2973763053832466,0.1348541175309878,0.40191988986408766,0.8711902307876622,0.09233109843742542,0.06374257737689061,0.23105029066363636
Occipital_Inf_R,0.1318661494338933,0.20029303442092214,0.04142954049876119,0.16831174830809037,-0.08250136206646974,0.17495312865028473,0.7431562469088516,1.0,0.6019634722832768,0.1391224527859934,0.18343100964570933,0.12415543023875177,0.07948933971029526,-0.04269207399434509,0.09137722203800706,-0.15727806655899262,-0.1051482718057827,-0.03940459072549498,-0.055268169881958325,0.0550667373418977,-0.035050335984202576,0.2545045125527205,0.11777715313299057,0.18618867799194488,0.10968199188882755,0.1550370208621757,0.4093911351955433,0.5470599987836123,0.16864329302196598,0.09209646440892397,0.1361194995454902,0.09278709354484388,0.8185013383974505,-0.25503612973395856,0.04540683923083677,0.10441810414004739,0.03042855594380434,0.5647089796684348,-0.15911106652018572,-0.029171002777440336,0.05375867879002515,0.13404129336678175,-0.06143842141980702,-0.2564589324880747,0.12192716688327591,0.07242994421252456,0.80012965800133,0.2877328377753265,-0.17019963060824042,0.194810370656415
Temporal_Inf_R,0.49912772923520704,-0.10194326312593485,0.34197706389781307,0.6611096579425587,0.37741119021355113,0.48046671111832545,0.48602495798939327,0.6019634722832768,1.0,0.2628556630886586,0.5853385478947944,-0.03932841109317027,0.22318129325765018,-0.17935129706799077,0.5412345017871887,0.15530542438356476,0.4231491284564929,0.4833314329680669,0.3085786112024507,-0.08761787254776356,0.2161937058409075,0.7022892749762425,0.5116727742983623,0.06569394160801516,0.40725032531264266,0.6070927655383168,0.7764936249982581,0.23849417326908154,0.42562698747565314,-0.1134157722524403,0.4956729836573325,0.27162281601032456,0.4167532137263272,0.36283129158405225,0.030843532771205412,0.4635366778992674,0.5158315719560412,0.5634951283231033,0.043321738519811546,0.30482868329651286,-0.0065301658108119455,0.14042590852810805,0.19035006087875933,0.2913076686794721,0.38694642895694786,0.38897117271333265,0.41258216338712406,0.5865580156264836,0.2340267167836878,0.221890919594752
Red_N_L,-0.31698705251302534,0.5301261953078474,0.33071397513211637,0.37932703458215855,-0.055902585191129735,0.2272357633939165,0.2744844056746215,0.1391224527859934,0.2628556630886586,1.0,0.4246751841546603,0.43693551473004805,0.4808672198194592,0.35970156829085537,0.03612689517123357,-0.14532277712509428,0.3713406640013089,0.15314555072195243,0.3518640207284234,0.41024812159332935,0.4287460824621163,0.09261763982010442,0.26090651689567645,0.47607399732750366,0.5606796058477357,0.14707437541094195,0.3188831184750439,0.007077580126919566,0.4018941633788456,0.4781329272496602,0.44492297116236734,0.2767175858390413,0.10528244263389228,-0.01628137781527215,0.4023114923436078,0.1920509562308908,-0.05654538277637276,0.3414519053608439,0.21020368266747017,0.20813925180315174,0.37958454747943426,0.3481948081367875,0.3983978079956755,0.03825085816783541,-0.24539505809379455,0.3482969340435953,0.11517744748314596,-0.09079769238015,0.27026880005287973,-0.20433022871512505
Vermis_8,0.27787344904607414,0.06323947769980512,0.5295331814292502,0.5218517563833492,0.41820911979949454,0.48972233291665745,0.09534259521270425,0.18343100964570933,0.5853385478947944,0.4246751841546603,1.0,0.09942721310266331,0.2627085450649889,-0.0460752934993259,0.5366376587770497,0.0899126084376514,0.504300675279506,0.5351327089636047,0.36260507216041454,0.0919203032612314,0.34384710906501825,0.43112564063742825,0.40701273357620527,0.03943949872516058,0.7455835250510512,0.5658926861609268,0.5407195699269202,-0.03325168029342123,0.19501017755956515,-0.1130788194200769,0.6775523516145802,0.1903434336418746,-0.03985845650330236,0.5337795074156357,0.18400568554849156,0.4270826229949436,0.26551091367706764,0.6624069698700124,0.1536785972928939,0.23527621011447067,0.4034190661865624,0.5231591463224131,0.33316146423555726,0.5044572946885051,0.285453381146731,0.4275018751843219,0.013806327561659226,0.3631541789005457,0.41109709302313113,-0.0818794021438662
Thal_AV_R,-0.21230661222763458,0.60329723829822,0.4236576064397324,0.31514750173814815,0.11659302402774961,0.30833194155835136,0.41303934529436,0.12415543023875177,-0.03932841109317027,0.43693551473004805,0.09942721310266331,1.0,0.35439020129262544,0.43975862501077984,0.13581894604124126,0.09038258630359454,0.3574911662964837,0.1207935091547107,0.3489872230711747,0.6948406843123376,0.13868105251352766,0.02429811882118926,0.4335083869471016,0.7022414417191344,0.06450146971247916,0.13735773329886924,0.04288428968436718,0.24866922936960598,0.47879420687844293,0.6259316409463123,0.1273948392281755,0.4001219673490404,0.27436845386782416,-0.08097419786985546,0.6525578435617805,0.24269237966690343,-0.36788343214141433,-0.002516803090112789,0.16115463849940698,0.34980125223586483,0.5436997926936309,0.4352477444654881,0.6337823886846646,-0.2339797596942912,-0.05174293417236274,0.4076391937722959,0.23432454365519745,-0.2936630091714043,0.31992361357628224,-0.06877565513816106
Thal_MGN_L,-0.07198482054363647,0.6634891267743549,0.4531660124894796,0.47892790669785523,0.1741787403457194,0.2144910541307812,0.41756786729919904,0.07948933971029526,0.22318129325765018,0.4808672198194592,0.2627085450649889,0.35439020129262544,1.0,0.5793905105021938,0.13757942353581418,0.0546319431807837,0.47726012257762707,0.3077352360566047,0.559322755710772,0.5209738678767413,0.18014467336946438,0.32393484660094657,0.32921438464567343,0.5581073001580463,0.24044298812809406,0.42907849359223166,0.02890915956096828,0.20912724818791278,0.5793997090553766,0.49204131365794307,0.4874400436858594,0.3945220804628027,0.2545556052445986,0.1339154846680829,0.5063595081466267,0.15507187100200745,0.153591406059557,-0.05674660303117239,0.320162216600034,0.15542702915850842,0.30307729831767605,0.3889034280674001,0.5000992093319305,-0.11759680181589388,-0.19892738370850596,0.605586973132263,0.2650470628967541,-0.04085695417878575,0.45958328920878866,-0.021840144646592136
Paracentral_Lobule_R,-0.26147759749155175,0.6534693588765227,0.29847822130915697,0.23313643167575634,0.03855308650920193,-0.02943932478268813,0.3565043477246983,-0.04269207399434509,-0.17935129706799077,0.35970156829085537,-0.0460752934993259,0.43975862501077984,0.5793905105021938,1.0,0.016196703835308926,0.03629235574642667,0.19460669370327116,-0.02295597194395449,0.2966271787271631,0.6192882634796798,0.10625109625056522,0.1123141061200348,0.10545960166400382,0.5250031932019305,0.004733431744124439,0.08634982686346318,-0.14841296183025016,0.18365184492420863,0.5209717563911861,0.6922658658246443,0.25109128343783893,0.18349580312586447,0.17049561715873707,-0.13873562496843972,0.7092745930903547,-0.05487418320612536,-0.13730950822327911,-0.22698816148451312,0.12753258727431172,0.08632958204509796,0.4267092440540271,0.3294762971395061,0.27378663222515964,-0.37173731259045695,-0.21825750209602227,0.39408920495087696,0.1980195760294216,-0.20083861678116144,0.1496892976812059,-0.09438550344778496
Vermis_9,0.6554033111651038,-0.15078701672999112,0.6011386781023594,0.720606361998514,0.6868620764786241,0.67573783226974,0.18798335731054946,0.09137722203800706,0.5412345017871887,0.03612689517123357,0.5366376587770497,0.13581894604124126,0.13757942353581418,0.016196703835308926,1.0,0.5692367361955708,0.653807157526445,0.7302464291826501,0.506699973090602,0.08028477896744964,0.22450332665798012,0.650505667739293,0.6147854779928474,0.11359313686446451,0.2960319021093025,0.7329583635630077,0.5377309888762666,0.07909902200590715,0.5448744956414856,-0.10426154556335525,0.5934558767543795,0.33619752584712576,0.07247293055645714,0.6562305509271253,0.2271410810074158,0.6331018950862104,0.47388509870602785,0.07968674543528134,0.21166731597530658,0.5159259715649906,0.1373605251210026,0.1761567895449711,0.4580442655947672,0.5026494156567262,0.7206146450585906,0.615528061904258,0.06459717234032775,0.5170689498099519,0.552949646321334,0.13031998714313595
Amygdala_R,0.5654912632564466,-0.2296419926674887,0.48870188194945496,0.5084836864001372,0.5989912925276875,0.4549266615958099,0.09764206885824528,-0.15727806655899262,0.15530542438356476,-0.14532277712509428,0.0899126084376514,0.09038258630359454,0.0546319431807837,0.03629235574642667,0.5692367361955708,1.0,0.3975961881492013,0.5645335192939942,0.38392423954894195,0.016441495592025672,-0.10493241568921828,0.47632296303064187,0.3099738652759627,-0.030051926540188307,-0.06980545404609056,0.5277341476902032,0.18773881371100393,0.028154799061604504,0.4142282922333351,-0.13465924527265263,0.13216213652689496,0.0819963645784178,0.04622732311756811,0.5515555990019103,0.09686804902571702,0.3764150403180175,0.48138778429335216,-0.3787923296963591,0.26013975600187467,0.47450178458198805,0.03891680861332764,-0.07200158608196826,0.4687215423413556,0.34552523689358217,0.4556474240113961,0.5608713962137761,0.022302216387151227,0.33505557726631335,0.558988287602598,-0.036385436354770546
Temporal_Sup_L,0.33065831650863486,0.21256600957723454,0.7663595389123009,0.7485846365121742,0.6450346826407588,0.6300398139654453,0.18046707535340267,-0.1051482718057827,0.4231491284564929,0.3713406640013089,0.504300675279506,0.3574911662964837,0.47726012257762707,0.19460669370327116,0.653807157526445,0.3975961881492013,1.0,0.7415198630338122,0.7137790872464588,0.3937367539117408,0.33286330363368055,0.5691267838845736,0.7770605105732882,0.5163689847650428,0.39863630388991333,0.70026531593501,0.501868713422605,0.01653146709241744,0.6910880429982131,0.18847771516449613,0.5338625770553109,0.5628208376560307,-0.07004736331582483,0.6196538761435282,0.379543770819868,0.5700896608041167,0.36818666907096476,0.03792146287205308,0.417529628018644,0.595517865401307,0.2424020184983467,0.3890738618857287,0.7214979528019,0.5168555388326713,0.41897948943222524,0.6624230307885159,-0.0731854880488882,0.23108632472045212,0.6975681912638986,0.08989987267430996
ACC_sup_L,0.5897530495207889,-0.021119034791185015,0.7229429941311034,0.7062370135093496,0.776507202898916,0.7652356469244903,0.08344052836682188,-0.03940459072549498,0.4833314329680669,0.15314555072195243,0.5351327089636047,0.1207935091547107,0.3077352360566047,-0.02295597194395449,0.7302464291826501,0.5645335192939942,0.7415198630338122,1.0,0.6641224410148402,0.07455100000156405,0.17965621354834674,0.6615951959092548,0.6011464970186045,0.1384570562166865,0.2909799031699981,0.8114185268474374,0.47947811202174384,0.07236967779724783,0.45283742029605145,-0.05959789768444753,0.47222206690593466,0.3237397985313266,0.020037002723237926,0.6982653025797666,0.10543853982657127,0.6034921056649777,0.6297702638458292,-0.012876996900486956,0.4769534064449706,0.5264708290817152,0.17358457162664315,0.3223791584089913,0.6982059406886008,0.57119945575173,0.45615611968126235,0.7206869511984315,0.04903642152961681,0.4149133562546946,0.8601636613456831,0.1087057746568859
