,OFCpost_L,Temporal_Pole_Mid_R,Red_N_R,Occipital_Mid_R,Frontal_Sup_Medial_L,Thal_LGN_L,Parietal_Sup_L,Olfactory_R,Cerebellum_7b_R,SN_pc_L,Cerebellum_6_L,Frontal_Inf_Tri_L,Pallidum_R,Heschl_L,Thal_VPL_R
OFCpost_L,1.0,-0.06572923207355053,0.1948315391856014,-0.1138309236419235,0.5701067240248716,0.41895854415820194,0.04508780607556329,0.1478892105182608,0.0704969269745979,-0.18064424577667068,0.4065419289407728,0.4808249935952652,0.3855020118323073,0.37776109574454003,0.5679962825965466
Temporal_Pole_Mid_R,-0.06572923207355053,1.0,0.5394127636412029,0.140857878774327,0.17250311581655045,-0.16216599028809692,-0.00877203696415469,0.7594735249513614,0.3169612435619269,0.618602373098362,0.3508058154555861,0.28020366269819796,0.4273360909505362,0.38306815852053927,-0.25287419078337453
Red_N_R,0.1948315391856014,0.5394127636412029,1.0,-0.03133676064723712,0.5878752869459121,0.11023046980557767,0.03848147142765438,0.7140810547244306,0.08509305816836357,0.5446245905795855,0.654108809452454,0.6974375355961102,0.5170665053773513,0.7018030023346563,0.06278936498242077
Occipital_Mid_R,-0.1138309236419235,0.140857878774327,-0.03133676064723712,1.0,0.06565051753868392,-0.042839247319161305,0.6314024922498509,0.14553166928581748,0.08502285299046107,-0.12386451396223747,-0.285313482725371,-0.14085503703960942,0.23288719205520866,-0.16519039234070723,0.013963513363306332
Frontal_Sup_Medial_L,0.5701067240248716,0.17250311581655045,0.5878752869459121,0.06565051753868392,1.0,0.38215173194548835,0.14781764279493126,0.3393935516185759,0.17190052230386502,0.10177160861165,0.5873187266822955,0.8700904311200799,0.3919217092530371,0.5786032148681363,0.38200152841734364
Thal_LGN_L,0.41895854415820194,-0.16216599028809692,0.11023046980557767,-0.042839247319161305,0.38215173194548835,1.0,0.1617319989801652,0.06015532671594953,-0.09709728879670053,-0.3915914431955339,0.290078381231041,0.37366259279230196,0.0505009278922801,0.409338473466788,0.5499391581199646
Parietal_Sup_L,0.04508780607556329,-0.00877203696415469,0.03848147142765438,0.6314024922498509,0.14781764279493126,0.1617319989801652,1.0,0.09142351493174537,0.0040544139864446705,-0.13979262434010176,-0.13055504260724418,0.04402784665093928,0.16582310302963066,-0.0034434827098191274,0.16581905627513305
Olfactory_R,0.1478892105182608,0.7594735249513614,0.7140810547244306,0.14553166928581748,0.3393935516185759,0.06015532671594953,0.09142351493174537,1.0,0.04045320568683013,0.574277384805677,0.4052314690042314,0.4333132725919375,0.655581455947133,0.5788221346485061,-0.1689386626946159
Cerebellum_7b_R,0.0704969269745979,0.3169612435619269,0.08509305816836357,0.08502285299046107,0.17190052230386502,-0.09709728879670053,0.0040544139864446705,0.04045320568683013,1.0,0.37953125102273644,0.27148160526712417,0.1884522700805329,-0.03562732261370115,-0.06856144146461289,0.11189429505732199
SN_pc_L,-0.18064424577667068,0.618602373098362,0.5446245905795855,-0.12386451396223747,0.10177160861165,-0.3915914431955339,-0.13979262434010176,0.574277384805677,0.37953125102273644,1.0,0.41345242743257277,0.24395064483535345,0.31098495732363174,0.23963526816553618,-0.3443846364108282
Cerebellum_6_L,0.4065419289407728,0.3508058154555861,0.654108809452454,-0.285313482725371,0.5873187266822955,0.290078381231041,-0.13055504260724418,0.4052314690042314,0.27148160526712417,0.41345242743257277,1.0,0.6787286048313226,0.36324990759231207,0.6914054905449555,0.3818501158150506
Frontal_Inf_Tri_L,0.4808249935952652,0.28020366269819796,0.6974375355961102,-0.14085503703960942,0.8700904311200799,0.37366259279230196,0.04402784665093928,0.4333132725919375,0.1884522700805329,0.24395064483535345,0.6787286048313226,1.0,0.4051973587415481,0.6585926059473172,0.3271523161382016
Pallidum_R,0.3855020118323073,0.4273360909505362,0.5170665053773513,0.23288719205520866,0.3919217092530371,0.0505009278922801,0.16582310302963066,0.655581455947133,-0.03562732261370115,0.31098495732363174,0.36324990759231207,0.4051973587415481,1.0,0.47655483878676125,0.055079041820523846
Heschl_L,0.37776109574454003,0.38306815852053927,0.7018030023346563,-0.16519039234070723,0.5786032148681363,0.409338473466788,-0.0034434827098191274,0.5788221346485061,-0.06856144146461289,0.23963526816553618,0.6914054905449555,0.6585926059473172,0.47655483878676125,1.0,0.22127873177681118
Thal_VPL_R,0.5679962825965466,-0.25287419078337453,0.06278936498242077,0.013963513363306332,0.38200152841734364,0.5499391581199646,0.16581905627513305,-0.1689386626946159,0.11189429505732199,-0.3443846364108282,0.3818501158150506,0.3271523161382016,0.055079041820523846,0.22127873177681118,1.0
