,Calcarine_L,Frontal_Inf_Tri_R,Parietal_Sup_L,Thal_MDl_R,Frontal_Inf_Tri_L,Temporal_Pole_Sup_L,Thal_PuL_L,OFCmed_L,OFCpost_L,Thal_IL_R,Thal_PuM_R,Parietal_Sup_R,Cerebellum_10_L,Thal_VPL_L,Pallidum_L,OFCant_L,Occipital_Inf_L,Cerebellum_Crus2_R,Insula_R,N_Acc_L,ParaHippocampal_R,Cerebellum_4_5_R,Thal_MDl_L,Amygdala_R,Hippocampus_R,Thal_PuM_L,OFClat_R,Caudate_R,Frontal_Inf_Orb_2_R,Cerebellum_9_L,Lingual_R,ACC_pre_R,Thal_MGN_R,Thal_VA_L,Thal_Re_R,Temporal_Sup_L,OFCmed_R,Cerebellum_7b_L,Cingulate_Mid_R,Thal_PuA_L,Thal_LGN_L,Thal_LP_R,Frontal_Sup_Medial_R,Temporal_Mid_R,Vermis_8,SupraMarginal_R,Temporal_Pole_Sup_R,SN_pr_L,Occipital_Mid_L,Temporal_Inf_L,Cerebellum_8_L,Cerebellum_10_R,Occipital_Sup_L,SN_pr_R,Parietal_Inf_L
Calcarine_L,1.0,0.4131519230449054,0.3417606531387688,0.30389980973544506,0.305219680427175,0.3369086520691338,0.42966510091586896,0.039286386294452386,0.40430388635708164,0.45152222520972884,0.14152116963964312,0.013844980713940507,0.5168689063606281,0.4703627475411544,0.07953684889910194,0.2506954606727154,0.33619927483628326,0.1907014824017808,0.5973681772459312,0.3086994818755095,0.5762859759837556,0.5210380714585894,0.011150178291867647,0.2504566555714036,0.6067841714765837,0.014802235514243423,0.32266381032834174,0.46500319496025305,0.5898329011041641,0.4385673773273914,0.8147852108368858,0.308175477236169,0.5716607667935463,0.4501051302980183,-0.048836990588477756,0.5954986570153968,0.16954314161659303,-0.009677435198486333,0.6419805204924631,-0.020106193075808305,0.26899833901054604,0.1777640563272985,0.33566926184846596,0.7911212670126012,0.3583302980765605,0.4639312529213631,0.5431109518092185,0.24373164964223534,0.43293462538823707,0.21912760543597545,-0.0013422619495142116,0.6734636624526064,0.5014220225528795,0.2213526448009669,0.37211152210152104
Frontal_Inf_Tri_R,0.4131519230449054,1.0,0.1157178254372382,0.06306368403256302,0.6658344822718137,0.5959790219300171,0.22115628430512094,0.2729275462042131,0.5138831683945373,0.6332663038581697,0.5792687144674236,-0.04176965890779613,0.613786857354231,0.35774364522240354,0.422544646163543,0.6429190554374173,0.15900956625801513,0.011053540996177821,0.7243980972559305,0.46368831336984495,0.7451892034207835,0.6491190134093746,0.3015687126456656,0.6037905265053796,0.7429086445666432,0.41366180275665215,0.5016294978411191,0.829285756910766,0.6956031783778375,0.5575975329738698,0.5408597531010537,0.7625119990226973,0.6151530012839337,0.424154008682784,0.19841740689991047,0.5707450346518257,0.3773916370278244,0.17665011321662677,0.7505151465207572,0.36986097142764107,0.3042345216078167,0.3722011767801265,0.706796891462562,0.5357714127197051,0.5225441389558284,0.07426828559071084,0.764284251947554,0.3733112293379568,0.13871498504827115,0.37920508675743714,0.20157870204301703,0.4174496315952767,0.10501633166789376,0.47608840516295214,0.08048636405308555
Parietal_Sup_L,0.3417606531387688,0.1157178254372382,1.0,0.2599754873993448,0.04402784665093928,-0.18771675458726653,0.08406701694266895,-0.08963232598342895,0.04508780607556329,0.147600189456107,-0.0005377058335260032,0.22122549979706943,0.003037643223152393,-0.009319172729253106,-0.05155796157508236,-0.06149039140374632,-0.24485959974871652,0.027818556667901458,0.33473130975015397,-0.09131205289569301,0.1895284985008582,0.11836316044692334,-0.1699696983664991,0.028154799061604504,0.2885531431339819,-0.13901439506617677,0.11035709874106898,0.22278102763409016,0.2756718159927849,-0.13590039567707815,0.23019612090450475,0.08612609580617911,0.2088178856799057,0.14906017520120055,-0.00973967725172986,0.01653146709241744,-0.0280527278502787,-0.29191475701710373,0.09541230052947457,-0.15335263959383977,0.1617319989801652,-0.048351351407892304,0.04962304281717579,0.2693321765833528,-0.03325168029342123,0.2975643027478801,0.09200906683213733,-0.0846421322039977,0.6240201495869093,-0.2774984575335189,-0.36278272041837456,0.1872743442899416,0.7235894257028784,0.17174189033664636,0.2818395911433159
Thal_MDl_R,0.30389980973544506,0.06306368403256302,0.2599754873993448,1.0,0.17339483477987194,-0.18507099848557912,0.29932618590822535,-0.5697472297942299,0.39465850266046515,0.3797880736770981,-0.41930489785705105,0.24595706878073986,-0.1069301803613799,0.42742321668555966,-0.4880645706134971,-0.18362477470238056,0.18908781211731102,0.08270926691736417,0.04918816890754255,-0.3553148982147317,0.11284321937782003,-0.028591967834276037,-0.12428173259427887,-0.2296419926674887,0.03721616918354871,-0.28517294049772335,-0.4472704509108701,0.093893284653658,-0.06782473206839316,-0.24895968996024864,0.3303476566559385,0.03685880243703457,0.3850431508266258,0.6125450035536781,-0.1365932799371271,0.21256600957723454,-0.48678092730754496,-0.09744762535103771,-0.010455540437383714,-0.3502073235004987,0.6832070028462623,-0.32654110012618764,0.3905828244811623,0.159152106575488,0.06323947769980512,0.7077700566333552,-0.14930949763081536,-0.5337743056849177,0.25365942911960776,-0.3735210693748039,-0.27184962766347986,-0.11664381497330531,0.3175546448019322,-0.4443890985705161,0.6249739159381937
Frontal_Inf_Tri_L,0.305219680427175,0.6658344822718137,0.04402784665093928,0.17339483477987194,1.0,0.5888633911375661,0.3689640520834871,0.12929212329808276,0.4808249935952652,0.7510630842614253,0.45536143016066033,0.008786618503466147,0.4854479803073737,0.3529407995603759,0.4875631014166185,0.5394802075601416,0.19405938271954037,0.1991451122952522,0.7024567994284995,0.4522140737550483,0.6304615625209983,0.7198844812139351,0.5230088231660392,0.3215326025914032,0.6602873247314928,0.6115971793514687,0.16701068972758157,0.679054765540508,0.47145641302195684,0.47029853256558424,0.44108669798081807,0.6599589604269208,0.5523109291785269,0.3539726573552559,0.28390844120553926,0.732911693378093,0.3041866870254566,0.28590389802334776,0.6225696363605552,0.4397370894965854,0.37366259279230196,0.23065690843237455,0.574459225863383,0.3038216393419143,0.639764169121648,-0.02909477793849128,0.47146596027063936,0.34572945267053756,-0.008664718098634798,0.5153928081473773,0.2803295504468908,0.411539381480051,-0.04133948383699037,0.37798422535146625,0.1348661851695307
Temporal_Pole_Sup_L,0.3369086520691338,0.5959790219300171,-0.18771675458726653,-0.18507099848557912,0.5888633911375661,1.0,0.279796419137093,0.5750604870805435,0.42807769857120204,0.6335304573892248,0.511605415412818,-0.12205735467253191,0.6489445444424712,0.13873590958116214,0.7021599487602137,0.7468666301873131,0.16525751525961993,-0.056070161870239096,0.648044472227665,0.5482942869152726,0.6666366484043712,0.6637262194040069,0.5669006936681154,0.5320959301624596,0.7166210391442572,0.6270008409987392,0.5538129341360437,0.6696294802657582,0.6628663537349402,0.5743313845308013,0.44150406233252054,0.523863348921323,0.5427246961013407,0.07440153430133833,0.33300303288574684,0.6998888497374258,0.7032623166028601,0.19885528837663088,0.7763981072237399,0.6227812064276178,0.19792428224873024,0.5149554450319765,0.31012485714534005,0.4633392135444864,0.4852483425165628,-0.1958555044793578,0.7611426253409216,0.4343182904891451,-0.14518744819974247,0.6550207234030457,0.297823766239828,0.41732753822561863,-0.1682384166213335,0.5232347526189651,-0.04212355742710408
Thal_PuL_L,0.42966510091586896,0.22115628430512094,0.08406701694266895,0.29932618590822535,0.3689640520834871,0.279796419137093,1.0,0.003627358188643582,0.3989663715154537,0.448864760776323,0.08536101161419632,0.0414424347822875,0.21830578656176744,0.39920598680671987,0.05695723560426049,0.26000306340839663,0.09644350340523777,-0.05568611895117257,0.3906510837250407,0.1360034510472719,0.4051145680991364,0.32604905145445257,0.1285042467018875,0.0819963645784178,0.360511581462122,0.16334476946925894,0.11671971071952407,0.3553684659188891,0.335494157149786,0.1171556250784356,0.43786372403727913,0.35471649226238705,0.32316786939292935,0.42369415591531523,0.06454647037459793,0.5628208376560307,0.13183867086975393,-0.09990622589757832,0.4355123789703541,0.07969382404179999,0.3556501454199162,0.05632348208905171,0.26425593184244395,0.3804376614573627,0.1903434336418746,0.2903048783811124,0.2888776164980423,0.060242959423111586,0.06783601354261205,0.13455609242275082,-0.06327488964980721,0.2549870903449252,0.11594507151567947,0.11521877958293396,0.406398448638556
OFCmed_L,0.039286386294452386,0.2729275462042131,-0.08963232598342895,-0.5697472297942299,0.12929212329808276,0.5750604870805435,0.003627358188643582,1.0,-0.2627875264833838,0.16429718954144468,0.5672036266417005,-0.10864665277536056,0.4396671638426424,-0.26751526292888844,0.7680377244350375,0.6150118215095192,-0.04833454657943424,-0.25945392422407354,0.3197613309802058,0.5883930983838671,0.29003642464247553,0.35076162939867794,0.4380069544638728,0.4037671566524731,0.45356202665894174,0.5159308183561901,0.6960404907968644,0.34838257673001755,0.5066361023347401,0.43095477977697466,0.23523635781184576,0.2095611654858818,0.19250902338341044,-0.4567798922158641,0.27818104892697726,0.17422988933282618,0.8858322812980716,0.05404163675732403,0.4379794605319025,0.6006471095270359,-0.15358252752894241,0.4720376640065133,-0.3048341842793776,0.15672945591172552,0.1226651751716878,-0.41449036441350784,0.4683218222764207,0.5833542642073031,-0.09510081398682213,0.5343199863471072,0.15885398243057045,0.29774382384369985,-0.10600645102959956,0.6271871659888396,-0.38777117595341515
OFCpost_L,0.40430388635708164,0.5138831683945373,0.04508780607556329,0.39465850266046515,0.4808249935952652,0.42807769857120204,0.3989663715154537,-0.2627875264833838,1.0,0.5726046440243306,0.09560802689741983,0.03140905447742264,0.36178824265987264,0.5863268169050089,-0.041842639422151814,0.3420774480839168,0.15508024941437404,0.045998673336742256,0.4665530237980693,0.1488787293243756,0.5413520044062663,0.35713474506537923,0.07939595832193196,0.24229389303678214,0.395927177983472,0.1196849502213297,0.04244380392596811,0.4958146958228387,0.3852571808725753,0.2044548721862293,0.350331208154824,0.6135308125713739,0.3875824140740775,0.713335622940437,0.08307711485157306,0.664506317488243,-0.04878576005488399,0.02830227830873244,0.49901416336818627,0.027475507254999795,0.41895854415820194,0.0912088141436275,0.7213636494832031,0.511370849083407,0.3677449388639362,0.35954320244941224,0.4534820970203106,-0.004055933954136963,-0.09694194401878609,0.09476905364189209,0.051763760645082,0.23998805871160594,-0.041087688502810825,0.089868262084701,0.4834409008319899
Thal_IL_R,0.45152222520972884,0.6332663038581697,0.147600189456107,0.3797880736770981,0.7510630842614253,0.6335304573892248,0.448864760776323,0.16429718954144468,0.5726046440243306,1.0,0.28737545726088803,0.04250433790642758,0.41450625320509016,0.3977818448855524,0.36979295906532106,0.5833211817768906,0.12343843864999728,0.010091934332755808,0.7055763167226062,0.279329726889489,0.7241688157408471,0.6726386587387168,0.3891082252072907,0.37304650239423537,0.709719227635682,0.3987499924228399,0.232501434524973,0.7865910085297891,0.5847570146409173,0.31744586446248124,0.5439146237964664,0.6101995435470625,0.6951920702062484,0.5443316143291802,0.45974549390059444,0.7355389788101151,0.3118504425979092,0.009121638147454827,0.6997134132734733,0.37425868118247513,0.5454794080160532,0.2309745843610769,0.5293809275604432,0.4893934585218104,0.48072957855646864,0.1886904936928481,0.5847623798542448,0.16312652284809043,0.09499306882489335,0.3270746944651492,0.03285666566619634,0.33862920997508006,0.1580696396672962,0.3272933862118204,0.28261348849133006
