,SN_pr_R,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_R,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_R,1.0,-0.4443890985705161,0.35342472281181003,0.475173475926129,0.5742889012620259,0.49889042676237816,0.08915987344049815,0.1318661494338933,0.49912772923520704,-0.31698705251302534,0.27787344904607414,-0.21230661222763458,-0.07198482054363647,-0.26147759749155175,0.6554033111651038,0.5654912632564466,0.33065831650863486,0.5897530495207889,0.3526213203730334,-0.38060340075324933,-0.04445451998550368,0.6596633799437662,0.36111983428780814,-0.3046699737856868,0.03142194978483447
Thal_MDl_R,-0.4443890985705161,1.0,0.29802714461404023,0.11871466534771913,-0.1282233662150991,0.06315900648790415,0.4277481912923197,0.20029303442092214,-0.10194326312593485,0.5301261953078474,0.06323947769980512,0.60329723829822,0.6634891267743549,0.6534693588765227,-0.15078701672999112,-0.2296419926674887,0.21256600957723454,-0.021119034791185015,0.33380004905603583,0.7108393162479022,0.12244151433202105,-0.06782473206839316,0.14654218963710955,0.7122146414187942,0.15226051044843206
OFCpost_R,0.35342472281181003,0.29802714461404023,1.0,0.7216558785690198,0.7172175018073543,0.6518055836802019,0.33328961460689954,0.04142954049876119,0.34197706389781307,0.33071397513211637,0.5295331814292502,0.4236576064397324,0.4531660124894796,0.29847822130915697,0.6011386781023594,0.48870188194945496,0.7663595389123009,0.7229429941311034,0.7382919239236307,0.3495497010912816,0.1259164937754685,0.6229138847221595,0.6680111633538276,0.37896360836925247,0.31173270122413455
Temporal_Sup_R,0.475173475926129,0.11871466534771913,0.7216558785690198,1.0,0.6458939894236764,0.7552630881847098,0.4674446553710086,0.16831174830809037,0.6611096579425587,0.37932703458215855,0.5218517563833492,0.31514750173814815,0.47892790669785523,0.23313643167575634,0.720606361998514,0.5084836864001372,0.7485846365121742,0.7062370135093496,0.618084757090068,0.16833130824511605,0.3431856319543051,0.7934183719096293,0.6405922015684964,0.27053959109328574,0.39180931537440394
OFClat_L,0.5742889012620259,-0.1282233662150991,0.7172175018073543,0.6458939894236764,1.0,0.6421832145449906,0.12519978412199606,-0.08250136206646974,0.37741119021355113,-0.055902585191129735,0.41820911979949454,0.11659302402774961,0.1741787403457194,0.03855308650920193,0.6868620764786241,0.5989912925276875,0.6450346826407588,0.776507202898916,0.566033884714852,0.0028117076742380045,0.10345365973468569,0.7031728165945881,0.5755528369938728,0.04953634949205206,0.10160153728672582
Heschl_R,0.49889042676237816,0.06315900648790415,0.6518055836802019,0.7552630881847098,0.6421832145449906,1.0,0.305603657601836,0.17495312865028473,0.48046671111832545,0.2272357633939165,0.48972233291665745,0.30833194155835136,0.2144910541307812,-0.02943932478268813,0.67573783226974,0.4549266615958099,0.6300398139654453,0.7652356469244903,0.5475614608501116,0.06567919286826618,0.3063296116768147,0.5669018669459492,0.4529314598483462,0.17819133829113865,0.38478661745199855
Cuneus_L,0.08915987344049815,0.4277481912923197,0.33328961460689954,0.4674446553710086,0.12519978412199606,0.305603657601836,1.0,0.7431562469088516,0.48602495798939327,0.2744844056746215,0.09534259521270425,0.41303934529436,0.41756786729919904,0.3565043477246983,0.18798335731054946,0.09764206885824528,0.18046707535340267,0.08344052836682188,0.24680748445996603,0.2947072268183552,0.07831082574705499,0.4455891364689176,0.2793490480437416,0.4813132207744035,0.08217978135755769
Occipital_Inf_R,0.1318661494338933,0.20029303442092214,0.04142954049876119,0.16831174830809037,-0.08250136206646974,0.17495312865028473,0.7431562469088516,1.0,0.6019634722832768,0.1391224527859934,0.18343100964570933,0.12415543023875177,0.07948933971029526,-0.04269207399434509,0.09137722203800706,-0.15727806655899262,-0.1051482718057827,-0.03940459072549498,-0.055268169881958325,0.0550667373418977,-0.035050335984202576,0.2545045125527205,0.11777715313299057,0.18618867799194488,0.10968199188882755
Temporal_Inf_R,0.49912772923520704,-0.10194326312593485,0.34197706389781307,0.6611096579425587,0.37741119021355113,0.48046671111832545,0.48602495798939327,0.6019634722832768,1.0,0.2628556630886586,0.5853385478947944,-0.03932841109317027,0.22318129325765018,-0.17935129706799077,0.5412345017871887,0.15530542438356476,0.4231491284564929,0.4833314329680669,0.3085786112024507,-0.08761787254776356,0.2161937058409075,0.7022892749762425,0.5116727742983623,0.06569394160801516,0.40725032531264266
Red_N_L,-0.31698705251302534,0.5301261953078474,0.33071397513211637,0.37932703458215855,-0.055902585191129735,0.2272357633939165,0.2744844056746215,0.1391224527859934,0.2628556630886586,1.0,0.4246751841546603,0.43693551473004805,0.4808672198194592,0.35970156829085537,0.03612689517123357,-0.14532277712509428,0.3713406640013089,0.15314555072195243,0.3518640207284234,0.41024812159332935,0.4287460824621163,0.09261763982010442,0.26090651689567645,0.47607399732750366,0.5606796058477357
Vermis_8,0.27787344904607414,0.06323947769980512,0.5295331814292502,0.5218517563833492,0.41820911979949454,0.48972233291665745,0.09534259521270425,0.18343100964570933,0.5853385478947944,0.4246751841546603,1.0,0.09942721310266331,0.2627085450649889,-0.0460752934993259,0.5366376587770497,0.0899126084376514,0.504300675279506,0.5351327089636047,0.36260507216041454,0.0919203032612314,0.34384710906501825,0.43112564063742825,0.40701273357620527,0.03943949872516058,0.7455835250510512
Thal_AV_R,-0.21230661222763458,0.60329723829822,0.4236576064397324,0.31514750173814815,0.11659302402774961,0.30833194155835136,0.41303934529436,0.12415543023875177,-0.03932841109317027,0.43693551473004805,0.09942721310266331,1.0,0.35439020129262544,0.43975862501077984,0.13581894604124126,0.09038258630359454,0.3574911662964837,0.1207935091547107,0.3489872230711747,0.6948406843123376,0.13868105251352766,0.02429811882118926,0.4335083869471016,0.7022414417191344,0.06450146971247916
Thal_MGN_L,-0.07198482054363647,0.6634891267743549,0.4531660124894796,0.47892790669785523,0.1741787403457194,0.2144910541307812,0.41756786729919904,0.07948933971029526,0.22318129325765018,0.4808672198194592,0.2627085450649889,0.35439020129262544,1.0,0.5793905105021938,0.13757942353581418,0.0546319431807837,0.47726012257762707,0.3077352360566047,0.559322755710772,0.5209738678767413,0.18014467336946438,0.32393484660094657,0.32921438464567343,0.5581073001580463,0.24044298812809406
Paracentral_Lobule_R,-0.26147759749155175,0.6534693588765227,0.29847822130915697,0.23313643167575634,0.03855308650920193,-0.02943932478268813,0.3565043477246983,-0.04269207399434509,-0.17935129706799077,0.35970156829085537,-0.0460752934993259,0.43975862501077984,0.5793905105021938,1.0,0.016196703835308926,0.03629235574642667,0.19460669370327116,-0.02295597194395449,0.2966271787271631,0.6192882634796798,0.10625109625056522,0.1123141061200348,0.10545960166400382,0.5250031932019305,0.004733431744124439
Vermis_9,0.6554033111651038,-0.15078701672999112,0.6011386781023594,0.720606361998514,0.6868620764786241,0.67573783226974,0.18798335731054946,0.09137722203800706,0.5412345017871887,0.03612689517123357,0.5366376587770497,0.13581894604124126,0.13757942353581418,0.016196703835308926,1.0,0.5692367361955708,0.653807157526445,0.7302464291826501,0.506699973090602,0.08028477896744964,0.22450332665798012,0.650505667739293,0.6147854779928474,0.11359313686446451,0.2960319021093025
Amygdala_R,0.5654912632564466,-0.2296419926674887,0.48870188194945496,0.5084836864001372,0.5989912925276875,0.4549266615958099,0.09764206885824528,-0.15727806655899262,0.15530542438356476,-0.14532277712509428,0.0899126084376514,0.09038258630359454,0.0546319431807837,0.03629235574642667,0.5692367361955708,1.0,0.3975961881492013,0.5645335192939942,0.38392423954894195,0.016441495592025672,-0.10493241568921828,0.47632296303064187,0.3099738652759627,-0.030051926540188307,-0.06980545404609056
Temporal_Sup_L,0.33065831650863486,0.21256600957723454,0.7663595389123009,0.7485846365121742,0.6450346826407588,0.6300398139654453,0.18046707535340267,-0.1051482718057827,0.4231491284564929,0.3713406640013089,0.504300675279506,0.3574911662964837,0.47726012257762707,0.19460669370327116,0.653807157526445,0.3975961881492013,1.0,0.7415198630338122,0.7137790872464588,0.3937367539117408,0.33286330363368055,0.5691267838845736,0.7770605105732882,0.5163689847650428,0.39863630388991333
ACC_sup_L,0.5897530495207889,-0.021119034791185015,0.7229429941311034,0.7062370135093496,0.776507202898916,0.7652356469244903,0.08344052836682188,-0.03940459072549498,0.4833314329680669,0.15314555072195243,0.5351327089636047,0.1207935091547107,0.3077352360566047,-0.02295597194395449,0.7302464291826501,0.5645335192939942,0.7415198630338122,1.0,0.6641224410148402,0.07455100000156405,0.17965621354834674,0.6615951959092548,0.6011464970186045,0.1384570562166865,0.2909799031699981
