,Thal_PuM_R,Thal_PuI_L,Rolandic_Oper_L,Frontal_Mid_2_L,Cerebellum_10_R,Thal_VL_R,Thal_IL_L,Vermis_9,Thal_PuM_L,Cerebellum_9_R,Cerebellum_4_5_R,Postcentral_L,Thal_MDl_R,Occipital_Inf_L,Rolandic_Oper_R,Olfactory_L,Pallidum_L,Putamen_R,Vermis_4_5,Thal_LGN_R,Thal_MDm_R,N_Acc_L,Precentral_R,Fusiform_R,Frontal_Sup_Medial_L,Thal_VPL_L,Vermis_6,Caudate_L,Thal_LGN_L,Pallidum_R,Lingual_R,Hippocampus_L,Cerebellum_9_L,Vermis_7,Temporal_Pole_Sup_L,ACC_sup_L,VTA_L,Calcarine_L,Temporal_Pole_Mid_R,Frontal_Inf_Tri_L,Cerebellum_6_L,Frontal_Inf_Oper_L,Thal_LP_R,OFCpost_R,Cerebellum_Crus1_L,Thal_PuL_L,Frontal_Sup_Medial_R,Thal_VL_L,Thal_PuL_R,Raphe_D,Cuneus_R,Vermis_10,SN_pr_R,Paracentral_Lobule_R,Thal_VPL_R,Olfactory_R,Rectus_R,Temporal_Pole_Mid_L,Thal_MGN_L,OFCant_L
Thal_PuM_R,1.0,0.13911783561291874,0.5639085071019039,-0.15789975035332834,0.45732432121046673,0.10042786540926357,-0.18553379778504228,0.6072843489680886,0.6554216524035065,0.4859831338859281,0.5972588716532143,-0.3812944796818261,-0.41930489785705105,0.046620639173520495,0.3648899570797641,0.5467540281847634,0.6559774284332955,0.5027426300303928,0.6243361826785656,-0.13362666637264406,0.07061342240364214,0.6004704145940912,-0.2458607413419753,0.4863127914922043,0.2903438204252366,0.11811607574071922,0.3353968026099758,0.42932510839801497,-0.10355976313279239,0.4845477572119221,0.294080216148336,0.4420768955820604,0.6084105790756018,0.24656633295425862,0.511605415412818,0.5836781688901348,0.4029042258986588,0.14152116963964312,0.44250410216426544,0.45536143016066033,0.5323533442969837,0.258818154307222,0.3775387522052414,0.387694796317881,0.20682408922220116,0.08536101161419632,0.16835474047123503,0.04053148008757212,0.08940579959625657,0.1994821018448345,-0.20915548054136404,0.21397817606441397,0.6538050443779502,-0.28427783472014073,-0.01670966674805803,0.5317520241590951,0.43937281266014283,0.5604370229510278,-0.0889126598714722,0.4405745499640638
Thal_PuI_L,0.13911783561291874,1.0,0.17658374092791093,0.26625650419923763,0.1087390964681898,0.26127313245984524,0.4858473398969512,0.07411025146444196,0.21042402596066231,0.16378201273223042,0.31528938810532003,0.13853272755613044,0.37800661001873637,0.44541394927354155,0.2852358573210181,0.19984604631507025,0.009599088531016698,0.15779753412787492,0.2872716590958089,0.4496811271717358,0.3056753715836278,0.224117067597674,0.2570372307690425,0.32647315966700036,0.2410190751299131,0.36400494455860105,0.5574357886560117,0.24652909678569068,0.48438258916551435,-0.03405825324969326,0.4471660291416921,0.32890400826874683,0.2371825316209845,0.44411326958737624,0.2293982065636724,0.18962130723043938,-0.06353412150264151,0.17628518026097387,0.04933086116100503,0.279717193016352,0.4503805927594469,0.11880041123741494,-0.06738636212310783,0.322857988641063,0.3769130286583726,0.1813087695480523,0.2715143217969529,0.385350633845319,0.13009886478887808,0.45138446681240696,0.1087994687507449,0.35383911677509094,-0.12558960062294794,0.39780920654431046,0.32392349377105545,0.1591418484821153,-0.11340579281135932,0.20130481908817524,0.5571052030467446,0.15726452853844547
Rolandic_Oper_L,0.5639085071019039,0.17658374092791093,1.0,0.16568239705626217,0.35543746069476667,0.41776152262091243,0.11344020378817334,0.7608967022397928,0.5774191907320587,0.40304692012984517,0.7264136186249937,0.1567127820106653,-0.136151065931175,0.13050059167313866,0.683287399989507,0.7088481956475814,0.587105065735265,0.6589698016084696,0.7991815775679071,0.12993296942648994,0.4127225144914692,0.5878450589669156,0.06297943550336448,0.6404322515144973,0.6137185714159565,0.33327049851742263,0.5126067014851148,0.7304518159432701,0.2641750336228988,0.5122400057322974,0.46447678561496447,0.6976536932800885,0.5669946505544576,0.321709553839528,0.7833213344025475,0.7812594449307456,0.2618665116492811,0.351434320120886,0.4282044536838454,0.7048308650004014,0.7384859506778886,0.7919408169539537,0.41360363920392546,0.6268473739251008,0.1541313688082509,0.3558097211073676,0.49227859449141526,0.4457697536412825,0.0935467147104997,0.11307606237421707,-0.0357505003692472,0.4684964661268481,0.5157442380583988,-0.030874632722038133,0.2160037884427192,0.5853554410592694,0.3467968316205083,0.3048000691268669,0.2810030887704972,0.6910357737478637
Frontal_Mid_2_L,-0.15789975035332834,0.26625650419923763,0.16568239705626217,1.0,0.08223631585565701,0.4887504939515279,0.4856953007299007,0.11692008654078394,0.0032180872936745236,0.11796127578036102,0.23776026403682146,0.6479345584414834,0.6247006556979777,0.16485082097399445,0.33165000214714985,-0.06702550265215484,-0.27788254383697836,0.08860070675100165,0.17873562833283824,0.32564521531797946,0.39550205725390253,-0.11534068461541577,0.4019665864395618,0.21269409495067462,0.7189213783993069,0.40538520254723776,0.22213832203995398,0.28350916876324406,0.38955945205659137,-0.0348252047673273,0.18810948897923496,0.32089495675632534,0.05092980884053359,0.3115777041340152,-0.0259614438702907,0.2025658498768531,-0.27897085334000804,0.2062875798216615,-0.2679540965888944,0.5668721555915976,0.3040047515416222,0.4449930920078589,-0.1445149926054347,0.42510753176157073,0.3070263397528683,0.23966505958269946,0.7279386436286067,0.5180198317518823,0.1896814522002225,0.19331559091566586,0.11896012994835298,0.3359140962619207,-0.23918226469915171,0.33972336666382735,0.4568287221407242,-0.22334789431604937,-0.6049177799550296,-0.399537718279614,0.36667078362305355,-0.09433671197853119
Cerebellum_10_R,0.45732432121046673,0.1087390964681898,0.35543746069476667,0.08223631585565701,1.0,0.22660471842645508,0.14024778540157676,0.5377309888762666,0.3594905502275993,0.7367252535102883,0.6351253523646585,0.03904028097475935,-0.11664381497330531,0.22102173543601078,0.3376961485898579,0.38658499373076594,0.4431399184525018,0.3147660708543184,0.6754731489041128,-0.08612238465732476,0.38602554258460514,0.619582353348251,-0.09686227895804435,0.6709987977337099,0.36771312648421145,0.20872151598810168,0.4323306629878583,0.23390982555783751,-0.1470124502131647,0.5546799927194688,0.6149378655018068,0.24742925413615646,0.7563580765879244,0.48415024065122764,0.41732753822561863,0.47947811202174384,0.6317482906166033,0.6734636624526064,0.534564485235677,0.411539381480051,0.4799664139998817,0.24386999456924602,0.42274052553151364,0.4566012814271178,0.25923483771661415,0.2549870903449252,0.19885269671612935,0.17242480909963254,0.399799697443203,-0.1463990520484365,0.23776523109663797,0.47158351145113125,0.5044273678902889,-0.14841296183025016,0.21952637509601597,0.4720689625205794,0.29243292541753,0.3447987423534857,0.02890915956096828,0.3419508961467207
Thal_VL_R,0.10042786540926357,0.26127313245984524,0.41776152262091243,0.4887504939515279,0.22660471842645508,1.0,0.5928005657478647,0.33307016910274817,0.012097251236458596,0.13124572451104613,0.4438491456119231,0.616932644563728,0.5667454015939445,0.28590302177726673,0.7318692528331258,0.3095497753635939,-0.16933237686155,0.5614968762399842,0.41419815061058296,0.6816099666417267,0.7175628405602869,0.03260756799397079,0.566343500324778,0.5538023298325396,0.5657764469145855,0.809481177839197,0.31160821233240804,0.6884341948519108,0.6011752701276823,0.22605944135360703,0.529131437349474,0.7210505225602827,0.22304116416146264,0.30853194535400646,0.22800881475117235,0.49968454121325906,0.01257354811408332,0.5254496146818348,-0.18706451503822713,0.48160550919491496,0.4352446708630113,0.5336658229662088,-0.10612983019746917,0.6627821574052906,0.023376898396642202,0.42149938577911594,0.5969487484346653,0.9281360774461153,0.26641553971388804,0.07637751515819592,0.47075171739251587,0.7104961630938141,-0.014356256223076397,0.3694452182674453,0.9116189784739076,-0.013379583269448096,-0.3464308179812083,-0.31511601608700923,0.5327696858896492,0.2466052458641106
Thal_IL_L,-0.18553379778504228,0.4858473398969512,0.11344020378817334,0.4856953007299007,0.14024778540157676,0.5928005657478647,1.0,0.12006533901963423,-0.21624499499787275,0.025358055277405457,0.18094026719696252,0.5970044343814153,0.639159194604636,0.3955592026394785,0.34868630337016915,-0.0445457178945674,-0.3724509253508512,0.1279457013032632,0.15694188515245075,0.5279837699305611,0.6125550992229256,-0.003832447939986697,0.5914342072474906,0.2794870369519753,0.2566346758416756,0.6872361196861388,0.39231513312881056,0.2101563811435041,0.4394721700482759,0.045663917351377106,0.4622661205003268,0.31294386087478004,0.0741381543450857,0.3377277199967756,0.06025653723545957,0.05144358171884086,-0.027586760696913272,0.4324127082433137,-0.21603785822108118,0.18015325470725255,0.2606633389315616,0.24539208631791426,-0.16804021654432327,0.42385527580292354,0.1943500080836451,0.39802316154436257,0.44093520733673774,0.6623748862974671,0.18915174229060247,0.1229336599539358,0.4332178136380066,0.4265770109083879,-0.3030133149089703,0.5995185061277707,0.66476796446655,-0.11458481141429736,-0.4462198623639696,-0.3343634264541357,0.5200901623685743,0.024441064555051448
Vermis_9,0.6072843489680886,0.07411025146444196,0.7608967022397928,0.11692008654078394,0.5377309888762666,0.33307016910274817,0.12006533901963423,1.0,0.505727017095183,0.43538843856302906,0.6391978520640067,0.11359313686446451,-0.15078701672999112,-0.034280444658279494,0.615528061904258,0.6381251646536173,0.5582823761732377,0.6115252134013527,0.7951733477694556,0.04355740819009685,0.40468115876977473,0.5661133126775256,0.021798243443279817,0.6850702904418075,0.5493760726676412,0.2369086601391345,0.5934558767543795,0.552949646321334,0.12081311296928521,0.6387866866632802,0.5270790298982058,0.5615298994616992,0.6214682861529736,0.2960319021093025,0.6023613799875267,0.7302464291826501,0.5467558584271598,0.46548329817227857,0.4172919108437533,0.5580886383372472,0.6327903023832704,0.611827515039224,0.5170689498099519,0.6011386781023594,0.044374598763733356,0.33619752584712576,0.42063787317368284,0.2989649926742239,0.174809918912172,-0.002482643830422466,0.136058132400004,0.4248513341373706,0.6554033111651038,0.016196703835308926,0.15191788171287074,0.5693673875719525,0.33440044540710473,0.23702966905179698,0.13757942353581418,0.5378954599185901
Thal_PuM_L,0.6554216524035065,0.21042402596066231,0.5774191907320587,0.0032180872936745236,0.3594905502275993,0.012097251236458596,-0.21624499499787275,0.505727017095183,1.0,0.5175617164740248,0.5417297724832107,-0.2645034911729142,-0.28517294049772335,0.008008655777484055,0.22252825445334562,0.5771942561106932,0.7697104871093748,0.43347099481812257,0.6303178659410563,-0.17689720829368097,0.07211142920776836,0.5524072226949044,-0.29190262256507704,0.41099975766739194,0.4399876979015225,-0.05581634002842513,0.2873316312188287,0.45480965950942775,0.0518087234076276,0.4215964082738812,0.175479043362516,0.3829462915108964,0.5492497639209302,0.24967256949966204,0.6270008409987392,0.6162193046160837,0.2591697921283796,0.014802235514243423,0.39969865028237134,0.6115971793514687,0.5412352234554665,0.4015823919008016,0.4441880521590376,0.3964454748832796,0.2705753721091914,0.16334476946925894,0.17394740084326435,0.019062403266855887,0.13884539870829962,0.2011867768383061,-0.3682840182554569,0.12146402663332237,0.6200052805284981,-0.28600908732169456,-0.1530205957655649,0.5644527623390024,0.46826403061604527,0.5676400804234745,0.014222898347408043,0.49597586415049477
Cerebellum_9_R,0.4859831338859281,0.16378201273223042,0.40304692012984517,0.11796127578036102,0.7367252535102883,0.13124572451104613,0.025358055277405457,0.43538843856302906,0.5175617164740248,1.0,0.6055380924375099,-0.16608025923494,-0.1608504320602264,0.2696956570565295,0.3101191502226731,0.3945821629037223,0.5223829863778557,0.2710516578873443,0.6153776723538013,-0.1295240781855492,0.14692543025744817,0.607462083843518,-0.04114300108558215,0.5708094769042986,0.38764093565561886,0.11342370862065906,0.45642957776016235,0.24691452252733076,-0.1068964596831925,0.40546756262694794,0.44114583736992036,0.2187749419144462,0.8599091375216724,0.6331464580838481,0.46412024917934197,0.46635853158851565,0.45389803148843383,0.39724533536734663,0.4714344246448054,0.4503068065231441,0.597618594026472,0.42350094914516667,0.5255378424494731,0.3786726157100196,0.5104305381307361,0.06277147007590093,0.23170072685028864,0.07341602187810285,0.23651902012459222,-0.0968843393938066,-0.06775785671483232,0.3271523469029715,0.4270036273420444,-0.2268577056876731,0.10221391754959123,0.46088675637987403,0.29136138606545336,0.42675560759968434,-0.008915567638104478,0.4017175817549598
