,Frontal_Sup_2_R,Thal_MDl_L,Caudate_R,Thal_PuL_L,Thal_MDm_R,ACC_sup_L,Postcentral_L,Frontal_Inf_Orb_2_L,Thal_MGN_L,SN_pr_R,Thal_PuA_L,ACC_sup_R,Temporal_Pole_Mid_R,Amygdala_R,Thal_LGN_R,Cerebellum_9_L,VTA_R,Cerebellum_3_R,VTA_L,Cerebellum_10_L,SupraMarginal_L,Thal_IL_L,Thal_VPL_R,Vermis_9,OFCant_L,ParaHippocampal_L,Paracentral_Lobule_R,Thal_PuM_R,Temporal_Pole_Mid_L,Temporal_Pole_Sup_L,Vermis_3,Temporal_Mid_L,Cerebellum_8_L,Thal_LP_R,Paracentral_Lobule_L
Frontal_Sup_2_R,1.0,0.5073713668425417,0.8814051539804234,0.7773906570464416,0.43079512370478446,0.8061114221175129,0.7597755958879787,0.606610436466694,0.4528165821070688,0.3714689627831635,0.7443341471392864,0.8657088249955566,0.39728005697006846,0.45673130242758836,0.38707489105398485,0.7796556103770103,0.2562531884747826,0.6195420623414261,0.17667563659137797,0.6967104410986688,0.747558863169022,0.4816136609862431,0.7441309119946343,0.7401223433235091,0.34948389590216317,0.6471184206291376,0.595387809672458,0.3723085033277964,0.6716508811369097,0.5960112886523202,0.690570628668224,0.5188904847767736,0.5211069468215757,0.735154117621334,0.7003396461460312
Thal_MDl_L,0.5073713668425417,1.0,0.5948211518683909,0.4298292757257774,0.5619008622389482,0.4081003059270989,0.26073951860044414,0.42315742091235653,0.5422238226295016,0.3437177766369273,0.1989033431678909,0.5094076078438292,0.18853669755035496,0.4558518636079919,0.14151775081021956,0.49341574274767697,0.1269903581542938,0.39536985589142387,0.434230887751201,0.3773765727994097,0.3776625412972711,0.5050625277861212,0.40822620853120434,0.5503213176034467,0.2927873612439167,0.533368823346269,0.2779482211780871,-0.16257801670363517,0.7765274345506938,0.5761913849278724,0.6734471006759641,0.3807880769435341,0.42825620319400465,0.31675614825093074,0.22042164211595464
Caudate_R,0.8814051539804234,0.5948211518683909,1.0,0.7936570947788464,0.4317044050847998,0.8003079490122226,0.661279642026846,0.6715682532274581,0.5782475289243657,0.40722583461325335,0.7151990913556919,0.8613548748744213,0.5003637652441044,0.5778560044746135,0.4106762056629594,0.7481865400042326,0.37059183486140745,0.6454914756843888,0.19215377818391782,0.6550406638127634,0.6524569040507846,0.6061354707513091,0.7246116724946368,0.7594428634376889,0.4265331759696828,0.7286107239185082,0.43011949717431813,0.2477754678066053,0.7222526930249397,0.674338243464399,0.7676046976290197,0.4846159141145761,0.5644124316430306,0.7403963587017061,0.5511170977680285
Thal_PuL_L,0.7773906570464416,0.4298292757257774,0.7936570947788464,1.0,0.40186256101320544,0.8528135742856962,0.7290295211931114,0.5478043462823909,0.5460441674396105,0.34996827169842193,0.8573171295661797,0.831307620407497,0.39344071697368876,0.4479679199098868,0.4945334756367702,0.8231022065228807,0.3986258325293563,0.771345441082157,0.005626029777139971,0.7787736423845122,0.7524489864051743,0.5158148570817108,0.860538602995488,0.7682047720112429,0.27693047747785043,0.6977084351180576,0.4607841466781345,0.49853126071233983,0.5221202388540488,0.5792842015510729,0.8065130412993105,0.6400249843698651,0.6421327162362003,0.7607277169116888,0.6200778982819081
Thal_MDm_R,0.43079512370478446,0.5619008622389482,0.4317044050847998,0.40186256101320544,1.0,0.3293103317573089,0.28785286721041325,-0.05077028726699957,0.4008220676756344,0.05642591826151543,0.34183889752605634,0.39357841132566174,0.3975670942435304,0.08727101259752605,0.3383173661407816,0.4103904429941108,0.0511113260812809,0.304693747818883,0.2352940330268231,0.3822162291734278,0.40721225592101595,0.1423966463661984,0.5457877384787118,0.4442896248397178,0.14126468497266256,0.46443370647575183,0.21380568371003558,0.2902473026366706,0.4487904085186521,0.40386990685276997,0.46251717723770724,0.4463868785075108,0.47265785259632126,0.26555063682403585,0.3461570797600048
ACC_sup_L,0.8061114221175129,0.4081003059270989,0.8003079490122226,0.8528135742856962,0.3293103317573089,1.0,0.8746505758615912,0.6196599551823205,0.3218684582326243,0.2527933032035284,0.799727318167165,0.9539396718880432,0.2470532078332333,0.448891583086585,0.3177485531682932,0.7501792307558677,0.2955594390394411,0.6996660465329437,0.03342078963205108,0.684067456288842,0.8209114511507862,0.49992209478395516,0.8130968185968966,0.7363597334778182,0.13761610123457055,0.6400790062520528,0.5268043924070456,0.4641110475003911,0.49464466576153715,0.5958055147231779,0.7509121080011602,0.6071374324682082,0.4926195051584811,0.6612803922943603,0.7584286912639153
Postcentral_L,0.7597755958879787,0.26073951860044414,0.661279642026846,0.7290295211931114,0.28785286721041325,0.8746505758615912,1.0,0.5319901587321189,0.12710590507312233,0.13245636696795737,0.7295082364326161,0.8119524369263759,0.20817941622500463,0.3033016209653299,0.2796304123433602,0.6890314744449347,0.16420389466125201,0.5658703481725523,-0.0654133467833876,0.606427362569871,0.8650806427959452,0.38778226828099543,0.7143700776190325,0.6398795179042276,0.07941915210775699,0.517081540351674,0.6913801197920778,0.5590924283172485,0.33869892097516624,0.48921270428457564,0.5429003957134486,0.579159984948586,0.3886502262780077,0.5298955137360026,0.8966245433519408
Frontal_Inf_Orb_2_L,0.606610436466694,0.42315742091235653,0.6715682532274581,0.5478043462823909,-0.05077028726699957,0.6196599551823205,0.5319901587321189,1.0,0.33862446524590134,0.5439089009141025,0.5040816378975321,0.6495551422963328,0.27989546945064236,0.6062323786456274,0.13213360443698438,0.4803566703607629,0.3260100621035942,0.48591758268080626,0.05156187903595343,0.4753457997661187,0.5313276094133181,0.7004828201976678,0.365065223405652,0.4458140124771861,0.4286554244537221,0.599427039485378,0.39278604214707774,0.03369526406816138,0.591517960915095,0.5574422425437934,0.5081581179619036,0.3448233256622271,0.3063499499726389,0.48600919112489377,0.3773939410282296
Thal_MGN_L,0.4528165821070688,0.5422238226295016,0.5782475289243657,0.5460441674396105,0.4008220676756344,0.3218684582326243,0.12710590507312233,0.33862446524590134,1.0,0.4801927980008032,0.403628525533476,0.38152611220761534,0.529975532552195,0.47045332312650023,0.5692797851405774,0.4764545454000992,0.3050341624501259,0.42156279269781827,0.29886033064502987,0.46418301665761064,0.19903949768412427,0.6464994694963804,0.41827690572818615,0.48208343961689676,0.5848317019699802,0.676820968783179,0.09437787279112893,-0.005452973802844037,0.5124083615328096,0.3448778468857161,0.6170994421311523,0.2216480025232829,0.6383321192509012,0.4662636356376465,0.08025064218012033
SN_pr_R,0.3714689627831635,0.3437177766369273,0.40722583461325335,0.34996827169842193,0.05642591826151543,0.2527933032035284,0.13245636696795737,0.5439089009141025,0.4801927980008032,1.0,0.41652594139378374,0.33379325327490084,0.41049733995683846,0.4043133174067348,0.28214450028054117,0.25078590064642026,0.12974276270719529,0.24174105251216202,0.5351323852603416,0.28994291655576065,0.1951360323054832,0.7103093920403961,0.08502592536432303,0.21205188235011313,0.7062387208595613,0.39905343500817797,0.0481028551004599,-0.05710038788279871,0.43481364479909607,0.1708324990150895,0.352196601459917,-0.03770491069776856,0.3062660922681191,0.3684528754160273,0.06583856585611718
