,Cerebellum_4_5_R,Putamen_L,Occipital_Sup_R,Cerebellum_Crus2_L,Frontal_Sup_Medial_R,Temporal_Sup_L,SN_pr_L,SupraMarginal_L,Raphe_D,Thal_PuI_R,Cerebellum_9_L,Thal_MGN_R,Cerebellum_Crus1_R,Thal_VA_L,Calcarine_R,VTA_R,Putamen_R,Supp_Motor_Area_L,Angular_R,Vermis_9,Rolandic_Oper_L,Temporal_Inf_L,Cerebellum_7b_R,Parietal_Inf_R,Cerebellum_4_5_L,Thal_VPL_R,OFCant_R,Thal_IL_L,Frontal_Med_Orb_L,Rolandic_Oper_R,ACC_sub_R,Thal_PuI_L,Cingulate_Post_L,ACC_sup_L,Temporal_Inf_R,Thal_MDl_R,ParaHippocampal_L,Calcarine_L,Frontal_Inf_Orb_2_R,Insula_L,Thal_MDm_R,SN_pc_R,Postcentral_R,SN_pr_R,Precentral_R,OFCmed_R,Paracentral_Lobule_R,VTA_L,Caudate_R,Thal_PuL_R,Thal_PuA_R,Temporal_Pole_Mid_R,Precuneus_L,Vermis_10,Temporal_Pole_Mid_L,Thal_Re_R,Cerebellum_Crus1_L,Rectus_L,Precuneus_R,Frontal_Inf_Oper_L,Cuneus_L,Frontal_Inf_Oper_R,OFClat_R,Frontal_Mid_2_L,Parietal_Sup_R,Cerebellum_10_R,Thal_PuA_L,SupraMarginal_R,N_Acc_L,Frontal_Mid_2_R,Insula_R,Pallidum_R,Postcentral_L,Cuneus_R,Thal_MDl_L,OFClat_L,Frontal_Sup_2_R,Cerebellum_7b_L,Red_N_L,Thal_Re_L,Temporal_Pole_Sup_R,ACC_sup_R,Thal_LP_R,Cerebellum_8_L,Precentral_L,Thal_LGN_L,Red_N_R,Thal_AV_R,Supp_Motor_Area_R,Lingual_R
Cerebellum_4_5_R,1.0,0.45300678948662554,0.5633588618758605,0.406667541598263,0.7441988663962911,0.8102343880573004,0.08335027464387099,0.7076060639089723,0.3668950098448238,0.5316966258516217,0.7525462467638836,0.3889411159488151,0.5442438306081332,0.453530841238595,0.6618954629913686,0.329053808373645,0.4869479610561818,0.7468574801693834,0.4970024054316034,0.7797334370251452,0.7582317271381154,0.5028895479197268,0.31585202913544685,0.5268599229827946,0.8754522037362228,0.7941017797858159,0.2986651246147302,0.3156640352888261,0.08906359990327178,0.681763801832134,0.28569038394980945,0.49895703715778783,0.37659314058714155,0.7675373146518235,0.4954732064294043,0.4324253273219895,0.6156865238766447,0.6352506536793685,0.4975299524688988,0.6872449888196099,0.3555455283759361,0.21008189543546338,0.6971456513408063,0.12879804477212972,0.7432471736537634,0.20278467602284783,0.5466346139160494,-0.1106528850345948,0.7012847915732807,0.6165715860386177,0.4758374639819078,0.3605594391198235,0.6377170431442623,0.643420695142594,0.39839476229897175,-0.006527619245389846,0.6057737844026769,0.27497255586898633,0.6790910832700856,0.6949554768679298,0.6638065119474601,0.8194535356562986,0.34049780818856484,0.7278455384385772,0.38929173557436003,0.7374676037793654,0.7155957846478157,0.6458962717132368,0.27362418762868734,0.7924906337320372,0.7209991962918902,0.4326565997368523,0.7354139369030203,0.5459897299732002,0.3019327652590065,0.2690448032934988,0.7133235593719445,0.5130007870958881,0.24103538412849304,0.022231410675767796,0.5664548332649003,0.7132271196635595,0.5376231047582138,0.5993286564387418,0.7607031846802167,0.6597802470258811,0.47339913971952774,0.20525300651825332,0.7719326242164778,0.8270611322193527
Putamen_L,0.45300678948662554,1.0,0.19037303113862095,-0.10260957983508814,0.45119616984908206,0.4858396973312944,0.5267658308964761,0.513291391711985,0.0576418040695548,0.19605269308832504,0.5989124247258101,0.17927114014105064,0.062131425962293756,0.3855264068636163,0.11499761772563681,0.34789883787954307,0.6276653661103517,0.43309342866613515,0.219821727701192,0.5413121891958939,0.449811769432893,0.2758616800836489,-0.07345234709147423,0.3481508569372099,0.5841281043981797,0.41091793097120344,0.5927756455483169,0.4390403393105701,-0.15757305719386583,0.44084999137230846,0.47792086898801145,0.21563737268822739,0.19334882662880562,0.6227018507835971,0.10462603698159526,-0.014477262148416726,0.3548014758338436,0.15759409761970541,0.6581001032107943,0.5969965938506423,-0.08274924201485416,0.6758795112480841,0.5057461479776068,0.2439868031141891,0.4771019291612767,0.43058376419878436,0.48208839420754684,-0.09348099958837713,0.4699908023820933,0.5638584999012554,0.22353496366612377,-0.15180114805966383,0.35383578301325075,0.5374938538365321,0.42749653098807927,0.16322764058491368,0.06358690889375292,0.6216359928954632,0.41925431440532945,0.5598200552421607,0.20685677705505132,0.5443098269506583,0.6748394393051765,0.4965389327652664,0.31020718382825757,0.41739140826734317,0.38892490339295466,0.41159209809864755,0.4627067991963072,0.43842552652778644,0.6174330447465454,0.432577615453987,0.5230165281170962,-0.0205606954206088,0.3688821422846929,0.5485961388011219,0.45261684320796436,0.3728338293978909,0.44760260115013006,0.14576570587175722,0.015669653540839174,0.5889530366834103,0.5230865438180878,0.32110895891804353,0.5167213686762591,0.26975359883811995,0.458408648236227,0.16199556915525515,0.4470779068273419,0.28286303203780166
Occipital_Sup_R,0.5633588618758605,0.19037303113862095,1.0,0.4450535780586871,0.43188193159439453,0.42185020835426656,0.03962056081419517,0.5790175204887025,0.45318061631915385,0.4968483939609157,0.3018998423470177,0.10114905767236984,0.5243748592516446,0.042267611682265734,0.7771696365060945,0.01665475961770811,-0.04418345246659699,0.5265907232522007,0.8324551279450645,0.32945068504707714,0.41473449272773877,0.14686843704990535,0.18162442817620095,0.7783359161081249,0.4462544354354083,0.4677020884634397,-0.12942936340798766,0.0003512231132545287,-0.19406210721278225,0.4245784663709551,-0.16654093454311392,0.24914114197399015,0.1920460702217765,0.4806106131215307,0.3808508405301961,0.1452165612886154,0.2544582498460363,0.8235213912302528,0.24356807050303536,0.4647142589736667,0.0636550042216929,-0.05830958285976821,0.6550320489038098,-0.06876663491011721,0.6222490212594372,-0.09280711438693252,0.5293103881904564,-0.2934108607431747,0.32478149925469496,0.2959765381468096,0.6015231483066633,0.18216520143986484,0.7944400909889213,0.15467543787338903,0.003194382513808235,-0.07668000531949623,0.5956581558524948,-0.04955450816820363,0.7903445911638225,0.45551652333937936,0.8794134521297059,0.5735763781116191,-0.043917686026500764,0.45237969650069454,0.7826045073460919,0.4325031789178817,0.5282029642843316,0.5648914103537452,0.3587325994697366,0.5692860022232306,0.42277781216009547,0.18685013853317045,0.6856623058077036,0.834382370805789,-0.20410356869547733,-0.18080790882654083,0.43627528850753466,0.30077484126680143,0.21120231632541958,0.04304701758332765,0.4279288146111489,0.40549088690667795,0.3196837526035852,0.3038088651537843,0.6162015402157389,0.6201246552389497,0.151047119181348,0.015838138079211566,0.6020690351765556,0.7384522300890626
Cerebellum_Crus2_L,0.406667541598263,-0.10260957983508814,0.4450535780586871,1.0,0.11395370266789141,0.37445020238310606,-0.10416638563223968,0.23956602594697388,0.28724324064151213,0.3933683208771779,0.0790081918306455,0.12308175786616099,0.7141806750233117,0.03528816868885789,0.5876683622378842,0.1437450394513159,-0.18120412533730756,0.24522012415589722,0.28795110095529436,0.13087854139632124,0.3241411520194643,0.24258496484884448,0.5465627623379751,0.15235789824610949,0.23650075105161847,0.3210138681029764,-0.24692031448003224,0.05493494501385,-0.07767300852784279,0.20511094274239197,-0.09714464359391847,0.3593356890075159,0.19049176054964007,0.1675668634184779,0.5050702477662048,0.3514810689834689,0.31784311887594663,0.549856491489006,-0.0004983291089423405,0.23682336086042663,0.19927429710641378,-0.24478650568639193,0.12980652900538733,-0.021611647018241094,0.15384451916279376,-0.2798933164529527,0.16186139640839237,-0.24519553711473366,0.13512242576371158,0.0936831791331616,0.23000402193001698,0.36141763894829154,0.23343211969910346,-0.18052322629512754,-0.03409473219250537,-0.08202570092502169,0.7240840248512074,0.006507518897456006,0.28525040892518383,0.15592566502577115,0.4533278375803291,0.171422845308455,-0.20383839381726035,0.18596607705489027,0.06444942029057882,0.34540545309541076,0.26591233064353914,0.11412274996912115,0.08587616398595826,0.25358564167502856,0.17234142112995046,-0.10337329897478181,0.2213646740222599,0.6153814518234249,-0.09675123398501582,-0.2742920817908438,0.11926504973797246,0.2876733350128074,-0.15200723148424414,-0.0025926223095173967,0.7550757559242379,0.12170522425202547,0.019290946910579625,0.5344178923934442,0.2196140838297006,0.3716022936612432,-0.11230529292127617,0.20355863687188389,0.2229444867526354,0.5816419005761768
Frontal_Sup_Medial_R,0.7441988663962911,0.45119616984908206,0.43188193159439453,0.11395370266789141,1.0,0.7721883959629362,0.10596851987923991,0.7937996562149142,0.3229324962149618,0.4031101784155918,0.7355726580009112,0.29194760286410987,0.281633121860378,0.4899916706901275,0.43671833930192694,0.25455918665698585,0.6470257863328205,0.831531039526881,0.4844680463442368,0.7173370501354568,0.7078156034257013,0.5181573841368292,0.1919260318796433,0.6083509190096302,0.7586323521568371,0.7867718955094093,0.5467962402126381,0.391391630683819,0.2991714383042922,0.7031973987674753,0.48643691242661863,0.4372697669113344,0.4087790541308973,0.8476340377179853,0.3283010848891009,0.3554879721057384,0.633133817193648,0.4161827418154791,0.5644969010694292,0.6563462106706812,0.4651894312359545,0.3352524904544707,0.7979636769897102,0.24168493304682193,0.7951541551903389,0.4831479444362946,0.6002027090549127,0.07093422990920134,0.8339245080012289,0.725841592583828,0.42308580244032234,0.3896950678644288,0.6399780267419459,0.7010897301450091,0.6144799322051298,0.062205233732932665,0.3779284959047482,0.3633343449006039,0.628055323302671,0.7533115143930482,0.5018645631145031,0.776749689746603,0.4660384600605025,0.8594879676150984,0.5067585244324728,0.6153604069309242,0.7137325991678748,0.7321666298212075,0.16441244108495914,0.8284297905145754,0.6942184759122155,0.564235470504489,0.7663101531614901,0.25340407741534904,0.45960515523470225,0.5190255976209665,0.9050420944399548,0.47416447382408367,0.45930030969026153,0.053659021170911855,0.39765086447012427,0.8853561535477312,0.6652662599561974,0.49823982636949193,0.778582064362887,0.525068462898244,0.6403472996830697,0.15725509843358243,0.8460823375346282,0.5452623821929657
Temporal_Sup_L,0.8102343880573004,0.4858396973312944,0.42185020835426656,0.37445020238310606,0.7721883959629362,1.0,0.1202181226762327,0.7604025511910417,0.25911127273899354,0.4406134578385582,0.7304287543196549,0.33855340258250405,0.39122500470229954,0.5009081060628247,0.5017756271158581,0.23109195911302283,0.5702835765473906,0.7529290748832719,0.330287489602205,0.7690635253800113,0.7798249345913358,0.7123139648813607,0.24183492825327788,0.4256278506396441,0.8135062435303678,0.8299435094032518,0.43392886043899126,0.37096066517496196,0.2026121990014982,0.6449569014629866,0.4548677128313911,0.5360916719110819,0.44659095910924135,0.776832089233997,0.35506671961214764,0.46272100813041095,0.7424174400130017,0.4701006474277233,0.4981023763081599,0.6065825932713461,0.46779737061940635,0.3174404479637796,0.6736116064948438,0.21203585244676307,0.6672969850283362,0.3512187480077431,0.48104089880633405,-0.0834801498089481,0.7366269611606763,0.6866748978760508,0.45152760908974876,0.30914986850862614,0.5759399337469748,0.5914982743748552,0.5770765946434132,0.03032846960451523,0.497431235774566,0.3773666899698789,0.587378764300649,0.6835893331864925,0.5040076586806919,0.7812750263776561,0.39335607688744306,0.8245408786006584,0.3353533035672643,0.7504160790827239,0.693287901467796,0.5298166408629134,0.22178780766689324,0.7746284675794969,0.7301349231796218,0.4805934838675988,0.6923586099397505,0.3443972608236386,0.5095952636980479,0.4766118473689289,0.746026758166738,0.47168330566417255,0.3257456532066821,0.05788179320663416,0.4912743345930032,0.7954149302236635,0.5965240764179485,0.6431735296127298,0.6713391075730429,0.6226809027668767,0.5674634520281073,0.16197808605776604,0.7520645789212654,0.6402633918277298
SN_pr_L,0.08335027464387099,0.5267658308964761,0.03962056081419517,-0.10416638563223968,0.10596851987923991,0.1202181226762327,1.0,0.14972501358881143,0.03850045218254036,0.09456477931340053,0.1457903430014325,-0.14962211378808,-0.07866837115600234,0.05690563949678191,-0.08114100955637092,0.2566359897361646,0.23807979968245452,0.037007354553155465,0.04991709393269479,0.10541541188651272,0.33382096401620476,0.1559393083347573,-0.21803072393568232,0.10192043872163473,0.27567544000763594,0.08372772108087294,0.3594986385556576,0.2952570506205415,-0.027796259796503426,0.21376837918388297,0.4826136209381616,0.01726976199950461,0.05085963537276087,0.19713680668235287,-0.007256889706901403,-0.13269428929458818,0.2728894910594841,-0.013988193015439633,0.35397077989573583,0.368396180428749,-0.2767361344825627,0.5025223417866735,0.10381203593815502,0.19611460218308333,0.07063269284256425,0.1924095941516225,0.19272871649614315,-0.23141475821132387,0.18945613044763024,0.21871462023068006,0.09097686415381745,-0.1585694555990541,0.08548726460329369,0.19339826087473913,0.09392046348978138,0.018504899392348024,-0.07469597734609826,0.4876595568629526,0.13473556999686012,0.4049681810755744,0.02177689975178908,0.25293600368145897,0.42586062093977384,0.13712222078692393,0.1052685957788108,0.037582684831601335,0.08248317612596788,0.10167534615923639,0.4062867743488194,0.06714941784760728,0.38998953002531084,0.17372560986621963,0.09991095252942789,-0.0733386682181051,0.07433394818256828,0.2582204850982882,0.06545609576142426,0.07085575298506966,0.2589450421253434,-0.00805379162128196,-0.11484383050388505,0.19270838124290174,0.22908618732244299,0.07119916300276165,0.07586441430102195,0.10288214049166947,0.3491676007088776,0.04435613318155442,0.04942225509054987,-0.007756059988381816
SupraMarginal_L,0.7076060639089723,0.513291391711985,0.5790175204887025,0.23956602594697388,0.7937996562149142,0.7604025511910417,0.14972501358881143,1.0,0.4297544949971089,0.45156952961392094,0.6836103547513899,0.20644800920348585,0.37276128157772737,0.4496795194230478,0.5036977737380842,0.1475369282853398,0.48938528342928284,0.8008959428967543,0.5577010392369237,0.6120728960782684,0.7422474744279851,0.5072484832193254,0.30210377374519704,0.695330330780776,0.7063661582480684,0.7677437613937315,0.3767647808712372,0.3772998861613323,0.17099638601519626,0.8085826941213672,0.32498738387313264,0.4602923832811232,0.4516359819760014,0.8209114511507862,0.3167694834650218,0.28548749979251165,0.5996362651861783,0.4964892846002777,0.47836642398529666,0.709882669467643,0.40721225592101595,0.2642199693626935,0.8381885783162834,0.1951360323054832,0.8031999437182027,0.3930314121726601,0.6552103469982219,-0.035288779808387204,0.6524569040507846,0.650488979947077,0.5525303336506745,0.24340652619900915,0.7382235893990206,0.5840497071494938,0.4744378689954784,0.005278198898879192,0.46991049128666174,0.25900863950359376,0.7155221469754371,0.8175255640655124,0.6229423247850728,0.7574140426577969,0.3594218526018374,0.7370851598345608,0.5644281681119172,0.6009046412911413,0.7139540504994366,0.7460131729446424,0.3194165357555763,0.7045470895387094,0.6661146973465923,0.39018238732996396,0.8650806427959452,0.3997939678396188,0.3776625412972711,0.3601106718485022,0.747558863169022,0.49400979332647227,0.5091504758295862,0.12005306965191986,0.4146786255706457,0.7989160556116601,0.5635274524642413,0.549177408817517,0.833270544065345,0.6232262518009313,0.5495858523915526,0.11989233616818876,0.8382998573719767,0.5738133316170748
Raphe_D,0.3668950098448238,0.0576418040695548,0.45318061631915385,0.28724324064151213,0.3229324962149618,0.25911127273899354,0.03850045218254036,0.4297544949971089,1.0,0.15993960495344473,0.13117957820238252,-0.1165683572480519,0.1855051410236294,-0.023196551124113594,0.41362923266686547,-0.053194478587833265,0.04066975357783131,0.28237034986165677,0.5105268505066891,0.113486764600969,0.46578269169739506,0.08602888267833936,0.03935752352684937,0.49882483679778244,0.20041429800908023,0.2461576487696863,-0.21115530347044412,0.4237148481632432,0.11204320950614068,0.5639371467148063,-0.11064949056582178,0.5193696651556874,0.13483847707177093,0.44063065054701905,0.20184013116463062,-0.02619217227777191,0.29810670605018974,0.3522583005020223,0.29777134605612227,0.4334203127903987,0.0027263362820077737,-0.3632589982660026,0.3931495751259059,0.49696756042011236,0.34458644646829306,-0.17019637687451353,0.1528806999677915,0.1004035900107263,0.28399050932288394,0.1282832218059901,0.12220270856141553,0.354491957093571,0.4143997175241721,-0.005919927897187645,-0.0700543261397047,0.2770597945116112,0.23969178607507818,-0.2879846601726526,0.36138677503629313,0.43825744940566563,0.356489339575409,0.3643449890621638,-0.31954944817296527,0.22379654562915857,0.35428458352391823,0.1850665666025104,0.5484643222431999,0.45656026683577344,0.17288480522658536,0.3776960354291454,0.22919972555843018,0.06226150815177288,0.5008078826618737,0.5354942825781357,-0.12813732859430582,-0.34393392444553667,0.3311412664280972,0.16490491419240808,0.432280451393554,0.1920848655993739,0.39009332546302977,0.3855807096432297,0.19506341527322113,0.20154089619467414,0.45912627805569983,0.29631294678641784,0.2683494091757721,0.4156911151008669,0.39232437293460193,0.440431083862463
Thal_PuI_R,0.5316966258516217,0.19605269308832504,0.4968483939609157,0.3933683208771779,0.4031101784155918,0.4406134578385582,0.09456477931340053,0.45156952961392094,0.15993960495344473,1.0,0.3949952069112561,0.10021659614123621,0.44539412678417734,0.2106586334403302,0.365789539967004,0.2634780330984983,0.030485276598841312,0.5057589426757525,0.38238075954526635,0.40151439908582687,0.4855695889652478,0.3914636200635663,0.33894749360391413,0.3610841637370852,0.5309419478410413,0.6124245529296077,0.1156565239950915,0.018477564709074745,0.05595748116247371,0.41555531638248544,0.12956521971334908,0.14654477175880165,0.221550740831678,0.41278233962240646,0.4626558451075124,0.42034276650455293,0.4308852155148008,0.4087714953437872,0.24436666138622917,0.4257352026844133,0.2385237612113637,0.22362800630758056,0.44134865697366876,-0.1680844353857825,0.4860796996870759,-0.007530039649163578,0.30128450347119584,-0.3599951267679373,0.4192083983693212,0.49468203290132085,0.5582155192669105,0.3434923153619083,0.4161586613666214,0.3248204871322694,0.03493013641659326,-0.2664187058534492,0.4026961861165274,0.23896395773037793,0.4927318384735294,0.36433040843685705,0.5183067820544093,0.5116465296768873,0.20403865623984835,0.4068997850974705,0.29139356278223233,0.38283774987370683,0.4724558971920367,0.4280842232293917,0.25276032290961303,0.4728848186901588,0.45902591324307956,0.10647182933633204,0.4322881530230133,0.41370478480547374,-0.0356062248294682,-0.013607941380602786,0.39080188468271876,0.3432162281229587,-0.08363398465305984,-0.11364143990184726,0.49188163253022665,0.37563123353404115,0.42772877001477544,0.42661595110442496,0.47843098699401615,0.6031957343915239,0.01847102368939819,-0.04500029503316166,0.4518659528343416,0.4405727640198966
