,Temporal_Inf_R,Fusiform_R,OFCant_L,Frontal_Inf_Oper_L,Rolandic_Oper_L,OFCpost_L,Supp_Motor_Area_R,Parietal_Sup_R,Vermis_4_5,Frontal_Inf_Tri_R,Vermis_1_2,Putamen_R,Hippocampus_L,Heschl_L,OFCmed_R,ParaHippocampal_L,Temporal_Sup_R,Cerebellum_4_5_L,Frontal_Med_Orb_R,Thal_MDm_L,Paracentral_Lobule_R,Temporal_Pole_Mid_R,Thal_IL_L,Precuneus_L,Precentral_L
Temporal_Inf_R,1.0,0.6407010154139454,0.07121710417620444,0.3478731439776306,0.390219876447042,0.287176349141752,0.37340819227175465,-0.025586872708573644,0.4517546468037417,0.30736235295311637,0.27981318544438744,0.15816421480837412,0.44659784386250956,0.05770370107637496,0.1048683357194148,0.38391057721980343,0.48304651206560884,0.35027994791229816,0.07338839420235474,0.23028238885896124,0.21876302723148197,0.5073174104527368,0.19916773446555253,0.19716094063195555,0.34624767479859386
Fusiform_R,0.6407010154139454,1.0,0.2973020839784479,0.5117267620844083,0.6186769966885984,0.2958527436225616,0.5210974719060837,0.20037685647748407,0.7862088299783999,0.5098025483111894,0.3926430814463727,0.2635850021663241,0.6233767679419536,0.525115702550969,-0.0545801859880803,0.5523465596858392,0.561690935678412,0.6744651804278339,0.1970581696126257,0.4745160616465458,0.4123484919058328,0.4824131375694007,0.37303580702085953,0.531530541405314,0.5718312989880284
OFCant_L,0.07121710417620444,0.2973020839784479,1.0,0.06669521345871772,0.13581466128165992,0.07529972439790593,0.07629798219416248,-0.06849311381978476,0.2022385723959088,0.169717676279807,0.01522075872126831,0.3537758201758396,0.39787077788981806,0.48457078905006573,-0.01611266172897004,0.41000311958837876,0.06687802306169775,0.15333429913143237,0.46323578474967136,0.28704828336874716,0.020260109629159435,0.6506864396801256,0.610667127245175,0.04065950009424346,0.08748305920300647
Frontal_Inf_Oper_L,0.3478731439776306,0.5117267620844083,0.06669521345871772,1.0,0.8664683238125358,0.4772880280905238,0.76806642476818,0.41100508975465505,0.6738332658525782,0.7840131748965364,0.46050132905714247,0.5162009145397405,0.6318873257945425,0.48702704736641217,0.37098166845725067,0.5543695334755802,0.7910664760172879,0.6961793443939779,0.11549768292061444,0.5194905530217094,0.5623503727072044,0.17170782377417565,0.49858068668029504,0.5970762214236834,0.7715570378810928
Rolandic_Oper_L,0.390219876447042,0.6186769966885984,0.13581466128165992,0.8664683238125358,1.0,0.3878264609830909,0.7211174425301269,0.31343837262101776,0.6884227460809427,0.7400102140968344,0.5064264392760843,0.43166974652385987,0.7252012511981246,0.643883232334017,0.2474697213259899,0.6940679689685906,0.7590386173506497,0.7242135924927201,0.26397763535900887,0.6008066252989742,0.477549113363699,0.28646532493771887,0.5151450876604583,0.5403457975419992,0.7092567774613668
OFCpost_L,0.287176349141752,0.2958527436225616,0.07529972439790593,0.4772880280905238,0.3878264609830909,1.0,0.4390178621753641,0.20065867573108892,0.4261146112439969,0.5057543632277466,0.24577468779230804,0.7005084253317891,0.5792605057064933,0.3085258334784088,0.7146652400879915,0.5217017141625185,0.4839802806577283,0.5596537321041288,0.17178553684543907,0.6426439083238655,0.46672063617745874,0.046226640868501714,0.42554926118973113,0.3122794747631681,0.46901564876525137
Supp_Motor_Area_R,0.37340819227175465,0.5210974719060837,0.07629798219416248,0.76806642476818,0.7211174425301269,0.4390178621753641,1.0,0.6044349899869484,0.7745273049918319,0.7829751240040099,0.4528208701362994,0.5224092708839873,0.6319034205968925,0.47366825972187315,0.3548853025872188,0.5589903398487701,0.8093062353366938,0.7375464429002452,0.15750746454012787,0.5065759794877335,0.7050515997046528,0.2749763860521989,0.3241297374473543,0.7503828649979212,0.900226550522362
Parietal_Sup_R,-0.025586872708573644,0.20037685647748407,-0.06849311381978476,0.41100508975465505,0.31343837262101776,0.20065867573108892,0.6044349899869484,1.0,0.44551016775458196,0.4554828940170249,0.0988305364561144,0.10958870193511087,0.19196190445592753,0.14811803827990014,0.11725928281576292,0.17997337707921712,0.42099836886417213,0.36660843439696267,-0.13484586585021058,0.1457953723514056,0.6476547967534095,0.02413787595313355,0.05635712045709489,0.8230187637309612,0.6330067308730318
Vermis_4_5,0.4517546468037417,0.7862088299783999,0.2022385723959088,0.6738332658525782,0.6884227460809427,0.4261146112439969,0.7745273049918319,0.44551016775458196,1.0,0.7282813348614892,0.5617421436174891,0.5477052478720356,0.661295593283674,0.5566458388968315,0.20082683118910988,0.563383440056139,0.7362008125249321,0.8795879692773313,0.18006288404264006,0.5481346848692483,0.6692798635555923,0.3486807106954264,0.36998907539779424,0.7159576270702245,0.7253325851430333
Frontal_Inf_Tri_R,0.30736235295311637,0.5098025483111894,0.169717676279807,0.7840131748965364,0.7400102140968344,0.5057543632277466,0.7829751240040099,0.4554828940170249,0.7282813348614892,1.0,0.4408645513678937,0.6448741587192838,0.6641154255939083,0.5415884994272526,0.3530624965832014,0.5460956524415868,0.8217288545665942,0.768537091859372,0.21751822370241203,0.5725959002979926,0.5537413217583855,0.2624833183609663,0.42763081829757543,0.5291917532802424,0.6748267418751004
Vermis_1_2,0.27981318544438744,0.3926430814463727,0.01522075872126831,0.46050132905714247,0.5064264392760843,0.24577468779230804,0.4528208701362994,0.0988305364561144,0.5617421436174891,0.4408645513678937,1.0,0.3631122410066481,0.42329858240319634,0.3953204331414284,0.18089229514989863,0.3704022510697439,0.464571441731004,0.5406413175434962,0.02078058064751491,0.2632711259002016,0.3776276160582493,0.22047310051966135,0.2449562724866904,0.2604990454973961,0.4061803623010759
Putamen_R,0.15816421480837412,0.2635850021663241,0.3537758201758396,0.5162009145397405,0.43166974652385987,0.7005084253317891,0.5224092708839873,0.10958870193511087,0.5477052478720356,0.6448741587192838,0.3631122410066481,1.0,0.6714201960291876,0.5212076591931241,0.6399907755891119,0.5415155587073911,0.5172152073036189,0.6352243288287944,0.28213074421941214,0.6176919458664457,0.39363581138891457,0.19484024652424575,0.5772601811375492,0.24820561749290368,0.4795815018115794
Hippocampus_L,0.44659784386250956,0.6233767679419536,0.39787077788981806,0.6318873257945425,0.7252012511981246,0.5792605057064933,0.6319034205968925,0.19196190445592753,0.661295593283674,0.6641154255939083,0.42329858240319634,0.6714201960291876,1.0,0.6256833754796483,0.4584453917402793,0.9026145034257831,0.636941715918433,0.730562989603557,0.36256016066490737,0.6564430648952295,0.3708640013739655,0.48617061758530306,0.6354088182847925,0.4405481040416543,0.5916807236155366
Heschl_L,0.05770370107637496,0.525115702550969,0.48457078905006573,0.48702704736641217,0.643883232334017,0.3085258334784088,0.47366825972187315,0.14811803827990014,0.5566458388968315,0.5415884994272526,0.3953204331414284,0.5212076591931241,0.6256833754796483,1.0,0.0885795128641398,0.5856426580865793,0.42369994594498034,0.5927362561238371,0.30727899106945095,0.596634646665401,0.3214237138331214,0.29255175079005824,0.6543574482312915,0.35031255213905527,0.5347452348264394
OFCmed_R,0.1048683357194148,-0.0545801859880803,-0.01611266172897004,0.37098166845725067,0.2474697213259899,0.7146652400879915,0.3548853025872188,0.11725928281576292,0.20082683118910988,0.3530624965832014,0.18089229514989863,0.6399907755891119,0.4584453917402793,0.0885795128641398,1.0,0.39639882790896536,0.3427302895015757,0.2856233240800967,0.3020102351554071,0.31827657730431186,0.3248719718506236,0.00039780602904056613,0.28411750499020016,0.18433561095907736,0.30998479609064367
ParaHippocampal_L,0.38391057721980343,0.5523465596858392,0.41000311958837876,0.5543695334755802,0.6940679689685906,0.5217017141625185,0.5589903398487701,0.17997337707921712,0.563383440056139,0.5460956524415868,0.3704022510697439,0.5415155587073911,0.9026145034257831,0.5856426580865793,0.39639882790896536,1.0,0.5316694046060259,0.666013201586844,0.45128797964793677,0.6529390965095045,0.347177484818715,0.5357930933282545,0.6086537799063856,0.4333575506442724,0.523979442041792
Temporal_Sup_R,0.48304651206560884,0.561690935678412,0.06687802306169775,0.7910664760172879,0.7590386173506497,0.4839802806577283,0.8093062353366938,0.42099836886417213,0.7362008125249321,0.8217288545665942,0.464571441731004,0.5172152073036189,0.636941715918433,0.42369994594498034,0.3427302895015757,0.5316694046060259,1.0,0.7388440368746142,0.20557552704457238,0.4846139685702315,0.5492556309814696,0.3296726080051882,0.3313541986741186,0.5865573430888329,0.7651072785324169
Cerebellum_4_5_L,0.35027994791229816,0.6744651804278339,0.15333429913143237,0.6961793443939779,0.7242135924927201,0.5596537321041288,0.7375464429002452,0.36660843439696267,0.8795879692773313,0.768537091859372,0.5406413175434962,0.6352243288287944,0.730562989603557,0.5927362561238371,0.2856233240800967,0.666013201586844,0.7388440368746142,1.0,0.22305854950884396,0.6850200052984307,0.6002199657194245,0.2653263095250207,0.3750607537999165,0.6020852233687985,0.7015672415277552
Frontal_Med_Orb_R,0.07338839420235474,0.1970581696126257,0.46323578474967136,0.11549768292061444,0.26397763535900887,0.17178553684543907,0.15750746454012787,-0.13484586585021058,0.18006288404264006,0.21751822370241203,0.02078058064751491,0.28213074421941214,0.36256016066490737,0.30727899106945095,0.3020102351554071,0.45128797964793677,0.20557552704457238,0.22305854950884396,1.0,0.3389816076278272,0.14454627993547725,0.41759211988584255,0.3093051667068345,0.10234347650689922,0.07276112446232379
Thal_MDm_L,0.23028238885896124,0.4745160616465458,0.28704828336874716,0.5194905530217094,0.6008066252989742,0.6426439083238655,0.5065759794877335,0.1457953723514056,0.5481346848692483,0.5725959002979926,0.2632711259002016,0.6176919458664457,0.6564430648952295,0.596634646665401,0.31827657730431186,0.6529390965095045,0.4846139685702315,0.6850200052984307,0.3389816076278272,1.0,0.4012455250080146,0.25370283702814955,0.5523825163800663,0.35561000669629445,0.5220180836767527
Paracentral_Lobule_R,0.21876302723148197,0.4123484919058328,0.020260109629159435,0.5623503727072044,0.477549113363699,0.46672063617745874,0.7050515997046528,0.6476547967534095,0.6692798635555923,0.5537413217583855,0.3776276160582493,0.39363581138891457,0.3708640013739655,0.3214237138331214,0.3248719718506236,0.347177484818715,0.5492556309814696,0.6002199657194245,0.14454627993547725,0.4012455250080146,1.0,0.06875473911329807,0.2504831987097578,0.7537593978650294,0.6620596531287075
