,Temporal_Inf_L,Thal_LGN_L,Thal_PuL_R,Hippocampus_L,Thal_MDm_L,Frontal_Sup_2_L,Olfactory_R,Calcarine_R,OFCpost_L,Thal_MDl_R,Red_N_L,Thal_IL_R,Thal_VPL_R,LC_R,Frontal_Sup_2_R,OFClat_L,Cingulate_Mid_R,VTA_R,Temporal_Mid_L,Thal_VA_L,Temporal_Inf_R,Frontal_Inf_Orb_2_R,Fusiform_L,Thal_IL_L,N_Acc_L,Thal_AV_R,Cerebellum_4_5_R,SN_pr_R,Thal_MGN_R,Parietal_Sup_R,Temporal_Pole_Sup_L,LC_L,Red_N_R,Frontal_Inf_Tri_L,Paracentral_Lobule_L,Precentral_R,Cerebellum_7b_L,Amygdala_L,Angular_L,SN_pc_L,OFCmed_R,Thal_PuL_L,Vermis_9,OFCmed_L,Thal_VL_L,Occipital_Mid_L,ACC_sub_L,Vermis_8,Heschl_L,ACC_sup_R,Thal_LP_R,Frontal_Inf_Oper_R,Frontal_Inf_Tri_R,Heschl_R,Cerebellum_9_R,Thal_MGN_L,Frontal_Mid_2_L,Putamen_R,Frontal_Sup_Medial_L,Cerebellum_Crus1_R,Cerebellum_Crus2_R,Amygdala_R,ACC_pre_R,Thal_MDl_L,Frontal_Inf_Orb_2_L,Thal_PuM_R,Thal_VL_R,OFCpost_R,Thal_PuM_L,Cingulate_Post_L,Precentral_L,Olfactory_L,ACC_sub_R,Putamen_L,Parietal_Inf_L,VTA_L,SupraMarginal_R,Pallidum_L,Hippocampus_R,Cerebellum_Crus2_L,Vermis_3,Cerebellum_4_5_L,ParaHippocampal_R,Cingulate_Mid_L,Temporal_Pole_Mid_R,Caudate_R,Insula_R,Cerebellum_9_L,Frontal_Sup_Medial_R,Vermis_6,Thal_MDm_R,Postcentral_L,Parietal_Sup_L,Thal_PuA_L,Cingulate_Post_R,Cerebellum_3_R,Cuneus_L,Cerebellum_6_L,SupraMarginal_L,Calcarine_L,Occipital_Sup_L,Angular_R,Vermis_7,Fusiform_R,Thal_LP_L,SN_pc_R,Vermis_1_2,Temporal_Pole_Mid_L,Occipital_Sup_R,Vermis_10,Thal_VA_R,Thal_AV_L,Cerebellum_10_R,Supp_Motor_Area_R,Occipital_Mid_R,Thal_PuI_R,Thal_VPL_L,Temporal_Sup_R,Thal_LGN_R,Raphe_D,Thal_PuI_L,Cerebellum_Crus1_L,Thal_Re_R,Cerebellum_6_R,Rolandic_Oper_R,OFCant_L,ACC_pre_L,Thal_Re_L,Temporal_Pole_Sup_R,OFCant_R,Parietal_Inf_R,Paracentral_Lobule_R,Occipital_Inf_R,Frontal_Mid_2_R,N_Acc_R,Temporal_Mid_R,Rectus_L,Insula_L,SN_pr_L,Cerebellum_10_L
Temporal_Inf_L,1.0,0.38599605131535086,0.5301480123677482,0.7174154822090076,0.5489495388612026,0.5195267532655651,0.34241484819396034,0.10678425988107283,0.3609872863221218,0.5035962880858109,0.22381494424193388,0.24931321590668074,0.6529885627014151,-0.011915166531915246,0.5031966150811827,0.44745926941113207,0.47666709369888177,0.1544778262619007,0.7418692445931077,0.35260210251233753,0.2695523329517194,0.3274276861194761,0.787550825218115,0.30964466436070665,0.13008982073899694,0.106762134327326,0.5028895479197268,0.16419058439175518,0.18510420171250194,0.07541170675594179,0.40702315398029004,0.08196331281864597,0.36530897042849414,0.4843040095265333,0.3285776675997633,0.4236520460380816,0.27247339811979276,0.5211798410880797,0.2124579195369267,0.25146019667052477,0.3123517607050328,0.5926497477868345,0.5721587502676665,0.10248844170078077,0.5187213199970688,0.0655158865078782,0.38418141131070394,0.10867181529441686,0.49704423812033693,0.5133663664193994,0.3716226292886374,0.5256508056208732,0.4401362472798355,0.3397891880418128,0.5440414060598783,0.5419628817111466,0.5222202150451815,0.4297369099098267,0.4747682401380691,0.18519088257562286,0.009937633046269377,0.4659203498041329,0.5606614503732132,0.5122955193104157,0.2930799342160553,0.40378340994119827,0.5808984226289358,0.4072345635700778,0.6214324920168875,0.32045803283553803,0.39175932534695007,0.13380824123852633,0.4223247124379346,0.2758616800836489,0.3083950508737728,-0.13627022411270875,0.38345411754437786,0.17999163435851454,0.6443237588144559,0.24258496484884448,0.7206243968161825,0.6063832682207304,0.5546257046553444,0.3757105409345131,0.23010616262148548,0.49747632007116604,0.4829773398258987,0.5389770681372059,0.5181573841368292,0.4014884152172173,0.4983224073818785,0.3586978041952613,0.15355203058706154,0.40764075466587224,0.5067831916172696,0.6896082453021771,0.17982740851329265,0.5220900493212286,0.5072484832193254,0.06732485976663169,0.09021893109188996,0.06872809224548082,0.23777523089170752,0.3603921959948555,0.4964344671298898,0.36529751387289405,0.41176727294885956,0.4138558416073482,0.14686843704990535,0.5343235366240994,0.4183421078683523,0.46458518535441484,0.426722530914054,0.49019306502891563,-0.07679089761475483,0.3914636200635663,0.5811487708265441,0.44133580351638324,0.4323759177120928,0.08602888267833936,0.3781413594544202,0.2837003507659921,-0.06828598607320856,0.25223522331814874,0.44975801244852437,0.10713819721364727,0.4848718021379594,-0.1011969828657074,0.2589708738159003,0.40635657191578956,0.21956265680349726,0.32128917545417474,0.12590440185314383,0.4623374568383283,0.027516132811343134,0.2528988240838667,0.3210228770074126,0.3629102248436467,0.1559393083347573,0.503879100118234
Thal_LGN_L,0.38599605131535086,1.0,0.3844756148745379,0.38249871579758166,0.2920927964269509,0.5302746855185368,0.06630314261956376,0.5826464544296343,0.16057120837643316,0.21613035914528259,0.12943149301910353,0.7273146382341538,0.696284969905329,0.495112351954179,0.41002302321428113,-0.08103338535551476,0.5815488024194779,0.17924481327490632,0.673665376704851,0.09078721114420828,0.20051424171237792,0.3083212427204655,0.4727476640791374,-0.08006745414072323,0.5274915998550913,-0.21267685598746028,0.6597802470258811,-0.24589043769449645,0.12106059625127306,0.4944735869871444,0.3623301656567929,0.5815094180045577,0.1978537568105623,0.512277923001544,0.48778084301601093,0.6366577315227315,0.3195371326232139,0.17436979115320372,0.7126340313108527,0.21375773479812696,-0.01788489904927933,0.5505571612696213,0.3797303779554554,-0.012348226966155703,0.1312943558396176,0.6476047224684817,-0.14375331768841765,0.4865876389169025,0.27768374363989645,0.4996718845227281,0.3511170805647371,0.6593384549854233,0.4871107490527157,0.5400363972149871,0.5612167368834439,-0.08433709772729622,0.4479306427995739,-0.0009009864282596161,0.5998110349808566,0.3927835525279653,0.3707681970180434,0.1113796931803753,0.412952256390444,-0.1244170613229613,0.19629271543976456,0.7546737292610316,0.251404617195572,0.3658385251685405,0.6182950252128925,0.3752996332964641,0.5612679087414901,0.1045062433119855,-0.030417197903790744,0.26975359883811995,0.6333539272686315,-0.5456837026638912,0.5609263262519668,-0.23520221084161763,0.5354766644569714,0.3716022936612432,0.3003915317670577,0.5705996438446392,0.36008016477996746,0.6321365683609025,0.02456789552289587,0.31717426860393805,0.6403610706578142,0.40868101118107186,0.525068462898244,0.38523017246998514,0.13549990544976775,0.613543848139337,0.6084946129565604,0.56179133332483,0.4728251562661726,0.535556790836375,0.6702939081780548,0.47421411742525105,0.6232262518009313,0.6162406348027266,0.6731461207303465,0.5700340048500034,0.4174428333610857,0.4883364925593178,0.5869248915647827,0.17686834083291517,0.30394749923229064,0.008395184251297035,0.6201246552389497,0.36747455809244006,-0.007630153570476515,-0.20912679256336045,0.6464956111916247,0.5602431302414831,0.5530130104293266,0.6031957343915239,0.5959525594076446,0.5791503190596043,0.3196734952231703,0.29631294678641784,0.154157633150761,0.4309479277801094,-0.2545852898279109,0.38876398871058443,0.5887463991418597,-0.29405753354561204,0.07597991729673452,0.10669261178852212,0.367993173870922,0.01858574413358581,0.5694895384244699,0.3650933608379696,0.2961610338885118,0.5128248271296986,0.5135534387636913,0.5495518830930163,0.08256535829952524,0.5832104599843146,0.10288214049166947,0.42028985359200277
Thal_PuL_R,0.5301480123677482,0.3844756148745379,1.0,0.6934641461047086,0.6449580559418163,0.5872253718963505,0.5103628465940302,0.1731175978410254,0.5880660693818739,0.35330416538755266,0.22084886081684937,0.3815762433380949,0.7822794808502547,-0.06494286390497012,0.7193626224572465,0.5444195381132597,0.6039220198132792,0.30720682400115684,0.5596698655193707,0.5071280110277453,0.3742375631905462,0.4653974691510074,0.5643816980880578,0.37137492447101106,0.06072962791181345,0.1481450358056851,0.6165715860386177,0.2837169625987322,0.1593671567880531,0.32041187661403076,0.5244193113735035,-0.04150979882198593,0.44024229403415044,0.70228305944807,0.5809698156901433,0.6048783533047087,0.4201653436519697,0.3940891656374683,0.4106690996509581,0.40853517204989176,0.40764747989530836,0.8309828853048393,0.7408885048869972,0.22348098444111889,0.5496557346596898,0.09093185534333773,0.4780441795127283,0.12145159440849293,0.38228584635276835,0.77012589796606,0.8616042182961177,0.6696386333400061,0.7057219573826508,0.6825458711997425,0.7147055152575423,0.5317447287222958,0.6782449619668469,0.629986868340777,0.5407874527644279,0.16182528782196773,0.3047243223334606,0.49874163759595586,0.7208733584247392,0.4348511028778166,0.4294538416383942,0.29315134644265106,0.7729341152974786,0.5612219338418639,0.8059777513060072,0.1601316288125957,0.5957174757112625,0.2582354754479468,0.4726644905156068,0.5638584999012554,0.557930985526716,0.07708492414654505,0.643270202895438,0.4306734013582284,0.6940706774033273,0.0936831791331616,0.804428031374328,0.7193561200350512,0.685928198761581,0.39401206566005526,0.3699565831759936,0.7255701653220358,0.5847823187328863,0.7445373740574585,0.725841592583828,0.26740752792590733,0.4207055932919974,0.5618373357945722,0.2815537440074107,0.7103884101189875,0.5177962561638404,0.6770215912359855,0.35316285602284525,0.6183048157781811,0.650488979947077,0.19704651773929463,0.1315138917978524,0.27809714573488936,0.1936996112434451,0.38457947216893995,0.7464503842915332,0.4674239334366617,0.373525813744753,0.5466539544303738,0.2959765381468096,0.6367332069273935,0.617770827390436,0.47787123062959896,0.45501623526966817,0.6514464542322168,0.07451499611100215,0.49468203290132085,0.7724947068812389,0.7349783951280134,0.40502750901751966,0.1282832218059901,0.3414735354631562,0.17377876571526463,0.008209923144308266,0.3309245990058373,0.5011211045678781,0.16459895275113118,0.5835201318474463,0.045555239781150614,0.30952232018233417,0.5387540033714672,0.42204983808444935,0.43287486735936287,-0.013610414485233792,0.6601269509079905,0.01701602749595986,0.49050831511836035,0.4708622071574084,0.5288263839782593,0.21871462023068006,0.6640207807351752
Hippocampus_L,0.7174154822090076,0.38249871579758166,0.6934641461047086,1.0,0.6564430648952295,0.7174825240666105,0.6380957694938496,0.31791770110810125,0.5792605057064933,0.4330343355074816,0.46782173983934916,0.1467899893138554,0.7453117791570646,-0.02572282420173679,0.7248153832326475,0.49986508626662224,0.6152547435045771,0.3013614150870625,0.6723101369415617,0.5013837665941647,0.44659784386250956,0.5727271587793855,0.8001891559129994,0.6354088182847925,0.1694334281681318,0.4164234257991103,0.7036254402433532,0.5374845518527589,0.2501038752870175,0.19196190445592753,0.7095789196005333,-0.1370823098825668,0.5997614165189329,0.7931080465554341,0.4550219602623839,0.522970992591159,0.47226840367909545,0.7244484929821973,0.3940849766635605,0.4869908112053459,0.4584453917402793,0.7993868079817386,0.71768937482868,0.44367285112050087,0.746914975477783,0.2141202260166334,0.5503729091050956,0.29908125504194566,0.6256833754796483,0.7760395329963755,0.6025856236144609,0.6326989071707415,0.6641154255939083,0.5485271196808318,0.7553579816200446,0.6203315760302324,0.7698383413721931,0.6714201960291876,0.720566508013176,0.28976240120063884,0.3204388530946627,0.7249609441205357,0.7961866254725359,0.5975347502052154,0.6904552887089725,0.3720557586617582,0.7492800298762646,0.6262533518156883,0.7959730306513494,0.36160684932047704,0.5916807236155366,0.4787517599045533,0.5674891502700543,0.49812757109561046,0.5250196397947996,0.1020648298321977,0.49088723220593045,0.5022300001744788,0.9046330437351047,0.31864112445430165,0.8195645150294639,0.730562989603557,0.871284591720804,0.49508811851644996,0.48617061758530306,0.8024757186915069,0.6204273192908912,0.6566154409672218,0.716657803755604,0.5262232217863752,0.4318078688596818,0.5815485121567903,0.3165009540297727,0.7117891648230236,0.5592996374096285,0.7423656240696719,0.34022956313814384,0.6995698521860889,0.6914019988058628,0.2838571539775446,0.22721596221755977,0.2307645535990422,0.17685515751823264,0.6233767679419536,0.7471793602727638,0.33648146159507675,0.42329858240319634,0.6631195003247612,0.3139932307297584,0.5510283308580325,0.39721080242067464,0.5519332972091571,0.5060899158590605,0.6319034205968925,0.10987202895765134,0.3718114540059772,0.8036549155696199,0.636941715918433,0.49550538351490914,0.375786661484912,0.7097627494671906,0.3605384096631478,0.2511714518635289,0.5267770267580001,0.6201069849384808,0.39787077788981806,0.7385621429350356,-0.012559380204369128,0.49624575054706527,0.5458801851541807,0.3517748538955163,0.3708640013739655,0.16596004553276061,0.7176833906774893,-0.028807014881379045,0.47880680279318205,0.45360170683648543,0.5806508744756453,0.2620486412037432,0.6418417734081444
Thal_MDm_L,0.5489495388612026,0.2920927964269509,0.6449580559418163,0.6564430648952295,1.0,0.6386854332248356,0.49743249828207825,0.12910277796851213,0.6426439083238655,0.6830759689045257,0.14731721933983952,0.3773682038518023,0.711243419862889,-0.02042923254526937,0.6359286767591614,0.581655367907048,0.49423226753670235,0.4907926851581211,0.48997246443167586,0.5498678000933996,0.23028238885896124,0.40443544108843477,0.6427868063255827,0.5523825163800663,0.0960507507535246,0.39431580007414785,0.5552353414862525,0.2310078646992899,0.5066927970370372,0.1457953723514056,0.5913526734268255,-0.08746377013009367,0.4087321672624214,0.661848700352498,0.3802935663170428,0.5026717718392115,0.6161525129665275,0.43308855585832007,0.2503165217537305,0.24372761739645518,0.31827657730431186,0.7255121457403937,0.6113861260983974,0.17570471019872433,0.7711677833681373,0.026057447882915714,0.6778270288863896,0.15076332354420333,0.596634646665401,0.7049214125544164,0.5913708856318798,0.5712327985263826,0.5725959002979926,0.39094637877140986,0.6563042949243479,0.6397500154400617,0.6649946953058578,0.6176919458664457,0.5823249378983139,0.20037771423869633,0.25171290093159443,0.49844072981851223,0.6906351932838795,0.6002231773937035,0.43012435325299586,0.25050034654251113,0.8274322557030794,0.6156880030765897,0.7491092764117555,0.33262351734607065,0.5220180836767527,0.2732795681506446,0.7172857276892051,0.4886782101536058,0.4341344623181862,0.07791503246152418,0.37581249564262026,0.4620265503307729,0.6338356577712386,0.19281642943742158,0.7177644069726645,0.6850200052984307,0.6038282251371847,0.3826690403579431,0.25370283702814955,0.7509584859489346,0.6436482421381899,0.6576119192242513,0.586460149087668,0.3050685179713124,0.4026971813627925,0.4894519246831709,0.22791394179755134,0.5704757404784597,0.4766227680809196,0.5648940822456209,0.16854175097158688,0.5521452303868215,0.5208709998877751,0.1226091537948343,0.09246909828429316,0.15250393744439303,0.16491330565426496,0.4745160616465458,0.6914021096481596,0.5603696953147355,0.2632711259002016,0.6028160630474221,0.11669049302043362,0.6122593307190014,0.4973230778829381,0.6758060331495838,0.47680053359065927,0.5065759794877335,-0.04771307478244384,0.4048329151415611,0.7303133494440244,0.4846139685702315,0.4131850672097923,0.022471620116392275,0.5181175764980867,0.26899043071686035,-0.03612722023073632,0.3279133787414353,0.45195896765181665,0.28704828336874716,0.7377713261267816,-0.17974965937839052,0.2900038959740935,0.6335007712300783,0.26940892112957426,0.4012455250080146,-0.08446269157787657,0.5896565805119653,0.01757910362656666,0.2692530114522908,0.6869112968198959,0.4234562474614664,0.32877491532359826,0.6235275764634783
Frontal_Sup_2_L,0.5195267532655651,0.5302746855185368,0.5872253718963505,0.7174825240666105,0.6386854332248356,1.0,0.4831902148828658,0.5267016000991455,0.5137163805131278,0.4333605843488889,0.44513479713701737,0.34117687991033013,0.7678205458937317,0.2868389028695376,0.8827217121961877,0.43079671188744584,0.7835679405976583,0.2865618114061896,0.6693391628190096,0.507505906476234,0.2632258555721731,0.5772933597559627,0.5763972591623847,0.44161216085200433,0.22031940779516138,0.28326425043359216,0.7462899355835051,0.2178525871982438,0.4406277608225443,0.5399818777634495,0.650315742123966,0.19939947689604798,0.5676711436679914,0.8588363279383218,0.7323670050959025,0.7723954395278207,0.5954784906458701,0.4456988556657657,0.666509519106785,0.30638120586851203,0.3948154826143069,0.7465589251322032,0.6350321113078892,0.19064136568469292,0.6967571550149896,0.48336781642133864,0.47307686969657375,0.42717985060489977,0.5955261189893751,0.8413061603280207,0.5696147626471016,0.7172283751628071,0.6972548428010124,0.6974694029521344,0.7275803502859248,0.34466942476137125,0.9340347098922459,0.5486702253740856,0.927488909174666,0.3464921022979857,0.38382614860885017,0.4390364992247101,0.8363995569412593,0.47816456587284567,0.626850067206017,0.48009844559029385,0.703845985755517,0.5674681767570896,0.8013486974357407,0.5870564745245379,0.820560594726756,0.41552746380854244,0.48461193263513724,0.40158213825582445,0.8079970022108716,-0.002708169835160992,0.6143906736293886,0.4519691130568466,0.7385876806959211,0.26764312870504164,0.6010123962429929,0.7389073740622077,0.7151856704480535,0.7376792913792566,0.4200260122556996,0.817617723335855,0.6902376272467869,0.6949134079833936,0.8755607703746807,0.44184042676384727,0.4528122741882694,0.8160429414415271,0.670072903619116,0.7191744883710556,0.682527090867525,0.6003430291934863,0.5280991441946619,0.7002301776441606,0.7843006155997952,0.49148999800823684,0.5120219066916819,0.5220535795685591,0.086009856371057,0.6012132661185116,0.7450578513097917,0.2608595766171791,0.36407211613420465,0.5930723407870757,0.4924995271094749,0.654032971062984,0.36117635525430775,0.3597869982296014,0.6900574217081842,0.8250678510772835,0.30532117731633385,0.4317998926943401,0.7796627812759634,0.6971573237649716,0.34907609206782764,0.3570728245950144,0.5450167246676751,0.5001619452178439,0.07260652791423013,0.5614633004157176,0.6739908408690122,0.2973523469096893,0.6603709446945911,0.036546252689734625,0.48496624806340427,0.5233268413037387,0.6240693059408113,0.6375800024263399,0.07519431687501385,0.8516087524499932,0.1672745076756528,0.509548294377099,0.3610855835726884,0.651909089755005,0.05239546054425355,0.6978489495996676
Olfactory_R,0.34241484819396034,0.06630314261956376,0.5103628465940302,0.6380957694938496,0.49743249828207825,0.4831902148828658,1.0,0.06809874841775394,0.595662263867716,0.1210874701948787,0.42648436952961877,0.03911592170599505,0.342445936348422,-0.038155950173308,0.5596165207169349,0.46497291173678923,0.3576023883544233,0.38235365339510435,0.22358960915050655,0.29758853693145987,0.20395153180081607,0.8243593292335798,0.40735104902240626,0.779473202102164,0.38252778430539797,0.4377980543856865,0.3633457638960633,0.5754392499221622,0.20684244759038628,0.20947316886124037,0.387653917011757,-0.26973386587287906,0.4498960313338143,0.60038001337468,0.3582171945579346,0.3236461500978682,0.39160063042047105,0.43083115378609643,0.1620703452183164,0.7249618273607974,0.3875237713311023,0.5593109972422609,0.4601099423149937,0.46733542891567026,0.5347490176283868,-0.03967861352210235,0.5699111061269154,-0.015698765071205715,0.5248347684593102,0.5732173747744154,0.5423067230091472,0.48040800974538,0.5794688051724098,0.36985659185258307,0.4558194508422507,0.5146580455037986,0.5524028934979782,0.5963221864747557,0.45039092791576907,0.003350682685172634,0.11982300862011087,0.5825941819081933,0.5743832538467171,0.3800414531767965,0.8312455209793379,-0.03260222253904127,0.509363828723904,0.6994485076215431,0.4279857545309805,0.11971977207176067,0.40731403847002934,0.7634822050916636,0.6890201882973155,0.6590864162907014,0.36021495527953945,0.03958004613420219,0.3626122771639638,0.47538529154344483,0.5956965613424412,-0.007536151156601975,0.5582542102640016,0.49514363302405007,0.6115710834811634,0.25314911267729806,0.3233481042429395,0.6484060475891322,0.6346541282145997,0.5308838863273334,0.5086134960071543,0.15460429214336904,0.01711467436299174,0.4299367239138264,0.20029630252825056,0.47607194031881417,0.29407236697417316,0.46210019243640466,0.0665873088069285,0.3653309328860773,0.4240121190489026,0.05412589630330054,0.003329703539402315,0.15185556171325862,-0.10507434044406552,0.3517308395732771,0.5290152590946854,0.42267075988587083,0.2382564737524266,0.49489374545619713,0.12049850018173484,0.4231899122544103,0.3051886568534397,0.3935101976612496,0.26132720141910204,0.3912376649948219,-0.05333699052647381,0.18747336679737903,0.5350577288297464,0.4633180192611502,0.2770991590413141,0.2948654636044755,0.4487554898783071,0.061647277552083046,0.17562133545051664,0.1746554132742291,0.47349199641347917,0.4461562156380639,0.7217184694069286,-0.10345731768315176,0.17613639514390692,0.666867277870956,0.2887538451080929,0.3343089371783266,-0.15497929633241597,0.5152731651753472,0.14317268661337534,0.2378802251806783,0.6090470714007203,0.6077719652018153,0.5522734765602332,0.451024574654474
Calcarine_R,0.10678425988107283,0.5826464544296343,0.1731175978410254,0.31791770110810125,0.12910277796851213,0.5267016000991455,0.06809874841775394,1.0,0.08120033810395526,0.14337773131473106,0.14687010054219576,0.36399914937806543,0.3797234414931397,0.4772539289546778,0.4094420190883055,-0.12858144227008,0.4703263042149067,0.0827044066415988,0.4664560336767568,0.15668974968474375,0.3425770248468903,0.192459663020541,0.4240285604064262,0.04652486853586414,0.22828343306232574,0.12534494283213685,0.6618954629913686,-0.027703784266986265,0.28978927963278084,0.5462259500206088,0.480319840757499,0.2702893997674367,0.15678900587507727,0.5267559580829643,0.4784736930773897,0.5083464618058359,0.35924313258788165,0.2221806601011879,0.6696310719138929,0.08322875542299014,-0.0955815887933223,0.3514425148631514,0.2973601896117349,0.08271057056901442,0.12447723580798592,0.8133665693411404,-0.0774858888728795,0.7557202695635324,0.25455712621209,0.37379350390492105,0.21153512393267562,0.49381192250226474,0.40417474863198133,0.40246984463212815,0.48909882079285305,-0.11750076187735313,0.4669769632788,0.01670728916284693,0.5504625782124917,0.6236077159601884,0.3573967740695521,0.02490934005910041,0.3096865953077886,-0.12513765750700964,0.25804316662983734,0.6289367058496068,0.09514597483032108,0.2594272229760341,0.3495102417405012,0.31241395051187404,0.5141422448674925,0.16270149945606519,-0.08827089916260239,0.11499761772563681,0.5995213928908085,-0.21101039170174227,0.3696516071294064,0.05343541109216027,0.3550249548876296,0.5876683622378842,0.033432197902732066,0.4950251976811891,0.40223344004075284,0.5391040089016247,0.219362395709801,0.31743856137991194,0.40133919597334006,0.2522627930922749,0.43671833930192694,0.6742580778589305,0.09247851321449738,0.5657224069244754,0.6890768161743087,0.46007850705857345,0.26163953798138334,0.22180728134018785,0.8303723022678496,0.6313055920907207,0.5036977737380842,0.9640608916947266,0.7972988846422198,0.6276732909606895,0.3441820960138756,0.6949719264328432,0.35226646974533676,-0.1515220502310038,0.23668394126912073,0.14881891948599774,0.7771696365060945,0.0957781927138021,-0.1951058977076895,-0.17293792244943415,0.4848533891406987,0.503782783202776,0.7487251004288062,0.365789539967004,0.37843768740490774,0.40631086929650895,0.22985035101979184,0.41362923266686547,0.29226316956059023,0.7172591819353253,-0.00833198446846126,0.7475917366698985,0.44019004449418253,0.006338646479631984,0.07843747785693463,0.11390033394786643,0.5689459639563405,-0.09320948486819987,0.5353046666250396,0.46673102472853745,0.5292291171585701,0.5562009569714849,0.2958882536794514,0.6593901418489415,-0.011617593710954678,0.4383903291846957,-0.08114100955637092,0.3441774066328607
OFCpost_L,0.3609872863221218,0.16057120837643316,0.5880660693818739,0.5792605057064933,0.6426439083238655,0.5137163805131278,0.595662263867716,0.08120033810395526,1.0,0.250719773071135,0.40634383020010734,0.24880459396984875,0.4801610672505787,-0.14756150903783255,0.5357892383084304,0.817663419626191,0.4031894220344627,0.42001631705165543,0.3997348472606032,0.5028439298513865,0.287176349141752,0.5342898294440652,0.4211315943087646,0.42554926118973113,0.264238533404898,0.11584596654690062,0.43614646661828416,0.11401762849836289,0.3411371264978697,0.20065867573108892,0.7033561630532895,0.013985362145476682,0.4961135186208872,0.5874818647367929,0.3848495664508988,0.4353037569632025,0.39374543812121704,0.2881113180446139,0.20228375567811457,0.4728254288996094,0.7146652400879915,0.5220671773438514,0.6048467316883108,0.4820291281287196,0.6753457713699798,-0.06805262818472875,0.6638641028574699,0.1682478269777609,0.3085258334784088,0.6007285795012447,0.49295714203437685,0.43790066558779334,0.5057543632277466,0.3989747616319838,0.5918398815142267,0.39478200786173095,0.6398447104883411,0.7005084253317891,0.43117852965944475,0.18170910793181447,0.40208918520391373,0.6228161653900214,0.6441841621797553,0.6175095170232465,0.6138936102663953,-0.10613151298016292,0.7316555860860489,0.7417865375483104,0.5815598287737532,0.22790711585326762,0.46901564876525137,0.5162069812822039,0.7243817415247388,0.7361784884648949,0.4330150213221377,0.024250991047410103,0.3421144766373561,0.5726974681195883,0.6185537986640326,-0.05868428197228256,0.652196275287618,0.5596537321041288,0.5693842917064242,0.2417202760484885,0.046226640868501714,0.6315525088820126,0.5452253056941881,0.5728442003743186,0.5489630361114181,0.14137410847353113,0.2242156476155276,0.4331890806144788,0.19641787270266126,0.2799137218803672,0.4379472048969416,0.4587105445479826,0.187768318409404,0.49885577428548483,0.4797814124699606,0.1435161639883418,-0.02124694749444682,0.10732684786411226,0.11827372165509123,0.2958527436225616,0.5429433279408834,0.7918969937211499,0.24577468779230804,0.714770771410534,0.09472458121035313,0.6322024428428528,0.7140905031187889,0.6117691890071015,0.37217734322441426,0.4390178621753641,-0.1312513764244549,0.23639766087238273,0.6161479090744769,0.4839802806577283,0.060714882341768354,-0.21875985793978353,0.1886922479459756,0.14141801967798662,0.0419352112429145,0.16765647641671932,0.3021665636267782,0.07529972439790593,0.6905208313541132,-0.10143969874369188,0.1605286963101024,0.8413026305804253,0.22614742296768964,0.46672063617745874,-0.2228259895477875,0.4773217572960908,0.01874753978960569,0.26149111984169304,0.851568491754656,0.46687110034905666,0.37758926973644474,0.45918705539270843
